# Equipacion de cada personaje, para ensenarlo de cuerpo.
# identidad = el valor del campo 0xBA162C11 de la partida.
# icono = fichero de datos/iconos/.../10_icon_chr/uniform/<icono>_00_l.png
# Lo genera herramientas/construir_equipacion_jugador.py (NOTAS O-76).
identidad,icono
050B3A0A,u021801_20
0515BEB3,u117401_10
05209999,u117401_10
0522FA97,u031301_10
052922C1,u117401_10
053FD796,u060901_10
055C719C,u010101_10
05627FB5,u112501_10
056A057C,u010301_10
05857EA2,u117401_10
0585F1EF,u040901_10
05957E9B,u111001_10
05A2E665,u115101_10
05ABD762,u081101_10
05C5F0A7,u117401_10
05CD8149,u117401_10
05F058C0,u117401_10
05F11D3B,u117401_10
05FC0170,u020901_10
06012581,u040101_10
0601AACC,u117401_10
06113DEF,u111801_10
06178BB7,u080401_10
061964FB,u040101_10
061C0880,u117401_10
0629224E,u110501_10
06338293,u117401_10
063FB9C7,u115101_10
064124C9,u117401_10
06495527,u117401_10
065F2F3D,u117401_10
06644770,u081201_10
0666DF34,u050401_10
06748CAE,u117401_10
0675C955,u117401_10
06864400,u061401_10
0686553C,u117401_10
06916ADD,u117401_10
06A44DF7,u117401_10
06A62EF9,u031401_10
06ADF6AF,u117401_10
06D3089B,u117401_10
06E25622,u010101_10
06ED94DD,u115101_10
06EED112,u010401_10
06F6F352,u115101_10
07033136,u051401_10
072CBB25,u010401_10
073A8B76,u110101_10
07443F0B,u117401_10
075300EA,u117401_10
076444CE,u031401_10
076627C0,u117401_10
076F9C98,u117401_10
0782683F,u115101_10
07834EFE,u117401_10
078B3F10,u117401_10
079974DD,u011001_10
079D450A,u117401_10
07A4B503,u050401_10
07B40ADA,u041501_10
07B6E699,u117401_10
07B7A362,u117401_10
07BF5DC1,u021401_10
07C34FB6,u040101_10
07C3C0FB,u117401_10
07D357D8,u111801_10
07DB0ECC,u041901_10
07DE62B7,u117401_10
07EB4879,u110501_10
07F1708F,u060401_10
07F1E8A4,u117401_10
080538F5,u041901_10
080F5938,u117401_10
08127439,u040601_10
08192322,u021501_10
0820D32B,u117401_10
08381D1C,u117401_10
08492FB7,u071701_10
0849844E,u110101_10
084C7E85,u117401_10
085A049F,u117401_10
08758E8C,u050701_10
0879D298,u021201_10
087AF017,u117401_10
08840633,u110101_10
08851CEA,u020201_10
08928562,u030101_10
08950484,u117401_10
0897678A,u117401_10
0897E8C7,u010201_10
089CBFDC,u020701_10
08A85240,u060601_10
08A8DD0D,u117401_10
08AB98C2,u115101_10
08BD034B,u115101_10
08CF3FEF,u020201_10
08D4230D,u117201_10
08E022E6,u031601_10
08EBFAB0,u020501_10
08F175C1,u010101_10
0922C79C,u042001_10
09299087,u020501_10
09331FF6,u010101_10
0941C085,u080501_10
09466C04,u110101_10
094776DD,u020201_10
09532D9F,u011001_10
09550DBD,u117401_10
09576EB3,u117401_10
0966300A,u117401_10
096A3877,u060601_10
096AB73A,u117401_10
097F697C,u115101_10
0985CCE4,u030901_10
098AA343,u051301_10
098E14B2,u117401_10
09986EA8,u117401_10
09B7E4BB,u050701_10
09B89A20,u117401_10
09BBDFEF,u115101_10
09C752C2,u041901_10
09CD330F,u117401_10
09D01E0E,u040601_10
09E2B91C,u117401_10
09FA772B,u117401_10
0A01188A,u031101_10
0A0AC0DC,u117401_10
0A3C4E4E,u117401_10
0A49E761,u117401_10
0A666D72,u117401_10
0A7EA345,u117401_10
0A8916AC,u010101_10
0AA5CEE8,u117401_10
0AA613F2,u041901_10
0AAB7861,u010101_10
0AAD44E9,u020401_10
0AC335A9,u111101_10
0AD1D9D3,u117401_10
0AD3BADD,u117401_10
0AEE6354,u117401_10
0AEEEC19,u060401_10
0AF3C118,u032201_10
0AF4AD57,u115101_10
0AFA30D1,u111401_10
0AFD9C50,u081001_10
0B015F9E,u111101_10
0B11D0EA,u117401_10
0B133CA9,u040701_10
0B13B3E4,u117401_10
0B186BB2,u020301_10
0B2C0963,u117401_10
0B2C862E,u060401_10
0B31AB2F,u032201_10
0B64F688,u031501_10
0B6F2EDE,u020401_10
0B79DB89,u117401_10
0B823DB1,u117401_10
0B8A439A,u020201_10
0B8B8D56,u117401_10
0BA40745,u117401_10
0BBCC972,u117401_10
0BC8AAEB,u117401_10
0BE4EA7A,u115101_10
0BFE2479,u117401_10
0C08F742,u111101_10
0C0F47D7,u117401_10
0C11C36E,u021201_10
0C187836,u117401_10
0C1A9475,u041001_10
0C252EF2,u060701_10
0C25A1BF,u117401_10
0C33DBA5,u117401_10
0C482AD0,u115101_10
0C534D5F,u115101_10
0C5F760B,u051601_10
0C668602,u020101_10
0C6DD119,u041701_10
0C70FC18,u010501_10
0C816045,u115101_10
0C82258A,u117401_10
0C885142,u081201_10
0CADAF99,u117401_10
0CB561AE,u117401_10
0CBFFC03,u117401_10
0CC10237,u117401_10
0CEAA1A4,u117401_10
0CEAB098,u061701_10
0CF78CA5,u117401_10
0CFCDBBE,u070301_10
0D036800,u117401_10
0D07B4F1,u010501_10
0D08B056,u030801_10
0D176028,u040101_10
0D28CB93,u117401_10
0D35E692,u117401_10
0D38CB66,u030101_10
0D404FBD,u117401_10
0D4C419A,u071001_10
0D586DFD,u115101_10
0D6FC5AE,u117401_10
0D74928C,u111301_10
0D770B99,u117401_10
0D7D9634,u117401_10
0D8D3EEA,u021201_10
0D912768,u115101_10
0D9D1C3C,u051601_10
0DA4EC35,u020101_10
0DAFBB2E,u041701_10
0DB2962F,u010501_10
0DC0BF38,u117401_10
0DCD2DE0,u117401_10
0DD8710F,u117401_10
0DDA1201,u117401_10
0DE744C5,u060701_10
0DE7CB88,u117401_10
0DF1B192,u117401_10
0E0C78CA,u115101_10
0E20385B,u020201_10
0E2B6F40,u041801_10
0E5CA561,u117401_10
0E5EC66F,u117401_10
0E631FE6,u117401_10
0E6390AB,u060801_10
0E7CDEA4,u117401_10
0E87BC6E,u117401_10
0E8C6438,u030701_10
0E914939,u061301_10
0EAEF3BE,u040301_10
0EB132FC,u117401_10
0EBBE824,u071601_10
0EC49BD3,u117401_10
0EC8CE59,u110601_10
0ECF62D8,u080201_10
0ED9399F,u117401_10
0EDEBDDD,u050201_10
0EEB11C0,u117401_10
0EF3DFF7,u117401_10
0EF9425A,u045301_10
0F06F1E4,u117401_10
0F0A76D4,u021001_10
0F0AA46E,u110601_10
0F1B53A8,u117401_10
0F1C3FE7,u115101_10
0F2340F6,u117401_10
0F297BF7,u117401_10
0F31B5C0,u117401_10
0F3B286D,u042201_20
0F40876B,u071701_10
0F45D659,u117401_10
0F638428,u115101_10
0F7358CB,u117401_10
0F9CAC58,u117401_10
0F9E401B,u041201_10
0F9ECF56,u117401_10
0FA175D1,u117401_10
0FA1FA9C,u060801_10
0FBEB493,u117401_10
0FC97613,u041201_10
0FE2526C,u020201_10
0FE90577,u041801_10
1032A1C6,u020501_10
1039F6DD,u042001_10
104C5FF2,u117401_10
104E3CFC,u117401_10
105AF1C4,u080501_10
105C479C,u020201_10
105D5D45,u110101_10
105DB7FF,u070201_10
105E0C68,u050901_10
1071867B,u117401_10
107D014B,u117401_10
10835FE9,u117401_10
108BBDA0,u050701_10
109525F3,u117401_10
109EFDA5,u030901_10
10A0EEAE,u115101_10
10A3AB61,u117401_10
10ACD5FA,u050701_10
10CB2F4F,u040601_10
10D6024E,u117401_10
10E1466A,u117401_10
10F9885D,u117401_10
11021263,u021401_10
11094578,u040601_10
11146879,u117401_10
11232C5D,u117401_10
113BE26A,u117401_10
114135DE,u117401_10
114F13CA,u010101_10
11574FC4,u117401_10
115C9792,u030901_10
1161C156,u117401_10
1162E3D9,u021201_10
116D343D,u010101_10
11878E9D,u020701_10
118C56CB,u117401_10
118CD986,u010201_10
118E35C5,u117401_10
119C665F,u050901_10
119E2DAB,u020201_10
119F3772,u110101_10
11A6320A,u115101_10
11B0A983,u115101_10
11B36301,u060601_10
11B3EC4C,u117401_10
11CF124C,u117201_10
11D40EAE,u020201_10
11F0CBF1,u020501_10
11FB13A7,u031601_10
12035AF3,u020301_10
12080DE8,u040701_10
120882A5,u117401_10
120AE1AB,u117401_10
121A6EDF,u111101_10
122A9A6E,u032201_10
12373822,u117401_10
1237B76F,u060401_10
1262EAC8,u117401_10
12741F9F,u020401_10
127FC7C9,u031501_10
128CE95A,u050701_10
1290BC17,u117401_10
129DCFA7,u010101_10
12A7F833,u117401_10
12B74634,u011001_10
12BF3604,u117401_10
12CB22C3,u117401_10
12D010F2,u042001_10
12D843FC,u117401_10
12DDC06A,u051201_10
12E51538,u117401_10
12FFDB3B,u115101_10
1311F19D,u117401_10
131A29CB,u031101_10
13277F0F,u117401_10
1348F02E,u050101_10
1352D620,u117401_10
13659204,u117401_10
1376EEC9,u030101_10
137D5C33,u117401_10
139227ED,u010101_10
13B675A8,u020401_10
13BD22B3,u041901_10
13BE3226,u112101_10
13C88B9C,u117401_10
13CAE892,u117401_10
13E10190,u111401_10
13E6AD11,u081001_10
13EF9C16,u115101_10
13F55215,u117401_10
140C5169,u040101_10
14138117,u030801_10
14185941,u117401_10
141C85B0,u010501_10
142580C8,u070301_10
142ED7D3,u117401_10
1433FAD2,u117401_10
14435CBC,u115101_10
14510A34,u081201_10
14583B33,u115101_10
145B7EFC,u117401_10
1466A775,u117401_10
146C3AD8,u117401_10
146FA3CD,u111301_10
1474F4EF,u117401_10
147A59C4,u115101_10
14862D7D,u051601_10
148A1629,u115101_10
14A9A76E,u010501_10
14B48A6F,u041701_10
14BFDD74,u020101_10
14C12340,u117401_10
14C2504D,u050701_10
14C3404E,u117401_10
14D61CA1,u117401_10
14DB8E79,u117401_10
14EA80D3,u117401_10
14FCFAC9,u117401_10
1501A534,u041001_10
15034977,u117401_10
150AF22F,u021201_10
1513C603,u111101_10
15147696,u117401_10
1519E44E,u117401_10
1528EAE4,u117401_10
153E1FB3,u060701_10
153E90FE,u117401_10
1544474A,u051601_10
15531B91,u115101_10
156931B1,u020801_10
156BCD59,u010501_10
1576E058,u041701_10
157DB743,u020101_10
158B5ACD,u117401_10
15936003,u081201_10
159914CB,u117401_10
159A5104,u115101_10
15A4CD42,u117401_10
15A6E6DA,u117401_10
15AE50EF,u117401_10
15B69ED8,u117401_10
15D1EB20,u030801_10
15DA3376,u117401_10
15E7EAFF,u070301_10
15ECBDE4,u117401_10
15F03954,u020201_10
15F190E5,u117401_10
160062E9,u117401_10
16070EA6,u115101_10
16114795,u021001_10
1611952F,u110601_10
161DC0A5,u117401_10
1620192C,u042201_20
162A8481,u117401_10
16324AB6,u117401_10
1648124F,u061301_10
16553F4E,u030701_10
165BB62A,u071701_10
165EE718,u117401_10
1665D364,u080901_10
1668698A,u117401_10
1678B569,u115101_10
1685FE17,u117401_10
16879D19,u117401_10
16A585D2,u117401_10
16B38033,u010101_10
16BA4490,u117401_10
16BACBDD,u060801_10
16F23436,u041801_10
16F9632D,u020201_10
1717498B,u115101_10
17305E01,u041801_10
173B091A,u020201_10
1745F72E,u117401_10
17479420,u117401_10
1767EFE5,u117401_10
17782EA7,u117401_10
178A7878,u061301_10
17975579,u030701_10
1799DC1D,u071701_10
179C8D2F,u117401_10
17A0D965,u071601_10
17AA03BD,u117401_10
17B5C2FF,u040301_10
17C208DE,u117401_10
17D3FF18,u110601_10
17D45399,u080201_10
17DFAA92,u117401_10
17E2731B,u045301_10
17E8EEB6,u117401_10
17ED56E1,u080701_10
17F02081,u117401_10
1803A472,u111801_10
180BFD66,u050701_10
18133351,u117401_10
1813BC1C,u040201_10
1839D539,u117401_10
184102B9,u115101_10
18466EF6,u031201_10
185B43F7,u061101_10
185BCCBA,u117401_10
18661533,u117401_10
1883F340,u117401_10
1885B42A,u110701_10
18904E23,u112501_10
18B4B764,u031901_10
18B6D46A,u117401_10
18BB1DD3,u080601_10
18BF6F32,u117401_10
18EC946C,u115101_10
18FC488F,u010201_10
18FEC374,u010101_10
192EFE5B,u115101_10
193E22B8,u010201_10
19419977,u117401_10
19514594,u115101_10
1974BE5D,u117401_10
197977E4,u080601_10
197D0505,u117401_10
198404C1,u031201_10
199929C0,u061101_10
1999A68D,u117401_10
19A47F04,u117401_10
19A53AFF,u010101_10
19A69347,u020201_10
19B152F0,u112201_10
19B62C9E,u050601_10
19C99751,u050701_10
19D15966,u117401_10
19D1D62B,u040201_10
19FBBF0E,u117401_10
1A1D72E3,u117401_10
1A1E372C,u115101_10
1A20AB6A,u117401_10
1A224729,u010901_10
1A291032,u021701_10
1A35869E,u112201_10
1A3D866B,u117401_10
1A550245,u040501_10
1A558D08,u117401_10
1AA7DBD7,u041101_10
1AA952C4,u050101_10
1AAC8CCC,u020801_10
1AB1A1CD,u070201_10
1ABA799B,u117401_10
1ABAF6D6,u010101_10
1AC02162,u051101_10
1AC0B949,u031401_10
1AC52B31,u081301_10
1AC54D19,u117401_10
1ACB4E47,u020401_10
1AD011F6,u117401_10
1AEFAB71,u117401_10
1AF06A33,u117401_10
1AF9D16B,u117401_10
1B024B55,u051101_10
1B07272E,u117401_10
1B074106,u081301_10
1B0E7001,u115101_10
1B127BC1,u117401_10
1B2DC146,u117401_10
1B30630A,u032301_10
1B320004,u117401_10
1B39E8FF,u111201_10
1B3BBB5C,u117401_10
1B4B18EC,u110101_10
1B51A537,u110101_10
1B6EE6FB,u020801_10
1B73CBFA,u070201_10
1B789CE1,u010101_10
1B81D74A,u050701_10
1B976872,u040501_10
1B97E73F,u117401_10
1BDF18D4,u117401_10
1BE2C15D,u117401_10
1BFFEC5C,u117401_10
1C0208C2,u081501_10
1C0E8FF2,u117401_10
1C100B4B,u021801_20
1C24E6D7,u060901_10
1C321380,u117401_10
1C36A471,u050101_10
1C39CBD6,u031301_10
1C3BA8D8,u117401_10
1C4284C2,u117401_10
1C71343D,u010301_10
1C794EF4,u112501_10
1C8E4FDA,u111001_10
1C9E4FE3,u117401_10
1C9EC0AE,u040901_10
1CB0E623,u081101_10
1CB9D724,u115101_10
1CD63F45,u061201_10
1CD6B008,u117401_10
1CDEC1E6,u117401_10
1CEA2C7A,u117401_10
1CEB6981,u117401_10
1D025A57,u010101_10
1D14DA3F,u117401_10
1D1CABD1,u117401_10
1D20B8EE,u021501_10
1D2903B6,u117401_10
1D4C25ED,u111001_10
1D4D3F34,u010201_10
1D5C25D4,u117401_10
1D5CAA99,u117401_10
1D728C14,u081101_10
1D852AEA,u010101_10
1DA99009,u115101_10
1DB35E0A,u010301_10
1DBB24C3,u112501_10
1DC062F5,u117401_10
1DC1EF36,u080601_10
1DCCE5C5,u117401_10
1DCF6E5D,u050701_10
1DF079B7,u117401_10
1DF9C2EF,u117401_10
1E0A53ED,u117401_10
1E15FC8A,u040101_10
1E16EDA2,u050601_10
1E180077,u010201_10
1E186ADB,u020901_10
1E34CFAB,u115101_10
1E378A64,u010401_10
1E4831AB,u117401_10
1E5F0E4A,u117401_10
1E74ADD9,u117401_10
1E7D1681,u117401_10
1E82459C,u011001_10
1E86744B,u117401_10
1E900E51,u117401_10
1E987FBF,u117401_10
1E99597E,u115101_10
1EA46C80,u021401_10
1EAC9223,u117401_10
1EADD7D8,u117401_10
1EAF3B9B,u041501_10
1EBF8442,u050401_10
1EC03F8D,u050601_10
1EC553F6,u117401_10
1ED87EF7,u040101_10
1ED8F1BA,u117401_10
1EE6E2B1,u115101_10
1EEA41CE,u060301_10
1EEAD9E5,u117401_10
1EF07938,u110501_10
1F0255BA,u040101_10
1F0739C1,u117401_10
1F0A0CAE,u111801_10
1F0CBAF6,u080401_10
1F1A14C0,u040101_10
1F1A9B8D,u117401_10
1F248886,u115101_10
1F28B3D2,u117401_10
1F32130F,u110501_10
1F441E7C,u117401_10
1F526466,u117401_10
1F5A1588,u117401_10
1F6EF814,u117401_10
1F6FBDEF,u117401_10
1F7E2CB6,u041501_10
1F86DCAC,u117401_10
1F8A5B9C,u117401_10
1F9D647D,u117401_10
1FB2701F,u050101_10
1FB6C7EE,u117401_10
1FBD1FB8,u031401_10
1FBF7CB6,u117401_10
1FC839DA,u117401_10
1FEDC213,u115101_10
1FF5E053,u010401_10
20015AA0,u117401_10
201CF8EC,u032201_10
202C0C5D,u111101_10
202D1684,u110901_10
203C8329,u117401_10
204217B1,u051301_10
20427D1D,u020401_10
2049A54B,u031501_10
204BC645,u117401_10
2054884A,u117401_10
206065D6,u117401_10
20895486,u117401_10
20919AB1,u117401_10
20996412,u117401_10
209B996D,u011001_10
20A6DE95,u117401_10
20AE2036,u117401_10
20B91FD7,u117401_10
20C9B9B9,u115101_10
20D377BA,u117401_10
20E5F928,u117401_10
20EE217E,u031101_10
21111D8D,u117401_10
2127931F,u117401_10
212C4B49,u031101_10
214B3EB1,u117401_10
2150D673,u117401_10
2153F086,u117401_10
215B0E25,u117401_10
2164B4A2,u117401_10
216C4A01,u117401_10
217B75E0,u117401_10
2180172A,u020401_10
2189AC72,u117401_10
218B4031,u041901_10
219A985B,u010201_10
21A20FE1,u117401_10
21A4456F,u010101_10
21C33097,u117401_10
21C3BFDA,u060401_10
21D0CF93,u081001_10
21D9FE94,u115101_10
21DE92DB,u032201_10
21EE666A,u111101_10
21FEE91E,u117401_10
2204C344,u020501_10
220D781C,u117401_10
220F945F,u042001_10
2220061B,u020201_10
22476BB4,u060601_10
2247E4F9,u117401_10
224B63C9,u117401_10
22523ABF,u115101_10
22686EEA,u050901_10
226A251E,u020201_10
226C9346,u080501_10
227A3D70,u117401_10
228DEBA3,u115101_10
2295C9E3,u117401_10
229AB778,u050701_10
22A34771,u117401_10
22A89F27,u030901_10
22B53D6B,u117401_10
22CFEADF,u117401_10
22D4021D,u020601_10
22D724E8,u117401_10
22E060CC,u117401_10
22E89E6F,u117401_10
22F7699C,u041701_10
22FD4DCD,u040601_10
230D80E8,u117401_10
23154EDF,u117401_10
231DB07C,u032101_10
23220AFB,u117401_10
232AF458,u117401_10
233470E1,u021501_10
233F27FA,u040601_10
2354815B,u021201_10
2357A3D4,u117401_10
2358DD4F,u050701_10
23612D46,u117401_10
2364D78D,u110101_10
236AF510,u030901_10
2377575C,u117401_10
23858ECE,u117401_10
2386CB01,u115101_10
23905088,u115101_10
239DAC8E,u115101_10
23AA04DD,u050901_10
23B85747,u117401_10
23C6A973,u020501_10
23CD7125,u031601_10
23CE58E4,u040301_10
23CF122B,u117401_10
23DC2602,u010101_10
23E26C2C,u020201_10
23F970CE,u117201_10
23FA933B,u112101_10
24042834,u117401_10
24167BAE,u042201_20
241CE603,u117401_10
24235C84,u117401_10
24272517,u021001_10
242BA227,u117401_10
24316C24,u115101_10
2436006B,u117401_10
24490C3D,u080901_10
244ED7EB,u115101_10
245E0B08,u117401_10
24635DCC,u030701_10
2468859A,u117401_10
246DD4A8,u071701_10
247E70CD,u061301_10
2484F568,u071001_10
248C2612,u117401_10
248CA95F,u060801_10
248EB5AA,u070201_10
24B1FF9B,u117401_10
24C6BAF7,u117401_10
24CF01AF,u020201_10
24DFD4DA,u040101_10
24F07F94,u030101_10
2504D0C0,u117401_10
25063C83,u041801_10
250D6B98,u020201_10
25212B09,u115101_10
2522046A,u061701_10
252A4AD0,u050701_10
254E4C25,u117401_10
254EC368,u060801_10
25638DC2,u020201_10
257395AC,u117401_10
259C613F,u117401_10
25A137FB,u030701_10
25AAEFAD,u117401_10
25AFBE9F,u071701_10
25C64203,u117401_10
25D41199,u045301_10
25D6FDDA,u045601_10
25DB3463,u080701_10
25DDAAC1,u020901_10
25DE8C34,u117401_10
25E136B3,u117401_10
25E59D9A,u110601_10
25E9C810,u117401_10
25F46A5C,u117401_10
26059850,u117401_10
260C33A3,u010201_10
260F257E,u030101_10
2613E24A,u070301_10
2618B551,u117401_10
26208E30,u040101_10
2625E395,u030801_10
262E3BC3,u117401_10
2642966D,u117401_10
2650C5F7,u117401_10
265229B4,u011101_10
26597EAF,u021301_10
2659C14F,u111301_10
265A585A,u117401_10
2665E2DD,u117401_10
266768B6,u081201_10
2669E9F2,u110101_10
266D1C7E,u117401_10
266E59B1,u115101_10
268004AE,u117401_10
2682E8ED,u041701_10
2689BFF6,u020101_10
269FC5EC,u010501_10
26A07F6B,u030601_10
26BC74AB,u115101_10
26CA1706,u060701_10
26CA984B,u117401_10
26DCE251,u117401_10
26E07E23,u117401_10
26F741C2,u117401_10
27087D31,u060701_10
2708F27C,u117401_10
271E8866,u117401_10
27221414,u117401_10
27317A44,u041001_10
27352BF5,u117401_10
27426E99,u117401_10
274BD5C1,u020101_10
2755AF2E,u112301_10
277225C8,u051601_10
2772BDE3,u050401_10
277E1E9C,u115101_10
2780FC5A,u117401_10
2792AFC0,u117401_10
2798326D,u117401_10
27A3F179,u117401_10
27A50281,u081201_10
27A788EA,u117401_10
27AC3386,u115101_10
27AF7649,u117401_10
27C7F267,u117401_10
27D1887D,u070301_10
27E789A2,u030801_10
27EC51F4,u117401_10
280BE4E9,u117401_10
2816C9E8,u117401_10
282B1061,u117401_10
28333221,u115101_10
28618C84,u117401_10
286360C7,u040501_10
2863EF8A,u117401_10
28685D70,u050201_10
2873EFB3,u111001_10
2887C34F,u070201_10
288C1B19,u011101_10
288C9454,u010101_10
2891B955,u041101_10
289AEE4E,u020801_10
28B32ED3,u117401_10
28B8F685,u117401_10
28C46BBF,u032301_10
28CDE04A,u111201_10
28CFB3E9,u117401_10
28D9C9F3,u117401_10
28E11F3B,u115101_10
28F32F9B,u117401_10
28F349B3,u081301_10
28F643E0,u051101_10
29060188,u032301_10
29068165,u051101_10
290DD9DE,u117401_10
290F8A7D,u111201_10
291BA3C4,u117401_10
2923750C,u115101_10
29312384,u081301_10
293145AC,u117401_10
293429D7,u051101_10
2934B1FC,u030401_10
29381283,u115101_10
2945A978,u070201_10
29588479,u020801_10
2967C7B5,u110101_10
297A9CB2,u117401_10
297CAC00,u010201_10
29A10AF0,u040501_10
29A185BD,u117401_10
29A3E6B3,u117401_10
29A9C77C,u115101_10
29C98EDE,u010101_10
29D4A3DF,u117401_10
29E97A56,u117401_10
29EA3F99,u115101_10
2A0FB7BB,u117401_10
2A2551D3,u117401_10
2A25DE9E,u040201_10
2A2732DD,u117401_10
2A300D3C,u117401_10
2A3D9FE4,u050701_10
2A42242B,u050601_10
2A5077B1,u117401_10
2A6D2175,u061101_10
2A6DAE38,u117401_10
2A700C74,u031201_10
2A77603B,u115101_10
2A82D5E6,u031901_10
2A890DB0,u117401_10
2A8D7F51,u080601_10
2A924FC4,u040101_10
2AA62CA1,u112101_10
2AA7A162,u115101_10
2AB3D6A8,u110701_10
2AB47A29,u080301_10
2AB591C2,u117401_10
2AC0F0D5,u010101_10
2AC7D279,u021501_10
2AD5EB4F,u117401_10
2ADAF6EE,u115101_10
2AFE48DC,u117401_10
2B08403A,u010201_10
2B178178,u117401_10
2B189CD9,u115101_10
2B37FABD,u030301_10
2B3C22EB,u117401_10
2B40BFD1,u031901_10
2B4B6787,u117401_10
2B4F1566,u080601_10
2B644696,u117401_10
2B65CB55,u115101_10
2B672716,u115101_10
2B71BC9F,u110701_10
2B77FBF5,u117401_10
2B804E1C,u050601_10
2B921D86,u117401_10
2BAF4B42,u061101_10
2BAFC40F,u117401_10
2BB26643,u031201_10
2BCDDD8C,u117401_10
2BCFB366,u110501_10
2BE558EA,u117401_10
2BE73BE4,u117401_10
2BE7B4A9,u040201_10
2BF2670B,u117401_10
2C01E8E6,u010401_10
2C2774C0,u050701_10
2C2F3A7A,u110301_10
2C358A37,u117401_10
2C3C316F,u117401_10
2C3E5261,u030501_10
2C42CF5B,u117401_10
2C49170D,u031401_10
2C696CC8,u117401_10
2C6C6389,u115101_10
2C72D419,u117401_10
2C7E5329,u117401_10
2C89E6C0,u050401_10
2C9AF0A1,u117401_10
2C9BB55A,u117401_10
2CA317ED,u010101_10
2CA66CD3,u117401_10
2CAF3BFC,u115101_10
2CB016C9,u117401_10
2CB4271E,u011001_10
2CC61BBA,u110501_10
2CCA249C,u061501_10
2CD08033,u115101_10
2CDCBB67,u117401_10
2CECF036,u117401_10
2CEE1C75,u040101_10
2CEE9338,u117401_10
2CF33174,u117401_10
2CFE041B,u111801_10
2D12EA04,u115101_10
2D1E497B,u117401_10
2D1ED150,u117401_10
2D2C7642,u040101_10
2D2CF90F,u117401_10
2D2E9A01,u117401_10
2D315B43,u117401_10
2D343738,u040101_10
2D3AD874,u080401_10
2D3C6E2C,u111801_10
2D3CA337,u020201_10
2D3D9E4F,u070301_10
2D4B8CF7,u050401_10
2D589A96,u020801_10
2D59DF6D,u117401_10
2D6406E4,u117401_10
2D727CFE,u117401_10
2D80A56C,u117401_10
2D8B7D3A,u031401_10
2D9EAF46,u050101_10
2DAB06FF,u117401_10
2DAE09BE,u115101_10
2DB0BE2E,u117401_10
2DBC391E,u117401_10
2DC0C71E,u115101_10
2DCF05E1,u030101_10
2DEC08C2,u051401_10
2DF5F631,u010201_10
