# El giro del anillo del arbol (0x38AFC2B8) de cada personaje, leido de los
# jugadores que hizo el juego en una partida (NOTAS O-195). Es fijo por
# personaje: el editor lo usa al girar el anillo. Lo genera
# herramientas/construir_anillos.py <partida>.
identidad,chara_base_id,diamante,rama,giro,muestras,discrepan
09B7E4BB,-1606161719,0,0,6,1,0
09CD330F,-1606861443,0,0,6,1,0
09D01E0E,-1608249220,0,0,7,1,0
09FA772B,-1609664167,0,0,7,1,0
0A01188A,-1544218888,0,0,6,1,0
0A0AC0DC,-1543582034,0,0,6,1,0
0A49E761,-1547835117,0,0,6,1,0
0AA613F2,-1554899584,0,0,7,1,0
0AAB7861,801870510,1,0,7,1,0
0AAD44E9,-1554429285,0,0,7,1,0
0AC335A9,-1556661285,0,0,8,1,0
0AD3BADD,-1557678929,0,0,7,1,0
0AF3C118,-1559769238,0,0,7,1,0
0AFA30D1,-1559347549,0,0,6,1,0
0B015F9E,-1560981012,0,0,6,4,0
0B11D0EA,-1561993576,0,0,1,1,0
0B133CA9,-1561906469,0,0,1,1,0
0B13B3E4,-1561870954,0,0,6,1,0
0B186BB2,-1561565760,0,0,7,1,0
0B6F2EDE,-1566891860,0,0,7,1,0
0B8B8D56,-1568701660,0,0,7,1,0
0C11C36E,-1511666404,0,0,7,1,0
0C1A9475,-1511089657,0,0,6,1,0
0C25A1BF,-1512984627,0,0,7,1,0
0C33DBA5,-1513630249,0,0,4,1,0
0C6DD119,-1516642453,0,0,8,1,0
0C70FC18,-1518013846,0,0,1,1,0
0CADAF99,-1520852501,0,0,8,1,0
0CB561AE,-1522438180,0,0,6,1,0
0CBFFC03,-1521749391,0,0,7,1,0
0CC10237,-1523250107,0,0,8,1,0
0CEAA1A4,-1524715562,0,0,1,1,0
0CF78CA5,-1526496553,0,0,7,1,0
0CFCDBBE,-1526147636,0,0,7,2,0
0D036800,-1527290254,0,0,8,1,0
0D08B056,-1526940124,0,0,8,1,0
0D28CB93,-1529035295,0,0,1,1,0
0D404FBD,-1531690545,0,0,6,1,0
0D74928C,-1535075074,0,0,8,1,0
0D770B99,-1534917141,0,0,7,1,0
0D7D9634,-1534486458,0,0,4,1,0
0DA4EC35,-1538203065,0,0,7,1,0
0DAFBB2E,-1537493668,0,0,7,1,0
0DB2962F,-1538877347,0,0,6,1,0
0DD8710F,-1540587651,0,0,1,1,0
0DDA1201,-1540481933,0,0,6,1,0
0E2B6F40,-1478532814,0,0,7,1,0
0E5CA561,-1482118381,0,0,1,1,0
0E5EC66F,-1481979875,0,0,6,1,0
0E7CDEA4,-1484205866,0,0,7,1,0
0E87BC6E,-1485589988,0,0,8,1,0
0E8C6438,-1485280694,0,0,7,1,0
0EAEF3BE,-1487209012,0,0,7,1,0
0EB132FC,-1488634738,0,0,8,1,0
0EC8CE59,-1489190869,0,0,6,1,0
0EF3DFF7,-1492659835,0,0,7,1,0
0F06F1E4,-1494024298,0,0,8,1,0
0F1B53A8,-1494262310,0,0,7,1,0
0F297BF7,-1495435899,0,0,6,1,0
0F45D659,-1498294229,0,0,7,1,0
0F7358CB,-1501079879,0,0,7,1,0
0F9E401B,-1502982551,0,0,1,1,0
0FE2526C,-1508484066,0,0,1,1,0
1032A1C6,-1178161228,0,0,7,1,0
1039F6DD,-1177683793,0,0,6,1,0
105C479C,-1180153362,0,0,8,1,0
105E0C68,-1180040678,0,0,7,2,0
10A3AB61,-1185438445,0,0,7,1,0
10ACD5FA,-1185358968,0,0,7,1,0
10CB2F4F,-1187045059,0,0,1,1,0
10D6024E,-1188950980,0,0,1,1,0
11021263,-1191830511,0,0,7,1,0
11232C5D,-1193860561,0,0,7,1,0
113BE26A,-1194333160,0,0,7,1,0
11574FC4,-1197260362,0,0,6,1,0
11878E9D,-1200389905,0,0,1,1,0
118C56CB,-1200072519,0,0,1,1,0
118CD986,-1200039948,0,0,7,1,0
118E35C5,-1199948873,0,0,7,1,0
119C665F,-1201117139,0,0,1,1,0
119F3772,-1200932608,0,0,4,1,0
11B3EC4C,-1203248578,0,0,7,1,0
11F0CBF1,-1207646845,0,0,1,1,0
12035AF3,-1141418879,0,0,1,1,0
12080DE8,-1141111910,0,0,6,1,0
120882A5,-1141076777,0,0,1,1,0
121A6EDF,-1142005587,0,0,6,1,0
12373822,-1144834480,0,0,1,1,0
1290BC17,-1151028635,0,0,6,1,0
12A7F833,-1152125375,0,0,8,1,0
12B74634,936881403,1,0,7,1,0
12BF3604,-1152698250,0,0,6,1,0
12E51538,-1156506806,0,0,1,1,0
1311F19D,-1159331857,0,0,6,1,0
131A29CB,-1158797383,0,0,8,1,0
13659204,-1164862346,0,0,1,1,0
137D5C33,-1165405631,0,0,1,1,0
13BD22B3,-1169609535,0,0,8,1,0
13C88B9C,-1170438674,0,0,6,1,0
13CAE892,-1170282784,0,0,6,1,0
13E10190,-1173024798,0,0,7,1,0
14185941,-1108584653,0,0,8,1,0
142580C8,-1110339910,0,0,7,4,0
142580C8,-1110339910,0,1,1,4,0
145B7EFC,-1112575858,0,0,8,1,0
146FA3CD,-1113870913,0,0,8,1,0
1474F4EF,-1115620707,0,0,7,1,0
14A9A76E,-1117935332,0,0,8,1,0
14B48A6F,-1119845347,0,0,7,1,0
14BFDD74,-1119104250,0,0,6,1,0
14C12340,-1120588494,0,0,6,1,0
14C3404E,-1120448964,0,0,7,1,0
14DB8E79,-1120960501,0,0,7,1,0
14EA80D3,-1122070879,0,0,8,1,0
14FCFAC9,-1123486533,0,0,7,1,0
1501A534,-1124750522,0,0,1,1,0
1501A534,-1124750522,0,1,5,1,0
150AF22F,-1124139939,0,0,8,1,0
15147696,-1126139676,0,0,7,1,0
1544474A,-1129297608,0,0,7,2,0
156BCD59,-1130380501,0,0,7,1,0
157DB743,-1131824847,0,0,8,1,0
15A4CD42,-1135557840,0,0,7,1,0
15ECBDE4,-1139231850,0,0,4,1,0
1611952F,-1075471523,0,0,4,1,0
161DC0A5,-1075196201,0,0,7,1,0
162A8481,-1075934477,0,0,1,1,0
1648124F,-1078191043,0,0,1,1,0
1648124F,-1078191043,1,0,6,2,0
1668698A,-1080268808,0,0,8,1,0
1685FE17,-1083051931,0,0,1,1,0
16879D19,-1082944661,0,0,6,1,0
16BA4490,-1085388062,0,0,7,1,0
16F23436,-1090110908,0,0,7,1,0
16F9632D,-1089639073,0,0,7,1,0
173B091A,-1093728408,0,0,6,1,0
1745F72E,-1095632548,0,0,8,1,0
17975579,-1100784885,0,0,8,1,0
17AA03BD,-1101132337,0,0,1,1,0
17D3FF18,-1104678550,0,0,1,1,0
17DFAA92,-1104436000,0,0,7,1,0
17E8EEB6,-1105403708,0,0,7,1,0
17ED56E1,-1105635181,0,0,7,2,0
17F02081,-1107022093,0,0,7,1,0
18133351,-1310245597,0,0,8,1,0
1839D539,-1311909045,0,0,1,1,0
18466EF6,-1313709948,0,0,7,1,0
185BCCBA,-1313881400,0,0,1,1,0
18661533,-1315824831,0,0,1,1,0
1883F340,-1317536462,0,0,8,1,0
1885B42A,-1317946792,0,0,6,1,0
18904E23,-1318829999,0,0,6,7,0
18904E23,-1318829999,0,1,8,2,0
18B4B764,-1321158378,0,0,7,3,0
18FC488F,-1324857603,0,0,7,1,0
193E22B8,-1328927542,0,0,7,1,0
197D0505,-1333195913,0,0,7,1,0
198404C1,-1334834509,0,0,7,1,0
19A47F04,-1336905354,0,0,6,1,0
19A53AFF,-1336855411,0,0,6,2,0
19A69347,-1336763083,0,0,6,1,0
19B62C9E,-1337842964,0,0,1,1,0
19D15966,-1339730156,0,0,7,1,0
19D1D62B,-1339697063,0,0,1,1,0
1A20AB6A,-1277909736,0,0,8,1,0
1A224729,-1277802149,0,0,6,1,0
1A291032,-1277354432,0,0,6,1,0
1A558D08,-1281260678,0,0,8,1,0
1A957CC5,-1285459273,0,0,7,1,0
1AA7DBD7,-1286351451,0,0,7,1,0
1AAC8CCC,-1286044994,0,0,7,1,0
1AAC8CCC,-1286044994,0,1,5,1,0
1ABA799B,-1286703127,1,0,6,2,0
1ABAF6D6,-1286670172,0,0,1,1,0
1AC02162,-1288425712,0,0,7,1,0
1AC0B949,-1288390853,0,0,6,1,0
1AC54D19,-1288617109,0,0,1,1,0
1AD011F6,-1289478268,0,0,6,2,0
1AF9D16B,-1290936551,0,0,8,2,0
1B127BC1,-1293519437,0,0,7,1,0
1B30630A,-1295749768,0,0,7,1,0
1B320004,-1295643018,0,0,7,1,0
1B6EE6FB,-1298470775,0,0,7,2,0
1B789CE1,-1299410285,0,0,8,1,0
1BE2C15D,-1307128017,0,0,6,1,0
1C100B4B,-1243347655,0,0,8,1,0
1C39CBD6,-1244805724,0,0,1,1,0
1C71343D,-1249559985,0,0,1,1,0
1C794EF4,-1249034106,0,0,4,5,0
1C8E4FDA,-1250279000,0,0,7,2,0
1C9E4FE3,-1251327599,0,0,6,1,0
1CEA2C7A,-1256316408,0,0,1,1,0
1D20B8EE,-1261128036,0,0,7,1,0
1D2903B6,-1260581436,0,0,1,1,0
1D4C25ED,-1262998625,0,0,6,1,0
1D4D3F34,-1262931642,0,0,6,1,0
1D5C25D4,-1264047194,0,0,1,1,0
1D5CAA99,-1264016149,0,0,1,1,0
1DBB24C3,-1269880143,0,0,6,1,0
1DCCE5C5,-1271338057,0,0,7,1,0
1DF9C2EF,-1274164067,0,0,6,1,0
1E0A53ED,-1208066657,0,0,7,1,0
1E180077,-1209266683,0,0,6,4,0
1E378A64,-1211923434,0,0,7,1,0
1E4831AB,-1212399655,0,0,6,1,0
1E82459C,-1216984082,0,0,7,7,0
1E86744B,-1217234375,0,0,8,1,0
1E900E51,-1218183133,0,0,7,1,0
1EA46C80,-1219468558,0,0,1,1,0
1EADD7D8,-1218848342,0,0,8,1,0
1EAF3B9B,-1218759191,0,0,7,1,0
1EBF8442,-1219786192,0,0,7,1,0
1EC553F6,-1221501564,0,0,6,1,0
1ED87EF7,-1221824379,0,0,7,1,0
1ED8F1BA,-1221787704,0,0,8,1,0
1EEAD9E5,-1222715497,0,0,6,1,0
1EF07938,-1224444086,0,0,7,1,0
1F0A0CAE,-1224867108,0,0,7,1,0
1F1A14C0,-1225909582,0,0,8,1,0
1F32130F,-1228530307,0,0,7,1,0
1F441E7C,-1229975538,0,0,7,1,0
1F6FBDEF,-1231309923,0,0,7,1,0
1F8A5B9C,-1233234450,0,0,8,1,0
1F9D647D,-1234605553,0,0,7,1,0
1FB6C7EE,-1237136996,0,0,6,1,0
1FBD1FB8,-1236725302,0,0,6,1,0
1FF5E053,-1241387487,0,0,7,1,0
20015AA0,-1980410670,0,0,7,1,0
202C0C5D,-1982332369,0,0,8,1,0
202D1684,-1982261002,0,0,1,1,0
203C8329,-1983345317,0,0,1,1,0
20427D1D,-1984531601,0,0,7,1,0
204BC645,-1983920073,0,0,1,1,0
206065D6,-1986761820,0,0,8,1,0
20919AB1,-1989831485,0,0,7,1,0
20996412,-1989318048,0,0,6,1,0
20A6DE95,-1991061273,0,0,7,1,0
20E5F928,-1995311270,0,0,1,1,0
20EE217E,-1994772724,0,0,8,1,0
21111D8D,-1998253057,0,0,6,1,0
214B3EB1,-2000736061,0,0,8,1,0
2150D673,-2002462719,0,0,7,1,0
216C4A01,-2003286925,0,0,7,1,0
218B4031,-2004922813,0,0,7,1,0
21A20FE1,-2007629421,0,0,7,1,0
21C33097,-2009645339,0,0,7,1,0
21EE666A,-2011535336,0,0,7,1,0
2204C344,-1947153098,0,0,1,1,0
220D781C,-1946585490,0,0,7,1,0
220F945F,-1946445267,0,0,1,1,0
2220061B,-1949038487,0,0,1,2,0
22523ABF,-1952041779,0,0,1,1,0
22686EEA,-1952685928,0,0,1,1,0
226A251E,-1952568468,0,0,7,2,0
226A251E,-1952568468,1,0,6,2,0
227A3D70,-1953615102,0,0,1,1,0
2295C9E3,-1956526191,0,0,1,1,0
229AB778,-1955677942,0,0,6,1,0
22D4021D,-1960833937,0,0,7,1,0
22D724E8,-1960629606,0,0,6,1,0
22E89E6F,-1961062371,0,0,7,1,0
22FD4DCD,-1962327105,0,0,8,1,0
230D80E8,-1963356518,0,0,1,1,0
23220AFB,-1965685623,0,0,8,1,0
233F27FA,-1966397048,0,0,7,1,0
2357A3D4,-1968984666,0,0,1,1,0
2358DD4F,-1968385219,0,0,7,1,0
23612D46,-1969937612,0,0,8,1,0
2377575C,-1971103442,0,0,6,1,0
23905088,-1973133574,0,0,4,1,0
23AA04DD,-1973548369,0,0,7,1,0
23B85747,-1974707915,0,0,1,1,0
23CF122B,-1975837607,0,0,7,1,0
241CE603,-1914115983,0,0,7,1,0
24635DCC,-1919462466,0,0,7,1,0
248C2612,-1921505184,0,0,6,1,0
24B1FF9B,-1924795927,0,0,7,1,0
24C6BAF7,-1926056827,0,0,8,1,0
24CF01AF,-1925509155,0,0,1,1,0
2504D0C0,-1930371406,0,0,6,1,0
25063C83,-1930284303,0,0,7,1,0
25463C15,2545370,1,0,8,2,0
25638DC2,-1936227408,0,0,6,2,0
25A137FB,-1940571767,0,0,7,1,0
25AAEFAD,-1939938849,0,0,6,1,0
25C64203,-1942860687,0,0,6,1,0
25D6FDDA,-1943866456,0,0,7,1,0
25DDAAC1,-1943427917,0,0,6,1,0
25DE8C34,-1943371194,0,0,7,1,0
25E136B3,-1944766271,0,0,1,1,0
25E59D9A,-1945005080,0,0,7,1,0
25F46A5C,-1946131410,0,0,8,1,0
26059850,-1879992798,0,0,1,1,0
2618B551,-1880311005,0,0,6,1,0
26208E30,54551807,1,0,7,1,0
262E3BC3,-1881524815,0,0,8,1,0
2650C5F7,-1885025403,0,0,7,1,0
265229B4,-1884936250,0,0,8,1,0
26597EAF,-1884458787,0,0,8,1,0
2659C14F,-1884434627,0,0,7,1,0
2665E2DD,-1886262097,0,0,7,1,0
268004AE,-1888220452,0,0,7,1,0
2689BFF6,-1887587964,0,0,7,1,0
26A07F6B,-1890291431,0,0,6,1,0
26DCE251,-1893143517,0,0,7,1,0
26E07E23,-1894485935,0,0,4,1,0
2708F27C,-1896023026,0,0,6,1,0
271E8866,-1897232876,0,0,1,1,0
27352BF5,-1899944569,0,0,6,1,0
27426E99,-1900650261,0,0,6,1,0
274BD5C1,-1900029005,0,0,6,1,0
2772BDE3,-1903774831,0,0,6,4,0
2780FC5A,-1904938456,0,0,6,1,0
2792AFC0,-1905876558,0,0,7,1,0
27C7F267,-1909195755,0,0,6,1,0
27D1887D,-1910143473,1,0,7,2,0
27E789A2,-1911322672,0,0,6,1,0
27EC51F4,-1911005306,0,0,6,1,0
2816C9E8,-2115844198,0,0,1,1,0
28618C84,-2120908042,0,0,1,1,0
286360C7,-2120782155,0,0,8,1,0
2873EFB3,-2121801279,0,0,6,2,0
2887C34F,-2123117251,1,0,7,2,0
288C9454,-2122802650,0,0,6,8,0
2891B955,-2124040409,0,0,7,1,0
289AEE4E,-2123440068,0,0,7,1,0
28B8F685,-2125661961,0,0,8,1,0
28C46BBF,-2127534643,0,0,6,1,0
28CFB3E9,-2126791269,0,0,1,1,0
28D9C9F3,-2127706239,0,0,8,1,0
28F32F9B,-2130238999,0,0,7,1,0
28F643E0,-2130555502,0,0,1,1,0
290DD9DE,-2131109972,0,0,1,1,0
291BA3C4,-2131776074,0,0,6,1,0
293429D7,-2134890587,0,0,1,1,0
2934B1FC,-2134851698,0,0,7,1,0
29588479,-2136176117,0,0,7,2,0
29617470,-2137687550,0,0,7,1,0
2967C7B5,201796986,1,0,7,1,0
29A185BD,-2141877297,0,0,6,1,0
29A3E6B3,-2141722431,0,0,6,1,0
29C98EDE,-2143453012,0,0,6,1,0
29E97A56,-2145553372,0,0,1,1,0
2A0FB7BB,-2080654903,0,0,1,1,0
2A2732DD,-2083308369,0,0,6,1,0
2A42242B,-2085213607,0,0,7,1,0
2A6DAE38,-2087083958,0,0,6,1,0
2A700C74,-2088500730,0,0,8,1,0
2A82D5E6,-2089362540,0,0,6,2,0
2A890DB0,-2088959038,0,0,1,1,0
2AB3D6A8,-2092443430,0,0,8,1,0
2AD5EB4F,-2094930627,0,0,7,1,0
2B08403A,-2097394104,0,0,1,3,0
2B3C22EB,-2100810599,0,0,1,1,0
2B40BFD1,-2102087261,0,0,7,3,0
2B4B6787,-2101384715,0,0,6,1,0
2B71BC9F,-2105167123,0,0,7,1,0
2B77FBF5,-2105281145,0,0,1,1,0
2BAF4B42,-2107947728,0,0,7,6,0
2BE558EA,-2112792936,0,0,1,1,0
2BF2670B,-2113508999,0,0,6,1,0
2C01E8E6,-2047482220,0,0,7,1,0
2C3E5261,-2050335725,0,0,6,1,0
2C42CF5B,-2051620567,0,0,4,1,0
2C49170D,-2051204737,0,0,6,1,0
2C7E5329,-2054529701,0,0,7,1,0
2C9AF0A1,-2056323373,0,0,7,1,0
2CC61BBA,-2060315192,0,0,7,1,0
2CECF036,-2061959612,0,0,8,1,0
2CEE1C75,-2061889017,0,0,1,1,0
2CEE9338,-2061853366,0,0,6,1,0
2CF33174,-2063122682,0,0,1,1,0
2D1ED150,-2064982238,0,0,1,1,0
2D2C7642,-2066188240,0,0,7,1,0
2D2CF90F,-2066155651,0,0,6,1,0
2D2E9A01,-2066049933,0,0,6,2,0
2D3C6E2C,-2067242914,0,0,8,1,0
2D589A96,-2069064476,0,0,6,1,0
2D59DF6D,-2068983521,0,0,6,1,0
2D80A56C,-2072728802,0,0,6,1,0
2D8B7D3A,-2072022200,0,0,7,1,0
2D9EAF46,150881673,1,0,8,1,0
2DBC391E,-2075642004,0,0,1,1,0
2DEC08C2,-2078800208,0,0,7,5,0
2DF7E000,-2080117134,0,0,1,1,0
2DFE5B58,-2079697622,0,0,7,1,0
2E047102,-2014281872,0,0,7,1,0
2E1A7B28,192582119,1,0,8,2,0
2E38ED70,-2016615678,0,0,6,1,0
2EA8A22C,-2023969698,0,0,7,1,0
2EAA4E6F,-2023866339,0,0,7,1,0
2EDC4EF8,-2027405174,0,0,8,1,0
2F22B8BD,-2032748849,0,0,6,1,0
2F682458,-2036585942,0,0,6,1,0
2F6A4756,-2036446940,0,0,7,1,0
2F6AC81B,-2036414871,0,0,7,1,0
2F6AC81B,-2036414871,1,0,6,2,0
2F7A476F,-2037495523,0,0,1,2,0
2F853C88,-2039401734,0,0,8,1,0
2F8D4641,-2038872013,0,0,7,1,0
2FB15E59,-2042277845,0,0,7,1,0
2FBA860F,-2041673603,0,0,6,1,0
2FC61B35,-2043538105,0,0,7,1,0
2FCDC363,-2043032303,0,0,8,1,0
2FFA8747,-2045867723,0,0,1,1,0
30009285,-1712022281,0,0,6,1,0
3014BB3C,-1713326770,0,0,6,1,0
301D30C9,-1712767301,0,0,7,1,0
302A74ED,-1713472865,0,0,7,1,0
302F1896,-1713695004,0,0,1,1,0
3055406F,-1717481955,0,0,6,2,0
3055CF22,-1717452464,0,0,7,15,0
3055CF22,-1717452464,0,1,5,2,0
307A4531,-1718727869,0,0,7,1,0
30B8D7F2,-1723016832,0,0,1,1,0
30BA3BB1,-1722927677,0,0,7,1,0
30CF929E,-1724146452,0,0,8,1,0
30F24B17,-1727642267,0,0,7,1,0
310DF8A9,-1728448805,0,0,7,1,0
3123B9D2,339956509,1,0,8,1,0
31302120,-1731973294,0,0,7,2,0
31302120,-1731973294,1,0,8,2,0
3168DEF2,-1734553472,0,0,8,2,0
317ABDC5,-1735478345,0,0,6,1,0
3181DF0F,-1737109123,0,0,7,1,0
318A8814,-1736538522,0,0,6,1,0
3197A515,-1738298521,0,0,6,1,0
31A3C7C4,-1739077194,0,0,6,1,0
31A81F92,-1738796576,0,0,7,1,0
31B82F06,-1739841164,0,0,6,1,0
31D482A8,-1742697254,0,0,7,1,0
31DF5AFE,-1741990772,0,0,6,1,0
31FA2E7A,-1743904760,0,0,6,4,0
320CB039,-1678197173,0,0,7,1,0
3213717B,-1679327479,0,0,1,3,0
322CCBFC,-1680292466,0,0,6,1,0
325B8E90,-1682997022,0,0,7,1,0
326A8DDE,-1684110420,0,0,6,1,0
327F77D7,-1685358171,0,0,7,1,0
32892CC7,-1686297931,0,0,7,1,0
329B7F5D,-1687195345,0,0,1,1,0
32A95702,-1688381072,0,0,7,1,0
32D48227,-1692365739,0,0,8,1,0
32D6ECCD,-1692212545,0,0,7,1,0
32FE69AB,-1693816871,0,0,7,1,0
332B3C7D,-1696648689,0,0,7,1,0
333C039C,-1698165266,0,0,6,1,0
333EEFDF,-1697979987,0,0,6,1,0
334B46F0,-1698740094,0,0,4,1,0
336B3D35,-1700842681,0,0,7,1,0
338C36DB,384621588,1,0,8,1,0
33923CF1,-1704578429,0,0,7,1,0
3399E4A7,-1704072491,0,0,1,1,0
33AEA083,-1705333007,0,0,1,1,0
33CEDA0E,-1707420548,0,0,6,1,0
33D11B4C,-1708845762,0,0,7,10,0
3405E011,-1645089181,0,0,7,1,0
341F40CC,-1645523266,0,0,1,1,0
342A6A02,-1646369680,0,0,1,1,0
3435AB40,-1648253646,0,0,1,1,0
34374703,-1648146063,0,0,7,1,0
3443ABD7,-1648908891,0,0,6,1,0
3450BDB6,-1650150460,0,0,8,1,0
34694DBF,-1650637875,0,0,7,1,0
347F37A5,-1651820073,0,0,1,1,0
349B942D,-1653630369,0,0,7,1,0
34A7085F,-1655503315,0,0,7,1,0
34AA9B59,298480022,1,0,8,2,0
34D8B390,-1658012190,0,0,1,1,0
34E56A19,-1659804565,0,0,1,1,0
34ECD141,-1659314381,0,0,6,1,0
34F73983,-1660733455,0,0,1,1,0
351AD9A7,-1662068779,0,0,6,1,0
35256320,-1663996590,0,0,6,1,0
3527002E,-1663889828,0,0,7,1,0
353553B4,-1665049146,0,0,6,1,0
3552264C,-1666832322,0,0,7,1,0
3559FE1A,-1666322328,0,0,8,1,0
35725D89,-1668918277,0,0,7,1,0
3592D781,-1670981133,0,0,7,1,0
35BD5D92,-1672916000,0,0,7,1,0
35C78A26,-1674345388,0,0,7,1,0
35E5355A,-1676592344,0,0,8,1,0
35F52D34,-1677647034,0,0,6,1,0
35F5A279,-1677612021,0,0,7,1,0
35F7C177,-1677471995,0,0,1,1,0
36045075,-1611637241,0,0,8,1,0
3661762E,-1617594276,0,0,1,2,0
3661762E,-1617594276,1,0,7,2,0
36717617,-1618642843,0,0,7,1,0
3671F95A,-1618610392,0,0,7,1,0
36967700,-1620936334,0,0,6,1,0
369E0DC9,-1620442181,0,0,1,1,0
36A1B74E,-1621771972,0,0,6,1,0
36AA6F18,-1621204630,0,0,7,1,0
36D6F222,-1625097136,0,0,6,1,0
36D8C89C,330834515,1,0,8,1,0
36E1B606,-1625966476,0,0,7,1,0
37149815,-1629448601,0,0,7,1,0
372E4F37,307144184,1,0,8,1,0
3731EC91,-1631198493,0,0,1,4,0
37541D37,-1633676475,0,0,1,3,0
375C67FE,-1633130100,0,0,7,1,0
3768052F,-1633940643,0,0,7,1,0
379A1961,-1636952301,0,0,7,1,0
37A31C19,-1638460821,0,0,4,1,0
37B31C20,-1639509422,0,0,8,1,0
37B3936D,-1639473889,0,0,6,1,0
37C63A42,-1640877008,0,0,7,1,0
37C77FB9,-1640795701,0,0,6,1,0
37CB51D1,313244446,1,0,1,2,0
38377A08,-1849461638,0,0,6,1,0
383CA25E,-1849119700,0,0,1,1,0
38777B40,-1853655758,0,0,1,1,0
38907170,-1855684862,0,0,6,1,0
389B266B,-1854986215,0,0,4,1,0
