# Con que fichero se dibuja la cara de cada personaje.
# cara = 10_icon_chr/face/<cara>_l.png
# Lo genera herramientas/construir_caras.py (NOTAS O-99).
identidad,cara,existe
04A86F4B,c01000530,si
04B2A148,c11702060,si
04D7D484,c01009560,si
04DADE77,c11808080,si
04DB53B4,c11908200,si
04E090A0,c03032160,si
04E2F3AE,c04014780,si
04EB48F6,c02025460,si
04F417C5,c02023380,si
04FDBDA1,c06031810,si
0502906E,c06033300,si
050B3A0A,c02021890,si
0515BEB3,c01009460,si
05209999,c04014680,si
0522FA97,c03032060,si
05262A85,npc2312,no
052922C1,c02025560,si
053FD796,c06031910,si
055C719C,c01000120,si
05627FB5,c11250140,si
056A057C,c01000430,si
05857EA2,c03037740,si
0585F1EF,c04000250,si
05957E9B,c11100030,si
059DB095,c05028240,si
05A2E665,c11714070,si
05ABD762,c08110070,si
05C5F0A7,c06039390,si
05CD8149,c01005310,si
05F058C0,c04013460,si
05F11D3B,c02029210,si
05FC0170,c02024040,si
06012581,c04000050,si
0601AACC,c03037540,si
06113DEF,c11180110,si
06178BB7,c08040070,si
061964FB,c05028040,si
061C0880,c01003920,si
0629224E,c11050030,si
06338293,c05027820,si
063FB9C7,c11731100,si
064124C9,c06039190,si
06495527,c01005110,si
065F2F3D,c02026870,si
06644770,c08120020,si
0666DF34,c05021010,si
06748CAE,c04013660,si
0675C955,c02029010,si
06864400,c06033100,si
0686553C,c04010970,si
06916ADD,c01009660,si
06A44DF7,c04014480,si
06A62EF9,c03032260,si
06ADF6AF,c02025760,si
06D3089B,c04016140,si
06E25622,c11901150,si
06ED94DD,c11727010,si
06EED112,c01000630,si
06F6F352,c11713090,si
07033136,c05024630,si
072CBB25,c01000730,si
073A8B76,c11010012,si
07443F0B,c04010870,si
075300EA,c01009760,si
076444CE,c03032360,si
076627C0,c04014580,si
076F9C98,c02025660,si
0782683F,c11738050,si
07834EFE,c06039090,si
078B3F10,c01005010,si
079974DD,c07080050,si
079D450A,c02026970,si
07A4B503,c05021110,si
07B40ADA,c04002490,si
07B6E699,c04013760,si
07B7A362,c02029110,si
07BF5DC1,c02022480,si
07C34FB6,c04000150,si
07C3C0FB,c03037440,si
07D357D8,c11180010,si
07DB0ECC,c05028140,si
07DE62B7,c01003820,si
07EB4879,c11050130,si
07F1708F,c11806030,si
07F1E8A4,c05027920,si
080538F5,c04003500_5100,no
080F5938,c01003120,si
08127439,c04000850,si
08192322,c02020840,si
0820D32B,c05027020,si
08381D1C,c03038520,si
08492FB7,c07160500,si
0849844E,c11010050,si
084C7E85,c02026070,si
085A049F,c01005910,si
08758E8C,c05021810,si
0879D298,c02021440,si
087AF017,c01010710,si
08840633,c11010190,si
08851CEA,c11190030,si
08928562,c03030050,si
08950484,c04010170,si
0897678A,c03036790,si
0897E8C7,c04001280,si
089CBFDC,c02021290,si
08A85240,c06031310,si
08A8DD0D,c01006600,si
08AB98C2,c11721020,si
08BD034B,c11040110,si
08CF3FEF,c07090070,si
08D4230D,c11728070,si
08DE01D2,spirit_element_wind_chronicle,no
08E022E6,c03034250,si
08EBFAB0,c02023750,si
08F175C1,c01000020,si
0922C79C,c04003640,si
09299087,c02023650,si
09331FF6,c01000120,si
0941C085,c08050050,si
09466C04,c11010090,si
094776DD,c11190130,si
09532D9F,c01001900,si
09550DBD,c03036690,si
09576EB3,c04010070,si
0966300A,c11907060,si
096A3877,c06031210,si
096AB73A,c01006700,si
097F697C,c11040010,si
0985CCE4,c03031470,si
098AA343,c05023300,si
098E14B2,c02026170,si
09986EA8,c01005810,si
09B7E4BB,c05021910,si
09B89A20,c01010610,si
09BBDFEF,c11737030,si
09C752C2,c04003500_5000,no
09CD330F,c01003020,si
09D01E0E,c04000950,si
09E2B91C,c05027120,si
09FA772B,c03038420,si
0A01188A,c03031670,si
0A0AC0DC,c02026370,si
0A287FB9,stairs000001,no
0A3C4E4E,c01010410,si
0A49E761,c01003220,si
0A666D72,c05027320,si
0A7EA345,c03038620,si
0A8916AC,c07010050,si
0AA5CEE8,c05020360_5000,no
0AA613F2,c04003440,si
0AAB7861,c11020010,si
0AAD44E9,c02023450,si
0AC335A9,c11110010,si
0AD1D9D3,c03036490,si
0AD3BADD,c04010270,si
0AEE6354,c01006500,si
0AEEEC19,c06031010,si
0AF3C118,c03032960,si
0AF4AD57,c11704050,si
0AFA30D1,c11140090,si
0AFD9C50,c08100050,si
0B015F9E,c11110110,si
0B11D0EA,c04010370,si
0B133CA9,c04001080,si
0B13B3E4,c03036590,si
0B186BB2,c02021090,si
0B2C0963,c01006400,si
0B2C862E,c06031110,si
0B31AB2F,c03032860,si
0B64F688,c03034050,si
0B6F2EDE,c02023550,si
0B79DB89,c06037920,si
0B823DB1,c11500880,si
0B8A439A,c02023380,si
0B8B8D56,c01003320,si
0BA40745,c05027220,si
0BBCC972,c03038720,si
0BC8AAEB,c02026270,si
0BE4EA7A,c11712040,si
0BFE2479,c01010510,si
0C08F742,c11110510,si
0C0F47D7,c01009860,si
0C11C36E,c02021490,si
0C187836,c04010770,si
0C1A9475,c04001480,si
0C252EF2,c06031510,si
0C25A1BF,c01006000,si
0C33DBA5,c02025960,si
0C482AD0,c11706090,si
0C534D5F,c11732010,si
0C5F760B,c05024930,si
0C668602,c02023150,si
0C6DD119,c04003140,si
0C70FC18,c01000830,si
0C816045,c11724100,si
0C82258A,c01003720,si
0C885142,c08120100,si
0CADAF99,c05027620,si
0CB561AE,c03038320,si
0CBFFC03,c04015050,si
0CC10237,c02026670,si
0CEAA1A4,c04013860,si
0CEAB098,c06030010,si
0CF78CA5,c01010110,si
0CFCDBBE,c07030100,si
0D036800,c02026770,si
0D07B4F1,c07060080,si
0D08B056,c03031270,si
0D176028,c04000080,si
0D28CB93,c04013960,si
0D35E692,c01010010,si
0D38CB66,c08010020,si
0D404FBD,c01003620,si
0D4C419A,c07100020,si
0D586DFD,c11710080,si
0D6FC5AE,c05027720,si
0D74928C,c11130040,si
0D770B99,c03038220,si
0D7D9634,c04015150,si
0D8D3EEA,c02021460,si
0D912768,c11732110,si
0D9D1C3C,c05024830,si
0DA4EC35,c02023050,si
0DAFBB2E,c04003040,si
0DB2962F,c01000930,si
0DC0BF38,c05029590,si
0DCD2DE0,c01009960,si
0DD8710F,c03036090,si
0DDA1201,c04010670,si
0DE744C5,c06031410,si
0DE7CB88,c01006100,si
0DF1B192,c02025860,si
0E0C78CA,c11717060,si
0E20385B,c02023250,si
0E2B6F40,c04003240,si
0E5CA561,c03036290,si
0E5EC66F,c04010470,si
0E631FE6,c01006300,si
0E6390AB,c06031610,si
0E7CDEA4,c04014980,si
0E87BC6E,c02026570,si
0E8C6438,c03031070,si
0E914939,c06032900,si
0EAEF3BE,c04002890,si
0EB132FC,c01010210,si
0EBBE824,c07130080,si
0EC49BD3,c01003420,si
0EC8CE59,c11060040,si
0ECF62D8,c08020080,si
0ED9399F,c03037840,si
0EDEBDDD,c05020110,si
0EEB11C0,c05027520,si
0EF3DFF7,c03038020,si
0EF9425A,c04015350,si
0F06F1E4,c01003520,si
0F0A76D4,c11902240,si
0F0AA46E,c11060140,si
0F1B53A8,c03037940,si
0F1C3FE7,c11701070,si
0F2340F6,c05029820_5000,no
0F297BF7,c05027420,si
0F31B5C0,c03038120,si
0F3B286D,c04015250,si
0F40876B,c07160100,si
0F45D659,c02026470,si
0F638428,c11708020,si
0F7358CB,c01010310,si
0F9CAC58,c04010570,si
0F9E401B,c04001680,si
0F9ECF56,c03036390,si
0FA175D1,c01006200,si
0FA1FA9C,c06031710,si
0FBEB493,c04014880,si
0FC97613,c04001610_5000,no
0FE2526C,c02023350,si
0FE90577,c04003340,si
1032A1C6,c02023640,si
1039F6DD,c04003650,si
104C5FF2,c04010060,si
104E3CFC,c03036680,si
105AF1C4,c08050040,si
105C479C,c11190120,si
105D5D45,c11010080,si
105DB7FF,c07020010,si
105E0C68,c05022610,si
1071867B,c01006710,si
107D014B,c11907070,si
10835FE9,c01005800,si
10895DAB,npc2102,no
108BBDA0,c05021880_5000,no
109525F3,c02026160,si
109EFDA5,c03031460,si
10A0EEAE,c11737020,si
10A3AB61,c01010600,si
10ACD5FA,c05021900,si
10CB2F4F,c04000940,si
10D6024E,c01003030,si
10E1466A,c03038430,si
10F9885D,c05027130,si
11021263,c02020850,si
11094578,c04000840,si
11146879,c01003130,si
11232C5D,c03038530,si
113BE26A,c05027030,si
114135DE,c01005900,si
114F13CA,c11020010,si
11574FC4,c02026060,si
115B612B,spirit_token_god_hand_grass,no
115C9792,c03031560,si
1161C156,c01010700,si
1162E3D9,c02021450,si
116A7283,npc3200,no
116D343D,c01010910,si
11878E9D,c02021280,si
118C56CB,c03036780,si
118CD986,c04001290,si
118E35C5,c04010160,si
119C665F,c05022710,si
119E2DAB,c11190020,si
119F3772,c11010180,si
11A6320A,c11040100,si
11B0A983,c11721030,si
11B36301,c06031300,si
11B3EC4C,c01006610,si
11CF124C,c11728060,si
11D40EAE,c07090060,si
11F0CBF1,c02023740,si
11FB13A7,c03034240,si
12035AF3,c02021080,si
12080DE8,c04001090,si
120882A5,c03036580,si
120AE1AB,c04010360,si
121A6EDF,c11110100,si
122A9A6E,c03032870,si
12373822,c01006410,si
1237B76F,c06031100,si
1262EAC8,c06037930,si
12741F9F,c02023540,si
127FC7C9,c03034040,si
128CE95A,c05021830_5000,no
1290BC17,c01003330,si
129DCFA7,c07010080,si
12A7F833,c03038730,si
12B74634,c01001900,si
12BF3604,c05027230,si
12CB22C3,c11500880,si
12D010F2,c04003690_5000,no
12D843FC,c03031760,si
12DDC06A,c05023100_5000,no
12E51538,c01010500,si
12FFDB3B,c11712050,si
1311F19D,c02026360,si
131A29CB,c03031660,si
13277F0F,c01010400,si
1348F02E,c05020700,si
1352D620,c01003230,si
13659204,c03038630,si
1376EEC9,c03030050,si
137D5C33,c05027330,si
139227ED,c07010040,si
13B675A8,c02023440,si
13BD22B3,c04003450,si
13BE3226,c11600010,si
13C88B9C,c04010260,si
13CAE892,c03036480,si
13E10190,c11140080,si
13E6AD11,c08100040,si
13EF9C16,c11704040,si
13F55215,c01006510,si
140C5169,c04000090,si
14138117,c03031260,si
14185941,c02026760,si
141C85B0,c07060090,si
142580C8,c07030010,si
142ED7D3,c01010000,si
1433FAD2,c04013970,si
14435CBC,c11710090,si
14510A34,c08120010,si
14583B33,c11724010,si
145B7EFC,c01003630,si
1466A775,c04015140,si
146C3AD8,c03038230,si
146FA3CD,c11130050,si
1474F4EF,c05027730,si
147A59C4,c11740010,si
14862D7D,c05024820,si
148A1629,c11732100,si
14A9A76E,c01000920,si
14B48A6F,c04003050,si
14BFDD74,c02023040,si
14C12340,c04010660,si
14C2504D,c05028500_5000,no
14C3404E,c03036080,si
14D61CA1,c01009970,si
14DB8E79,c05029580,si
14EA80D3,c02025870,si
14FCFAC9,c01006110,si
1501A534,c04001490,si
15034977,c04010760,si
150AF22F,c02021480,si
1513C603,c11110500,si
15147696,c01009870,si
1519E44E,c05029480,si
1528EAE4,c02025970,si
153E1FB3,c06031500,si
153E90FE,c01006010,si
1544474A,c05024920,si
15531B91,c11706080,si
156931B1,c02023810,si
156BCD59,c01000820,si
1576E058,c04003150,si
157DB743,c02023140,si
158B5ACD,c04011090_5000,no
15936003,c08120110,si
159914CB,c01003730,si
159A5104,c11724110,si
15A4CD42,c04015040,si
15A6E6DA,c11500880,si
15AE50EF,c03038330,si
15B69ED8,c05027630,si
15D1EB20,c03031360,si
15DA3376,c02026660,si
15E7EAFF,c07030110,si
15ECBDE4,c01010100,si
15F03954,c02023370,si
15F190E5,c04013870,si
160062E9,c03037950,si
16070EA6,c11701060,si
16114795,c11902250,si
1611952F,c11060150,si
161DC0A5,c01003530,si
1620192C,c04015240,si
162A8481,c03038130,si
16324AB6,c05027430,si
1648124F,c06032810,si
16553F4E,c03031160,si
165BB62A,c07160110,si
165EE718,c02026460,si
1665D364,c08090010,si
1668698A,c01010300,si
1678B569,c11708030,si
1685FE17,c03036380,si
16879D19,c04010560,si
16A585D2,c04014890,si
16B38033,c01000020,si
16BA4490,c01006210,si
16BACBDD,c06031700,si
16F23436,c04003350,si
16F9632D,c02023340,si
1717498B,c11717070,si
17305E01,c04003250,si
173B091A,c02023240,si
1745F72E,c04010460,si
17479420,c03036280,si
1767EFE5,c04014990,si
176AE34C,c05020800,si
17782EA7,c01006310,si
178A7878,c06032910,si
17975579,c03031060,si
1799DC1D,c07160010,si
179C8D2F,c02026560,si
17A0D965,c07130090,si
17AA03BD,c01010200,si
17B5C2FF,c04002880,si
17C208DE,c03037850,si
17D3FF18,c11060050,si
17D45399,c08020090,si
17DFAA92,c01003430,si
17E2731B,c04015340,si
17E8EEB6,c03038030,si
17ED56E1,c08070010,si
17F02081,c05027530,si
1803A472,c11180500,si
180BFD66,c05028450,si
18133351,c03037150,si
1813BC1C,c04000440,si
1839D539,c03038930,si
184102B9,c11707050,si
18466EF6,c03031960,si
185B43F7,c06032010,si
185BCCBA,c01005500,si
18661533,c04013270,si
1883F340,c01009270,si
1885B42A,c11070070,si
18904E23,c11600030,si
18B4B764,c03032670,si
18B6D46A,c04014090,si
18BB1DD3,c08060030,si
18BF6F32,c02025370,si
18EC946C,c11718110,si
18FC488F,c01000220,si
18FEC374,c01000010,si
192EFE5B,c11718010,si
193E22B8,c01000320,si
19419977,c01009370,si
19514594,c11711040,si
1974BE5D,c04014190,si
197977E4,c08060130,si
197D0505,c02025270,si
198404C1,c03031860,si
199929C0,c06032110,si
1999A68D,c01005400,si
19A47F04,c04013370,si
19A53AFF,c02029500,si
19A69347,c04002080,si
19B152F0,c11220280,si
19B62C9E,c05021500,si
19C99751,c05028550,si
19D15966,c03037050,si
19D1D62B,c04000540,si
19FBBF0E,c03038830,si
1A1D72E3,c01005600,si
1A1E372C,c11722020,si
1A20AB6A,c04013170,si
1A224729,c04002280,si
1A291032,c02022290,si
1A35869E,c11220080,si
1A3D866B,c01010800,si
1A550245,c04000740,si
1A558D08,c03037250,si
1A957CC5,c05024020,si
1AA7DBD7,c04003850,si
1AA952C4,c05029620_5000,no
1AAC8CCC,c02023840,si
1AB1A1CD,c07020130,si
1ABA799B,c06037430,si
1ABAF6D6,c01000120,si
1AC02162,c05022810,si
1AC0B949,c11803100,si
1AC52B31,c08130130,si
1AC54D19,c01009170,si
1ACB4E47,c02023520,si
1AD011F6,c03036880,si
1AEFAB71,c01006910,si
1AF06A33,c04014390,si
1AF9D16B,c02025070,si
1B024B55,c05022910,si
1B07272E,c01009070,si
1B074106,c08130030,si
1B0E7001,c11734030,si
1B127BC1,c03036980,si
1B2DC146,c01006810,si
1B30630A,c03032470,si
1B320004,c04014290,si
1B39E8FF,c11120070,si
1B3BBB5C,c02025170,si
1B4B18EC,c11010050,si
1B51A537,c11010070,si
1B6EE6FB,c02023940,si
1B73CBFA,c07020030,si
1B789CE1,c01000020,si
1B81D74A,c05021940_5000,no
1B976872,c04000640,si
1B97E73F,c03037350,si
1B9F46E8,npc2542,no
1BDF18D4,c01005700,si
1BE2C15D,c04013070,si
1BFFEC5C,c01010900,si
1C0208C2,c11908310,si
1C0E8FF2,c01009470,si
1C100B4B,c02021880,si
1C24E6D7,c06031900,si
1C321380,c02025570,si
1C36A471,c05020700,si
1C39CBD6,c03032070,si
1C3BA8D8,c04014690,si
1C4284C2,c11500880,si
1C71343D,c01000420,si
1C794EF4,c11250150,si
1C8681D4,c05028250,si
1C8E4FDA,c11100020,si
1C9E4FE3,c03037750,si
1C9EC0AE,c04000240,si
1CB0E623,c08110060,si
1CB9D724,c11714060,si
1CD63F45,c06032610,si
1CD6B008,c01005300,si
1CDEC1E6,c06039380,si
1CEA2C7A,c02029200,si
1CEB6981,c04013470,si
1D025A57,c01010910,si
1D14DA3F,c01005200,si
1D1CABD1,c06039280,si
1D20B8EE,c02022690,si
1D2903B6,c04013570,si
1D4C25ED,c11100120,si
1D4D3F34,c11080080,si
1D5C25D4,c03037650,si
1D5CAA99,c04000340,si
1D728C14,c08110160,si
1D852AEA,c01000030,si
1DA99009,c11702070,si
1DB35E0A,c01000520,si
1DBB24C3,c11250050,si
1DC062F5,c11908210,si
1DC1EF36,c11808090,si
1DCCE5C5,c01009570,si
1DCF6E5D,c05028470_5000,no
1DF079B7,c02025470,si
1DF9C2EF,c04014790,si
1E0A53ED,c04016050,si
1E15FC8A,c04000080,si
1E16EDA2,c05021510_5000,no
1E180077,c05024620,si
1E186ADB,c02024040,si
1E34CFAB,c11727100,si
1E378A64,c01000720,si
1E4831AB,c01009770,si
1E5F0E4A,c04010860,si
1E74ADD9,c02025670,si
1E7D1681,c04014590,si
1E82459C,c07080040,si
1E86744B,c02026960,si
1E900E51,c01005000,si
1E987FBF,c06039080,si
1E99597E,c11738040,si
1EA46C80,c02022490,si
1EAC9223,c02029100,si
1EADD7D8,c04013770,si
1EAF3B9B,c04002480,si
1EBF8442,c05021100,si
1EC03F8D,c05028150,si
1EC553F6,c01003830,si
1ED87EF7,c04000140,si
1ED8F1BA,c03037450,si
1EE6E2B1,c11731010,si
1EEA41CE,c11806020,si
1EEAD9E5,c05027930,si
1EF07938,c11050120,si
1F0255BA,c05028050,si
1F0739C1,c01003930,si
1F0A0CAE,c11180100,si
1F0CBAF6,c08040060,si
1F1A14C0,c04000040,si
1F1A9B8D,c03037550,si
1F248886,c11731110,si
1F28B3D2,c05027830,si
1F32130F,c11050020,si
1F441E7C,c02026860,si
1F526466,c01005100,si
1F5A1588,c06039180,si
1F6EF814,c02029000,si
1F6FBDEF,c04013670,si
1F7E2CB6,c04002500_5100,no
1F86DCAC,c11908110,si
1F8A5B9C,c01009670,si
1F9D647D,c04010960,si
1FB2701F,c05020500,si
1FB6C7EE,c02025770,si
1FBD1FB8,c03032270,si
1FBF7CB6,c04014490,si
1FC839DA,c04016150,si
1FEDC213,c11713080,si
1FF5E053,c01000620,si
20015AA0,c01006430,si
201CF8EC,c03032850,si
202C0C5D,c11110120,si
202D1684,c11090080,si
203C8329,c04010340,si
204217B1,c05023300,si
20427D1D,c02023560,si
2049A54B,c03034060,si
204BC645,c04012680,si
2054884A,c06037910,si
206065D6,c02027890,si
20895486,c05027210,si
20919AB1,c03038710,si
20996412,c03033280,si
209B996D,c01001900,si
20A6DE95,c01003310,si
20AE2036,c01008680,si
20B91FD7,c04011990,si
20C9B9B9,c11712070,si
20D377BA,c01010520,si
20E5F928,c02026240,si
20EE217E,c03031740,si
21111D8D,c01010420,si
2127931F,c02026340,si
212C4B49,c03031640,si
214B3EB1,c05027310,si
2150D673,c02024680,si
2153F086,c03038610,si
215B0E25,c03033380,si
2164B4A2,c01003210,si
216C4A01,c01008780,si
217B75E0,c04011890,si
2180172A,c02023460,si
2189AC72,c04012780,si
218B4031,c04003470,si
219A985B,c01000310,si
21A20FE1,c02027990,si
21A4456F,c07010060,si
21C33097,c01006530,si
21C3BFDA,c06031020,si
21CAE110,npc0260,no
21D0CF93,c08100060,si
21D9FE94,c11704060,si
21DE92DB,c03032950,si
21EE666A,c11110020,si
21FEE91E,c04010240,si
2204C344,c02023660,si
220D781C,c04012580,si
220F945F,c04003670,si
2220061B,c07090140,si
22476BB4,c06031220,si
2247E4F9,c01006730,si
224B63C9,c11907050,si
22523ABF,c11040020,si
22686EEA,c05022630,si
226A251E,c11190100,si
226C9346,c08050060,si
227A3D70,c04010040,si
228DEBA3,c11703080,si
2295C9E3,c01010620,si
229AB778,c05021920,si
22A34771,c02026140,si
22A89F27,c03031440,si
22B53D6B,c01005820,si
22CFEADF,c05027110,si
22D4021D,c02024480,si
22D724E8,c03038410,si
22DEC83F,npc2547,no
22E060CC,c01003010,si
22E89E6F,c01008580,si
22F7699C,c04003060_5000,no
22FD4DCD,c04000960,si
230D80E8,c05027010,si
23154EDF,c03038510,si
231DB07C,c03033080,si
23220AFB,c01003110,si
232AF458,c01008480,si
233470E1,c02020870,si
233F27FA,c04000860,si
2354815B,c02021470,si
2357A3D4,c01010720,si
2358DD4F,c05021820,si
23612D46,c02026040,si
2364D78D,c11010060,si
236AF510,c03031540,si
2377575C,c01005920,si
23858ECE,c01006630,si
2386CB01,c11721010,si
23905088,c11040120,si
239DAC8E,c11715090,si
23AA04DD,c05022730,si
23B85747,c04010140,si
23C6A973,c02023760,si
23CD7125,c03034260,si
23CE58E4,c04002810_5000,no
23CF122B,c04012480,si
23DC2602,c01000010,si
23E26C2C,c07090040,si
23F970CE,c11728040,si
23FA933B,c11600010,si
24042834,c05027410,si
24167BAE,c04015260,si
241CE603,c03038110,si
24235C84,c01008080,si
24272517,c11902270,si
242BA227,c01003510,si
24316C24,c11701040,si
2436006B,c03037970,si
24490C3D,c08090010,si
244ED7EB,c11708010,si
245E0B08,c01010320,si
24635DCC,c03031140,si
2468859A,c02026440,si
246DD4A8,c07160130,si
247E70CD,c06032830,si
2484F568,c07100020,si
248C2612,c01006230,si
248CA95F,c06031720,si
248EB5AA,c07020010,si
24B1FF9B,c04010540,si
24C6BAF7,c04012080,si
24CF01AF,c02023360,si
24DFD4DA,c04000080,si
24E1C617,kt000031,no
24F07F94,c08010020,si
2504D0C0,c04012180,si
25063C83,c04003270,si
250D6B98,c02023260,si
25212B09,c11717050,si
2522046A,c06030010,si
252A4AD0,c05028530_5000,no
25463C15,c05020800,si
254E4C25,c01006330,si
254EC368,c06031620,si
25638DC2,c11190500,si
257395AC,c04010440,si
259C613F,c01010220,si
25A137FB,c03031040,si
25AAEFAD,c02026540,si
25AFBE9F,c07160030,si
25C64203,c05027510,si
25D41199,c04015360,si
25D6FDDA,c04004090,si
25DB3463,c08070030,si
25DDAAC1,c02024080,si
25DE8C34,c03038010,si
25E136B3,c01008180,si
25E59D9A,c11060070,si
25E9C810,c01003410,si
25F46A5C,c03037870,si
26059850,c04013950,si
260C33A3,c01010970,si
260F257E,c08010030,si
2613E24A,c07030030,si
2618B551,c01010020,si
26208E30,c04000090,si
2625E395,c03031240,si
262E3BC3,c02026740,si
2642966D,c05027710,si
2650C5F7,c04015160,si
265229B4,c04004290,si
26597EAF,c02024280,si
2659C14F,c11130070,si
265A585A,c03038210,si
2665E2DD,c01008380,si
266768B6,c08120030,si
2669E9F2,c11010010,si
266D1C7E,c01003610,si
266E59B1,c11724030,si
268004AE,c04012380,si
2682E8ED,c04003070,si
2689BFF6,c02023060,si
269FC5EC,c01000900,si
26A07F6B,c03030890,si
26BC74AB,c11732120,si
26CA1706,c06031420,si
26CA984B,c01006130,si
26DCE251,c02025850,si
26E07E23,c01009950,si
26F741C2,c04010640,si
27087D31,c06031520,si
2708F27C,c01006030,si
271E8866,c02025950,si
27221414,c01009850,si
27317A44,c04001500_5000,no
27352BF5,c04010740,si
27426E99,c04012280,si
274BD5C1,c02023160,si
2755AF2E,c11230080,si
277225C8,c05024900,si
2772BDE3,c11805010,si
277E1E9C,c11732020,si
2780FC5A,c05027610,si
2792AFC0,c04015060,si
2798326D,c03038310,si
27A3F179,c11902070,si
27A50281,c08120130,si
27A788EA,c01008280,si
27AC3386,c11724130,si
27AF7649,c01003710,si
27C7F267,c04013850,si
27D1887D,c07030130,si
27E789A2,c03031340,si
27EC51F4,c02026640,si
280BE4E9,c01010820,si
2816C9E8,c04013150,si
282B1061,c01005620,si
28333221,c11716080,si
28618C84,c04011490,si
286360C7,c04000760,si
2863EF8A,c03037270,si
28685D70,c05020110,si
2873EFB3,c11100500,si
2887C34F,c07020110,si
288C1B19,c06037410,si
288C9454,c01000100,si
2891B955,c04003870,si
289AEE4E,c02023860,si
28B32ED3,c03030090,si
28B8F685,c02027590,si
28C46BBF,c03032550,si
28CDE04A,c11120150,si
28CFB3E9,c02025050,si
28D9C9F3,c01006930,si
28E11F3B,c11700190,si
28F32F9B,c01009150,si
28F349B3,c08130110,si
28F643E0,c05022830,si
29060188,c03032450,si
29068165,c05022880_5000,no
290DD9DE,c02025150,si
290F8A7D,c11120050,si
291BA3C4,c01006830,si
2923750C,c11700090,si
29312384,c08130010,si
293145AC,c01009050,si
293429D7,c05022930,si
2934B1FC,c11803020,si
29381283,c11734010,si
2945A978,c07020010,si
29588479,c02023960,si
29617470,c05024100,si
2967C7B5,c11010050,si
297A9CB2,c02027490,si
297CAC00,c07070090,si
29A10AF0,c04000660,si
29A185BD,c03037370,si
29A3E6B3,c04011590,si
29A9C77C,edit_avatar10,no
29B9001C,npc0243,no
29C98EDE,c01010920,si
29D4A3DF,c04013050,si
29E97A56,c01005720,si
29EA3F99,c11722100,si
2A0FB7BB,c03038910,si
2A2551D3,c03037170,si
2A25DE9E,c04000460,si
2A2732DD,c04011790,si
2A300D3C,c01008880,si
2A3D9FE4,c05028470,si
2A42242B,c05021420,si
2A5077B1,c04013250,si
2A6D2175,c06032030,si
2A6DAE38,c01005520,si
2A700C74,c03031940,si
2A77603B,c11707070,si
2A82D5E6,c03032650,si
