# Para traducir los marcadores <FUL:ENDO> de los textos del juego.
# clave = el apellido en romaji en mayusculas, que es lo que
# el marcador lleva dentro. Lo genera
# herramientas/construir_marcadores.py (NOTAS O-98).
clave,tipo,completo,nombre,apellido
ALEXEI TREPOV,persona,Leonid Largov,,
ALEXEITREPOV,persona,Leonid Largov,,
ALEXHAWK,persona,Alex Hawke,,
"ALFIL NEGRO, MENSAJERO DIVINO",persona,"Alfil negro, mensajero divino",,
"ALFILNEGRO,MENSAJERODIVINO",persona,"Alfil negro, mensajero divino",,
ALI,persona,AL-SAQIR,,
ALICE,persona,Rendell,Rendell,Rendell
ALICE BERARDI,persona,Bellamante Medici,,
ALICE Y PIETRO,persona,Bellamante y Medoro,,
ALICEBERARDI,persona,Bellamante Medici,,
ALICEYPIETRO,persona,Bellamante y Medoro,,
ALKATIA,persona,Agnethe Presari,,
ALLEGRE,persona,,,
ALLIC,persona,Arwena,,
ALLIC REGINIA,persona,Arwena Lark,,
ALLICREGINIA,persona,Arwena Lark,,
ALLIGATOR,persona,Rocke,,
ALLISON,persona,MUÑOZ,,
ALLY,persona,Marks,,
ALLYL,persona,ARIL,,
ALMEIDA,persona,ALMEIDA,,
ALNILAM,persona,,,
ALNITAK,persona,,,
ALOJAMIENTOS,sitio,Alojamientos,Alojamientos,Alojamientos
ALONSO,persona,Salvador,,
ALONSO FIBBIANO,persona,Salvador Castell,,
ALONSOFIBBIANO,persona,Salvador Castell,,
ALPHA,persona,,,
ALTAM,persona,,,
ALUMI,persona,Toppel,,
ALUMNA A LA ESPERA,persona,Alumna a la espera,,
ALUMNA CEREMONIA DEL TÉ,persona,Alumna ceremonia del té,,
ALUMNA DE IA NERVIOSA,persona,Alumna de IA nerviosa,,
ALUMNA DE TERCERO MALHUMORADA,persona,Alumna de tercero malhumorada,,
ALUMNA DISIMULADA,persona,Alumna disimulada,,
ALUMNA EN BUSCA DE CLUB,persona,Alumna en busca de club,,
ALUMNA GOLOSA DE IVN,persona,Alumna golosa de IVN,,
ALUMNA LÚGUBRE DE NAGUMOHARA,persona,Alumna lúgubre de South Cirrus,,
ALUMNA MADURA DE TERCERO,persona,Alumna madura de tercero,,
ALUMNA QUE SUSURRA,persona,Alumna que susurra,,
ALUMNA QUE VA AL DENTISTA,persona,Alumna que va al dentista,,
ALUMNAALAESPERA,persona,Alumna a la espera,,
ALUMNACEREMONIADELTÉ,persona,Alumna ceremonia del té,,
ALUMNADEIANERVIOSA,persona,Alumna de IA nerviosa,,
ALUMNADETERCEROMALHUMORADA,persona,Alumna de tercero malhumorada,,
ALUMNADISIMULADA,persona,Alumna disimulada,,
ALUMNAENBUSCADECLUB,persona,Alumna en busca de club,,
ALUMNAGOLOSADEIVN,persona,Alumna golosa de IVN,,
ALUMNALÚGUBREDENAGUMOHARA,persona,Alumna lúgubre de South Cirrus,,
ALUMNAMADURADETERCERO,persona,Alumna madura de tercero,,
ALUMNAQUESUSURRA,persona,Alumna que susurra,,
ALUMNAQUEVAALDENTISTA,persona,Alumna que va al dentista,,
ALUMNO ABURRIDO DE TERCERO,persona,Alumno aburrido de tercero,,
ALUMNO ATURDIDO,persona,Alumno aturdido,,
ALUMNO BORDE DE STORMRIDGE,persona,Alumno borde de Stormridge,,
ALUMNO BUSCADOR,persona,Alumno buscador,,
ALUMNO CAUTELOSO,persona,Alumno cauteloso,,
ALUMNO CON ÍNFULAS,persona,Alumno con ínfulas,,
ALUMNO DE ALPINO PERDIDO,persona,Alumno de Alpino perdido,,
ALUMNO DE ARTES MARCIALES,persona,Alumno de artes marciales,,
ALUMNO DE IA RESPONSABLE,persona,Alumno de IA responsable,,
ALUMNO DE PRIMERO DILIGENTE,persona,Alumno de primero diligente,,
ALUMNO DESCONFIADO DE SEGUNDO,persona,Alumno desconfiado de segundo,,
ALUMNO DISTANTE DE SEGUNDO,persona,Alumno distante de segundo,,
ALUMNO EN RECUPERACIÓN,persona,Alumno en recuperación,,
ALUMNO ENTUSIASTA,persona,Alumno entusiasta,,
ALUMNO ENÉRGICO,persona,Alumno enérgico,,
ALUMNO FAN DE LOS MAYORES,persona,Alumno fan de los mayores,,
ALUMNO FAN DEL FÚTBOL,persona,Alumno fan del fútbol,,
ALUMNO FAN DEL OCÉANO,persona,Alumno fan del océano,,
ALUMNO GAMBERRO,persona,Alumno gamberro,,
ALUMNO JOVIAL,persona,Alumno jovial,,
ALUMNO ORDINARIO,persona,Alumno ordinario,,
ALUMNO PERSUASIVO,persona,Alumno persuasivo,,
ALUMNO PRECAVIDO DE TERCERO,persona,Alumno precavido de tercero,,
ALUMNO QUEJICA,persona,Alumno quejica,,
ALUMNO SIBARITA,persona,Alumno sibarita,,
ALUMNO SOÑOLIENTO,persona,Alumno soñoliento,,
ALUMNO TEMERARIO DE PRIMERO,persona,Alumno temerario de primero,,
ALUMNO TRANQUILO DE IVN,persona,Alumno tranquilo de IVN,,
ALUMNO TRANSFERIDO,persona,Alumno transferido,,
"ALUMNO \""GAMER\"" DE PRIMERO",persona,"Alumno \""gamer\"" de primero",,
ALUMNOABURRIDODETERCERO,persona,Alumno aburrido de tercero,,
ALUMNOATURDIDO,persona,Alumno aturdido,,
ALUMNOBORDEDESTORMRIDGE,persona,Alumno borde de Stormridge,,
ALUMNOBUSCADOR,persona,Alumno buscador,,
ALUMNOCAUTELOSO,persona,Alumno cauteloso,,
ALUMNOCONÍNFULAS,persona,Alumno con ínfulas,,
ALUMNODEALPINOPERDIDO,persona,Alumno de Alpino perdido,,
ALUMNODEARTESMARCIALES,persona,Alumno de artes marciales,,
ALUMNODEIARESPONSABLE,persona,Alumno de IA responsable,,
ALUMNODEPRIMERODILIGENTE,persona,Alumno de primero diligente,,
ALUMNODESCONFIADODESEGUNDO,persona,Alumno desconfiado de segundo,,
ALUMNODISTANTEDESEGUNDO,persona,Alumno distante de segundo,,
ALUMNOENRECUPERACIÓN,persona,Alumno en recuperación,,
ALUMNOENTUSIASTA,persona,Alumno entusiasta,,
ALUMNOENÉRGICO,persona,Alumno enérgico,,
ALUMNOFANDELFÚTBOL,persona,Alumno fan del fútbol,,
ALUMNOFANDELOCÉANO,persona,Alumno fan del océano,,
ALUMNOFANDELOSMAYORES,persona,Alumno fan de los mayores,,
ALUMNOGAMBERRO,persona,Alumno gamberro,,
ALUMNOJOVIAL,persona,Alumno jovial,,
ALUMNOORDINARIO,persona,Alumno ordinario,,
ALUMNOPERSUASIVO,persona,Alumno persuasivo,,
ALUMNOPRECAVIDODETERCERO,persona,Alumno precavido de tercero,,
ALUMNOQUEJICA,persona,Alumno quejica,,
ALUMNOSIBARITA,persona,Alumno sibarita,,
ALUMNOSOÑOLIENTO,persona,Alumno soñoliento,,
ALUMNOTEMERARIODEPRIMERO,persona,Alumno temerario de primero,,
ALUMNOTRANQUILODEIVN,persona,Alumno tranquilo de IVN,,
ALUMNOTRANSFERIDO,persona,Alumno transferido,,
"ALUMNO\""GAMER\""DEPRIMERO",persona,"Alumno \""gamer\"" de primero",,
AMABOSHI,persona,,,
AMABOSHI YUMA,persona,Malachi Way,,
AMABOSHIYUMA,persona,Malachi Way,,
AMADA,persona,,,
AMADA PONNY,persona,Ponny Grace,,
AMADAPONNY,persona,Ponny Grace,,
AMAGI,persona,Changcheng,Changcheng,Changcheng
AMAGI DAICHI,persona,Wanli Changcheng,Wanli,Changcheng
AMAGIDAICHI,persona,Wanli Changcheng,Wanli,Changcheng
AMAHAKARI,persona,LIEBER,,
AMAHAKARI ASUTO,persona,Cuba Lieber,,
AMAHAKARIASUTO,persona,Cuba Lieber,,
AMAHISA,persona,,,
AMAHISA KAZUSHIRO,persona,Rick Shaw,,
AMAHISAKAZUSHIRO,persona,Rick Shaw,,
AMAHO,persona,,,
AMAHO YASUOKI,persona,Paddy Filler,,
AMAHOYASUOKI,persona,Paddy Filler,,
AMAI,persona,,,
AMAI KAZUYA,persona,Theakston Plank,,
AMAIKAZUYA,persona,Theakston Plank,,
AMAKAKERU,persona,LUCENZO,,
AMAKAKERU RUCHIYA,persona,Dorian Lucenzo,,
AMAKAKERURUCHIYA,persona,Dorian Lucenzo,,
AMAKAWA,persona,,,
AMAKAWA MITSUHIRO,persona,Rob Zervatory,,
AMAKAWAMITSUHIRO,persona,Rob Zervatory,,
AMAKURA,persona,,,
AMAKURA MAASA,persona,Jazzmine Skylark,,
AMAKURAMAASA,persona,Jazzmine Skylark,,
AMAMIYA,persona,,,
AMAMIYA NAGAHIRO,persona,Paul Downs,,
AMAMIYANAGAHIRO,persona,Paul Downs,,
AMAMOTO,persona,,,
AMAMOTO CHISE,persona,Vivienne Starling,,
AMAMOTOCHISE,persona,Vivienne Starling,,
AMANDA TURNER,persona,Amanda Ray,,
AMANDATURNER,persona,Amanda Ray,,
AMANO,persona,,,
AMANO AMEHIKO,persona,Rainier Welkin,Rainier,Welkin
AMANO KAIJI,persona,Bayonet Gunne,,
AMANO KEITA,persona,Nathan Adams,Nathan,Adams
AMANO MASAMICHI,persona,Mickey Way,,
AMANO YOSUKE,persona,Sonny Welkin,Sonny,Welkin
AMANOAMEHIKO,persona,Rainier Welkin,Rainier,Welkin
AMANOKAIJI,persona,Bayonet Gunne,,
AMANOKEITA,persona,Nathan Adams,Nathan,Adams
AMANOMASAMICHI,persona,Mickey Way,,
AMANOYOSUKE,persona,Sonny Welkin,Sonny,Welkin
AMANTE DE LA NATURALEZA,persona,Amante de la naturaleza,,
AMANTE DE LAS AZOTEAS,persona,Amante de las azoteas,,
AMANTE DE LAS MODAS,persona,Amante de las modas,,
AMANTE DE LAS REDES SOCIALES,persona,Amante de las redes sociales,,
AMANTE DE LOS CÓMICS,persona,Amante de los cómics,,
AMANTE DE LOS FIDEOS,persona,Amante de los fideos,,
AMANTE DE LOS PASEOS,persona,Amante de los paseos,,
AMANTE DE LOS PASOS A NIVEL,persona,Amante de los pasos a nivel,,
AMANTE DE LOS TRANVÍAS,persona,Amante de los tranvías,,
AMANTEDELANATURALEZA,persona,Amante de la naturaleza,,
AMANTEDELASAZOTEAS,persona,Amante de las azoteas,,
AMANTEDELASMODAS,persona,Amante de las modas,,
AMANTEDELASREDESSOCIALES,persona,Amante de las redes sociales,,
AMANTEDELOSCÓMICS,persona,Amante de los cómics,,
AMANTEDELOSFIDEOS,persona,Amante de los fideos,,
AMANTEDELOSPASEOS,persona,Amante de los paseos,,
