# Personajes del juego, sacados de chara_param y chara_base.
# identidad = el valor del campo 0xBA162C11 de la partida, en hex.
# Lo genera herramientas/construir_personajes.py.
identidad,chara_base_id,indice,rareza,rareza_valor,nombre_es,nombre_en,apt_entrenador,apt_gerente,tec1,tec2,tec3,tec4,tec5,tec6,tec7,tec8,tec9,tec1_nivel,tec2_nivel,tec3_nivel,tec4_nivel,tec5_nivel,tec6_nivel,tec7_nivel,tec8_nivel,tec9_nivel,arquetipo_valor,clave_personal,tablero
009F3580,-1452590094,1844,normal,0,Borboleta Barboza,Borboleta Barboza,,,122F1F50,2E7B4170,BC27E078,683E235E,E8C04147,E40D7BD6,C945D813,9B48A6AA,6BF911A6,1,13,20,30,38,43,30,38,43,2,3,
00AA63B1,-1453429309,4684,normal,0,Arden Drax,Arden Drax,,,D1DFD83A,A709A5B8,EA770B0D,64F962D2,D59710C4,47981F48,00852BD3,BD0AA100,6BF911A6,1,13,20,30,38,43,30,38,43,1,13,
00AD1DDF,-1453780051,3617,normal,0,Dasan,Dasan,,,744A5172,180A76C8,7B395517,2BA5D8AD,4F6A7665,6BF911A6,C2CDF341,400C2F32,723D7CA1,1,13,20,30,38,43,30,38,43,1,6,
00B5CE9C,1043419128,3347,hero,7,Cade Shelby,Cade Shelby,,,37B30E40,7E08CC91,E9ED003F,37B30E40,7E08CC91,F2E895EF,,,,1,13,20,30,38,43,0,0,0,1,12,5B446857
00BDA206,-1454789516,2617,normal,0,Borel Aurora,Borel Aurora,,,D5B95E1F,C5B98A76,3647FBA2,06494D1C,BFADE6C2,E40D7BD6,80EE174A,7670BFA2,47981F48,1,13,20,30,38,43,30,38,43,4,7,
00BF4E45,-1454686153,3109,normal,0,Foley Edge,Foley Edge,,,16499975,88C724C3,3FCB7D73,D59710C4,08A1BF72,47981F48,E25E3884,A36F239D,723D7CA1,1,13,20,30,38,43,30,38,43,1,9,
00CA6827,-1455528363,2113,normal,0,Kev Fiyah,Kev Fiyah,,,16499975,0DD16BC6,2D69BE62,689DC91F,EE3A9349,47981F48,E9ED003F,2DCA5423,723D7CA1,1,13,20,30,38,43,30,38,43,1,5,
00CA6CD2,-1374718750,2352,normal,0,Dawntavius Spectrum,Dawntavius Spectrum,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,6,
00CAE76A,-1455494888,2512,normal,0,Morgan Stern,Morgan Stern,,,53BDEE08,44C94356,47785605,EE997908,3E45D64A,47981F48,E25E3884,A36F239D,723D7CA1,1,13,20,30,38,43,30,38,43,5,11,
00D2A610,-1457084318,3913,normal,0,Tu Eigh,Tu Eigh,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,
00E08E4F,-1458274243,2291,normal,0,Khefren Chepren,Khefren Chepren,,,16499975,220FE735,6B2CDC4C,4CDB6336,9F053EEE,6BF911A6,3D6C3AB1,028C2178,47981F48,1,13,20,30,38,43,30,38,43,1,6,
01080210,-1459876766,2123,normal,0,Monty Tasker,Monty Tasker,,,5778826C,5CE5F40C,9BD05F02,6B2CDC4C,7C5D21A8,47981F48,B7273F0A,6CFB4F3A,723D7CA1,1,13,20,30,38,43,30,38,43,0,2,
01088D5D,-1459846353,2503,normal,0,Spike Stiletto,Spike Stiletto,,,53BDEE08,44C94356,73A38157,D6AEF1B7,EE997908,47981F48,E69B54E0,CF94147C,723D7CA1,1,13,20,30,38,43,30,38,43,5,4,
0110CC27,-1461403051,3903,normal,0,En Sicks,En Sicks,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,11,
01189533,-1460888767,5802,normal,0,Silica Fieltour,Silica Fieltour,,1,53BDEE08,491670C4,AF0B8850,DFB4AE41,6CDE71D4,D1A8183F,A0F528AF,43BD3A61,47981F48,1,13,20,30,38,43,30,38,43,0,8,
0122E478,-1462310390,2301,normal,0,Archie Rider,Archie Rider,,,357B4A6B,7B8AB2DE,EC052D23,CD084057,708A6DAC,6BF911A6,F5A73140,683E235E,E40D7BD6,1,13,20,30,38,43,30,38,43,5,2,
0140FDFB,-1464536183,471,normal,0,Ed Halley,Ed Halley,,,D5B95E1F,9B48A6AA,E9ED003F,6B8F360D,B3E2536E,723D7CA1,A4A8BD63,FD16FB61,6BF911A6,1,13,20,30,38,43,30,38,43,2,1,
015A33F8,-1464975990,5189,normal,0,Patrice Kampanee,Patrice Kampanee,,,94884506,220FE735,B7273F0A,C2CDF341,6CFB4F3A,E40D7BD6,A86FFCEF,BF1E010B,6BF911A6,1,13,20,30,38,43,30,38,43,5,6,
016F77E8,-1466205798,3607,normal,0,Eka,Eka,,,046D8ECB,F0D9C57B,8E80318B,E2F3F24A,82477007,D1A8183F,180A76C8,A722BBD9,723D7CA1,1,13,20,30,38,43,30,38,43,0,11,
017D2472,-1467405824,3099,normal,0,Spookie Otherside,Spookie Otherside,,,5778826C,EA792B82,06494D1C,F41CA91F,E2F3F24A,D1A8183F,0A06F8B0,7670BFA2,47981F48,1,13,20,30,38,43,30,38,43,0,6,
018B7F62,-1468042992,4956,normal,0,Fei Rune,Fei Rune,1,,F2ED0B24,0B00A7A9,B6BF309C,FC3BBA19,1080AF00,6BF911A6,A7AA4FF9,8E06E524,E40D7BD6,1,13,20,30,38,43,30,38,43,0,14,
0198C201,-1469264781,846,normal,0,Andy Wallpole,Andy Wallpole,,,744A5172,9B73B543,BC27E078,F6162413,6CFB4F3A,E40D7BD6,5B226AF2,1ED61D8F,6BF911A6,1,13,20,30,38,43,30,38,43,1,10,
019E856B,-1469412583,3478,normal,0,Elijah Singleton,Elijah Singleton,,,122F1F50,835F0219,CEB95504,FE9CFDDB,3657F62A,E40D7BD6,B435C018,8E06E524,47981F48,1,13,20,30,38,43,30,38,43,4,9,
01A02C92,-1470881056,4830,normal,0,Coryn Fong,Coryn Fong,,,5778826C,5B32677A,EA770B0D,F270A236,1289A5AB,47981F48,177C2217,97071306,6BF911A6,1,13,20,30,38,43,30,38,43,2,2,
01A0E982,384621588,3500,hero,6,Fei Rune,Fei Rune,,,0B00A7A9,0A06F8B0,1080AF00,1080AF00,1080AF00,6E43035E,,,,1,13,20,30,38,43,0,0,0,2,1,5A514F49
01A45E73,-1471131647,1302,normal,0,Travis Borer,Travis Borer,,,16499975,2234F4DC,689DC91F,546F2DC4,2DCA5423,723D7CA1,013D342B,EE3A9349,47981F48,1,13,20,30,38,43,30,38,43,4,3,
01ADE52B,-1470502055,3181,normal,0,Rio Sands,Rio Sands,,,D5B95E1F,2A0DCADD,7A9CE04F,7776E0BB,27EA6D01,6BF911A6,E25E3884,A36F239D,E40D7BD6,1,13,20,30,38,43,30,38,43,3,9,
01AF8625,-1470396329,1907,normal,0,Joan Rodríguez,Juan Nadal,,,D5B95E1F,32929A4E,9BD05F02,446AA917,AB6D0E75,E40D7BD6,E94EEA7E,CE21ACAC,47981F48,1,13,20,30,38,43,30,38,43,3,6,
01E25080,578671059,1091,normal,0,Kormer,Kormer,,,9B73B543,,,,,,,,,1,0,0,0,0,0,0,0,0,4,3,
01E779CE,-1475119172,15,normal,0,Ben Simmons,Ben Simmons,,,5778826C,013D342B,44C94356,D6AEF1B7,019EDE6A,47981F48,019EDE6A,DE24287F,E40D7BD6,1,13,20,30,38,43,30,38,43,5,10,
01F7A52D,-1476154529,5307,normal,0,Kali Seaborn,Kali Seaborn,,,122F1F50,220FE735,EE997908,C3DBA1D0,6CFB4F3A,E40D7BD6,9BC0528A,9F053EEE,6BF911A6,1,13,20,30,38,43,30,38,43,5,1,
02094A80,-1409465102,2108,normal,0,Anders Thettock,Anders Thettock,,,57DB682D,257B9E02,6305EFC5,B351B4A7,A3DCC454,6BF911A6,F5A73140,683E235E,723D7CA1,1,13,20,30,38,43,30,38,43,3,7,
020D20F7,-2091769133,4955,normal,0,Victorio Cryptix,Victorio Cryptix,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,4,
02154140,-1411297486,5470,normal,0,Adal Miramond,Adal Miramond,,,D5B95E1F,A9F15A5E,6B8F360D,E9ED003F,2DCA5423,E40D7BD6,C1CF01DB,C8538A82,6BF911A6,1,13,20,30,38,43,30,38,43,1,8,
02197A14,-1410501530,3663,normal,0,Chell,Chell,,,744A5172,F4BCC4F9,A9F15A5E,8739843C,C5B98A76,6BF911A6,B58DDFE0,F2D34877,723D7CA1,1,13,20,30,38,43,30,38,43,0,6,
0219E23F,-1410470835,5548,normal,0,Robert Kleiser,Robert Kleiser,1,,D5B95E1F,220FE735,F6162413,DA79BDB3,4F6A7665,6BF911A6,EE997908,6CFB4F3A,E40D7BD6,1,13,20,30,38,43,30,38,43,2,1,
021C166F,-1410852835,826,normal,0,Vance Bookings,Vance Bookings,,,90EEC323,031CA746,2ED8AB31,230798A3,BE9E8ABD,D1A8183F,F6B5CE52,A87FF167,47981F48,1,13,20,30,38,43,30,38,43,0,7,
021C7047,-1410826699,5748,normal,0,Dylan Keats,Dylan Keats,,,F2ED0B24,AF1B85D8,06594094,0DD16BC6,88FC372A,6BF911A6,32929A4E,74741221,E40D7BD6,1,13,20,30,38,43,30,38,43,1,12,
02208A1D,-1412135825,1282,normal,0,Carl Rhodes,Carl Rhodes,,,53BDEE08,0DD16BC6,2D69BE62,013D342B,EE3A9349,47981F48,546F2DC4,2DCA5423,E40D7BD6,1,13,20,30,38,43,30,38,43,1,12,
0222D9BE,-1411983412,4397,normal,0,Lorcan Oxfield,Lorcan Oxfield,,,94884506,47785605,73006B16,3B0E1117,7F74CD53,723D7CA1,7776E0BB,47685B8D,6BF911A6,1,13,20,30,38,43,30,38,43,1,6,
02293145,-1411563721,3201,normal,0,Ash Cagger,Ash Cagger,,,16499975,88C724C3,D59710C4,94A60BDD,08A1BF72,47981F48,7A9CE04F,A36F239D,E40D7BD6,1,13,20,30,38,43,30,38,43,1,6,
022B524B,-1411425223,1891,normal,0,Roland Pérec,Roland Pérec,,,D1DFD83A,B4962A59,F94B6EAD,446AA917,F2D34877,723D7CA1,8F10B7B5,29ACD206,47981F48,1,13,20,30,38,43,30,38,43,1,7,
0234719A,-635979124,4949,normal,0,UM-BZ9,KR-K9,,,904D2962,767E9F2D,A7AA4FF9,C3766B1E,00254635,D1A8183F,603C0EB6,B3E2536E,E40D7BD6,1,13,20,30,38,43,30,38,43,4,3,
0236F007,-1413284235,600,normal,0,Bill Mumm,Bill Mumm,,,94884506,0E5B6D7C,74741221,54543E2D,43AD37E9,6BF911A6,446AA917,F2D34877,723D7CA1,1,13,20,30,38,43,30,38,43,0,2,
024A9476,657096377,3346,fabled,8,Raika Shinohara,Raika Shinohara,,,B3DC103D,1044B13A,F270A236,B4962A59,97071306,6BF911A6,CC003FC1,A5A0C2F5,6BF911A6,1,13,20,30,38,43,30,38,43,3,1,
025029AD,354163771,4932,hero,5,Thierry Reyes,Thierry Reyes,,,A189296D,683E235E,BD0AA100,A189296D,683E235E,E40D7BD6,,,,1,13,20,30,38,43,0,0,0,3,5,59A18F66
0263ADA0,-1416125486,3,normal,0,Jack Wallside,Jack Wallside,,,90EEC323,879A6E7D,7C5D21A8,F5A73140,3B0E1117,47981F48,F5A73140,683E235E,723D7CA1,1,13,20,30,38,43,30,38,43,5,8,
0268FABB,-1415777079,4477,normal,0,Eddy O'Ryan,Eddy O'Ryan,,,57DB682D,ED137FB2,50A7E688,2ABE2D14,44C94356,723D7CA1,58937FA1,2BA5D8AD,6BF911A6,1,13,20,30,38,43,30,38,43,5,2,
02693477,442193342,2471,normal,0,Arion Sherwind,Arion Sherwind,,,8488916F,DAF14993,4B37E3A9,D9704126,,,,,,1,13,20,30,0,0,0,0,0,2,12,
0275D7BA,-1417553464,1217,normal,0,Mike Passing,Mike Passing,,,744A5172,9B48A6AA,67FB9048,6305EFC5,0A9E0118,6BF911A6,9C07CC74,2ED8AB31,E40D7BD6,1,13,20,30,38,43,30,38,43,3,5,
028C5933,-1418176703,2518,normal,0,Socrat Eiss,Socrat Eiss,,,D1DFD83A,842B7B2E,ED9B8B92,32929A4E,019EDE6A,47981F48,73B38CDF,44D94EDE,6BF911A6,1,13,20,30,38,43,30,38,43,1,4,
028CD67E,-1418143732,2143,normal,0,Montaine Skalin,Montaine Skalin,,,122F1F50,257B9E02,F5A73140,EC052D23,AF1B85D8,6BF911A6,6305EFC5,683E235E,E40D7BD6,1,13,20,30,38,43,30,38,43,2,4,
02941849,-1419766213,3919,normal,0,Desmodus Drakul,Desmodus Drakul,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,9,
02C42995,-1422907417,491,normal,0,Alton Oldhat,Alton Oldhat,,,708F3D16,904879D8,3A80BA2E,F5A73140,683E235E,723D7CA1,CD084057,2B936C6C,6BF911A6,1,13,20,30,38,43,30,38,43,3,2,
02E4DD1D,-1424960657,1011,normal,0,Erik Eagle,Erik Eagle,,,57DB682D,11A04950,019EDE6A,5F6FF2B6,7800B464,E40D7BD6,5B32677A,9B48A6AA,6BF911A6,1,13,20,30,38,43,30,38,43,2,7,
02ECD795,-1406546011,5889,normal,0,Gentian,Gentian,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,10,
02F9F01C,-1425146258,3079,normal,0,Dos Lightning,Dos Lightning,,,357B4A6B,5B918D3B,E8C04147,4CDB6336,BF1E010B,6BF911A6,C2CDF341,6CFB4F3A,E40D7BD6,1,13,20,30,38,43,30,38,43,0,10,
0305066D,-1427044321,5340,normal,0,Ryker Strive,Ryker Strive,,,531E0449,3741A4BB,6305EFC5,7A9CE04F,683E235E,E40D7BD6,D59710C4,08A1BF72,47981F48,1,13,20,30,38,43,30,38,43,1,10,
030643A2,-1426960944,481,normal,0,Paul Downs,Paul Downs,,,53BDEE08,8739843C,D6AEF1B7,E9ED003F,B3E2536E,723D7CA1,689DC91F,43BD3A61,47981F48,1,13,20,30,38,43,30,38,43,0,10,
030F668B,339956509,1058,hero,7,Gazelle,Gazelle,,,1E65FA46,A9F15A5E,183CC209,A9F15A5E,183CC209,E40D7BD6,,,,1,13,20,30,38,43,0,0,0,0,10,58FEC040
0317B2A7,-1427915563,4715,normal,0,Ayle Holland,Ayle Holland,,,F2ED0B24,ACAA908B,D636081F,2DCA5423,5DFE01B5,6BF911A6,C1DF0C53,411A7DA3,47981F48,1,13,20,30,38,43,30,38,43,2,4,
0326B72A,-1429030568,1001,normal,0,Ace Bragg,Ace Bragg,,,F2ED0B24,B4962A59,EE2A9EC1,446AA917,D17962C1,E40D7BD6,8C395B4E,47E0AFAD,6BF911A6,1,13,20,30,38,43,30,38,43,2,1,
032EB7DF,-1428506195,4668,normal,0,Arden Drax,Arden Drax,,,D1DFD83A,A709A5B8,EA770B0D,64F962D2,D59710C4,47981F48,00852BD3,BD0AA100,6BF911A6,1,13,20,30,38,43,30,38,43,1,14,
032EBDA2,-1377065582,2425,normal,0,Gentian,Gentian,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,10,
03322173,-1429852415,1037,normal,0,Tyler Thomas,Tyler Thomas,,,122F1F50,CA7C3960,019EDE6A,8C395B4E,EE997908,E40D7BD6,8C395B4E,A06DD107,6BF911A6,1,13,20,30,38,43,30,38,43,4,6,
03397668,-1429374950,2633,normal,0,Bay Laurel,Bay Laurel,,,531E0449,2EC8A6B9,C9F63FDA,7A9CE04F,6FF9BDA0,723D7CA1,D59710C4,08A1BF72,47981F48,1,13,20,30,38,43,30,38,43,5,1,
033B9A2B,-1429236647,3089,normal,0,Cham Barra,Cham Barra,,,D5B95E1F,FC985058,C3DBA1D0,256B938A,08A1BF72,47981F48,603C0EB6,F8FED67D,723D7CA1,1,13,20,30,38,43,30,38,43,2,5,
034E3304,-1430635146,2528,normal,0,Connor Fuschius,Connor Fuschius,,,94884506,C17CE612,15EDD114,40AFC573,708A6DAC,E40D7BD6,3647FBA2,C8538A82,6BF911A6,1,13,20,30,38,43,30,38,43,2,9,
034EBC49,-1430605253,2133,normal,0,Kit Fischer,Kit Fischer,,,57DB682D,B435C018,74741221,ED8B861A,028C2178,47981F48,AB6D0E75,F2D34877,E40D7BD6,1,13,20,30,38,43,30,38,43,0,3,
0377CEAB,-907432025,0,normal,0,,,,,94884506,4B37E3A9,546F2DC4,E69B54E0,CF94147C,723D7CA1,70129404,EE3A9349,47981F48,1,13,20,30,38,43,30,38,43,3,11,
038E4D84,-1434827786,3590,normal,0,Soldado de terracota 3,Terracotta Warrior 3,,,16499975,57F526F6,4DF6224E,338AE850,27EA6D01,47981F48,B341B92F,3D6C3AB1,D1A8183F,1,13,20,30,38,43,30,38,43,3,3,
03A148DA,-1437251928,3928,normal,0,Steve Grim,Steve Grim,1,,D5B95E1F,411A7DA3,E69B54E0,C5B98A76,CF94147C,E40D7BD6,0A06F8B0,08A1BF72,47981F48,1,13,20,30,38,43,30,38,43,1,10,
03A33B7F,-656049099,1147,normal,0,Victoria Vanguard,Victoria Vanguard,,,A0F528AF,EE3A9349,,,,,,,,1,13,0,0,0,0,0,0,0,3,8,
03AA908C,-1436639490,5029,normal,0,Jude Sharp,Jude Sharp,,,94884506,019EDE6A,67FB9048,32929A4E,B4AD39B0,E40D7BD6,A719A830,3931AF7D,6BF911A6,1,13,20,30,38,43,30,38,43,1,6,
03B7BD8D,-1438403585,1207,normal,0,Maurice Badgame,Maurice Badgame,,,5778826C,879A6E7D,C26E1900,73006B16,1A037C63,47981F48,A06DD107,683E235E,E40D7BD6,1,13,20,30,38,43,30,38,43,0,11,
03BCEA96,-1438063388,2729,normal,0,Gadish Oldman,Gadish Oldman,,,16499975,842B7B2E,1EC61007,6B3CD1C4,7A3F0A0E,47981F48,E25E3884,A36F239D,723D7CA1,1,13,20,30,38,43,30,38,43,5,12,
03CB20B7,-1438699835,2098,normal,0,Carol Fairfoot,Carol Fairfoot,,,D5B95E1F,257B9E02,6305EFC5,A7915C10,708A6DAC,6BF911A6,F5A73140,683E235E,723D7CA1,1,13,20,30,38,43,30,38,43,2,2,
03DE1A70,-1440082942,5758,normal,0,Norbert Poindexter,Norbert Poindexter,,,B3DC103D,11A04950,32929A4E,74741221,88FC372A,6BF911A6,5B32677A,9BD05F02,47981F48,1,13,20,30,38,43,30,38,43,5,7,
03DE7C58,-1440058838,836,normal,0,Theo Riser,Theo Riser,,,708F3D16,5CE5F40C,E8C04147,C2CDF341,6CFB4F3A,E40D7BD6,BC27E078,029C2CF0,6BF911A6,1,13,20,30,38,43,30,38,43,2,3,
03E0B389,-1441481221,4413,normal,0,He Liu,He Liu,,,57DB682D,10A836C6,F051315B,34766547,8A455DEF,D1A8183F,C3DBA1D0,6CFB4F3A,E40D7BD6,1,13,20,30,38,43,30,38,43,1,5,
03E2E02A,-1441337768,1272,normal,0,Bertram Manning,Bertram Manning,,,5778826C,8739843C,70129404,546F2DC4,B3E2536E,E40D7BD6,73A38157,EE3A9349,47981F48,1,13,20,30,38,43,30,38,43,4,4,
03E9387C,-1440926194,1901,normal,0,Michel Morland,Michel Morland,,,90EEC323,9B48A6AA,689DC91F,2319B5A4,88FC372A,6BF911A6,013D342B,43BD3A61,47981F48,1,13,20,30,38,43,30,38,43,0,11,
03EB5B72,-1440787200,3211,normal,0,Singer Long,Singer Long,,,53BDEE08,10A836C6,FC985058,681B1DB0,A3C2E953,D1A8183F,BDA94B41,08A1BF72,47981F48,1,13,20,30,38,43,30,38,43,1,6,
03F49A30,-1442802622,610,normal,0,Al Reddie,Al Reddie,,,90EEC323,2E7B4170,400C2F32,74741221,F2D34877,723D7CA1,F94B6EAD,028C2178,47981F48,1,13,20,30,38,43,30,38,43,0,1,
04079A90,-1376545566,4369,normal,0,Astero Black,Astero Black,1,,357B4A6B,3931AF7D,C50A6DBF,54DCCA0D,2F60B4C9,6BF911A6,019EDE6A,44C94356,E40D7BD6,1,13,20,30,38,43,30,38,43,4,5,
040F6433,-1376032191,4107,normal,0,Brimstone Bol,Brimstone Bol,,,F2ED0B24,4B1CFDC8,180A76C8,B351B4A7,47685B8D,6BF911A6,47534864,FEB7E3BA,723D7CA1,1,13,20,30,38,43,30,38,43,0,1,
040FEB7E,-1376000756,441,normal,0,Tex Tingle,Tex Tingle,,,046D8ECB,B4962A59,4E6209F3,17DC4FF1,F8DBE893,D1A8183F,446AA917,F2D34877,723D7CA1,1,13,20,30,38,43,30,38,43,1,11,
043232F7,-1379517307,3129,normal,0,Ginger Carret,Ginger Carret,,,531E0449,10A836C6,BD0AA100,338AE850,A3C2E953,D1A8183F,C9F63FDA,F8FED67D,723D7CA1,1,13,20,30,38,43,30,38,43,4,7,
04471495,-1380771097,2173,normal,0,Candy Reviva,Candy Reviva,,,57DB682D,98614A51,446AA917,8F10B7B5,028C2178,47981F48,AB6D0E75,D17962C1,E40D7BD6,1,13,20,30,38,43,30,38,43,2,1,
04479BD8,-1380739670,2495,normal,0,Spotter,Spotter,,,53BDEE08,06EAA75D,94A60BDD,7A9CE04F,A36F239D,E40D7BD6,3FCB7D73,08A1BF72,47981F48,1,13,20,30,38,43,30,38,43,2,3,
04560E75,-1381892089,3565,normal,0,Vex Frieden,Vex Frieden,,,D1DFD83A,44C94356,B7273F0A,5B32677A,D17962C1,47981F48,9A5EF43B,62DA0446,6BF911A6,1,13,20,30,38,43,30,38,43,4,5,
045714AC,-1381819682,4093,normal,0,Jory Jinx,Jory Jinx,,,90EEC323,DA79BDB3,6228AEBD,C2CDF341,2A0DCADD,6BF911A6,3D6C3AB1,EE3A9349,47981F48,1,13,20,30,38,43,30,38,43,4,1,
04646742,-1432256654,1130,normal,0,Iggie Loo,Iggie Loo,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,9,
049E1BAB,-1299410285,2,normal,0,Nathan Swift,Nathan Swift,,,16499975,8739843C,7BB1A137,446AA917,,,,,,1,13,20,30,0,0,0,0,0,5,6,
04A01582,-1386996752,5073,normal,0,Caleb Stonewall,Caleb Stonewall,,,D5B95E1F,B7273F0A,35E6E379,16D43067,B7273F0A,723D7CA1,E8C04147,B58DDFE0,6BF911A6,1,13,20,30,38,43,30,38,43,4,8,
04A86F4B,-1386454727,41,normal,0,Chuck Dollman,Chuck Dollman,,,B3DC103D,AC2264AB,400C2F32,B435C018,546F2DC4,6BF911A6,028C2178,29ACD206,47981F48,1,13,20,30,38,43,30,38,43,4,9,
04B2A148,-1387876550,5144,normal,0,Selen Dippity,Selen Dippity,,,94884506,2A0DCADD,EE997908,C9F63FDA,6CFB4F3A,E40D7BD6,5B226AF2,E8F6F586,6BF911A6,1,13,20,30,38,43,30,38,43,5,7,
04D7D484,-1390159114,876,normal,0,Neville List,Neville List,,,122F1F50,98614A51,AB6D0E75,400C2F32,028C2178,47981F48,74741221,D17962C1,723D7CA1,1,13,20,30,38,43,30,38,43,5,9,
04DADE77,-1389441019,5604,normal,0,Lucy Wongfu,Lucy Wongfu,,1,904D2962,D636081F,564D390E,1AA09622,7670BFA2,E40D7BD6,8F10B7B5,979FEAAE,47981F48,1,13,20,30,38,43,30,38,43,0,13,
04DB53B4,-1389404730,5877,normal,0,Shawn Froste,Shawn Froste,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,6,
04E090A0,-1391157550,1869,normal,0,Chris Ellis,Chris Ellis,,,D1DFD83A,AC2264AB,29ACD206,98614A51,FA628256,47981F48,7002998C,ED137FB2,6BF911A6,1,13,20,30,38,43,30,38,43,2,12,
04E2F3AE,-1391002148,3251,normal,0,Indy Iffrent,Indy Iffrent,,,57DB682D,D599304B,FE9CFDDB,AB48309B,9C22F29A,D1A8183F,A7AA4FF9,F8FED67D,E40D7BD6,1,13,20,30,38,43,30,38,43,5,4,
04EB48F6,-1390459260,1312,normal,0,Junior Gambit,Junior Gambit,,,53BDEE08,0DD16BC6,2D69BE62,6B8F360D,A722BBD9,723D7CA1,013D342B,43BD3A61,47981F48,1,13,20,30,38,43,30,38,43,2,10,
04F417C5,330834515,1164,hero,6,Shawn Froste,Shawn Froste,,,3DF4C319,57E52B7E,689DC91F,ACBA9D03,3DF4C319,E40D7BD6,,,,1,13,20,30,38,43,0,0,0,5,1,5F05B10E
04FDBDA1,-1391873069,4065,normal,0,Aoba Gyr,Aoba Gyr,,,860FB8F9,5D5E6C53,F544A552,338AE850,618796E9,D1A8183F,F270A236,EE3A9349,47981F48,1,13,20,30,38,43,30,38,43,0,8,
