# A que altura (0-100 %) acaba la piel de la barbilla/cuello en cada cara (NOTAS O-149).
# Lo genera herramientas/construir_hombros.py.
cara,barbilla
c01003400,75
c01003410,61
c01003420,55
c01003430,60
c01003440,78
c01003450,61
c01003460,75
c01003470,75
c01003480,80
c01003490,74
c01003500,74
c01003510,70
c01003520,57
c01003530,59
c01003540,59
c01003550,75
c01003560,61
c01003570,59
c01003580,75
c01003590,79
c01003600,80
c01003610,53
c01003620,74
c01003630,52
c01003640,59
c01003650,76
c01003660,54
c01003670,63
c01003680,82
c01003690,75
c01003700,58
c01003710,74
c01003720,75
c01003730,79
c01003740,74
c01003750,80
c01003760,50
c01003770,75
c01003780,79
c01003790,50
c01003800,51
c01003810,56
c01003820,75
c01003830,80
c01003840,75
c01003850,74
c01003860,75
c01003870,60
c01003880,50
c01003890,51
c01003900,56
c01003910,54
c01003920,66
c01003930,78
c01003940,74
c01003950,80
c01003960,79
c01003970,50
c01003980,74
c01003990,61
c01004000,80
c01004010,75
c01004020,78
c01004030,75
c01004040,77
c01004050,80
c01004060,71
c01004070,65
c01004080,74
c01004090,75
c01004100,76
c01004110,71
c01004120,75
c01004130,77
c01004140,78
c01004150,50
c01004160,51
c01004170,54
c01004180,78
c01004190,58
c01004200,74
c01004210,54
c01004220,79
c01004230,75
c01004240,56
c01004250,61
c01004260,79
c01004270,55
c01004280,76
c01004290,76
c01004300,76
c01004310,77
c01004320,75
c01004330,61
c01004340,76
c01004350,75
c01004360,54
c01004370,76
c01004380,79
c01004390,77
c01004400,74
c01004410,75
c01004420,73
c01004430,79
c01004440,74
c01004450,82
c01004460,82
c01004470,50
c01004480,74
c01004490,50
c01004500,56
c01004510,58
c01004520,78
c01004530,76
c01004540,76
c01004550,78
c01004560,75
c01004570,75
c01004580,78
c01004590,60
c01004600,75
c01004610,76
c01004620,77
c01004630,80
c01004640,74
c01004650,53
c01004660,63
c01004670,74
c01004680,76
c01004690,79
c01004700,73
c01004710,73
c01004720,75
c01004730,85
c01004740,80
c01004750,76
c01004760,80
c01004770,64
c01004780,77
c01004790,77
c01004800,50
c01004810,57
c01004820,74
c01004830,59
c01004840,61
c01004850,79
c01004860,55
c01004870,75
c01004880,75
c01004890,75
c01004900,77
c01004910,79
c01004920,74
c01004930,75
c01004940,74
c01004950,54
c01004960,57
c01004970,84
c01004980,50
c01004990,74
c01005000,56
c01005010,72
c01005020,73
c01005030,77
c01005040,74
c01005050,76
c01005060,55
c01005070,50
c01005080,73
c01005090,82
c01005100,77
c01005110,67
c01005120,50
c01005130,73
c01005140,74
c01005150,79
c01005160,77
c01005170,77
c01005180,51
c01005190,54
c01005200,84
c01005210,75
c01005220,72
c01005230,72
c01005240,78
c01005250,75
c01005260,50
c01005270,71
c01005280,72
c01005290,54
c01005300,75
c01005310,75
c01005320,75
c01005330,79
c01005340,75
c01005350,50
c01005360,55
c01005370,75
c01005380,76
c01005390,50
c01005400,50
c01005410,75
c01005420,57
c01005430,74
c01005440,76
c01005450,74
c01005460,62
c01005470,74
c01005480,75
c01005490,81
c01005500,50
c01005510,77
c01005520,61
c01005530,76
c01005540,72
c01005550,77
c01005560,76
c01005570,78
c01005580,75
c01005590,77
c01005600,73
c01005610,67
c01005620,77
c01005630,51
c01005640,58
c01005650,74
c01005660,50
c01005670,75
c01005680,74
c01005690,78
c01005700,77
c01005710,78
c01005720,75
c01005730,76
c01005740,67
c01005750,61
c01005760,79
c01005770,74
c01005780,51
c01005790,71
c01005800,75
c01005810,62
c01005820,50
c01005830,65
c01005840,53
c01005850,76
c01005860,51
c01005870,52
c01005880,77
c01005890,61
c01005900,81
c01005910,73
c01005920,83
c01005930,50
c01005940,75
c01005950,59
c01005960,76
c01005970,82
c01005980,51
c01005990,50
c01006000,79
c01006010,53
c01006020,64
c01006030,72
c01006040,73
c01006050,76
c01006060,75
c01006070,80
c01006080,75
c01006090,78
c01006100,74
c01006110,71
c01006120,51
c01006130,75
c01006140,73
c01006150,76
c01006160,75
c01006170,62
c01006180,77
c01006190,74
c01006200,77
c01006210,50
c01006220,76
c01006230,76
c01006240,76
c01006250,77
c01006260,53
c01006270,73
c01006280,61
c01006290,75
c01006300,79
c01006310,59
c01006320,76
c01006330,76
c01006340,75
c01006350,52
c01006360,76
c01006370,77
c01006380,77
c01006390,52
c01006400,74
c01006410,73
c01006420,55
c01006430,74
c01006440,77
c01006450,72
c01006460,75
c01006470,57
c01006480,77
c01006490,75
c01006500,80
c01006510,75
c01006520,76
c01006530,79
c01006540,76
c01006550,81
c01006560,57
c01006570,77
c01006580,75
c01006590,77
c01006600,79
c01006610,55
c01006620,74
c01006630,75
c01006640,76
c01006650,75
c01006660,76
c01006670,51
c01006680,75
c01006690,76
c01006700,64
c01006710,52
c01006720,77
c01006730,70
c01006740,80
c01006750,77
c01006760,55
c01006770,53
c01006780,75
c01006790,60
c01006800,75
c01006810,76
c01006820,55
c01006830,76
c01006840,73
c01006850,80
c01006860,76
c01006870,77
c01006880,76
c01006890,81
c01006900,73
c01006910,75
c01006920,79
c01006930,50
c01006940,80
c01006950,77
c01006960,75
c01006970,76
c01006980,50
c01006990,56
c01007000,73
c01007010,74
c01007020,79
c01007030,73
c01007040,73
c01007050,68
c01007060,50
c01007070,75
c01007080,73
c01007090,52
c01007100,52
c01007110,63
c01007120,55
c01007130,78
c01007140,74
c01007150,54
c01007160,79
c01007170,75
c01007180,71
c01007190,74
c01007200,50
c01007210,73
c01007220,52
c01007230,79
c01007240,74
c01007250,56
c01007260,75
c01007270,77
c01007280,82
c01007290,77
c01007300,81
c01007310,75
c01007320,82
c01007330,78
c01007340,59
c01007350,80
c01007360,75
c01007370,62
c01007380,74
c01007390,55
c01007400,72
c01007410,75
c01007420,75
c01007430,78
c01007440,77
c01007450,74
c01007460,52
c01007470,73
c01007480,78
c01007490,75
c01007500,80
c01007510,76
c01007520,50
c01007530,76
c01007540,83
c01007550,75
c01007560,80
c01007570,80
c01007580,75
c01007590,77
c01007600,79
c01007610,80
c01007620,75
c01007630,75
c01007640,76
c01007650,59
c01007660,77
c01007670,81
c01007680,54
c01007690,55
c01007700,65
c01007710,50
c01007720,81
c01007730,75
c01007740,51
c01007750,81
c01007760,71
c01007770,74
c01007780,75
c01007790,76
c01007800,58
c01007810,75
c01007820,50
c01007830,79
c01007840,70
c01007850,84
c01007860,82
c01007870,77
c01007880,77
c01007890,76
c01007900,75
c01007910,66
c01007920,75
c01007930,71
c01007940,77
c01007950,77
c01007960,81
c01007970,76
c01007980,76
c01007990,75
c01008000,79
c01008010,76
c01008020,74
c01008030,59
c01008040,78
c01008050,75
c01008060,58
c01008070,73
c01008080,81
c01008090,57
c01008100,79
c01008110,72
c01008120,71
c01008130,86
c01008140,79
c01008150,83
c01008160,77
c01008170,75
c01008180,78
c01008190,77
c01008200,50
c01008210,51
c01008220,76
c01008230,55
c01008240,76
c01008250,51
c01008260,52
c01008270,57
c01008280,76
c01008290,73
c01008300,77
c01008310,61
c01008320,73
c01008330,56
c01008340,73
c01008350,50
c01008360,59
c01008370,76
c01008380,78
c01008390,75
c01008400,71
c01008410,76
c01008420,75
c01008430,75
c01008440,75
c01008450,77
c01008460,77
c01008470,79
c01008480,75
c01008490,74
c01008500,72
c01008510,81
c01008520,64
c01008530,77
c01008540,61
c01008550,58
c01008560,71
c01008570,78
c01008580,74
c01008590,74
c01008600,78
c01008610,63
c01008620,73
c01008630,71
c01008640,50
c01008650,76
c01008660,73
c01008670,76
c01008680,57
c01008690,57
c01008700,59
c01008710,76
c01008720,76
c01008730,54
c01008740,62
c01008750,75
c01008760,73
c01008770,72
c01008780,73
c01008790,74
c01008800,76
c01008810,82
c01008820,79
c01008830,74
c01008840,76
c01008850,74
c01008860,54
c01008870,73
c01008880,67
c01008890,76
c01008900,53
c01008910,73
c01008920,81
c01008930,75
c01008940,52
c01008950,76
c01008960,74
c01008970,75
c01008980,55
c01008990,79
c01009000,75
c01009010,77
c01009020,78
c01009030,83
c01009040,74
c01009050,74
c01009060,55
c01009070,85
c01009080,74
c01009090,76
c01009100,75
c01009110,54
c01009120,75
c01009130,73
c01009140,71
c01009150,75
c01009160,75
c01009170,73
c01009180,75
c01009190,75
c01009200,77
c01009210,75
c01009220,50
c01009230,83
c01009240,75
c01009250,86
c01009260,77
c01009270,72
c01009280,76
c01009290,76
c01009300,80
c01009310,76
c01009320,78
c01009330,57
c01009340,79
c01009350,72
c01009360,75
c01009370,50
c01009380,61
c01009390,76
c01009400,77
c01009410,77
c01009420,75
c01009430,71
c01009440,73
c01009450,82
c01009460,60
c01009470,76
c01009480,74
c01009490,77
c01009500,64
c01009510,75
c01009520,77
c01009530,75
c01009540,74
c01009550,74
c01009560,75
c01009570,77
c01009580,72
c01009590,75
c01009600,74
c01009610,77
c01009620,75
c01009630,74
c01009640,71
c01009650,75
c01009660,75
c01009670,73
c01009680,75
c01009690,71
c01009700,81
c01009710,77
c01009720,76
c01009730,80
c01009740,76
c01009750,82
c01009760,73
c01009770,77
c01009780,79
c01009790,74
c01009800,79
c01009810,75
c01009820,77
c01009830,77
c01009840,80
c01009850,70
c01009860,76
c01009870,76
c01009880,72
c01009890,50
c01009900,76
c01009910,75
c01009920,74
c01009930,76
c01009940,74
c01009950,78
c01009960,84
c01009970,77
c01009980,76
c01009990,77
c01010000,75
c01010010,81
c01010020,76
c01010030,72
c01010040,71
c01010050,77
c01010060,75
c01010070,81
c01010080,76
c01010090,75
c01010100,75
c01010110,64
c01010120,72
c01010130,74
c01010140,74
c01010150,77
c01010160,78
c01010170,80
c01010180,73
c01010190,76
c01010200,76
c01010210,79
c01010220,76
c01010230,77
c01010240,75
c01010250,84
c01010260,78
c01010270,78
c01010280,72
c01010290,75
c01010300,86
c01010310,76
c01010320,79
c01010330,75
c01010340,80
c01010350,74
c01010360,75
c01010370,77
c01010380,75
c01010390,76
c01010400,72
c01010410,71
c01010420,75
c01010430,74
c01010440,74
c01010450,79
c01010460,81
c01010470,60
c01010480,75
c01010490,80
c01010500,76
c01010510,75
c01010520,64
c01010530,72
c01010540,76
c01010550,77
c01010560,82
c01010570,73
c01010580,80
c01010590,78
c01010600,72
c01010610,77
c01010620,81
c01010630,80
c01010640,74
c01010650,82
c01010660,74
c01010670,76
c01010680,78
c01010690,75
c01010700,76
c01010710,76
c01010720,80
c01010730,71
c01010740,83
c01010750,75
c01010760,75
c01010770,75
c01010780,73
c01010790,74
c01010800,75
c01010810,72
c01010820,60
c01010830,72
c01010840,75
c01010850,58
c01010860,78
c01010870,57
c01010880,75
c01010890,73
c01010900,73
c01010910,51
c01010920,75
c01010930,60
c01010940,57
c01010960,54
c01010970,54
c01010980,61
c02020810,50
c02020820,66
c02020830,74
c02020840,80
c02020850,62
c02020860,75
c02020870,64
c02020880,57
c02020890,55
c02020900,74
c02020910,50
c02021010,54
c02021020,74
c02021030,50
c02021040,83
c02021050,50
c02021060,75
c02021070,74
c02021080,77
c02021090,75
c02021100,74
c02021110,74
c02021210,67
c02021220,76
c02021230,61
c02021240,54
c02021250,79
c02021260,64
c02021270,50
c02021280,65
c02021290,56
c02021300,54
c02021310,74
c02021410,50
c02021420,54
c02021430,74
c02021440,62
c02021450,55
c02021460,52
c02021470,73
c02021480,50
c02021490,78
c02021500,73
c02021510,50
c02021810,78
c02021820,52
c02021830,53
c02021840,62
c02021850,67
c02021860,63
c02021870,71
c02021880,80
c02021890,68
c02021900,62
c02021910,56
c02022210,57
c02022220,66
c02022230,73
c02022240,78
c02022250,76
c02022260,75
c02022270,55
c02022280,80
c02022290,74
c02022300,50
c02022310,82
c02022430,74
c02022440,72
c02022470,75
c02022480,57
c02022490,55
c02022610,61
c02022620,50
c02022650,75
c02022660,69
c02022690,76
c02022710,73
c02023010,82
c02023020,54
c02023030,52
c02023040,81
c02023050,71
c02023060,50
c02023070,76
c02023080,53
c02023090,74
c02023100,74
c02023110,55
c02023120,50
c02023130,64
c02023140,50
c02023150,72
c02023160,84
c02023210,51
c02023220,75
c02023230,50
c02023240,52
c02023250,71
c02023260,55
c02023270,52
c02023280,63
c02023290,73
c02023300,61
c02023310,59
c02023320,75
c02023330,76
c02023340,76
c02023350,56
c02023360,75
c02023370,100
c02023380,73
c02023385,73
c02023390,58
c02023410,77
c02023420,74
c02023430,72
c02023440,74
c02023450,61
c02023460,82
c02023470,75
c02023480,76
c02023490,59
c02023500,73
c02023510,59
c02023520,55
c02023530,73
c02023540,63
c02023550,74
c02023560,75
c02023610,66
c02023620,50
c02023630,52
c02023640,84
c02023650,77
c02023660,56
c02023670,64
c02023680,63
c02023690,77
c02023700,50
c02023710,62
c02023720,76
c02023730,54
c02023740,54
c02023750,62
c02023760,53
c02023810,52
c02023820,75
c02023830,74
c02023840,75
c02023850,57
c02023860,60
c02023870,51
c02023880,62
c02023890,76
c02023900,50
c02023910,74
c02023920,71
c02023930,75
c02023940,81
c02023950,60
c02023960,54
c02024010,71
c02024020,65
c02024030,79
c02024040,74
c02024050,50
c02024060,58
c02024070,74
c02024071,55
c02024080,57
c02024090,63
c02024100,50
c02024110,57
c02024120,75
c02024130,52
c02024140,50
c02024150,65
c02024160,54
c02024210,75
c02024220,74
c02024230,62
c02024240,74
c02024250,50
c02024260,60
c02024270,75
c02024280,52
c02024290,53
c02024300,64
c02024310,75
c02024320,64
c02024410,80
c02024420,72
c02024430,73
c02024440,75
c02024450,73
c02024460,54
c02024470,72
c02024480,72
c02024490,74
c02024500,74
c02024510,74
c02024520,52
c02024530,73
c02024540,74
c02024550,75
c02024560,79
c02024610,53
c02024620,50
c02024630,50
c02024640,74
c02024650,52
c02024660,74
c02024670,54
c02024680,73
c02024690,73
c02024700,50
c02024710,75
c02024720,76
c02024730,74
c02024740,55
c02024741,55
c02024750,73
c02024760,72
c02025010,76
c02025020,59
c02025030,74
c02025040,55
c02025050,54
c02025060,51
c02025070,50
c02025080,74
c02025090,74
c02025100,50
c02025110,79
c02025120,57
c02025130,50
c02025140,75
c02025150,51
c02025160,62
c02025170,59
c02025180,75
c02025190,75
c02025200,50
c02025210,50
c02025220,50
c02025230,74
c02025240,75
c02025250,76
c02025260,50
c02025270,55
c02025280,75
c02025290,57
c02025300,74
c02025310,73
c02025320,50
c02025330,75
c02025340,51
c02025350,50
c02025360,79
c02025370,77
c02025380,68
c02025390,52
c02025400,50
c02025410,74
c02025420,73
c02025430,75
c02025440,74
c02025450,74
c02025460,50
c02025470,55
c02025480,50
c02025490,77
c02025500,79
c02025510,67
c02025520,61
c02025530,84
c02025540,52
c02025550,56
c02025560,74
c02025570,52
c02025580,50
c02025590,60
c02025600,73
c02025610,50
c02025620,74
c02025630,55
c02025640,53
c02025650,50
c02025660,72
c02025670,80
c02025680,57
c02025690,64
c02025700,75
c02025710,50
c02025720,58
c02025730,65
c02025740,75
c02025750,56
c02025760,53
c02025770,71
c02025780,58
c02025790,77
c02025800,64
c02025810,61
c02025820,63
c02025830,58
c02025840,73
c02025850,76
c02025860,73
c02025870,63
c02025880,75
c02025890,57
c02025900,79
c02025910,50
c02025920,50
c02025930,51
c02025940,55
c02025950,56
c02025960,55
c02025970,75
c02025980,54
c02025990,52
c02026000,50
c02026010,60
c02026020,76
c02026030,50
c02026040,50
c02026050,53
c02026060,75
c02026070,73
c02026080,55
c02026090,73
c02026100,51
c02026110,73
c02026120,75
c02026130,52
c02026140,66
c02026150,74
c02026160,73
c02026170,73
c02026180,74
c02026190,54
c02026200,73
c02026210,74
c02026220,74
c02026230,55
c02026240,50
c02026250,73
c02026260,73
c02026270,75
c02026280,68
c02026290,51
c02026300,59
c02026310,59
c02026320,74
c02026330,75
c02026340,75
c02026350,79
c02026360,50
c02026370,54
c02026380,63
c02026390,61
c02026400,57
c02026410,74
c02026420,74
c02026430,52
c02026440,80
c02026450,75
c02026460,50
c02026470,51
c02026480,55
c02026490,68
c02026500,78
c02026510,73
c02026520,50
c02026530,57
c02026540,50
c02026550,75
c02026560,54
c02026570,71
c02026580,54
c02026590,79
c02026600,50
c02026610,50
c02026620,61
c02026630,55
c02026640,54
c02026650,93
c02026660,54
c02026670,54
c02026680,50
c02026690,50
c02026700,76
c02026710,75
c02026720,64
c02026730,84
c02026740,75
c02026750,75
c02026760,75
c02026770,55
c02026780,64
c02026790,55
c02026800,80
c02026810,75
c02026820,75
c02026830,51
c02026840,73
c02026850,73
c02026860,58
c02026870,57
c02026880,55
c02026890,55
c02026900,73
c02026910,58
c02026920,53
c02026930,60
c02026940,50
c02026950,51
c02026960,74
c02026970,76
c02026980,72
c02026990,74
c02027000,50
c02027010,76
c02027020,50
c02027030,59
c02027040,64
c02027050,74
c02027060,76
c02027070,68
c02027080,77
c02027090,67
c02027100,77
c02027110,50
c02027120,78
c02027130,75
c02027140,55
c02027150,73
c02027160,79
c02027170,73
c02027180,75
c02027190,58
c02027200,57
c02027210,76
c02027220,55
c02027230,71
c02027240,76
c02027250,77
c02027260,60
c02027270,62
c02027280,63
c02027290,84
c02027300,57
c02027310,50
c02027320,51
c02027330,50
c02027340,56
c02027350,59
c02027360,75
c02027370,74
c02027380,74
c02027390,64
c02027400,75
c02027410,75
c02027420,75
c02027430,56
c02027440,69
c02027450,50
c02027460,50
c02027470,75
c02027480,50
c02027490,75
c02027500,55
c02027510,75
c02027520,58
c02027530,69
c02027540,53
c02027550,77
c02027560,76
c02027570,76
c02027580,52
c02027590,63
c02027600,50
c02027610,52
c02027620,59
c02027630,50
c02027640,75
c02027650,74
c02027660,75
c02027670,77
c02027680,75
c02027690,80
c02027700,61
c02027710,75
c02027720,50
c02027730,54
c02027740,76
c02027750,57
c02027760,57
c02027770,50
c02027780,74
c02027790,73
c02027800,57
c02027810,50
c02027820,78
c02027830,50
c02027840,60
c02027850,50
c02027860,73
c02027870,50
c02027880,50
c02027890,62
c02027900,73
c02027910,52
c02027920,64
c02027930,73
c02027940,58
c02027950,75
c02027960,73
c02027970,75
c02027980,74
c02027990,52
c02028000,62
c02028010,51
c02028020,77
c02028030,76
c02028040,75
c02028050,75
c02028060,50
c02028070,77
c02028080,75
c02028090,73
c02028100,60
c02028110,73
c02028120,75
c02028130,74
c02028140,75
c02028150,56
c02028160,75
c02028170,75
c02028180,77
c02028190,61
c02028200,74
c02028210,62
c02028220,65
c02028230,67
c02028240,76
c02028250,50
c02028260,70
c02028270,61
c02028280,74
c02028290,72
c02028300,76
c02028310,75
c02028320,74
c02028330,73
c02028340,76
c02028350,51
c02028360,75
c02028370,50
c02028380,57
c02028390,50
c02028400,51
c02028410,75
c02028420,55
c02028430,51
c02028440,74
c02028450,51
c02028460,57
c02028470,75
c02028480,73
c02028490,75
c02028500,55
c02028510,75
c02028520,62
c02028530,56
c02028540,75
c02028550,75
c02028560,76
c02028570,50
c02028580,75
c02028590,61
c02028600,73
c02028610,69
c02028620,75
c02028630,75
c02028640,61
c02028650,73
c02028660,74
c02028670,75
c02028680,50
c02028690,66
c02028700,72
c02028710,68
c02028720,66
c02028730,59
c02028740,69
c02028750,72
c02028760,68
c02028770,67
c02028780,59
c02028790,75
c02028800,52
c02028810,58
c02028820,66
c02028830,74
c02028840,51
c02028850,51
c02028860,75
c02028870,74
c02028880,74
c02028890,77
c02028900,57
c02028910,60
c02028920,75
c02028930,54
c02028940,81
c02028950,57
c02028960,52
c02028970,58
c02028980,75
c02028990,74
c02029000,75
c02029010,58
c02029020,74
c02029030,75
c02029040,82
c02029050,76
c02029060,80
c02029070,77
c02029080,68
c02029090,70
c02029100,76
c02029110,60
c02029120,76
c02029130,62
c02029140,66
c02029150,66
c02029160,50
c02029170,74
c02029180,72
c02029190,77
c02029200,50
c02029210,75
c02029220,52
c02029230,52
c02029240,50
c02029250,74
c02029260,52
c02029270,55
c02029280,62
c02029290,57
c02029500,73
c03030010,74
c03030020,51
c03030030,75
c03030040,53
c03030050,60
c03030060,73
c03030070,74
c03030080,54
c03030090,75
c03030100,56
c03030110,51
c03030120,75
c03030130,74
c03030140,75
c03030210,72
c03030220,73
c03030230,56
c03030240,75
c03030250,54
c03030260,54
c03030270,72
c03030280,75
c03030290,77
c03030300,57
c03030310,68
c03030320,50
c03030330,65
c03030340,73
c03030350,58
c03030360,76
c03030410,73
c03030420,52
c03030430,69
c03030440,55
c03030450,64
c03030460,77
c03030470,59
c03030480,70
c03030490,82
c03030500,53
c03030510,75
c03030520,78
c03030530,75
c03030540,74
c03030550,50
c03030560,55
c03030610,81
c03030620,65
c03030630,50
c03030640,56
c03030650,68
c03030660,62
c03030680,88
c03030690,74
c03030700,76
c03030710,55
c03030720,74
c03030730,68
c03030740,53
c03030750,50
c03030760,75
c03030810,55
c03030820,72
c03030830,66
c03030840,57
c03030850,77
c03030860,74
c03030870,65
c03030880,75
c03030890,74
c03030900,60
c03030910,74
c03030920,57
c03030930,60
c03030940,75
c03030950,75
c03030960,61
c03030961,61
c03031010,77
c03031020,75
c03031030,54
c03031040,73
c03031050,73
c03031060,50
c03031070,63
c03031080,57
c03031090,74
c03031100,54
c03031110,75
c03031120,59
c03031130,52
c03031140,52
c03031150,76
c03031160,54
c03031210,76
c03031220,70
c03031230,52
c03031240,52
c03031250,71
c03031260,50
c03031270,76
c03031280,80
c03031290,72
c03031300,72
c03031310,74
c03031320,50
c03031330,77
c03031340,50
c03031350,54
c03031360,53
c03031410,60
c03031420,63
c03031430,76
c03031440,66
c03031450,75
c03031460,74
c03031470,50
c03031480,60
c03031490,59
c03031500,55
c03031510,73
c03031520,50
c03031530,75
c03031540,67
c03031550,75
c03031560,78
c03031610,50
c03031620,56
c03031630,75
c03031640,84
c03031650,75
c03031660,55
c03031670,75
c03031680,71
c03031690,79
c03031700,56
c03031710,52
c03031720,62
c03031730,72
c03031740,73
c03031750,75
c03031760,64
c03031810,71
c03031820,75
c03031830,68
c03031840,71
c03031850,74
c03031860,71
c03031870,71
c03031880,75
c03031890,56
c03031900,73
c03031910,75
c03031920,59
c03031930,66
c03031940,73
c03031950,73
c03031960,56
c03032010,87
c03032020,73
c03032030,78
c03032040,53
c03032050,59
c03032060,50
c03032070,58
c03032080,65
c03032090,100
c03032100,68
c03032110,55
c03032120,55
c03032130,59
c03032140,84
c03032150,58
c03032160,73
c03032210,54
c03032220,64
c03032230,54
c03032240,73
c03032250,75
c03032260,75
c03032270,74
c03032280,52
c03032290,56
c03032300,75
c03032310,53
c03032320,57
c03032330,74
c03032340,54
c03032350,50
c03032360,75
c03032410,71
c03032420,73
c03032430,56
c03032440,80
c03032450,58
c03032460,64
c03032470,58
c03032480,50
c03032490,50
c03032500,75
c03032510,73
c03032520,77
c03032530,56
c03032540,74
c03032550,74
c03032560,75
c03032610,50
c03032620,70
c03032630,74
c03032640,74
c03032650,75
c03032660,75
c03032670,60
c03032680,61
c03032690,75
c03032700,54
c03032710,56
c03032720,74
c03032730,51
c03032740,50
c03032750,76
c03032760,75
c03032810,73
c03032820,55
c03032830,68
c03032840,55
c03032850,58
c03032860,74
c03032870,79
c03032880,59
c03032890,53
c03032900,55
c03032910,75
c03032920,57
c03032930,75
c03032940,59
c03032950,75
c03032960,56
c03033010,52
c03033020,66
c03033030,64
c03033040,75
c03033050,73
c03033060,58
c03033070,74
c03033080,73
c03033090,75
c03033100,73
c03033110,57
c03033120,59
c03033130,75
c03033140,73
c03033150,75
c03033160,74
c03033210,75
c03033220,65
c03033230,73
c03033240,54
c03033250,63
c03033260,72
c03033270,50
c03033280,61
c03033290,61
c03033300,72
c03033320,61
c03033330,50
c03033340,56
c03033350,50
c03033360,52
c03033370,53
c03033380,50
c03033390,54
c03033400,73
c03033401,73
c03033610,62
c03033620,75
c03033630,75
c03033640,73
c03033650,52
c03033660,59
c03033670,51
c03033690,57
c03033700,50
c03033710,57
c03034010,50
c03034020,75
c03034030,91
c03034040,73
c03034050,51
c03034060,70
c03034070,57
c03034080,74
c03034090,74
