# Con que imagen se dibuja cada espiritu.
# id = los 4 bytes tal y como aparecen en la partida.
# icono = ruta dentro de 200_icon/10_icon_chr (vacio = no hay).
# Lo genera herramientas/construir_espiritus.py (NOTAS O-102).
id,familia,rango,icono,modelo,nombre_largo,descripcion,tecnica
554F70D6,armadura,1,aura_armed/c05020710_5000_l.png,wak00490,"Vega, suerte encarnada",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
558F2F75,alma,5,aura_soul/a000290_l.png,wsd000290,Tótem salamandra oscura,Un anfibio moteado de mirada penetrante que intimida y paraliza a su presa.,6B36F19E
55F4AD01,mixi,2,face/c11908150_l.png,wmm00241,Miximax Trans: <FLC:KIRINO>,Un jugador tan bello y esbelto que da el pego como chica. Conoce bien a <FLC:SHINDO>.,5FE340A4
564B9029,kenshin,1,aura_fs/k000910_l.png,wko00910,"Baihu, guerrero del oeste",Un espíritu de viento. Vuela como el viento y ataca como un tigre.,5756CCB7
56E87A68,kenshin,4,aura_fs/k000920_l.png,wkd00920,"Raiden, señor de las tormentas",Un espíritu de montaña. Aplasta a sus enemigos con un viento huracanado.,1201518B
56FDB456,mixi,1,face/c11908180_l.png,wmm00261_b1,Miximax Trans: <FUL:HAKURYU>,Un chico que confía plenamente en sus propias habilidades. Mantiene una gran rivalidad con <FLC:TSURUGI>.,96A9E089
58029AB6,armadura,1,aura_armed/c04001220_5000_l.png,wad00321,"Drake, caballero dragón",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
5853F862,alma,2,aura_soul/a000240_l.png,wss000240,Tótem Belion,Una salvaje subespecie de Pelion de Falam Orbius que ataca con una ferocidad inusual.,6925D6E7
5925FB94,armadura,2,aura_armed/c05023100_5000_l.png,wao00900,"Qinglong, guerrero del este",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
59BB18AD,mixi,2,face/c11908210_l.png,wmm00281,Miximax Trans: <FLC:FUDO>,"Un joven fanfarrón, pero con un increíble talento. Controla a los demás como si fuesen marionetas.",EB197925
5B1065A4,armadura,3,aura_armed/c04003060_5000_l.png,wao00471,"Sirena, la hechicera",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
5BC52AD4,armadura,3,aura_armed/c04000080_5100_l.png,was00300_b1,"Grifo, señor de las bestias",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
5BD74A52,armadura,5,aura_armed/c04003500_5000_l.png,was00241_b1,"Arturo, paladín de la espada sagrada",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
5CCB03B6,kenshin,4,aura_fs/k002040_l.png,wkd02040_st0701,"Warborg, muralla titánica",Un espíritu de la tierra. Provoca a los delanteros para luego convertirlos en piedra.,33766224
5CCDD688,armadura,5,aura_armed/c04003700_5100_l.png,was00240,"Arturo, paladín de la espada sagrada",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
5DECAD3B,mixi,2,face/c05028150_l.png,wmm00130,Miximax Trans: Cao Cao,"Rival de <FUL:RYUBI> que llegó a gobernar Wei, uno de los Tres Reinos.",3A969C9A
5E9E39DC,armadura,4,aura_armed/c05021870_5000_l.png,wao00725,"Sombra de plasma RE, guerrero artificial",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
5FD71B70,kenshin,4,aura_fs/k000070_l.png,wko00070,"León, rey de la selva",Un espíritu de montaña. Fiero depredador tanto dentro como fuera del campo.,8A606301
5FEC0899,kenshin,1,aura_fs/k000290_l.png,wks00290,"Guiverno blanco, drágon heráldico",Un espíritu de viento. Su presencia es tan encantadora como aterradora.,FF394883
600421BA,armadura,4,aura_armed/c05021500_5100_l.png,wad00670,"Xuan-Wu, guerrero del norte",Utiliza un keshin como armadura para liberar un poder inconmensurable.,
