# Las pasivas de cada tablero de habilidades del juego, por casilla (NOTAS O-169).
# tablero = la clave que la partida guarda por jugador en 0xBAFA8DBD; pasiva_id como en la partida.
# Lo genera herramientas/construir_tableros.py.
tablero,casillas,tramo,casilla,nivel,pasiva_id
02506D9B,76,rama2,30,0,539A23C0
02506D9B,76,rama2,33,0,23CB3754
02506D9B,76,rama2,34,0,575F4FA4
02506D9B,76,rama2,36,0,8FF932E5
02506D9B,76,rama2,40,0,1EE48D75
02506D9B,76,rama2,43,0,430D7EE1
02506D9B,76,rama2,45,0,C642F034
02506D9B,76,rama2,46,0,CEC829FC
02506D9B,76,rama2,52,0,5FD5966C
02506D9B,76,rama2,53,0,5FD5966C
4D40FEF8,51,tronco,2,0,F4CA2B3A
4D40FEF8,51,tronco,6,0,166E54BD
4D40FEF8,51,rama1,10,0,7FFB2D2E
4D40FEF8,51,rama1,12,0,023C65F8
4D40FEF8,51,rama2,18,0,E5849FF5
4D40FEF8,51,rama2,19,0,8FF932E5
4D40FEF8,51,rama2,23,0,5FD5966C
4D40FEF8,51,rama2,27,0,23CB3754
4D40FEF8,51,rama2,31,0,D210C171
4D40FEF8,51,rama2,33,0,A1A90166
4D40FEF8,51,rama2,38,0,97E4B60C
4D40FEF8,51,rama2,42,0,2B41EE9C
4D40FEF8,51,rama2,44,0,01D4B17B
EFCEEC2F,51,tronco,2,0,7B3E414A
EFCEEC2F,51,tronco,6,0,1143EC5A
EFCEEC2F,51,rama1,10,0,7FFB2D2E
EFCEEC2F,51,rama1,12,0,023C65F8
EFCEEC2F,51,rama2,18,0,88D48A02
EFCEEC2F,51,rama2,19,0,1586803E
EFCEEC2F,51,rama2,23,0,5590EE4C
EFCEEC2F,51,rama2,27,0,23CB3754
EFCEEC2F,51,rama2,31,0,D210C171
EFCEEC2F,51,rama2,33,0,A1A90166
EFCEEC2F,51,rama2,38,0,0B6F55DE
EFCEEC2F,51,rama2,42,0,A8FA3140
EFCEEC2F,51,rama2,44,0,1EE48D75
C40407C1,51,tronco,2,0,8773EB2D
C40407C1,51,tronco,6,0,CCF91491
C40407C1,51,rama1,10,0,7FFB2D2E
C40407C1,51,rama1,12,0,23CB3754
C40407C1,51,rama2,18,0,12AB38D9
C40407C1,51,rama2,19,0,FD991B1C
C40407C1,51,rama2,23,0,9D5F52A9
C40407C1,51,rama2,27,0,23CB3754
C40407C1,51,rama2,31,0,D210C171
C40407C1,51,rama2,33,0,A1A90166
C40407C1,51,rama2,38,0,CEC829FC
C40407C1,51,rama2,42,0,2B41EE9C
C40407C1,51,rama2,44,0,5590EE4C
9C8245B1,51,tronco,2,0,6F6C700F
9C8245B1,51,tronco,6,0,D53D7996
9C8245B1,51,rama1,10,0,7FFB2D2E
9C8245B1,51,rama1,12,0,DC6E49B0
9C8245B1,51,rama2,18,0,D6D5AD15
9C8245B1,51,rama2,19,0,FD991B1C
9C8245B1,51,rama2,23,0,2A980772
9C8245B1,51,rama2,27,0,23CB3754
9C8245B1,51,rama2,31,0,D210C171
9C8245B1,51,rama2,33,0,A1A90166
9C8245B1,51,rama2,38,0,9110E705
9C8245B1,51,rama2,42,0,19C93592
9C8245B1,51,rama2,44,0,FC40F2F2
D6B1A82F,51,tronco,2,0,430D7EE1
D6B1A82F,51,tronco,6,0,CCF91491
D6B1A82F,51,rama1,10,0,7FFB2D2E
D6B1A82F,51,rama1,12,0,23CB3754
D6B1A82F,51,rama2,18,0,12AB38D9
D6B1A82F,51,rama2,19,0,A56C6D02
D6B1A82F,51,rama2,23,0,9D5F52A9
D6B1A82F,51,rama2,27,0,4420C606
D6B1A82F,51,rama2,31,0,D210C171
D6B1A82F,51,rama2,33,0,A1A90166
D6B1A82F,51,rama2,38,0,90C90EEB
D6B1A82F,51,rama2,42,0,40E5AA62
D6B1A82F,51,rama2,44,0,5590EE4C
5FF55116,51,tronco,2,0,2E5D6B16
5FF55116,51,tronco,6,0,CCF91491
5FF55116,51,rama1,10,0,7FFB2D2E
5FF55116,51,rama1,12,0,23CB3754
5FF55116,51,rama2,18,0,12AB38D9
5FF55116,51,rama2,19,0,97E4B60C
5FF55116,51,rama2,23,0,83B68749
5FF55116,51,rama2,27,0,A1A90166
5FF55116,51,rama2,31,0,575F4FA4
5FF55116,51,rama2,33,0,A1A90166
5FF55116,51,rama2,38,0,4611FB6B
5FF55116,51,rama2,42,0,FC40F2F2
5FF55116,51,rama2,44,0,9D5F52A9
8E37EA5F,51,tronco,2,0,37990611
8E37EA5F,51,tronco,6,0,CCF91491
8E37EA5F,51,rama1,10,0,7FFB2D2E
8E37EA5F,51,rama1,12,0,23CB3754
8E37EA5F,51,rama2,18,0,D6D5AD15
8E37EA5F,51,rama2,19,0,0720E072
8E37EA5F,51,rama2,23,0,1F3D649B
8E37EA5F,51,rama2,27,0,D53D7996
8E37EA5F,51,rama2,31,0,7B3E414A
8E37EA5F,51,rama2,33,0,A1A90166
8E37EA5F,51,rama2,38,0,CEC829FC
8E37EA5F,51,rama2,42,0,58F82E8B
8E37EA5F,51,rama2,44,0,06F9099C
FD7B43C1,51,tronco,2,0,37990611
FD7B43C1,51,tronco,6,0,CCF91491
FD7B43C1,51,rama1,10,0,7FFB2D2E
FD7B43C1,51,rama1,12,0,23CB3754
FD7B43C1,51,rama2,18,0,D6D5AD15
FD7B43C1,51,rama2,19,0,0720E072
FD7B43C1,51,rama2,23,0,1F3D649B
FD7B43C1,51,rama2,27,0,D53D7996
FD7B43C1,51,rama2,31,0,7B3E414A
FD7B43C1,51,rama2,33,0,A1A90166
FD7B43C1,51,rama2,38,0,CEC829FC
FD7B43C1,51,rama2,42,0,58F82E8B
FD7B43C1,51,rama2,44,0,06F9099C
FD893B04,67,tronco,3,0,ED0E463D
FD893B04,67,rama1,8,0,4420C606
FD893B04,67,rama1,11,0,5AC913E6
FD893B04,67,rama1,14,0,B86D6C61
FD893B04,67,rama1,16,0,D1F815F2
FD893B04,67,rama2,18,0,9D5F52A9
FD893B04,67,rama2,19,0,5E0C7F82
FD893B04,67,rama2,21,0,2E5D6B16
FD893B04,67,rama2,22,0,4E9B22A3
FD893B04,67,rama2,27,0,1BF808FF
FD893B04,67,rama2,30,0,F00F475E
FD893B04,67,rama2,33,0,5AC913E6
FD893B04,67,rama2,36,0,8DC80F88
FD893B04,67,rama2,38,0,1586803E
FD893B04,67,rama2,40,0,849B3FAE
FD893B04,67,rama2,41,0,6BA91C6B
FD893B04,67,rama2,42,0,FD991B1C
FD893B04,67,rama2,44,0,83B68749
FD893B04,67,rama2,45,0,726D716C
D643D0EA,67,tronco,2,0,3A0F5A53
D643D0EA,67,rama1,8,0,1143EC5A
D643D0EA,67,rama1,11,0,3A0F5A53
D643D0EA,67,rama1,14,0,7FFB2D2E
D643D0EA,67,rama1,16,0,D1F815F2
D643D0EA,67,rama2,18,0,9D5F52A9
D643D0EA,67,rama2,19,0,5E0C7F82
D643D0EA,67,rama2,21,0,1BF808FF
D643D0EA,67,rama2,27,0,1BF808FF
D643D0EA,67,rama2,30,0,F00F475E
D643D0EA,67,rama2,33,0,5AC913E6
D643D0EA,67,rama2,36,0,8DC80F88
D643D0EA,67,rama2,38,0,3ECA3637
D643D0EA,67,rama2,40,0,849B3FAE
D643D0EA,67,rama2,41,0,47C81285
D643D0EA,67,rama2,42,0,C83C78F5
D643D0EA,67,rama2,44,0,726D716C
D643D0EA,67,rama2,45,0,849B3FAE
74CDC23D,67,tronco,3,0,5AC913E6
74CDC23D,67,rama1,8,0,F95C7778
74CDC23D,67,rama1,11,0,5AC913E6
74CDC23D,67,rama1,14,0,575F4FA4
74CDC23D,67,rama1,16,0,97E4B60C
74CDC23D,67,rama2,18,0,5E0C7F82
74CDC23D,67,rama2,19,0,D021FC1C
74CDC23D,67,rama2,21,0,2E5D6B16
74CDC23D,67,rama2,22,0,4E9B22A3
74CDC23D,67,rama2,27,0,1BF808FF
74CDC23D,67,rama2,30,0,F00F475E
74CDC23D,67,rama2,33,0,5AC913E6
74CDC23D,67,rama2,36,0,8DC80F88
74CDC23D,67,rama2,38,0,4611FB6B
74CDC23D,67,rama2,40,0,FC40F2F2
74CDC23D,67,rama2,41,0,5E0C7F82
74CDC23D,67,rama2,42,0,E45D761B
74CDC23D,67,rama2,44,0,01D4B17B
74CDC23D,67,rama2,45,0,5E0C7F82
A50F7974,67,tronco,3,0,6F6C700F
A50F7974,67,rama1,8,0,F95C7778
A50F7974,67,rama1,11,0,8773EB2D
A50F7974,67,rama1,14,0,3A0F5A53
A50F7974,67,rama1,16,0,88D48A02
A50F7974,67,rama2,18,0,5E0C7F82
A50F7974,67,rama2,19,0,3285839B
A50F7974,67,rama2,21,0,A1A90166
A50F7974,67,rama2,22,0,ED0E463D
A50F7974,67,rama2,27,0,1BF808FF
A50F7974,67,rama2,30,0,F00F475E
A50F7974,67,rama2,33,0,5AC913E6
A50F7974,67,rama2,36,0,8DC80F88
A50F7974,67,rama2,38,0,4611FB6B
A50F7974,67,rama2,40,0,73B49882
A50F7974,67,rama2,41,0,5E0C7F82
A50F7974,67,rama2,42,0,E45D761B
A50F7974,67,rama2,44,0,01D4B17B
A50F7974,67,rama2,45,0,5E0C7F82
EF3C94EA,67,tronco,3,0,ED0E463D
EF3C94EA,67,rama1,8,0,4420C606
EF3C94EA,67,rama1,11,0,5AC913E6
EF3C94EA,67,rama1,14,0,B86D6C61
EF3C94EA,67,rama1,16,0,88D48A02
EF3C94EA,67,rama2,18,0,9D5F52A9
EF3C94EA,67,rama2,19,0,1EE48D75
EF3C94EA,67,rama2,21,0,2E5D6B16
EF3C94EA,67,rama2,22,0,8773EB2D
EF3C94EA,67,rama2,27,0,1BF808FF
EF3C94EA,67,rama2,30,0,F00F475E
EF3C94EA,67,rama2,33,0,E0981A7F
EF3C94EA,67,rama2,36,0,C642F034
EF3C94EA,67,rama2,38,0,1586803E
EF3C94EA,67,rama2,40,0,849B3FAE
EF3C94EA,67,rama2,41,0,5590EE4C
EF3C94EA,67,rama2,42,0,8FF932E5
EF3C94EA,67,rama2,44,0,83B68749
EF3C94EA,67,rama2,45,0,5590EE4C
66786DD3,67,rama1,8,0,1143EC5A
66786DD3,67,rama1,11,0,3A0F5A53
66786DD3,67,rama1,14,0,7FFB2D2E
66786DD3,67,rama1,16,0,D1F815F2
66786DD3,67,rama2,18,0,9D5F52A9
66786DD3,67,rama2,19,0,5E0C7F82
66786DD3,67,rama2,21,0,1BF808FF
66786DD3,67,rama2,22,0,76A81D08
66786DD3,67,rama2,27,0,1BF808FF
66786DD3,67,rama2,30,0,F00F475E
66786DD3,67,rama2,33,0,CCF91491
66786DD3,67,rama2,36,0,B5FB3023
66786DD3,67,rama2,38,0,3ECA3637
66786DD3,67,rama2,40,0,849B3FAE
66786DD3,67,rama2,41,0,47C81285
66786DD3,67,rama2,42,0,D1F815F2
66786DD3,67,rama2,44,0,726D716C
66786DD3,67,rama2,45,0,6BA91C6B
B7BAD69A,67,tronco,3,0,5AC913E6
B7BAD69A,67,rama1,8,0,F95C7778
B7BAD69A,67,rama1,11,0,5AC913E6
B7BAD69A,67,rama1,14,0,575F4FA4
B7BAD69A,67,rama1,16,0,97E4B60C
B7BAD69A,67,rama2,18,0,5E0C7F82
B7BAD69A,67,rama2,19,0,D021FC1C
B7BAD69A,67,rama2,21,0,2E5D6B16
B7BAD69A,67,rama2,22,0,6F6C700F
B7BAD69A,67,rama2,27,0,1BF808FF
B7BAD69A,67,rama2,30,0,F00F475E
B7BAD69A,67,rama2,33,0,D53D7996
B7BAD69A,67,rama2,36,0,1143EC5A
B7BAD69A,67,rama2,38,0,4611FB6B
B7BAD69A,67,rama2,40,0,FC40F2F2
B7BAD69A,67,rama2,41,0,5E0C7F82
B7BAD69A,67,rama2,42,0,E45D761B
B7BAD69A,67,rama2,44,0,01D4B17B
B7BAD69A,67,rama2,45,0,5E0C7F82
C4F67F04,67,tronco,3,0,ED0E463D
C4F67F04,67,rama1,8,0,4420C606
C4F67F04,67,rama1,11,0,5AC913E6
C4F67F04,67,rama1,14,0,B86D6C61
C4F67F04,67,rama1,16,0,D1F815F2
C4F67F04,67,rama2,18,0,9D5F52A9
C4F67F04,67,rama2,19,0,5E0C7F82
C4F67F04,67,rama2,21,0,2E5D6B16
C4F67F04,67,rama2,22,0,7B3E414A
C4F67F04,67,rama2,27,0,1BF808FF
C4F67F04,67,rama2,30,0,F00F475E
C4F67F04,67,rama2,33,0,1143EC5A
C4F67F04,67,rama2,36,0,5072F743
C4F67F04,67,rama2,38,0,1586803E
C4F67F04,67,rama2,40,0,849B3FAE
C4F67F04,67,rama2,41,0,6BA91C6B
C4F67F04,67,rama2,42,0,FD991B1C
C4F67F04,67,rama2,44,0,83B68749
C4F67F04,67,rama2,45,0,726D716C
63B6D67E,57,tronco,7,0,4E9B22A3
63B6D67E,57,rama1,8,0,D8AB25D4
63B6D67E,57,rama1,12,0,3A0F5A53
63B6D67E,57,rama1,13,0,5072F743
63B6D67E,57,rama2,19,0,8773EB2D
63B6D67E,57,rama2,21,0,1BF808FF
63B6D67E,57,rama2,24,0,37990611
63B6D67E,57,rama2,27,0,6F6C700F
63B6D67E,57,rama2,33,0,97E4B60C
63B6D67E,57,rama2,34,0,FC40F2F2
63B6D67E,57,rama2,35,0,F00F475E
63B6D67E,57,rama2,36,0,8DC80F88
63B6D67E,57,rama2,39,0,890D63EC
63B6D67E,57,rama2,40,0,2A980772
63B6D67E,57,rama2,56,0,7FFB2D2E
B2746D37,57,tronco,7,0,4E9B22A3
B2746D37,57,rama1,8,0,D8AB25D4
B2746D37,57,rama1,12,0,3A0F5A53
B2746D37,57,rama1,13,0,5072F743
B2746D37,57,rama2,19,0,8773EB2D
B2746D37,57,rama2,21,0,1BF808FF
B2746D37,57,rama2,24,0,37990611
B2746D37,57,rama2,27,0,6F6C700F
B2746D37,57,rama2,33,0,0B6F55DE
B2746D37,57,rama2,34,0,A8FA3140
B2746D37,57,rama2,35,0,F00F475E
B2746D37,57,rama2,36,0,8DC80F88
B2746D37,57,rama2,39,0,E45D761B
B2746D37,57,rama2,40,0,6BA91C6B
B2746D37,57,rama2,56,0,7FFB2D2E
EAF22F47,57,tronco,7,0,8773EB2D
EAF22F47,57,rama1,8,0,D8AB25D4
EAF22F47,57,rama1,12,0,76A81D08
EAF22F47,57,rama1,13,0,76A81D08
EAF22F47,57,rama2,19,0,F95C7778
EAF22F47,57,rama2,21,0,D210C171
EAF22F47,57,rama2,24,0,999A3ECD
EAF22F47,57,rama2,27,0,166E54BD
EAF22F47,57,rama2,33,0,C9E5911B
EAF22F47,57,rama2,34,0,0720E072
EAF22F47,57,rama2,35,0,F00F475E
EAF22F47,57,rama2,36,0,8DC80F88
EAF22F47,57,rama2,39,0,BCA80005
EAF22F47,57,rama2,40,0,335C6A75
EAF22F47,57,rama2,56,0,0FAA39BA
C138C4A9,57,tronco,7,0,3A0F5A53
C138C4A9,57,rama1,8,0,76A81D08
C138C4A9,57,rama1,12,0,CCF91491
C138C4A9,57,rama1,13,0,A1A90166
C138C4A9,57,rama2,19,0,F95C7778
C138C4A9,57,rama2,21,0,5072F743
C138C4A9,57,rama2,24,0,F95C7778
C138C4A9,57,rama2,27,0,166E54BD
C138C4A9,57,rama2,33,0,0B6F55DE
C138C4A9,57,rama2,34,0,83B68749
C138C4A9,57,rama2,35,0,AC3F5D24
C138C4A9,57,rama2,36,0,575F4FA4
C138C4A9,57,rama2,39,0,8FF932E5
C138C4A9,57,rama2,40,0,1EE48D75
C138C4A9,57,rama2,56,0,7B3E414A
F84780A9,57,tronco,7,0,4E9B22A3
F84780A9,57,rama1,8,0,D8AB25D4
F84780A9,57,rama1,12,0,3A0F5A53
F84780A9,57,rama1,13,0,8773EB2D
F84780A9,57,rama2,19,0,8773EB2D
F84780A9,57,rama2,21,0,1BF808FF
F84780A9,57,rama2,24,0,37990611
F84780A9,57,rama2,27,0,D210C171
F84780A9,57,rama2,33,0,BD71E9EB
F84780A9,57,rama2,34,0,2A980772
F84780A9,57,rama2,35,0,F00F475E
F84780A9,57,rama2,36,0,F4CA2B3A
F84780A9,57,rama2,39,0,E45D761B
F84780A9,57,rama2,40,0,47C81285
F84780A9,57,rama2,56,0,7FFB2D2E
71037990,57,tronco,7,0,6F6C700F
71037990,57,rama1,8,0,5AC913E6
71037990,57,rama1,12,0,D53D7996
71037990,57,rama1,13,0,5AC913E6
71037990,57,rama2,19,0,8773EB2D
71037990,57,rama2,21,0,1BF808FF
71037990,57,rama2,24,0,37990611
71037990,57,rama2,27,0,CCF91491
71037990,57,rama2,33,0,E45D761B
71037990,57,rama2,34,0,6BA91C6B
71037990,57,rama2,35,0,D8AB25D4
71037990,57,rama2,36,0,D8AB25D4
71037990,57,rama2,39,0,C9E5911B
71037990,57,rama2,40,0,1EE48D75
71037990,57,rama2,56,0,1143EC5A
A0C1C2D9,57,tronco,7,0,6F6C700F
A0C1C2D9,57,rama1,8,0,5AC913E6
A0C1C2D9,57,rama1,12,0,D53D7996
A0C1C2D9,57,rama1,13,0,5AC913E6
A0C1C2D9,57,rama2,19,0,8773EB2D
A0C1C2D9,57,rama2,21,0,1BF808FF
A0C1C2D9,57,rama2,24,0,37990611
A0C1C2D9,57,rama2,27,0,CCF91491
A0C1C2D9,57,rama2,33,0,E45D761B
A0C1C2D9,57,rama2,34,0,6BA91C6B
A0C1C2D9,57,rama2,35,0,D8AB25D4
A0C1C2D9,57,rama2,36,0,D8AB25D4
A0C1C2D9,57,rama2,39,0,C9E5911B
A0C1C2D9,57,rama2,40,0,1EE48D75
A0C1C2D9,57,rama2,56,0,1143EC5A
D38D6B47,57,tronco,7,0,4E9B22A3
D38D6B47,57,rama1,8,0,D8AB25D4
D38D6B47,57,rama1,12,0,3A0F5A53
D38D6B47,57,rama1,13,0,5072F743
D38D6B47,57,rama2,19,0,8773EB2D
D38D6B47,57,rama2,21,0,1BF808FF
D38D6B47,57,rama2,24,0,37990611
D38D6B47,57,rama2,27,0,3A0F5A53
D38D6B47,57,rama2,33,0,0B6F55DE
D38D6B47,57,rama2,34,0,A8FA3140
D38D6B47,57,rama2,35,0,F00F475E
D38D6B47,57,rama2,36,0,7B3E414A
D38D6B47,57,rama2,39,0,3ECA3637
D38D6B47,57,rama2,40,0,849B3FAE
D38D6B47,57,rama2,56,0,7FFB2D2E
A559A960,60,tronco,6,0,5072F743
A559A960,60,rama1,11,0,3A0F5A53
A559A960,60,rama1,14,0,2E5D6B16
A559A960,60,rama1,17,0,270E5B30
A559A960,60,rama2,20,0,CCF91491
A559A960,60,rama2,23,0,8FF932E5
A559A960,60,rama2,24,0,4A5E4EC7
A559A960,60,rama2,27,0,A1A90166
A559A960,60,rama2,30,0,023C65F8
A559A960,60,rama2,33,0,7FFB2D2E
A559A960,60,rama2,36,0,4611FB6B
A559A960,60,rama2,38,0,1EE48D75
A559A960,60,rama2,39,0,01D4B17B
A559A960,60,rama2,41,0,01D4B17B
A559A960,60,rama2,42,0,19C93592
8E93428E,60,tronco,6,0,6F6C700F
8E93428E,60,rama1,11,0,8773EB2D
8E93428E,60,rama1,14,0,1BF808FF
8E93428E,60,rama1,17,0,0511DD1F
8E93428E,60,rama2,20,0,CCF91491
8E93428E,60,rama2,23,0,CEC829FC
8E93428E,60,rama2,24,0,4A5E4EC7
8E93428E,60,rama2,27,0,A1A90166
8E93428E,60,rama2,30,0,023C65F8
8E93428E,60,rama2,33,0,ED0E463D
8E93428E,60,rama2,36,0,BCA80005
8E93428E,60,rama2,38,0,58F82E8B
8E93428E,60,rama2,39,0,FC40F2F2
8E93428E,60,rama2,41,0,D021FC1C
8E93428E,60,rama2,42,0,5FD5966C
D61500FE,60,tronco,6,0,6F6C700F
D61500FE,60,rama1,11,0,6F6C700F
D61500FE,60,rama1,14,0,1BF808FF
D61500FE,60,rama1,17,0,F00F475E
D61500FE,60,rama2,20,0,CCF91491
D61500FE,60,rama2,23,0,CEC829FC
D61500FE,60,rama2,24,0,DC6E49B0
D61500FE,60,rama2,27,0,C642F034
D61500FE,60,rama2,30,0,C642F034
D61500FE,60,rama2,33,0,7B3E414A
D61500FE,60,rama2,36,0,0B6F55DE
D61500FE,60,rama2,38,0,58F82E8B
D61500FE,60,rama2,39,0,A8FA3140
D61500FE,60,rama2,41,0,A8FA3140
D61500FE,60,rama2,42,0,5FD5966C
07D7BBB7,60,tronco,6,0,6F6C700F
07D7BBB7,60,rama1,11,0,76A81D08
07D7BBB7,60,rama1,14,0,1BF808FF
07D7BBB7,60,rama1,17,0,F95C7778
07D7BBB7,60,rama2,20,0,D53D7996
07D7BBB7,60,rama2,23,0,CEC829FC
07D7BBB7,60,rama2,24,0,4A5E4EC7
07D7BBB7,60,rama2,27,0,A1A90166
07D7BBB7,60,rama2,30,0,023C65F8
07D7BBB7,60,rama2,33,0,4E9B22A3
07D7BBB7,60,rama2,36,0,97E4B60C
07D7BBB7,60,rama2,38,0,5FD5966C
07D7BBB7,60,rama2,39,0,D021FC1C
07D7BBB7,60,rama2,41,0,FC40F2F2
07D7BBB7,60,rama2,42,0,0720E072
57847D32,60,tronco,6,0,23CB3754
57847D32,60,rama1,11,0,6F6C700F
57847D32,60,rama1,14,0,2E5D6B16
57847D32,60,rama1,17,0,270E5B30
57847D32,60,rama2,20,0,CCF91491
57847D32,60,rama2,23,0,12AB38D9
57847D32,60,rama2,24,0,DC6E49B0
57847D32,60,rama2,27,0,A1A90166
57847D32,60,rama2,30,0,023C65F8
57847D32,60,rama2,33,0,7FFB2D2E
57847D32,60,rama2,36,0,4611FB6B
57847D32,60,rama2,38,0,83B68749
57847D32,60,rama2,39,0,01D4B17B
57847D32,60,rama2,41,0,01D4B17B
57847D32,60,rama2,42,0,19C93592
05D1FF2D,63,tronco,6,0,D8AB25D4
05D1FF2D,63,rama1,9,0,1BF808FF
05D1FF2D,63,rama1,12,0,1143EC5A
05D1FF2D,63,rama1,15,0,1143EC5A
05D1FF2D,63,rama2,18,0,5AC913E6
05D1FF2D,63,rama2,21,0,5AC913E6
05D1FF2D,63,rama2,24,0,166E54BD
05D1FF2D,63,rama2,27,0,1143EC5A
05D1FF2D,63,rama2,30,0,A1A90166
05D1FF2D,63,rama2,32,0,8FF932E5
05D1FF2D,63,rama2,33,0,023C65F8
05D1FF2D,63,rama2,35,0,BCA80005
05D1FF2D,63,rama2,36,0,1EE48D75
05D1FF2D,63,rama2,37,0,D021FC1C
05D1FF2D,63,rama2,40,0,1F3D649B
05D1FF2D,63,rama2,41,0,19C93592
9CD8AE97,63,tronco,6,0,D8AB25D4
9CD8AE97,63,rama1,9,0,1BF808FF
9CD8AE97,63,rama1,12,0,5072F743
9CD8AE97,63,rama1,15,0,1143EC5A
9CD8AE97,63,rama2,18,0,5AC913E6
9CD8AE97,63,rama2,21,0,5AC913E6
9CD8AE97,63,rama2,24,0,166E54BD
9CD8AE97,63,rama2,27,0,1143EC5A
9CD8AE97,63,rama2,30,0,A1A90166
9CD8AE97,63,rama2,32,0,8FF932E5
9CD8AE97,63,rama2,33,0,023C65F8
9CD8AE97,63,rama2,35,0,BCA80005
9CD8AE97,63,rama2,36,0,1EE48D75
9CD8AE97,63,rama2,37,0,D021FC1C
9CD8AE97,63,rama2,40,0,1F3D649B
9CD8AE97,63,rama2,41,0,19C93592
83458D83,57,tronco,6,0,E9CB2A59
83458D83,57,rama1,9,0,C5AA24B7
83458D83,57,rama1,16,0,7B3E414A
83458D83,57,rama2,19,0,C5AA24B7
83458D83,57,rama2,22,0,023C65F8
83458D83,57,rama2,25,0,3ECA3637
83458D83,57,rama2,26,0,5AC913E6
83458D83,57,rama2,29,0,F00F475E
83458D83,57,rama2,32,0,D1F815F2
83458D83,57,rama2,35,0,83B68749
83458D83,57,rama2,36,0,726D716C
83458D83,57,rama2,39,0,5E0C7F82
83458D83,57,rama2,40,0,A8FA3140
83458D83,57,rama2,56,0,0FAA39BA
1A4CDC39,57,tronco,6,0,E9CB2A59
1A4CDC39,57,rama1,9,0,C5AA24B7
1A4CDC39,57,rama1,16,0,7B3E414A
1A4CDC39,57,rama2,19,0,C5AA24B7
1A4CDC39,57,rama2,22,0,023C65F8
1A4CDC39,57,rama2,25,0,88D48A02
1A4CDC39,57,rama2,26,0,5AC913E6
1A4CDC39,57,rama2,29,0,F00F475E
1A4CDC39,57,rama2,32,0,D1F815F2
1A4CDC39,57,rama2,35,0,19C93592
1A4CDC39,57,rama2,36,0,726D716C
1A4CDC39,57,rama2,39,0,5E0C7F82
1A4CDC39,57,rama2,40,0,1EE48D75
1A4CDC39,57,rama2,56,0,0FAA39BA
48195E26,56,tronco,6,0,76A81D08
48195E26,56,rama1,9,0,A1A90166
48195E26,56,rama1,10,0,2E5D6B16
48195E26,56,rama1,12,0,5AC913E6
48195E26,56,rama1,13,0,B86D6C61
48195E26,56,rama1,14,0,1BF808FF
48195E26,56,rama1,17,0,C2879C50
48195E26,56,rama2,18,0,54B79B27
48195E26,56,rama2,28,0,0FAA39BA
48195E26,56,rama2,31,0,999A3ECD
48195E26,56,rama2,33,0,D6D5AD15
48195E26,56,rama2,34,0,97E4B60C
48195E26,56,rama2,36,0,335C6A75
48195E26,56,rama2,38,0,73B49882
