# Las casillas de stat de cada tablero de habilidades (NOTAS O-244): tramo, casilla,
# stat y cuanto suma. Lo genera herramientas/construir_tableros.py.
tablero,casillas,tramo,casilla,stat,valor
C40407C1,51,rama2,22,Potencia,9
C40407C1,51,rama2,24,Tecnica,6
C40407C1,51,rama2,25,Potencia,3
C40407C1,51,rama2,28,Control,7
C40407C1,51,rama2,29,Potencia,3
C40407C1,51,rama2,32,Presion,7
C40407C1,51,rama2,34,Control,7
C40407C1,51,rama2,35,Potencia,3
C40407C1,51,rama2,37,Control,7
C40407C1,51,rama2,40,Potencia,3
C40407C1,51,rama2,41,Tecnica,9
C40407C1,51,rama2,43,Fisico,9
9C8245B1,51,tronco,3,Presion,6
9C8245B1,51,tronco,4,Potencia,3
9C8245B1,51,tronco,7,Fisico,7
9C8245B1,51,rama1,8,Potencia,3
9C8245B1,51,rama1,11,Inteligencia,7
9C8245B1,51,rama1,13,Presion,7
9C8245B1,51,rama1,14,Potencia,3
9C8245B1,51,rama1,16,Tecnica,7
9C8245B1,51,rama1,17,Fisico,7
9C8245B1,51,rama2,21,Potencia,3
9C8245B1,51,rama2,22,Presion,9
9C8245B1,51,rama2,24,Tecnica,6
9C8245B1,51,rama2,25,Potencia,3
9C8245B1,51,rama2,28,Control,7
9C8245B1,51,rama2,29,Potencia,3
9C8245B1,51,rama2,32,Inteligencia,7
9C8245B1,51,rama2,34,Control,7
9C8245B1,51,rama2,35,Potencia,3
9C8245B1,51,rama2,37,Inteligencia,7
9C8245B1,51,rama2,40,Potencia,3
9C8245B1,51,rama2,41,Tecnica,9
9C8245B1,51,rama2,43,Fisico,9
D6B1A82F,51,tronco,3,Potencia,6
D6B1A82F,51,tronco,4,Potencia,3
D6B1A82F,51,tronco,7,Control,7
D6B1A82F,51,rama1,8,Potencia,3
D6B1A82F,51,rama1,11,Inteligencia,7
D6B1A82F,51,rama1,13,Tecnica,7
D6B1A82F,51,rama1,14,Potencia,3
D6B1A82F,51,rama1,16,Tecnica,7
D6B1A82F,51,rama1,17,Potencia,7
D6B1A82F,51,rama2,21,Potencia,3
D6B1A82F,51,rama2,22,Tecnica,9
D6B1A82F,51,rama2,24,Potencia,6
D6B1A82F,51,rama2,25,Potencia,3
D6B1A82F,51,rama2,28,Control,7
D6B1A82F,51,rama2,29,Potencia,3
D6B1A82F,51,rama2,32,Potencia,7
D6B1A82F,51,rama2,34,Control,7
D6B1A82F,51,rama2,35,Potencia,3
D6B1A82F,51,rama2,37,Control,7
D6B1A82F,51,rama2,40,Potencia,3
D6B1A82F,51,rama2,41,Potencia,9
D6B1A82F,51,rama2,43,Tecnica,9
5FF55116,51,tronco,3,Presion,6
5FF55116,51,tronco,4,Potencia,3
5FF55116,51,tronco,7,Control,7
5FF55116,51,rama1,8,Potencia,3
5FF55116,51,rama1,11,Inteligencia,7
5FF55116,51,rama1,13,Fisico,7
5FF55116,51,rama1,14,Potencia,3
5FF55116,51,rama1,16,Fisico,7
5FF55116,51,rama1,17,Agilidad,7
5FF55116,51,rama2,21,Potencia,3
5FF55116,51,rama2,22,Presion,9
5FF55116,51,rama2,24,Potencia,6
5FF55116,51,rama2,25,Potencia,3
5FF55116,51,rama2,28,Control,7
5FF55116,51,rama2,29,Potencia,3
5FF55116,51,rama2,32,Tecnica,7
5FF55116,51,rama2,34,Control,7
5FF55116,51,rama2,35,Potencia,3
5FF55116,51,rama2,37,Control,7
5FF55116,51,rama2,40,Potencia,3
5FF55116,51,rama2,41,Tecnica,9
5FF55116,51,rama2,43,Tecnica,9
8E37EA5F,51,tronco,3,Potencia,6
8E37EA5F,51,tronco,4,Potencia,3
8E37EA5F,51,tronco,7,Control,7
8E37EA5F,51,rama1,8,Potencia,3
8E37EA5F,51,rama1,11,Inteligencia,7
8E37EA5F,51,rama1,13,Tecnica,7
8E37EA5F,51,rama1,14,Potencia,3
8E37EA5F,51,rama1,16,Tecnica,7
8E37EA5F,51,rama1,17,Potencia,7
8E37EA5F,51,rama2,21,Potencia,3
8E37EA5F,51,rama2,22,Tecnica,9
8E37EA5F,51,rama2,24,Presion,6
8E37EA5F,51,rama2,25,Potencia,3
8E37EA5F,51,rama2,28,Fisico,7
8E37EA5F,51,rama2,29,Potencia,3
8E37EA5F,51,rama2,32,Presion,7
8E37EA5F,51,rama2,34,Control,7
8E37EA5F,51,rama2,35,Potencia,3
8E37EA5F,51,rama2,37,Fisico,7
8E37EA5F,51,rama2,40,Potencia,3
8E37EA5F,51,rama2,41,Presion,9
8E37EA5F,51,rama2,43,Tecnica,9
FD7B43C1,51,tronco,3,Potencia,6
FD7B43C1,51,tronco,4,Potencia,3
FD7B43C1,51,tronco,7,Control,7
FD7B43C1,51,rama1,8,Potencia,3
FD7B43C1,51,rama1,11,Inteligencia,7
FD7B43C1,51,rama1,13,Tecnica,7
FD7B43C1,51,rama1,14,Potencia,3
FD7B43C1,51,rama1,16,Tecnica,7
FD7B43C1,51,rama1,17,Potencia,7
FD7B43C1,51,rama2,21,Potencia,3
FD7B43C1,51,rama2,22,Tecnica,9
FD7B43C1,51,rama2,24,Presion,6
FD7B43C1,51,rama2,25,Potencia,3
FD7B43C1,51,rama2,28,Fisico,7
FD7B43C1,51,rama2,29,Potencia,3
FD7B43C1,51,rama2,32,Presion,7
FD7B43C1,51,rama2,34,Control,7
FD7B43C1,51,rama2,35,Potencia,3
FD7B43C1,51,rama2,37,Fisico,7
FD7B43C1,51,rama2,40,Potencia,3
FD7B43C1,51,rama2,41,Presion,9
FD7B43C1,51,rama2,43,Tecnica,9
FD893B04,67,tronco,1,Control,6
FD893B04,67,tronco,5,Potencia,7
FD893B04,67,tronco,7,Control,7
FD893B04,67,rama1,9,Inteligencia,7
FD893B04,67,rama1,13,Potencia,7
FD893B04,67,rama1,17,Potencia,7
FD893B04,67,rama2,20,Inteligencia,7
FD893B04,67,rama2,24,Tecnica,7
FD893B04,67,rama2,25,Control,7
FD893B04,67,rama2,28,Tecnica,7
FD893B04,67,rama2,31,Presion,7
FD893B04,67,rama2,34,Fisico,7
FD893B04,67,rama2,39,Presion,9
FD893B04,67,rama2,43,Tecnica,9
FD893B04,67,rama2,46,Potencia,3
FD893B04,67,rama2,47,Potencia,3
FD893B04,67,rama2,48,Potencia,3
FD893B04,67,rama2,49,Potencia,3
FD893B04,67,rama2,50,Potencia,3
FD893B04,67,rama2,51,Potencia,3
FD893B04,67,rama2,52,Potencia,3
FD893B04,67,rama2,53,Potencia,3
FD893B04,67,rama2,54,Potencia,3
FD893B04,67,rama2,55,Potencia,3
FD893B04,67,rama2,56,Potencia,3
FD893B04,67,rama2,57,Potencia,3
FD893B04,67,rama2,58,Potencia,3
D643D0EA,67,tronco,1,Inteligencia,6
D643D0EA,67,tronco,5,Fisico,6
D643D0EA,67,tronco,7,Fisico,7
D643D0EA,67,rama1,9,Fisico,7
D643D0EA,67,rama1,13,Potencia,8
D643D0EA,67,rama1,17,Agilidad,9
D643D0EA,67,rama2,20,Inteligencia,7
D643D0EA,67,rama2,24,Tecnica,5
D643D0EA,67,rama2,25,Control,8
D643D0EA,67,rama2,28,Tecnica,8
D643D0EA,67,rama2,31,Presion,6
D643D0EA,67,rama2,34,Fisico,8
D643D0EA,67,rama2,39,Presion,8
D643D0EA,67,rama2,43,Tecnica,8
D643D0EA,67,rama2,46,Potencia,3
D643D0EA,67,rama2,47,Potencia,3
D643D0EA,67,rama2,48,Potencia,3
D643D0EA,67,rama2,49,Potencia,3
D643D0EA,67,rama2,50,Potencia,3
D643D0EA,67,rama2,51,Potencia,3
D643D0EA,67,rama2,52,Potencia,3
D643D0EA,67,rama2,53,Potencia,3
D643D0EA,67,rama2,54,Potencia,3
D643D0EA,67,rama2,55,Potencia,3
D643D0EA,67,rama2,56,Potencia,3
D643D0EA,67,rama2,57,Potencia,3
D643D0EA,67,rama2,58,Potencia,3
74CDC23D,67,tronco,1,Control,6
74CDC23D,67,tronco,5,Tecnica,7
74CDC23D,67,tronco,7,Tecnica,7
74CDC23D,67,rama1,9,Inteligencia,7
74CDC23D,67,rama1,13,Potencia,7
74CDC23D,67,rama1,17,Control,9
74CDC23D,67,rama2,20,Inteligencia,7
74CDC23D,67,rama2,24,Tecnica,7
74CDC23D,67,rama2,25,Control,7
74CDC23D,67,rama2,28,Tecnica,7
74CDC23D,67,rama2,31,Presion,7
74CDC23D,67,rama2,34,Fisico,7
74CDC23D,67,rama2,39,Presion,9
74CDC23D,67,rama2,43,Tecnica,9
74CDC23D,67,rama2,46,Potencia,3
74CDC23D,67,rama2,47,Potencia,3
74CDC23D,67,rama2,48,Potencia,3
74CDC23D,67,rama2,49,Potencia,3
74CDC23D,67,rama2,50,Potencia,3
74CDC23D,67,rama2,51,Potencia,3
74CDC23D,67,rama2,52,Potencia,3
74CDC23D,67,rama2,53,Potencia,3
74CDC23D,67,rama2,54,Potencia,3
74CDC23D,67,rama2,55,Potencia,3
74CDC23D,67,rama2,56,Potencia,3
74CDC23D,67,rama2,57,Potencia,3
74CDC23D,67,rama2,58,Potencia,3
A50F7974,67,tronco,1,Presion,6
A50F7974,67,tronco,5,Presion,7
A50F7974,67,tronco,7,Fisico,7
A50F7974,67,rama1,9,Fisico,7
A50F7974,67,rama1,13,Potencia,7
A50F7974,67,rama1,17,Fisico,9
A50F7974,67,rama2,20,Inteligencia,7
A50F7974,67,rama2,24,Potencia,7
A50F7974,67,rama2,25,Control,7
A50F7974,67,rama2,28,Tecnica,7
A50F7974,67,rama2,31,Presion,7
A50F7974,67,rama2,34,Fisico,7
A50F7974,67,rama2,39,Presion,9
A50F7974,67,rama2,43,Tecnica,9
A50F7974,67,rama2,46,Potencia,3
A50F7974,67,rama2,47,Potencia,3
A50F7974,67,rama2,48,Potencia,3
A50F7974,67,rama2,49,Potencia,3
A50F7974,67,rama2,50,Potencia,3
A50F7974,67,rama2,51,Potencia,3
A50F7974,67,rama2,52,Potencia,3
A50F7974,67,rama2,53,Potencia,3
A50F7974,67,rama2,54,Potencia,3
A50F7974,67,rama2,55,Potencia,3
A50F7974,67,rama2,56,Potencia,3
A50F7974,67,rama2,57,Potencia,3
A50F7974,67,rama2,58,Potencia,3
EF3C94EA,67,tronco,1,Control,6
EF3C94EA,67,tronco,5,Potencia,7
EF3C94EA,67,tronco,7,Control,7
EF3C94EA,67,rama1,9,Inteligencia,7
EF3C94EA,67,rama1,13,Potencia,7
EF3C94EA,67,rama1,17,Potencia,7
EF3C94EA,67,rama2,20,Inteligencia,7
EF3C94EA,67,rama2,24,Potencia,7
EF3C94EA,67,rama2,25,Control,7
EF3C94EA,67,rama2,28,Tecnica,7
EF3C94EA,67,rama2,31,Control,7
EF3C94EA,67,rama2,34,Potencia,7
EF3C94EA,67,rama2,39,Presion,9
EF3C94EA,67,rama2,43,Potencia,9
EF3C94EA,67,rama2,46,Potencia,3
EF3C94EA,67,rama2,47,Potencia,3
EF3C94EA,67,rama2,48,Potencia,3
EF3C94EA,67,rama2,49,Potencia,3
EF3C94EA,67,rama2,50,Potencia,3
EF3C94EA,67,rama2,51,Potencia,3
EF3C94EA,67,rama2,52,Potencia,3
EF3C94EA,67,rama2,53,Potencia,3
EF3C94EA,67,rama2,54,Potencia,3
EF3C94EA,67,rama2,55,Potencia,3
EF3C94EA,67,rama2,56,Potencia,3
EF3C94EA,67,rama2,57,Potencia,3
EF3C94EA,67,rama2,58,Potencia,3
66786DD3,67,tronco,1,Control,6
66786DD3,67,tronco,5,Fisico,6
66786DD3,67,tronco,7,Fisico,7
66786DD3,67,rama1,9,Fisico,7
66786DD3,67,rama1,13,Potencia,8
66786DD3,67,rama1,17,Agilidad,9
66786DD3,67,rama2,20,Inteligencia,7
66786DD3,67,rama2,24,Tecnica,7
66786DD3,67,rama2,25,Control,8
66786DD3,67,rama2,28,Tecnica,8
66786DD3,67,rama2,31,Tecnica,7
66786DD3,67,rama2,34,Control,7
66786DD3,67,rama2,39,Presion,8
66786DD3,67,rama2,43,Tecnica,9
66786DD3,67,rama2,46,Potencia,3
66786DD3,67,rama2,47,Potencia,3
66786DD3,67,rama2,48,Potencia,3
66786DD3,67,rama2,49,Potencia,3
66786DD3,67,rama2,50,Potencia,3
66786DD3,67,rama2,51,Potencia,3
66786DD3,67,rama2,52,Potencia,3
66786DD3,67,rama2,53,Potencia,3
66786DD3,67,rama2,54,Potencia,3
66786DD3,67,rama2,55,Potencia,3
66786DD3,67,rama2,56,Potencia,3
66786DD3,67,rama2,57,Potencia,3
66786DD3,67,rama2,58,Potencia,3
B7BAD69A,67,tronco,1,Fisico,6
B7BAD69A,67,tronco,5,Tecnica,7
B7BAD69A,67,tronco,7,Tecnica,7
B7BAD69A,67,rama1,9,Inteligencia,7
B7BAD69A,67,rama1,13,Potencia,7
B7BAD69A,67,rama1,17,Control,9
B7BAD69A,67,rama2,20,Inteligencia,7
B7BAD69A,67,rama2,24,Fisico,7
B7BAD69A,67,rama2,25,Control,7
B7BAD69A,67,rama2,28,Tecnica,7
B7BAD69A,67,rama2,31,Agilidad,7
B7BAD69A,67,rama2,34,Fisico,7
B7BAD69A,67,rama2,39,Presion,9
B7BAD69A,67,rama2,43,Fisico,9
B7BAD69A,67,rama2,46,Potencia,3
B7BAD69A,67,rama2,47,Potencia,3
B7BAD69A,67,rama2,48,Potencia,3
B7BAD69A,67,rama2,49,Potencia,3
B7BAD69A,67,rama2,50,Potencia,3
B7BAD69A,67,rama2,51,Potencia,3
B7BAD69A,67,rama2,52,Potencia,3
B7BAD69A,67,rama2,53,Potencia,3
B7BAD69A,67,rama2,54,Potencia,3
B7BAD69A,67,rama2,55,Potencia,3
B7BAD69A,67,rama2,56,Potencia,3
B7BAD69A,67,rama2,57,Potencia,3
B7BAD69A,67,rama2,58,Potencia,3
C4F67F04,67,tronco,1,Fisico,6
C4F67F04,67,tronco,5,Potencia,7
C4F67F04,67,tronco,7,Control,7
C4F67F04,67,rama1,9,Inteligencia,7
C4F67F04,67,rama1,13,Potencia,7
C4F67F04,67,rama1,17,Potencia,7
C4F67F04,67,rama2,20,Inteligencia,7
C4F67F04,67,rama2,24,Agilidad,7
C4F67F04,67,rama2,25,Control,7
C4F67F04,67,rama2,28,Tecnica,7
C4F67F04,67,rama2,31,Fisico,7
C4F67F04,67,rama2,34,Agilidad,7
C4F67F04,67,rama2,39,Presion,9
C4F67F04,67,rama2,43,Agilidad,9
C4F67F04,67,rama2,46,Potencia,3
C4F67F04,67,rama2,47,Potencia,3
C4F67F04,67,rama2,48,Potencia,3
C4F67F04,67,rama2,49,Potencia,3
C4F67F04,67,rama2,50,Potencia,3
C4F67F04,67,rama2,51,Potencia,3
C4F67F04,67,rama2,52,Potencia,3
C4F67F04,67,rama2,53,Potencia,3
C4F67F04,67,rama2,54,Potencia,3
C4F67F04,67,rama2,55,Potencia,3
C4F67F04,67,rama2,56,Potencia,3
C4F67F04,67,rama2,57,Potencia,3
C4F67F04,67,rama2,58,Potencia,3
63B6D67E,57,tronco,1,Tecnica,6
63B6D67E,57,tronco,2,Presion,6
63B6D67E,57,tronco,5,Inteligencia,6
63B6D67E,57,tronco,6,Fisico,6
63B6D67E,57,rama1,9,Potencia,7
63B6D67E,57,rama1,10,Inteligencia,7
63B6D67E,57,rama1,14,Control,7
63B6D67E,57,rama1,15,Fisico,7
63B6D67E,57,rama2,20,Control,7
63B6D67E,57,rama2,22,Tecnica,7
63B6D67E,57,rama2,25,Presion,7
63B6D67E,57,rama2,28,Potencia,7
63B6D67E,57,rama2,31,Tecnica,9
63B6D67E,57,rama2,37,Presion,9
63B6D67E,57,rama2,41,Potencia,3
63B6D67E,57,rama2,42,Potencia,3
63B6D67E,57,rama2,43,Potencia,3
63B6D67E,57,rama2,44,Potencia,3
63B6D67E,57,rama2,45,Potencia,3
63B6D67E,57,rama2,46,Potencia,3
63B6D67E,57,rama2,47,Potencia,3
63B6D67E,57,rama2,48,Potencia,3
63B6D67E,57,rama2,49,Potencia,3
B2746D37,57,tronco,1,Tecnica,6
B2746D37,57,tronco,2,Presion,6
B2746D37,57,tronco,5,Inteligencia,6
B2746D37,57,tronco,6,Fisico,6
B2746D37,57,rama1,9,Potencia,7
B2746D37,57,rama1,10,Inteligencia,7
B2746D37,57,rama1,14,Control,7
B2746D37,57,rama1,15,Fisico,7
B2746D37,57,rama2,20,Control,7
B2746D37,57,rama2,22,Tecnica,7
B2746D37,57,rama2,25,Presion,7
B2746D37,57,rama2,28,Potencia,7
B2746D37,57,rama2,31,Tecnica,9
B2746D37,57,rama2,37,Presion,9
B2746D37,57,rama2,41,Potencia,3
B2746D37,57,rama2,42,Potencia,3
B2746D37,57,rama2,43,Potencia,3
B2746D37,57,rama2,44,Potencia,3
B2746D37,57,rama2,45,Potencia,3
B2746D37,57,rama2,46,Potencia,3
B2746D37,57,rama2,47,Potencia,3
B2746D37,57,rama2,48,Potencia,3
B2746D37,57,rama2,49,Potencia,3
EAF22F47,57,tronco,1,Potencia,6
EAF22F47,57,tronco,2,Presion,6
EAF22F47,57,tronco,5,Control,7
EAF22F47,57,tronco,6,Fisico,6
EAF22F47,57,rama1,9,Potencia,7
EAF22F47,57,rama1,10,Inteligencia,7
EAF22F47,57,rama1,14,Control,7
EAF22F47,57,rama1,15,Fisico,7
EAF22F47,57,rama2,20,Control,7
EAF22F47,57,rama2,22,Control,7
EAF22F47,57,rama2,25,Presion,7
EAF22F47,57,rama2,28,Potencia,7
EAF22F47,57,rama2,31,Potencia,9
EAF22F47,57,rama2,37,Presion,9
EAF22F47,57,rama2,41,Potencia,3
EAF22F47,57,rama2,42,Potencia,3
EAF22F47,57,rama2,43,Potencia,3
EAF22F47,57,rama2,44,Potencia,3
EAF22F47,57,rama2,45,Potencia,3
EAF22F47,57,rama2,46,Potencia,3
EAF22F47,57,rama2,47,Potencia,3
EAF22F47,57,rama2,48,Potencia,3
EAF22F47,57,rama2,49,Potencia,3
C138C4A9,57,tronco,2,Control,6
C138C4A9,57,tronco,5,Fisico,7
C138C4A9,57,tronco,6,Tecnica,7
C138C4A9,57,rama1,10,Inteligencia,7
C138C4A9,57,rama1,14,Control,7
C138C4A9,57,rama1,15,Agilidad,7
C138C4A9,57,rama2,20,Tecnica,7
C138C4A9,57,rama2,22,Fisico,7
C138C4A9,57,rama2,25,Agilidad,7
C138C4A9,57,rama2,28,Potencia,7
C138C4A9,57,rama2,31,Fisico,9
C138C4A9,57,rama2,37,Presion,9
C138C4A9,57,rama2,41,Potencia,3
C138C4A9,57,rama2,42,Potencia,3
C138C4A9,57,rama2,43,Potencia,3
C138C4A9,57,rama2,44,Potencia,3
C138C4A9,57,rama2,45,Potencia,3
C138C4A9,57,rama2,46,Potencia,3
C138C4A9,57,rama2,47,Potencia,3
C138C4A9,57,rama2,48,Potencia,3
C138C4A9,57,rama2,49,Potencia,3
F84780A9,57,tronco,1,Tecnica,6
F84780A9,57,tronco,2,Control,6
F84780A9,57,tronco,5,Inteligencia,6
F84780A9,57,tronco,6,Potencia,7
F84780A9,57,rama1,9,Potencia,7
F84780A9,57,rama1,10,Inteligencia,7
F84780A9,57,rama1,14,Control,7
F84780A9,57,rama1,15,Potencia,7
F84780A9,57,rama2,20,Control,7
F84780A9,57,rama2,22,Tecnica,7
F84780A9,57,rama2,25,Presion,7
F84780A9,57,rama2,28,Potencia,7
F84780A9,57,rama2,31,Tecnica,9
F84780A9,57,rama2,37,Potencia,9
F84780A9,57,rama2,41,Potencia,3
F84780A9,57,rama2,42,Potencia,3
F84780A9,57,rama2,43,Potencia,3
F84780A9,57,rama2,44,Potencia,3
F84780A9,57,rama2,45,Potencia,3
F84780A9,57,rama2,46,Potencia,3
F84780A9,57,rama2,47,Potencia,3
F84780A9,57,rama2,48,Potencia,3
F84780A9,57,rama2,49,Potencia,3
71037990,57,tronco,1,Presion,6
71037990,57,tronco,2,Control,6
71037990,57,tronco,5,Presion,7
71037990,57,tronco,6,Tecnica,7
71037990,57,rama1,9,Fisico,7
71037990,57,rama1,10,Inteligencia,7
71037990,57,rama1,14,Presion,7
71037990,57,rama1,15,Control,7
71037990,57,rama2,20,Control,7
71037990,57,rama2,22,Tecnica,7
71037990,57,rama2,25,Presion,7
71037990,57,rama2,28,Potencia,7
71037990,57,rama2,31,Presion,7
71037990,57,rama2,37,Tecnica,9
71037990,57,rama2,41,Potencia,3
71037990,57,rama2,42,Potencia,3
71037990,57,rama2,43,Potencia,3
71037990,57,rama2,44,Potencia,3
71037990,57,rama2,45,Potencia,3
71037990,57,rama2,46,Potencia,3
71037990,57,rama2,47,Potencia,3
71037990,57,rama2,48,Potencia,3
71037990,57,rama2,49,Potencia,3
A0C1C2D9,57,tronco,1,Presion,6
A0C1C2D9,57,tronco,2,Control,6
A0C1C2D9,57,tronco,5,Presion,7
A0C1C2D9,57,tronco,6,Tecnica,7
A0C1C2D9,57,rama1,9,Fisico,7
A0C1C2D9,57,rama1,10,Inteligencia,7
A0C1C2D9,57,rama1,14,Presion,7
A0C1C2D9,57,rama1,15,Control,7
A0C1C2D9,57,rama2,20,Control,7
A0C1C2D9,57,rama2,22,Tecnica,7
A0C1C2D9,57,rama2,25,Presion,7
A0C1C2D9,57,rama2,28,Potencia,7
A0C1C2D9,57,rama2,31,Presion,7
A0C1C2D9,57,rama2,37,Tecnica,9
A0C1C2D9,57,rama2,41,Potencia,3
A0C1C2D9,57,rama2,42,Potencia,3
A0C1C2D9,57,rama2,43,Potencia,3
A0C1C2D9,57,rama2,44,Potencia,3
A0C1C2D9,57,rama2,45,Potencia,3
A0C1C2D9,57,rama2,46,Potencia,3
A0C1C2D9,57,rama2,47,Potencia,3
A0C1C2D9,57,rama2,48,Potencia,3
A0C1C2D9,57,rama2,49,Potencia,3
D38D6B47,57,tronco,1,Tecnica,6
D38D6B47,57,tronco,2,Fisico,6
D38D6B47,57,tronco,5,Inteligencia,6
D38D6B47,57,tronco,6,Fisico,6
D38D6B47,57,rama1,9,Potencia,7
D38D6B47,57,rama1,10,Inteligencia,7
D38D6B47,57,rama1,14,Control,7
D38D6B47,57,rama2,20,Control,7
D38D6B47,57,rama2,22,Tecnica,7
D38D6B47,57,rama2,25,Presion,7
D38D6B47,57,rama2,31,Tecnica,9
D38D6B47,57,rama2,37,Agilidad,9
D38D6B47,57,rama2,41,Potencia,3
D38D6B47,57,rama2,42,Potencia,3
D38D6B47,57,rama2,43,Potencia,3
D38D6B47,57,rama2,44,Potencia,3
D38D6B47,57,rama2,45,Potencia,3
D38D6B47,57,rama2,46,Potencia,3
D38D6B47,57,rama2,47,Potencia,3
D38D6B47,57,rama2,48,Potencia,3
D38D6B47,57,rama2,49,Potencia,3
A559A960,60,tronco,2,Presion,6
A559A960,60,tronco,4,Agilidad,6
A559A960,60,tronco,7,Tecnica,7
A559A960,60,rama1,9,Fisico,7
A559A960,60,rama1,12,Inteligencia,7
A559A960,60,rama1,15,Inteligencia,7
A559A960,60,rama2,18,Tecnica,7
A559A960,60,rama2,21,Control,7
A559A960,60,rama2,25,Fisico,7
A559A960,60,rama2,28,Presion,7
A559A960,60,rama2,31,Agilidad,7
A559A960,60,rama2,34,Fisico,7
A559A960,60,rama2,37,Presion,9
A559A960,60,rama2,40,Agilidad,9
A559A960,60,rama2,43,Potencia,3
A559A960,60,rama2,44,Potencia,3
A559A960,60,rama2,45,Potencia,3
A559A960,60,rama2,46,Potencia,3
A559A960,60,rama2,47,Potencia,3
A559A960,60,rama2,48,Potencia,3
