# A que altura (0-100 %) empiezan los hombros en cada busto (NOTAS O-149).
# Lo genera herramientas/construir_hombros.py.
cuerpo,hombro
u010408_20_01,81
u010451_10_00,84
u010451_10_01,84
u010451_20_00,84
u010451_20_01,84
u010452_10_00,86
u010452_10_01,86
u010452_20_00,86
u010452_20_01,86
u010453_10_00,91
u010453_20_00,91
u010454_10_00,89
u010454_20_00,90
u010455_10_00,79
u010455_10_01,79
u010455_20_00,79
u010455_20_01,79
u010456_10_00,73
u010456_10_10,73
u010456_20_00,73
u010456_20_10,73
u010457_10_00,74
u010457_10_10,74
u010457_20_00,74
u010457_20_10,74
u010458_10_00,81
u010458_10_01,80
u010458_20_00,81
u010458_20_01,80
u010501_10_00,83
u010501_10_01,83
u010501_10_02,85
u010501_10_03,83
u010501_20_00,83
u010501_20_01,83
u010501_20_02,85
u010501_20_03,83
u010502_10_00,86
u010502_20_00,87
u010503_10_00,90
u010503_20_00,90
u010504_10_00,89
u010504_20_00,89
u010505_10_00,79
u010505_10_01,79
u010505_20_00,79
u010505_20_01,79
u010506_10_00,73
u010506_10_02,72
u010506_10_10,73
u010506_20_00,74
u010506_20_02,72
u010506_20_10,75
u010507_10_00,74
u010507_10_04,74
u010507_10_10,74
u010507_20_00,74
u010507_20_04,74
u010507_20_10,74
u010508_10_00,81
u010508_20_00,81
u010551_10_00,84
u010551_10_01,84
u010551_20_00,84
u010551_20_01,84
u010552_10_00,85
u010552_10_01,86
u010552_20_00,86
u010552_20_01,86
u010553_10_00,91
u010553_20_00,91
u010554_10_00,90
u010554_20_00,90
u010555_10_00,79
u010555_10_01,79
u010555_20_00,79
u010555_20_01,79
u010556_10_00,73
u010556_10_10,73
u010556_20_00,73
u010556_20_10,73
u010557_10_00,74
u010557_10_10,74
u010557_20_00,74
u010557_20_10,74
u010558_10_00,81
u010558_10_01,80
u010558_20_00,81
u010558_20_01,80
u010601_10_00,84
u010601_10_01,83
u010601_10_02,85
u010601_10_03,83
u010601_20_00,83
u010601_20_01,83
u010601_20_02,85
u010601_20_03,83
u010602_10_00,87
u010602_10_01,87
u010602_20_00,87
u010602_20_01,87
u010603_10_00,96
u010603_20_00,96
u010604_10_00,94
u010604_20_00,94
u010605_10_00,79
u010605_10_01,79
u010605_20_00,79
u010605_20_01,79
u010606_10_00,76
u010606_10_02,72
u010606_10_10,73
u010606_20_00,73
u010606_20_02,72
u010606_20_10,73
u010607_10_00,76
u010607_10_04,74
u010607_10_10,76
u010607_20_00,76
u010607_20_04,74
u010607_20_10,76
u010608_10_00,82
u010608_10_01,81
u010608_20_00,81
u010608_20_01,81
u010651_10_00,84
u010651_10_01,84
u010651_20_00,84
u010651_20_01,84
u010652_10_00,87
u010652_10_01,86
u010652_20_00,86
u010652_20_01,86
u010653_10_00,100
u010653_20_00,100
u010654_10_00,99
u010654_20_00,99
u010655_10_00,79
u010655_10_01,79
u010655_20_00,79
u010655_20_01,79
u010656_10_00,76
u010656_10_10,73
u010656_20_00,73
u010656_20_10,73
u010657_10_00,76
u010657_10_10,76
u010657_20_00,76
u010657_20_10,76
u010658_10_00,81
u010658_10_01,80
u010658_20_00,81
u010658_20_01,80
u010701_10_00,83
u010701_10_01,83
u010701_10_02,85
u010701_10_03,83
u010701_20_00,83
u010701_20_01,83
u010701_20_02,85
u010701_20_03,83
u010702_10_00,87
u010702_10_01,87
u010702_20_00,86
u010702_20_01,87
u010703_10_00,90
u010703_20_00,90
u010704_10_00,89
u010704_20_00,90
u010705_10_00,79
u010705_10_01,79
u010705_20_00,79
u010705_20_01,79
u010706_10_00,73
u010706_10_02,72
u010706_10_10,73
u010706_20_00,73
u010706_20_02,72
u010706_20_10,73
u010707_10_00,74
u010707_10_04,74
u010707_10_10,74
u010707_20_00,74
u010707_20_04,74
u010707_20_10,74
u010708_10_00,81
u010708_10_01,81
u010708_20_00,81
u010708_20_01,81
u010751_10_00,84
u010751_10_01,84
u010751_20_00,84
u010751_20_01,84
u010752_10_00,87
u010752_10_01,87
u010752_20_00,85
u010752_20_01,87
u010753_10_00,91
u010753_20_00,91
u010754_10_00,90
u010754_20_00,90
u010755_10_00,79
u010755_10_01,79
u010755_20_00,79
u010755_20_01,79
u010756_10_00,73
u010756_10_10,73
u010756_20_00,73
u010756_20_10,73
u010757_10_00,74
u010757_10_10,74
u010757_20_00,74
u010757_20_10,74
u010758_10_00,81
u010758_10_01,80
u010758_20_00,81
u010758_20_01,80
u010801_10_00,83
u010801_10_02,85
u010801_10_03,83
u010801_20_00,83
u010801_20_02,85
u010801_20_03,83
u010802_10_00,86
u010802_20_00,87
u010803_10_00,90
u010803_20_00,90
u010804_10_00,89
u010804_20_00,89
u010805_10_00,79
u010805_20_00,79
u010806_10_00,75
u010806_10_02,73
u010806_10_10,75
u010806_20_00,75
u010806_20_02,73
u010806_20_10,75
u010807_10_00,74
u010807_10_04,74
u010807_10_10,74
u010807_20_00,74
u010807_20_04,74
u010807_20_10,74
u010808_10_00,81
u010808_20_00,81
u010851_10_00,84
u010851_10_01,84
u010851_20_00,84
u010851_20_01,84
u010852_10_00,85
u010852_10_01,86
u010852_20_00,86
u010852_20_01,86
u010853_10_00,91
u010853_20_00,91
u010854_10_00,89
u010854_20_00,89
u010855_10_00,79
u010855_10_01,79
u010855_20_00,79
u010855_20_01,79
u010856_10_00,73
u010856_10_10,73
u010856_20_00,73
u010856_20_10,73
u010857_10_00,74
u010857_10_10,74
u010857_20_00,74
u010857_20_10,74
u010858_10_00,81
u010858_10_01,80
u010858_20_00,81
u010858_20_01,80
u010901_10_00,83
u010901_10_02,85
u010901_10_03,83
u010901_20_00,83
u010901_20_02,85
u010901_20_03,83
u010902_10_00,87
u010902_20_00,86
u010903_10_00,90
u010903_20_00,90
u010904_10_00,89
u010904_20_00,89
u010905_10_00,79
u010905_20_00,79
u010906_10_00,74
u010906_10_02,73
u010906_10_10,75
u010906_20_00,75
u010906_20_02,73
u010906_20_10,75
u010907_10_00,74
u010907_10_04,74
u010907_10_10,74
u010907_20_00,74
u010907_20_04,74
u010907_20_10,74
u010908_10_00,81
u010908_20_00,81
u010951_10_00,84
u010951_10_01,84
u010951_20_00,84
u010951_20_01,84
u010952_10_00,86
u010952_10_01,86
u010952_20_00,85
u010952_20_01,86
u010953_10_00,91
u010953_20_00,91
u010954_10_00,90
u010954_20_00,90
u010955_10_00,79
u010955_10_01,79
u010955_20_00,79
u010955_20_01,79
u010956_10_00,73
u010956_10_10,73
u010956_20_00,73
u010956_20_10,73
u010957_10_00,74
u010957_10_10,74
u010957_20_00,74
u010957_20_10,74
u010958_10_00,81
u010958_10_01,80
u010958_20_00,81
u010958_20_01,80
u011001_10_00,83
u011001_10_02,81
u011001_10_03,83
u011001_20_00,83
u011001_20_02,81
u011001_20_03,83
u011002_10_00,87
u011002_20_00,87
u011003_10_00,90
u011003_20_00,90
u011004_10_00,89
u011004_20_00,89
u011005_10_00,77
u011005_20_00,77
u011006_10_00,71
u011006_10_02,71
u011006_10_10,71
u011006_20_00,71
u011006_20_02,71
u011006_20_10,71
u011007_10_00,73
u011007_10_04,73
u011007_10_10,73
u011007_20_00,73
u011007_20_04,73
u011007_20_10,73
u011008_10_00,79
u011008_20_00,79
u011011_10_00,84
u011011_20_00,84
u011011_u011001_10_00,84
u011011_u011001_20_00,84
u011016_10_00,71
u011016_20_00,71
u011016_u011001_10_00,71
u011016_u011001_20_00,71
u011051_10_00,84
u011051_10_01,84
u011051_20_00,84
u011051_20_01,84
u011052_10_00,85
u011052_10_01,86
u011052_20_00,85
u011052_20_01,86
u011053_10_00,93
u011053_20_00,93
u011054_10_00,89
u011054_20_00,89
u011055_10_00,79
u011055_10_01,79
u011055_20_00,79
u011055_20_01,79
u011056_10_00,73
u011056_10_10,73
u011056_20_00,73
u011056_20_10,73
u011057_10_00,74
u011057_10_10,74
u011057_20_00,74
u011057_20_10,74
u011058_10_00,80
u011058_10_01,80
u011058_20_00,80
u011058_20_01,80
u011083_10_00,90
u011083_20_00,90
u011091_10_00,83
u011091_20_00,83
u011093_10_00,90
u011093_20_00,90
u011095_10_00,79
u011095_20_00,79
u011101_10_00,83
u011101_10_02,85
u011101_10_03,83
u011101_20_00,83
u011101_20_02,85
u011101_20_03,83
u011102_10_00,86
u011102_20_00,86
u011103_10_00,90
u011103_20_00,90
u011104_10_00,89
u011104_20_00,89
u011105_10_00,79
u011105_20_00,79
u011106_10_00,75
u011106_10_02,73
u011106_10_10,75
u011106_20_00,74
u011106_20_02,73
u011106_20_10,75
u011107_10_00,74
u011107_10_04,74
u011107_10_10,74
u011107_20_00,74
u011107_20_04,74
u011107_20_10,74
u011108_10_00,81
u011108_20_00,81
u011151_10_00,84
u011151_10_01,84
u011151_20_00,84
u011151_20_01,84
u011152_10_00,85
u011152_10_01,86
u011152_20_00,85
u011152_20_01,86
u011153_10_00,91
u011153_20_00,91
u011154_10_00,89
u011154_20_00,89
u011155_10_00,79
u011155_10_01,79
u011155_20_00,79
u011155_20_01,79
u011156_10_00,73
u011156_10_10,73
u011156_20_00,73
u011156_20_10,73
u011157_10_00,74
u011157_10_10,74
u011157_20_00,74
u011157_20_10,74
u011158_10_00,81
u011158_10_01,80
u011158_20_00,80
u011158_20_01,80
u011201_10_00,83
u011201_10_01,83
u011201_10_02,85
u011201_10_03,83
u011201_20_00,83
u011201_20_01,83
u011201_20_02,85
u011201_20_03,83
u011202_10_00,86
u011202_10_01,87
u011202_20_00,87
u011202_20_01,87
u011203_10_00,90
u011203_20_00,90
u011204_10_00,89
u011204_20_00,89
u011205_10_00,79
u011205_10_01,79
u011205_20_00,79
u011205_20_01,79
u011206_10_00,73
u011206_10_02,73
u011206_10_10,73
u011206_20_00,73
u011206_20_02,72
u011206_20_10,73
u011207_10_00,74
u011207_10_04,74
u011207_10_10,74
u011207_20_00,74
u011207_20_04,74
u011207_20_10,74
u011208_10_00,81
u011208_10_01,81
u011208_20_00,81
u011208_20_01,81
u011251_10_00,84
u011251_10_01,84
u011251_20_00,84
u011251_20_01,84
u011252_10_00,85
u011252_10_01,86
u011252_20_00,86
u011252_20_01,86
u011253_10_00,91
u011253_20_00,91
u011254_10_00,89
u011254_20_00,90
u011255_10_00,79
u011255_10_01,79
u011255_20_00,79
u011255_20_01,79
u011256_10_00,73
u011256_10_10,73
u011256_20_00,73
u011256_20_10,73
u011257_10_00,74
u011257_10_10,74
u011257_20_00,74
u011257_20_10,74
u011258_10_00,81
u011258_10_01,80
u011258_20_00,81
u011258_20_01,80
u011301_10_00,83
u011301_10_01,83
u011301_10_02,85
u011301_10_03,83
u011301_20_00,83
u011301_20_01,83
u011301_20_02,85
u011301_20_03,83
u011302_10_00,87
u011302_10_01,87
u011302_20_00,86
u011302_20_01,87
u011303_10_00,90
u011303_20_00,90
u011304_10_00,89
u011304_20_00,89
u011305_10_00,79
u011305_10_01,79
u011305_20_00,79
u011305_20_01,79
u011306_10_00,73
u011306_10_02,72
u011306_10_10,73
u011306_20_00,73
u011306_20_02,72
u011306_20_10,73
u011307_10_00,74
u011307_10_04,74
u011307_10_10,74
u011307_20_00,74
u011307_20_04,74
u011307_20_10,74
u011308_10_00,81
u011308_10_01,81
u011308_20_00,81
u011308_20_01,81
u011351_10_00,84
u011351_10_01,84
u011351_20_00,84
u011351_20_01,84
u011352_10_00,86
u011352_10_01,86
u011352_20_00,85
u011352_20_01,86
u011353_10_00,91
u011353_20_00,91
u011354_10_00,89
u011354_20_00,90
u011355_10_00,79
u011355_10_01,79
u011355_20_00,79
u011355_20_01,79
u011356_10_00,73
u011356_10_10,73
u011356_20_00,73
u011356_20_10,73
u011357_10_00,74
u011357_10_10,74
u011357_20_00,74
u011357_20_10,74
u011358_10_00,81
u011358_10_01,80
u011358_20_00,81
u011358_20_01,80
u011401_10_00,83
u011401_10_01,83
u011401_10_02,85
u011401_10_03,83
u011401_20_00,83
u011401_20_01,83
u011401_20_02,85
u011401_20_03,83
u011402_10_00,86
u011402_20_00,86
u011403_10_00,90
u011403_20_00,90
u011404_10_00,89
u011404_20_00,89
u011405_10_00,79
u011405_10_01,79
u011405_20_00,79
u011405_20_01,79
u011406_10_00,74
u011406_10_02,72
u011406_10_10,73
u011406_20_00,74
u011406_20_02,72
u011406_20_10,75
u011407_10_00,74
u011407_10_04,74
u011407_10_10,74
u011407_20_00,74
u011407_20_04,74
u011407_20_10,74
u011408_10_00,81
u011408_20_00,81
u011451_10_00,84
u011451_10_01,84
u011451_20_00,84
u011451_20_01,84
u011452_10_00,85
u011452_20_00,85
u011453_10_00,91
u011453_20_00,91
u011454_10_00,89
u011454_20_00,89
u011455_10_00,79
u011455_10_01,79
u011455_20_00,79
u011455_20_01,79
u011456_10_00,75
u011456_10_10,73
u011456_20_00,75
u011456_20_10,75
u011457_10_00,74
u011457_10_10,74
u011457_20_00,74
u011457_20_10,74
u011458_10_00,81
u011458_20_00,81
u015101_10_00,83
u015102_20_00,87
u015102_21_00,87
u015102_22_00,87
u015102_23_00,87
u015103_10_00,93
u015104_10_00,90
u015105_10_00,80
u015106_10_00,71
u015107_10_00,74
u015108_10_00,81
u015401_00,80
u017101_10_00,82
u017105_10_00,79
u017107_10_00,74
u017107_10_10,74
u017201_10_00,83
u020101_10_00,80
u020101_20_00,80
u020102_10_00,85
u020102_20_00,85
u020103_10_00,92
u020103_20_00,92
u020104_10_00,90
u020104_20_00,90
u020105_10_00,79
u020105_20_00,79
u020106_10_00,74
u020106_10_10,74
u020106_20_00,74
u020106_20_10,74
u020107_10_00,74
u020107_10_10,74
u020107_20_00,74
u020107_20_10,74
u020108_10_00,80
u020108_20_00,80
u020151_10_00,84
u020151_20_00,84
u020152_10_00,87
u020152_20_00,87
u020153_10_00,93
u020153_20_00,93
u020154_10_00,89
u020154_20_00,89
u020155_10_00,79
u020155_20_00,79
u020156_10_00,75
u020156_10_10,74
u020156_20_00,75
u020156_20_10,74
u020157_10_00,74
u020157_10_10,74
u020157_20_00,74
u020157_20_10,74
u020158_10_00,80
u020158_20_00,80
u020201_10_00,84
u020201_10_01,84
u020201_20_00,84
u020201_20_01,84
u020202_10_00,86
u020202_10_01,86
u020202_20_00,87
u020202_20_01,86
u020203_10_00,100
u020203_20_00,100
u020204_10_00,99
u020204_20_00,99
u020205_10_00,79
u020205_10_01,79
u020205_20_00,79
u020205_20_01,79
u020206_10_00,73
u020206_10_10,73
u020206_20_00,76
u020206_20_10,73
u020207_10_00,76
u020207_10_10,74
u020207_20_00,76
u020207_20_10,76
u020208_10_00,81
u020208_10_01,80
u020208_20_00,81
u020208_20_01,80
u02024500,88
u02024700,84
u02024720,74
u02024730,87
u02024740,83
u02024750,85
u020251_10_00,84
u020251_10_01,84
u020251_20_00,84
u020251_20_01,84
u020252_10_00,86
u020252_10_01,86
u020252_20_00,87
u020252_20_01,86
u020253_10_00,100
u020253_20_00,100
u020254_10_00,99
u020254_20_00,99
u020255_10_00,79
u020255_10_01,79
u020255_20_00,79
u020255_20_01,79
u020256_10_00,73
u020256_10_10,73
u020256_20_00,76
u020256_20_10,73
u020257_10_00,76
u020257_10_10,74
u020257_20_00,76
u020257_20_10,76
u020258_10_00,81
u020258_10_01,80
u020258_20_00,81
u020258_20_01,80
u02029500,86
u020301_10_00,84
u020301_10_02,85
u020301_10_03,84
u020301_20_00,84
u020301_20_02,100
u020301_20_03,84
u020302_10_00,88
u020302_20_00,89
u020303_10_00,91
u020303_20_00,91
u020304_10_00,90
u020304_20_00,90
u020305_10_00,79
u020305_20_00,79
u020306_10_00,74
u020306_10_02,73
u020306_10_10,74
u020306_20_00,74
u020306_20_02,73
u020306_20_10,74
u020307_10_00,74
u020307_10_04,74
u020307_10_10,74
u020307_20_00,74
u020307_20_04,74
u020307_20_10,74
u020308_10_00,81
u020308_20_00,81
u020311_10_00,84
u020311_20_00,84
u020311_u020301_10_00,84
u020311_u020301_20_00,84
u020316_10_00,73
u020316_20_00,73
u020316_u020301_10_00,73
u020316_u020301_20_00,73
u020323_10_00,93
u020323_20_00,93
u020324_10_00,90
u020324_20_00,90
u020325_10_00,79
u020325_20_00,79
u020326_10_00,73
u020326_20_00,73
u020327_10_00,74
u020327_10_10,74
u020327_20_00,74
u020327_20_10,74
u020328_10_00,77
u020328_20_00,77
u020351_10_00,84
u020351_20_00,84
u020352_10_00,89
u020352_20_00,89
u020353_10_00,93
u020353_20_00,93
u020354_10_00,90
u020354_20_00,90
u020355_10_00,79
u020355_20_00,79
u020356_10_00,74
u020356_10_10,74
u020356_20_00,74
u020356_20_10,74
u020357_10_00,74
u020357_10_10,74
u020357_20_00,74
u020357_20_10,74
u020358_10_00,81
u020358_20_00,81
u020373_10_00,93
u020373_20_00,93
u020374_10_00,90
u020374_20_00,90
u020375_10_00,79
u020375_20_00,79
u020376_10_00,73
u020376_20_00,73
u020377_10_00,74
u020377_10_10,74
u020377_20_00,74
u020377_20_10,74
u020378_10_00,77
u020378_20_00,77
u020401_10_00,83
u020401_10_02,85
u020401_10_03,83
u020401_20_00,83
u020401_20_02,85
u020401_20_03,83
u020402_10_00,86
u020402_20_00,87
u020403_10_00,90
u020403_20_00,90
u020404_10_00,89
u020404_20_00,89
u020405_10_00,79
u020405_20_00,79
u020406_10_00,74
u020406_10_02,73
u020406_10_10,75
u020406_20_00,74
u020406_20_02,73
u020406_20_10,75
u020407_10_00,74
u020407_10_04,74
u020407_10_10,74
u020407_20_00,74
u020407_20_04,74
u020407_20_10,74
u020408_10_00,81
u020408_20_00,80
u020451_10_00,84
u020451_20_00,84
u020452_10_00,85
u020452_20_00,86
u020453_10_00,91
u020453_20_00,91
u020454_10_00,89
u020454_20_00,90
u020455_10_00,79
u020455_20_00,79
u020456_10_00,75
u020456_10_10,75
u020456_20_00,75
u020456_20_10,75
u020457_10_00,74
u020457_10_10,74
u020457_20_00,74
u020457_20_10,74
u020458_10_00,81
u020458_20_00,80
u020501_10_00,83
u020501_10_01,83
u020501_10_02,85
u020501_10_03,83
u020501_20_00,83
u020501_20_01,83
u020501_20_02,85
u020501_20_03,83
u020502_10_00,87
u020502_10_01,87
u020502_20_00,87
u020502_20_01,87
u020503_10_00,90
u020503_20_00,90
u020504_10_00,89
u020504_20_00,89
u020505_10_00,79
u020505_10_01,79
u020505_20_00,79
u020505_20_01,79
u020506_10_00,73
u020506_10_02,72
u020506_10_10,73
u020506_20_00,73
u020506_20_02,72
u020506_20_10,73
u020507_10_00,74
u020507_10_04,74
u020507_10_10,74
u020507_20_00,74
u020507_20_04,74
u020507_20_10,74
u020508_10_00,81
u020508_10_01,81
u020508_20_00,80
u020508_20_01,81
u020551_10_00,84
u020551_10_01,84
u020551_20_00,84
u020551_20_01,84
u020552_10_00,86
u020552_10_01,86
u020552_20_00,86
u020552_20_01,86
u020553_10_00,91
u020553_20_00,91
u020554_10_00,89
u020554_20_00,90
u020555_10_00,79
u020555_10_01,79
u020555_20_00,79
u020555_20_01,79
u020556_10_00,73
u020556_10_10,73
u020556_20_00,73
u020556_20_10,73
u020557_10_00,74
u020557_10_10,74
u020557_20_00,74
u020557_20_10,74
u020558_10_00,81
u020558_10_01,80
u020558_20_00,80
u020558_20_01,80
u020601_10_00,83
u020601_10_01,83
u020601_10_02,85
u020601_10_03,83
u020601_20_00,83
u020601_20_01,83
u020601_20_02,85
u020601_20_03,83
u020602_10_00,86
u020602_10_01,87
u020602_20_00,86
u020602_20_01,87
u020603_10_00,90
u020603_20_00,90
u020604_10_00,89
