# Pasivas candidatas de cada personaje para las ranuras 1 y 2.
# Leido de las tablas de sorteo del juego, NO observado de la partida.
# Acierto medido contra la partida de Aaron: 94,1% en jugadores normales.
# Los marcados 'fijas_de_historia' llevan pasivas fijas y no siguen el sorteo.
# Lo genera herramientas/construir_pool_pasivas.py.
identidad,personaje,equipo,posicion,ranuras,pasiva_id,pasiva,fijas_de_historia
C05D8C3B,Lycus Foxworth,<MNT:NAGUMOHARA>,DEF,1-2,4467E7A3,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
C05D8C3B,Lycus Foxworth,<MNT:NAGUMOHARA>,DEF,1-2,127784FB,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
C05D8C3B,Lycus Foxworth,<MNT:NAGUMOHARA>,DEF,1-2,A3D9E511,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
C05D8C3B,Lycus Foxworth,<MNT:NAGUMOHARA>,DEF,1-2,1AE1328C,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
C05D8C3B,Lycus Foxworth,<MNT:NAGUMOHARA>,DEF,1-2,0F096EFC,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo contrario,
EB70DFF8,Maine Alsop,<MNT:NAGUMOHARA>,MED,1-2,4467E7A3,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
EB70DFF8,Maine Alsop,<MNT:NAGUMOHARA>,MED,1-2,4D765003,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
EB70DFF8,Maine Alsop,<MNT:NAGUMOHARA>,MED,1-2,A3D9E511,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
EB70DFF8,Maine Alsop,<MNT:NAGUMOHARA>,MED,1-2,91293B26,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
EB70DFF8,Maine Alsop,<MNT:NAGUMOHARA>,MED,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,
EB70DFF8,Maine Alsop,<MNT:NAGUMOHARA>,MED,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,
EB70DFF8,Maine Alsop,<MNT:NAGUMOHARA>,MED,1-2,26292E5B,Enfriamiento de supertécnicas propias [CPASSIVE01]-<VALUE> %[C],
F26BEEB9,Dario Highton,<MNT:NAGUMOHARA>,MED,1-2,CFAFEE09,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores del mismo elemento,
F26BEEB9,Dario Highton,<MNT:NAGUMOHARA>,MED,1-2,21005B1B,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
F26BEEB9,Dario Highton,<MNT:NAGUMOHARA>,MED,1-2,77103843,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
F26BEEB9,Dario Highton,<MNT:NAGUMOHARA>,MED,1-2,C6BE59A9,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
F26BEEB9,Dario Highton,<MNT:NAGUMOHARA>,MED,1-2,7F868E34,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
F26BEEB9,Dario Highton,<MNT:NAGUMOHARA>,MED,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
F26BEEB9,Dario Highton,<MNT:NAGUMOHARA>,MED,1-2,91293B26,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
F26BEEB9,Dario Highton,<MNT:NAGUMOHARA>,MED,1-2,C739587E,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
BD2A787E,Amelia Rainwalker,<MNT:NAGUMOHARA>,DEF,1-2,AAC852B1,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
BD2A787E,Amelia Rainwalker,<MNT:NAGUMOHARA>,DEF,1-2,4467E7A3,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
BD2A787E,Amelia Rainwalker,<MNT:NAGUMOHARA>,DEF,1-2,127784FB,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
BD2A787E,Amelia Rainwalker,<MNT:NAGUMOHARA>,DEF,1-2,A3D9E511,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
BD2A787E,Amelia Rainwalker,<MNT:NAGUMOHARA>,DEF,1-2,1AE1328C,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
BD2A787E,Amelia Rainwalker,<MNT:NAGUMOHARA>,DEF,1-2,0F096EFC,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo contrario,
A431493F,Marisol Cavallo,<MNT:NAGUMOHARA>,DEF,1-2,21005B1B,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
A431493F,Marisol Cavallo,<MNT:NAGUMOHARA>,DEF,1-2,77103843,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
A431493F,Marisol Cavallo,<MNT:NAGUMOHARA>,DEF,1-2,7F868E34,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
A431493F,Marisol Cavallo,<MNT:NAGUMOHARA>,DEF,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
A431493F,Marisol Cavallo,<MNT:NAGUMOHARA>,DEF,1-2,91293B26,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
A431493F,Marisol Cavallo,<MNT:NAGUMOHARA>,DEF,1-2,C739587E,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
8F1C1AFC,Winsor Compete,<MNT:NAGUMOHARA>,DEF,1-2,2811ECBB,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
8F1C1AFC,Winsor Compete,<MNT:NAGUMOHARA>,DEF,1-2,4D765003,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
8F1C1AFC,Winsor Compete,<MNT:NAGUMOHARA>,DEF,1-2,C6BE59A9,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
8F1C1AFC,Winsor Compete,<MNT:NAGUMOHARA>,DEF,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
8F1C1AFC,Winsor Compete,<MNT:NAGUMOHARA>,DEF,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,
8F1C1AFC,Winsor Compete,<MNT:NAGUMOHARA>,DEF,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,
96072BBD,Meridia Althoff,<MNT:NAGUMOHARA>,DEF,1-2,2811ECBB,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
96072BBD,Meridia Althoff,<MNT:NAGUMOHARA>,DEF,1-2,4D765003,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
96072BBD,Meridia Althoff,<MNT:NAGUMOHARA>,DEF,1-2,C6BE59A9,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
96072BBD,Meridia Althoff,<MNT:NAGUMOHARA>,DEF,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
96072BBD,Meridia Althoff,<MNT:NAGUMOHARA>,DEF,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,
96072BBD,Meridia Althoff,<MNT:NAGUMOHARA>,DEF,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,
96072BBD,Meridia Althoff,<MNT:NAGUMOHARA>,DEF,1-2,26292E5B,Enfriamiento de supertécnicas propias [CPASSIVE01]-<VALUE> %[C],
119F3772,Lemmy Stretchen,<MNT:NAGUMOHARA>,DEF,1-2,2811ECBB,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
119F3772,Lemmy Stretchen,<MNT:NAGUMOHARA>,DEF,1-2,4D765003,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
119F3772,Lemmy Stretchen,<MNT:NAGUMOHARA>,DEF,1-2,C6BE59A9,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
119F3772,Lemmy Stretchen,<MNT:NAGUMOHARA>,DEF,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
119F3772,Lemmy Stretchen,<MNT:NAGUMOHARA>,DEF,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,
119F3772,Lemmy Stretchen,<MNT:NAGUMOHARA>,DEF,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,
119F3772,Lemmy Stretchen,<MNT:NAGUMOHARA>,DEF,1-2,26292E5B,Enfriamiento de supertécnicas propias [CPASSIVE01]-<VALUE> %[C],
08840633,Starla Thorn,<MNT:NAGUMOHARA>,MED,1-2,13F0852C,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores del mismo elemento,
08840633,Starla Thorn,<MNT:NAGUMOHARA>,MED,1-2,76973994,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores del mismo elemento,
08840633,Starla Thorn,<MNT:NAGUMOHARA>,MED,1-2,CCF91491,"Cuando un jugador del mismo elemento está cerca, \\nvalor propio de foco [CPASSIVE01]+<VALUE> %[C]",
08840633,Starla Thorn,<MNT:NAGUMOHARA>,MED,1-2,A1A90166,"Cuando un jugador de otro elemento está cerca, \\nvalor propio de foco [CPASSIVE01]+<VALUE> %[C]",
08840633,Starla Thorn,<MNT:NAGUMOHARA>,MED,1-2,B86D6C61,Valor propio de foco [CPASSIVE01]+<VALUE> %[C] en campo propio,
08840633,Starla Thorn,<MNT:NAGUMOHARA>,MED,1-2,539A23C0,Valor propio de foco [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,
DB000323,Kelvin Steelborne,<MNT:NAGUMOHARA>,DEF,1-2,21005B1B,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
DB000323,Kelvin Steelborne,<MNT:NAGUMOHARA>,DEF,1-2,77103843,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
DB000323,Kelvin Steelborne,<MNT:NAGUMOHARA>,DEF,1-2,7F868E34,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
DB000323,Kelvin Steelborne,<MNT:NAGUMOHARA>,DEF,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
DB000323,Kelvin Steelborne,<MNT:NAGUMOHARA>,DEF,1-2,91293B26,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
DB000323,Kelvin Steelborne,<MNT:NAGUMOHARA>,DEF,1-2,C739587E,DF del muro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
C21B3262,Antonia Felicier,<MNT:NAGUMOHARA>,DEF,1-2,76973994,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores del mismo elemento,
C21B3262,Antonia Felicier,<MNT:NAGUMOHARA>,DEF,1-2,CCF91491,"Cuando un jugador del mismo elemento está cerca, \\nvalor propio de foco [CPASSIVE01]+<VALUE> %[C]",
C21B3262,Antonia Felicier,<MNT:NAGUMOHARA>,DEF,1-2,A1A90166,"Cuando un jugador de otro elemento está cerca, \\nvalor propio de foco [CPASSIVE01]+<VALUE> %[C]",
C21B3262,Antonia Felicier,<MNT:NAGUMOHARA>,DEF,1-2,B86D6C61,Valor propio de foco [CPASSIVE01]+<VALUE> %[C] en campo propio,
C21B3262,Antonia Felicier,<MNT:NAGUMOHARA>,DEF,1-2,539A23C0,Valor propio de foco [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,
C21B3262,Antonia Felicier,<MNT:NAGUMOHARA>,DEF,1-2,26292E5B,Enfriamiento de supertécnicas propias [CPASSIVE01]-<VALUE> %[C],
E93661A1,Florent Shorleigh,<MNT:NAGUMOHARA>,MED,1-2,4467E7A3,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
E93661A1,Florent Shorleigh,<MNT:NAGUMOHARA>,MED,1-2,4D765003,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,
E93661A1,Florent Shorleigh,<MNT:NAGUMOHARA>,MED,1-2,A3D9E511,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
E93661A1,Florent Shorleigh,<MNT:NAGUMOHARA>,MED,1-2,91293B26,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
E93661A1,Florent Shorleigh,<MNT:NAGUMOHARA>,MED,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,
E93661A1,Florent Shorleigh,<MNT:NAGUMOHARA>,MED,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,
E93661A1,Florent Shorleigh,<MNT:NAGUMOHARA>,MED,1-2,26292E5B,Enfriamiento de supertécnicas propias [CPASSIVE01]-<VALUE> %[C],
BB5FB56C,Nikas Himmelstein,Northbright,DEL,1-2,4467E7A3,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,si
BB5FB56C,Nikas Himmelstein,Northbright,DEL,1-2,A3D9E511,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,si
BB5FB56C,Nikas Himmelstein,Northbright,DEL,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
BB5FB56C,Nikas Himmelstein,Northbright,DEL,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,si
BB5FB56C,Nikas Himmelstein,Northbright,DEL,1-2,0F096EFC,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo contrario,si
BB5FB56C,Nikas Himmelstein,Northbright,DEL,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,si
CC5885FA,Nikas Himmelstein,Northbright,DEL,1-2,4467E7A3,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
CC5885FA,Nikas Himmelstein,Northbright,DEL,1-2,A3D9E511,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,
CC5885FA,Nikas Himmelstein,Northbright,DEL,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,
CC5885FA,Nikas Himmelstein,Northbright,DEL,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,
CC5885FA,Nikas Himmelstein,Northbright,DEL,1-2,0F096EFC,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo contrario,
CC5885FA,Nikas Himmelstein,Northbright,DEL,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,
9072E6AF,Ivan Mercer,Northbright,MED,1-2,AAC852B1,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,si
9072E6AF,Ivan Mercer,Northbright,MED,1-2,2811ECBB,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de la misma posición,si
9072E6AF,Ivan Mercer,Northbright,MED,1-2,1AE1328C,AT de tiro [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
9072E6AF,Ivan Mercer,Northbright,MED,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
9072E6AF,Ivan Mercer,Northbright,MED,1-2,0F096EFC,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo contrario,si
8969D7EE,Erdem Barath,Northbright,DEL,1-2,4467E7A3,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,si
8969D7EE,Erdem Barath,Northbright,DEL,1-2,A3D9E511,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintas posiciones,si
8969D7EE,Erdem Barath,Northbright,DEL,1-2,F44E879E,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores cercanos,si
8969D7EE,Erdem Barath,Northbright,DEL,1-2,F17AFB5C,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo propio,si
8969D7EE,Erdem Barath,Northbright,DEL,1-2,0F096EFC,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] en campo contrario,si
8969D7EE,Erdem Barath,Northbright,DEL,1-2,D2D1040E,Valor de foco del equipo [CPASSIVE01]+<VALUE> %[C] \\ncuando se está fuera del área,si
C6284129,Milo Rankin,Northbright,POR,1-2,4467E7A3,Valor de foco [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
C6284129,Milo Rankin,Northbright,POR,1-2,21005B1B,Valor de disputa [CPASSIVE01]+<VALUE> %[C]\\npara jugadores de distintos elementos,
