# Que version de cada pasiva va con cada rareza (NOTAS O-46, O-148).
# grupo = fila de la tabla del juego; rareza = 0 comun ... 4 leyenda, 5 sexta columna.
# Lo genera herramientas/construir_rareza_pasivas.py.
grupo,rareza,id,valor
49,4,7E876B39,10
50,0,B13E5C47,2
50,1,9414BDF1,3
50,2,2E45B468,4
50,3,B875B31F,5
50,4,1BE0D781,7
51,0,0B6F55DE,2
51,1,7ABB08E3,2.5
51,2,C0EA017A,3
51,3,56DA060D,3.5
51,4,F54F6293,4
52,0,9D5F52A9,3
52,1,1FDCB45B,3.5
52,2,A58DBDC2,4
52,3,33BDBAB5,4.5
52,4,9028DE2B,5
53,0,3ECA3637,1
53,1,A6E463C6,2
53,2,1CB56A5F,3
53,3,8A856D28,4
53,4,291009B6,5
54,0,A8FA3140,3
54,1,C383DF7E,4
54,2,79D2D6E7,5
54,3,EFE2D190,6
54,4,4C77B50E,7
55,0,12AB38D9,0.1
55,1,2D2C6A6C,0.2
55,2,977D63F5,0.4
55,3,014D6482,0.6
55,4,A2D8001C,0.8
56,0,849B3FAE,0.2
56,1,484BD6D4,0.4
56,2,F21ADF4D,0.6
56,3,642AD83A,0.8
56,4,C7BFBCA4,1
57,0,1586803E,1.5
57,1,1E5BB58C,1.7
57,2,A40ABC15,2
57,3,323ABB62,2.2
57,4,91AFDFFC,2.5
58,0,83B68749,2.5
58,1,7B3C0934,2.7
58,2,C16D00AD,3
58,3,575D07DA,3.3
58,4,F4C86344,3.6
59,0,E45D761B,10
59,1,2109A10E,20
59,2,9B58A897,30
59,3,0D68AFE0,40
59,4,AEFDCB7E,50
60,0,726D716C,15
60,1,446E1DB6,20
60,2,FE3F142F,35
60,3,680F1358,50
60,4,CB9A77C6,65
61,0,C83C78F5,3
61,1,AAC1A8A4,3.2
61,2,1090A13D,3.5
61,3,86A0A64A,3.7
61,4,2535C2D4,4
62,0,5E0C7F82,4
62,1,CFA6141C,4.5
62,2,75F71D85,5
62,3,E3C71AF2,5.5
62,4,40527E6C,6
63,0,FD991B1C,1.1
63,1,769EC381,1.2
63,2,CCCFCA18,1.3
63,3,5AFFCD6F,1.4
63,4,F96AA9F1,1.5
64,0,6BA91C6B,1.5
64,1,13F97F39,1.6
64,2,A9A876A0,1.7
64,3,3F9871D7,1.8
64,4,9C0D1549,2
65,0,D1F815F2,3.5
65,1,FD56CA2B,3.7
65,2,4707C3B2,4
65,3,D137C4C5,4.3
65,4,72A2A05B,4.5
66,0,47C81285,4
66,1,98317693,4.5
66,2,22607F0A,5
66,3,B450787D,5.5
66,4,17C51CE3,6
67,0,D6D5AD15,2
67,1,CE2115CB,2.2
67,2,74701C52,2.5
67,3,E2401B25,2.7
67,4,41D57FBB,3
68,0,40E5AA62,2.3
68,1,AB46A973,2.5
68,2,1117A0EA,3
68,3,8727A79D,3.5
68,4,24B2C303,4
69,0,A56C6D02,1
69,1,9120C133,1.1
69,2,2B71C8AA,1.2
69,3,BD41CFDD,1.3
69,4,1ED4AB43,1.5
70,0,335C6A75,1.1
70,1,F4477D8B,1.2
70,2,4E167412,1.5
70,3,D8267365,1.7
70,4,7BB317FB,2
71,0,890D63EC,0.1
71,1,1AE8C899,0.2
71,2,A0B9C100,0.3
71,3,3689C677,0.4
71,4,951CA2E9,0.5
72,0,1F3D649B,0.2
72,1,7F8F7421,0.4
72,2,C5DE7DB8,0.6
72,3,53EE7ACF,0.8
72,4,F07B1E51,1
73,0,BCA80005,2.5
73,1,C6B7A3BC,2.7
73,2,7CE6AA25,3
73,3,EAD6AD52,3.3
73,4,4943C9CC,3.5
74,0,2A980772,3
74,1,A3D01F04,3.5
74,2,1981169D,4
74,3,8FB111EA,4.5
74,4,2C247574,5
75,0,90C90EEB,3.5
75,1,4D7FAA16,3.7
75,2,F72EA38F,4
75,3,611EA4F8,4.2
75,4,C28BC066,4.5
76,0,06F9099C,4
76,1,281816AE,4.5
76,2,92491F37,5
76,3,04791840,5.5
76,4,A7EC7CDE,6
77,0,97E4B60C,0.1
77,1,7E0875F6,0.1
77,2,C4597C6F,0.2
77,3,52697B18,0.2
77,4,F1FC1F86,0.3
78,0,01D4B17B,0.1
78,1,1B6FC94E,0.2
78,2,A13EC0D7,0.2
78,3,370EC7A0,0.3
78,4,949BA33E,0.4
79,0,6A70F585,0.6
79,1,40B791B1,1.2
79,2,FAE69828,1.8
79,3,6CD69F5F,2.4
79,4,CF43FBC1,3
80,0,FC40F2F2,1
80,1,25D02D09,2
80,2,9F812490,3
80,3,09B123E7,4
80,4,AA244779,5
81,0,4611FB6B,2
81,1,CB7F981B,2.3
81,2,712E9182,2.5
81,3,E71E96F5,2.7
81,4,448BF26B,3
82,0,D021FC1C,2.3
82,1,AE1824A3,2.5
82,2,14492D3A,3
82,3,82792A4D,3.5
82,4,21EC4ED3,4
83,0,73B49882,2
83,1,1720F33E,2.5
83,2,AD71FAA7,3
83,3,3B41FDD0,3.5
83,4,98D4994E,4
84,0,E5849FF5,1.5
84,1,72474F86,1.7
84,2,C816461F,2
84,3,5E264168,2.2
84,4,FDB325F6,2.5
85,0,5FD5966C,2
85,1,9CE8FA94,2.2
85,2,26B9F30D,2.5
85,3,B089F47A,3.7
85,4,131C90E4,4
86,0,C9E5911B,1.5
86,1,F98F462C,1.7
86,2,43DE4FB5,2
86,3,D5EE48C2,2.2
86,4,767B2C5C,2.5
87,0,58F82E8B,2
87,1,AF9F2574,2.2
87,2,15CE2CED,2.5
87,3,83FE2B9A,3.7
87,4,206B4F04,4
88,0,CEC829FC,1.5
88,1,CAF899CC,1.7
88,2,70A99055,2
88,3,E6999722,2.2
88,4,450CF3BC,2.5
89,0,2B41EE9C,2
89,1,F09EF18C,2.2
89,2,4ACFF815,2.5
89,3,DCFFFF62,3.7
89,4,7F6A9BFC,4
90,0,BD71E9EB,0.1
90,1,95F94D34,0.2
90,2,2FA844AD,0.4
90,3,B99843DA,0.6
90,4,1A0D2744,0.8
91,0,0720E072,0.2
91,1,7B56F826,0.4
91,2,C107F1BF,0.6
91,3,5737F6C8,0.8
91,4,F4A29256,1
92,0,9110E705,4
92,1,1E31449E,4.5
92,2,A4604D07,5
92,3,32504A70,5.5
92,4,91C52EEE,6
93,0,3285839B,6
93,1,A7099303,7
93,2,1D589A9A,8
93,3,8B689DED,9
93,4,28FDF973,10
94,0,A4B584EC,4
94,1,C26E2FBB,4.5
94,2,783F2622,5
94,3,EE0F2155,5.5
94,4,4D9A45CB,6
95,0,1EE48D75,4.5
95,1,2CC19AA9,5
95,2,96909330,6
95,3,00A09447,7
95,4,A335F0D9,8
96,0,88D48A02,1
96,1,49A62611,1.1
96,2,F3F72F88,1.2
96,3,65C728FF,1.3
96,4,C6524C61,1.5
97,0,19C93592,1.5
97,1,1FB64549,1.6
97,2,A5E74CD0,1.7
97,3,33D74BA7,1.8
97,4,90422F39,2
98,0,8FF932E5,0.1
98,1,7AD1F9F1,0.1
98,2,C080F068,0.2
98,3,56B0F71F,0.2
98,4,F5259381,0.3
99,0,5590EE4C,0.1
99,1,242FBD4A,0.2
99,2,9E7EB4D3,0.2
99,3,084EB3A4,0.3
99,4,ABDBD73A,0.4
100,0,C3A0E93B,0.6
100,1,414801F2,1.2
100,2,FB19086B,1.8
100,3,6D290F1C,2.4
100,4,CEBC6B82,3
101,0,79F1E0A2,1
101,1,AFE7B4E0,2
101,2,15B6BD79,3
101,3,8386BA0E,4
101,4,2013DE90,5
102,0,EFC1E7D5,0.6
102,1,CA800858,1.2
102,2,70D101C1,1.8
102,3,E6E106B6,2.4
102,4,45746228,3
103,0,4C54834B,1
103,1,73B8DFC5,2
103,2,C9E9D65C,3
103,3,5FD9D12B,4
103,4,FC4CB5B5,5
104,0,DA64843C,2
104,1,16DF637D,4
104,2,AC8E6AE4,6
104,3,3ABE6D93,8
104,4,992B090D,10
105,0,60358DA5,3
105,1,F870D66F,6
105,2,4221DFF6,9
105,3,D411D881,12
105,4,7784BC1F,15
106,0,F6058AD2,2
106,1,9D176AD7,4
106,2,2746634E,6
106,3,B1766439,8
106,4,12E300A7,10
107,0,67183542,3
107,1,CB07098F,6
107,2,71560016,9
107,3,E7660761,12
107,4,44F363FF,15
108,0,F1283235,2
108,1,AE60B537,4
108,2,1431BCAE,6
108,3,8201BBD9,8
108,4,2194DF47,10
109,0,14A1F555,3
109,1,9406DD77,6
109,2,2E57D4EE,9
109,3,B867D399,12
109,4,1BF2B707,15
110,0,38C0FBBB,1.5
110,1,1FCED4DD,2
110,2,A59FDD44,2.5
110,3,33AFDA33,3
110,4,903ABEAD,3.5
111,0,AEF0FCCC,2
111,1,7AA96865,2.5
111,2,C0F861FC,3
111,3,56C8668B,3.5
111,4,F55D0215,4
112,0,210496BC,
112,1,4859B652,
112,2,F208BFCB,
112,3,6438B8BC,
112,4,C7ADDC22,
113,0,26292E5B,0.2
113,1,7B2E69B2,0.4
113,2,C17F602B,0.6
113,3,574F675C,0.8
113,4,F4DA03C2,1
114,0,B019292C,0.04
114,1,1E49D50A,0.05
114,2,A418DC93,0.06
114,3,3228DBE4,0.07
114,4,91BDBF7A,0.1
115,0,D7F2D87E,
115,1,447C7D30,
115,2,FE2D74A9,
115,3,681D73DE,
115,4,CB881740,
116,0,41C2DF09,
116,1,211BC188,
116,2,9B4AC811,
116,3,0D7ACF66,
116,4,AEEFABF8,
117,0,FB93D690,
117,1,CFB4749A,
117,2,75E57D03,
117,3,E3D57A74,
117,4,40401EEA,
118,0,6DA3D1E7,
118,1,AAD3C822,
118,2,1082C1BB,
118,3,86B2C6CC,
118,4,2527A252,
119,0,CE36B579,
119,1,13EB1FBF,
119,2,A9BA1626,
119,3,3F8A1151,
119,4,9C1F75CF,
120,0,5806B20E,
120,1,768CA307,
120,2,CCDDAA9E,
120,3,5AEDADE9,
120,4,F978C977,
121,0,E257BB97,
121,1,98231615,
121,2,22721F8C,
121,3,B44218FB,
121,4,17D77C65,
122,0,7467BCE0,1.2
122,1,FD44AAAD,1.4
122,2,4715A334,1.6
122,3,D125A443,1.8
122,4,72B0C0DD,2
123,0,FD5F303E,0.6
123,1,470E39A7,0.7
123,2,D13E3ED0,1
123,3,40238140,1.2
123,4,D6138637,1.5
124,0,13F0852C,0.7
124,1,A9A18CB5,0.8
124,2,3F918BC2,0.9
124,3,AE8C3452,1
124,4,38BC3325,1.1
125,0,76973994,1.5
125,1,CCC6300D,2
125,2,5AF6377A,2.5
125,3,CBEB88EA,3.04
125,4,5DDB8F9D,3.5
126,0,CFAFEE09,0.7
126,1,75FEE790,0.9
126,2,E3CEE0E7,1.1
126,3,72D35F77,1.3
126,4,E4E35800,1.5
127,0,AAC852B1,0.7
127,1,10995B28,0.9
127,2,86A95C5F,1.1
127,3,17B4E3CF,1.3
127,4,8184E4B8,1.5
128,0,4467E7A3,0.7
128,1,FE36EE3A,0.9
128,2,6806E94D,1.1
128,3,F91B56DD,1.3
128,4,6F2B51AA,1.5
129,0,21005B1B,2.5
129,1,9B515282,3
129,2,0D6155F5,3.5
129,3,9C7CEA65,4
129,4,0A4CED12,4.5
130,0,77103843,0.7
130,1,CD4131DA,0.9
130,2,5B7136AD,1.1
130,3,CA6C893D,1.3
130,4,5C5C8E4A,1.5
131,0,127784FB,2
131,1,A8268D62,2.3
131,2,3E168A15,2.7
131,3,AF0B3585,3.1
131,4,393B32F2,3.5
132,0,2811ECBB,0.7
132,1,9240E522,0.9
132,2,0470E255,1.1
132,3,956D5DC5,1.3
132,4,035D5AB2,1.5
133,0,4D765003,6.5
133,1,F727599A,7
133,2,61175EED,7.5
133,3,F00AE17D,8
133,4,663AE60A,8.5
134,0,A3D9E511,0.7
134,1,1988EC88,0.8
134,2,8FB8EBFF,0.9
134,3,1EA5546F,1
134,4,88955318,1.2
135,0,C6BE59A9,2.5
135,1,7CEF5030,3
135,2,EADF5747,3.5
135,3,7BC2E8D7,4
135,4,EDF2EFA0,4.5
136,0,7F868E34,1
136,1,C5D787AD,1.2
136,2,53E780DA,1.5
136,3,C2FA3F4A,1.7
136,4,54CA383D,2
137,0,1AE1328C,1.5
137,1,A0B03B15,2
137,2,36803C62,2.5
137,3,A79D83F2,3
137,4,31AD8485,3.5
138,0,F44E879E,1
138,1,4E1F8E07,1.2
138,2,D82F8970,1.5
138,3,493236E0,1.7
138,4,DF023197,2
139,0,91293B26,6.5
139,1,2B7832BF,7
139,2,BD4835C8,7.5
139,3,2C558A58,8
139,4,BA658D2F,8.5
140,0,C739587E,1.5
140,1,7D6851E7,2
140,2,EB585690,2.5
140,3,7A45E900,3
140,4,EC75EE77,3.5
141,0,F17AFB5C,0.2
141,1,4B2BF2C5,0.24000001
141,2,DD1BF5B2,0.36
141,3,4C064A22,0.8
141,4,DA364D55,1
142,0,0F096EFC,0.2
142,1,B5586765,0.4
142,2,23686012,0.6
142,3,B275DF82,0.8
142,4,2445D8F5,1
143,0,D2D1040E,0.2
143,1,68800D97,0.4
143,2,FEB00AE0,0.6
143,3,6FADB570,0.8
143,4,F99DB207,1
144,0,0939284C,
144,1,D598D922,
144,2,6FC9D0BB,
144,3,F9F9D7CC,
144,4,5A6CB352,
145,0,B36821D5,
145,1,3B376C30,
145,2,816665A9,
145,3,175662DE,
145,4,B4C30640,
146,0,255826A2,
146,1,5E50D088,
146,2,E401D911,
146,3,7231DE66,
146,4,D1A4BAF8,
147,0,86CD423C,
147,1,E7680715,
147,2,5D390E8C,
147,3,CB0909FB,
147,4,689C6D65,
148,0,10FD454B,
148,1,820FBBAD,
148,2,385EB234,
148,3,AE6EB543,
148,4,0DFBD1DD,
149,0,AAAC4CD2,
149,1,6CA00EBF,
149,2,D6F10726,
149,3,40C10051,
149,4,E35464CF,
150,0,3C9C4BA5,
150,1,09C7B207,
150,2,B396BB9E,
150,3,25A6BCE9,
150,4,8633D877,
151,0,AD81F435,
151,1,5FD7D15F,
151,2,E586D8C6,
151,3,73B6DFB1,
151,4,D023BB2F,
152,0,3BB1F342,
152,1,3AB06DE7,
152,2,80E1647E,
152,3,16D16309,
152,4,B5440797,
153,0,DE383422,
153,1,00D605A7,
153,2,BA870C3E,
153,3,2CB70B49,
153,4,8F226FD7,
154,0,48083355,
154,1,65B1B91F,
154,2,DFE0B086,
154,3,49D0B7F1,
154,4,EA45D36F,
155,0,F2593ACC,
155,1,8B1E0C0D,
155,2,314F0594,
155,3,A77F02E3,
155,4,04EA667D,
156,0,64693DBB,
156,1,EE79B0B5,
156,2,5428B92C,
156,3,C218BE5B,
156,4,618DDAC5,
157,0,19E508FE,
157,1,CC911C28,
157,2,76C015B1,
157,3,E0F012C6,
157,4,43657658,
158,0,A3B40167,
158,1,223EA93A,
158,2,986FA0A3,
158,3,0E5FA7D4,
158,4,ADCAC34A,
159,0,35840610,
159,1,47591582,
159,2,FD081C1B,
159,3,6B381B6C,
159,4,C8AD7FF2,
160,0,9611628E,
160,1,FE61C21F,
160,2,4430CB86,
160,3,D200CCF1,
160,4,7195A86F,
161,0,002165F9,
161,1,9B067EA7,
161,2,2157773E,
161,3,B7677049,
161,4,14F214D7,
162,0,BA706C60,
162,1,75A9CBB5,
162,2,CFF8C22C,
162,3,59C8C55B,
162,4,FA5DA1C5,
163,0,2C406B17,
163,1,10CE770D,
163,2,AA9F7E94,
163,3,3CAF79E3,
163,4,9F3A1D7D,
164,0,BD5DD487,
164,1,46DE1455,
164,2,FC8F1DCC,
164,3,6ABF1ABB,
164,4,C92A7E25,
165,0,2B6DD3F0,
165,1,23B9A8ED,
165,2,99E8A174,
165,3,0FD8A603,
165,4,AC4DC29D,
166,0,CEE41490,
166,1,19DFC0AD,
166,2,A38EC934,
166,3,35BECE43,
166,4,962BAADD,
167,0,58D413E7,
167,1,7CB87C15,
167,2,C6E9758C,
167,3,50D972FB,
167,4,F34C1665,
168,0,E2851A7E,
168,1,9217C907,
168,2,2846C09E,
168,3,BE76C7E9,
168,4,1DE3A377,
169,0,74B51D09,
169,1,F77075BF,
169,2,4D217C26,
169,3,DB117B51,
169,4,78841FCF,
170,0,D7207997,
170,1,4E48A222,
170,2,F419ABBB,
170,3,6229ACCC,
170,4,C1BCC852,
171,0,41107EE0,
171,1,2B2F1E9A,
171,2,917E1703,
171,3,074E1074,
171,4,A4DB74EA,
172,0,FB417779,
172,1,C580AB88,
172,2,7FD1A211,
172,3,E9E1A566,
172,4,4A74C1F8,
173,0,6D71700E,
173,1,A0E71730,
173,2,1AB61EA9,
173,3,8C8619DE,
173,4,2F137D40,
174,0,FC6CCF9E,
174,1,F6F77468,
174,2,4CA67DF1,
174,3,DA967A86,
174,4,79031E18,
175,0,6A5CC8E9,
175,1,9390C8D0,
175,2,29C1C149,
175,3,BFF1C63E,
175,4,1C64A2A0,
176,0,0DB739BB,
176,1,C9A560EA,
176,2,73F46973,
176,3,E5C46E04,
176,4,46510A9A,
177,0,9B873ECC,
177,1,ACC2DC52,
177,2,1693D5CB,
177,3,80A3D2BC,
177,4,2336B622,
178,0,21D63755,
178,1,426D6940,
178,2,F83C60D9,
178,3,6E0C67AE,
178,4,CD990330,
179,0,B7E63022,
179,1,270AD5F8,
179,2,9D5BDC61,
179,3,0B6BDB16,
179,4,A8FEBF88,
180,0,147354BC,
180,1,9E320265,
180,2,24630BFC,
180,3,B2530C8B,
180,4,11C66815,
181,0,824353CB,
181,1,FB55BEDD,
181,2,4104B744,
181,3,D734B033,
181,4,74A1D4AD,
182,0,38125A52,
182,1,15FA0BCF,
182,2,AFAB0256,
182,3,399B0521,
182,4,9A0E61BF,
183,0,AE225D25,
183,1,709DB777,
183,2,CACCBEEE,
183,3,5CFCB999,
183,4,FF69DD07,
184,0,3F3FE2B5,
184,1,268DD42F,
184,2,9CDCDDB6,
184,3,0AECDAC1,
184,4,A979BE5F,
185,0,A90FE5C2,
185,1,43EA6897,
185,2,F9BB610E,
185,3,6F8B6679,
185,4,CC1E02E7,
186,0,4C8622A2,
186,1,798C00D7,
186,2,C3DD094E,
186,3,55ED0E39,
186,4,F6786AA7,
187,0,DAB625D5,
187,1,1CEBBC6F,
187,2,A6BAB5F6,
187,3,308AB281,
187,4,931FD61F,
188,0,60E72C4C,
188,1,F244097D,
188,2,481500E4,
188,3,DE250793,
188,4,7DB0630D,
189,0,F6D72B3B,
189,1,9723B5C5,
189,2,2D72BC5C,
189,3,BB42BB2B,
189,4,18D7DFB5,
190,0,55424FA5,
190,1,2E1B6258,
190,2,944A6BC1,
190,3,027A6CB6,
190,4,A1EF0828,
191,0,C37248D2,
191,1,4B7CDEE0,
191,2,F12DD779,
191,3,671DD00E,
191,4,C488B490,
192,0,7923414B,
192,1,A5D36BF2,
192,2,1F82626B,
192,3,89B2651C,
192,4,2A270182,
193,0,EF13463C,
193,1,C0B4D74A,
193,2,7AE5DED3,
193,3,ECD5D9A4,
193,4,4F40BD3A,
194,0,7E0EF9AC,
194,1,96A4B412,
194,2,2CF5BD8B,
194,3,BAC5BAFC,
194,4,1950DE62,
195,0,E83EFEDB,
195,1,F3C308AA,
195,2,49920133,
195,3,DFA20644,
195,4,7C3762DA,
196,0,8B1063ED,
196,1,69502065,
196,2,D30129FC,
196,3,45312E8B,
196,4,E6A44A15,
197,0,1D20649A,
197,1,0C379CDD,
197,2,B6669544,
197,3,20569233,
197,4,83C3F6AD,
198,0,A7716D03,
198,1,E29829CF,
198,2,58C92056,
198,3,CEF92721,
198,4,6D6C43BF,
199,0,31416A74,
199,1,87FF9577,
199,2,3DAE9CEE,
199,3,AB9E9B99,
199,4,080BFF07,
200,0,92D40EEA,
200,1,3EC742EA,
200,2,84964B73,
200,3,12A64C04,
200,4,B133289A,
201,0,04E4099D,
201,1,5BA0FE52,
201,2,E1F1F7CB,
201,3,77C1F0BC,
201,4,D4549422,
202,0,BEB50004,
202,1,B50F4B40,
202,2,0F5E42D9,
202,3,996E45AE,
202,4,3AFB2130,
203,0,28850773,
203,1,D068F7F8,
203,2,6A39FE61,
203,3,FC09F916,
203,4,5F9C9D88,
204,0,B998B8E3,
204,1,867894A0,
204,2,3C299D39,
204,3,AA199A4E,
204,4,098CFED0,
205,0,2FA8BF94,
205,1,E31F2818,
205,2,594E2181,
205,3,CF7E26F6,
205,4,6CEB4268,
206,0,897F8B89,0.5
206,1,4199102A,0.6
206,2,FBC819B3,0.7
206,3,6DF81EC4,0.8
206,4,CE6D7A5A,1
207,0,332E8210,0.5
207,1,AF36A538,0.6
207,2,1567ACA1,0.7
207,3,8357ABD6,0.8
207,4,20C2CF48,1
208,0,A51E8567,1
208,1,CA511980,1.2
208,2,70001019,1.5
208,3,E630176E,1.7
208,4,45A573F0,2
209,0,068BE1F9,0.5
209,1,7369CE1D,0.6
209,2,C938C784,0.7
209,3,5F08C0F3,0.8
209,4,FC9DA46D,1
210,0,90BBE68E,0.5
210,1,160E72A5,0.6
210,2,AC5F7B3C,0.7
210,3,3A6F7C4B,0.8
