# Las pasivas fijas de cada Idolo y Diamante, leidas de sus tableros (NOTAS O-162, O-163).
# origen propio = tablero del personaje; basara = un tablero por arquetipo elegible (orden 0 = el de serie).
# pasiva_id como en la partida. Se ensenan las del tronco y las de la rama elegida, por casilla. tablero = la clave del tablero, la que la partida guarda en 0xBAFA8DBD.
# Lo genera herramientas/construir_pasivas_fijas.py.
identidad,nombre,rareza,origen,arquetipo,orden,tramo,casilla,nivel,pasiva_id,tablero
F38BEA43,Acker Reese,8,basara,3,0,rama1,12,0,47B73F79,9509945B
F38BEA43,Acker Reese,8,basara,3,0,rama1,15,0,72125C90,9509945B
F38BEA43,Acker Reese,8,basara,3,0,rama2,18,0,94734F73,9509945B
F38BEA43,Acker Reese,8,basara,3,0,rama2,22,0,47B73F79,9509945B
F38BEA43,Acker Reese,8,basara,3,0,rama2,25,0,72125C90,9509945B
F38BEA43,Acker Reese,8,basara,1,1,tronco,1,0,16D4E13E,E20EA4CD
F38BEA43,Acker Reese,8,basara,1,1,tronco,3,0,13E09DFC,E20EA4CD
F38BEA43,Acker Reese,8,basara,1,1,rama1,8,0,94734F73,E20EA4CD
F38BEA43,Acker Reese,8,basara,1,1,rama1,12,0,CF6EEDEE,E20EA4CD
F38BEA43,Acker Reese,8,basara,1,1,rama1,15,0,595EEA99,E20EA4CD
F38BEA43,Acker Reese,8,basara,1,1,rama2,18,0,94734F73,E20EA4CD
F38BEA43,Acker Reese,8,basara,1,1,rama2,22,0,CF6EEDEE,E20EA4CD
F38BEA43,Acker Reese,8,basara,1,1,rama2,25,0,595EEA99,E20EA4CD
F38BEA43,Acker Reese,8,basara,4,2,tronco,1,0,16D4E13E,7C6A316E
F38BEA43,Acker Reese,8,basara,4,2,tronco,3,0,13E09DFC,7C6A316E
F38BEA43,Acker Reese,8,basara,4,2,rama1,8,0,94734F73,7C6A316E
F38BEA43,Acker Reese,8,basara,4,2,rama1,12,0,41436E70,7C6A316E
F38BEA43,Acker Reese,8,basara,4,2,rama1,15,0,32FAAE67,7C6A316E
F38BEA43,Acker Reese,8,basara,4,2,rama2,18,0,94734F73,7C6A316E
F38BEA43,Acker Reese,8,basara,4,2,rama2,22,0,41436E70,7C6A316E
F38BEA43,Acker Reese,8,basara,4,2,rama2,25,0,32FAAE67,7C6A316E
F38BEA43,Acker Reese,8,basara,2,3,tronco,1,0,16D4E13E,0B6D01F8
F38BEA43,Acker Reese,8,basara,2,3,tronco,3,0,13E09DFC,0B6D01F8
F38BEA43,Acker Reese,8,basara,2,3,rama1,8,0,94734F73,0B6D01F8
F38BEA43,Acker Reese,8,basara,2,3,rama1,12,0,186FF180,0B6D01F8
F38BEA43,Acker Reese,8,basara,2,3,rama1,15,0,C99ABCE7,0B6D01F8
F38BEA43,Acker Reese,8,basara,2,3,rama2,18,0,94734F73,0B6D01F8
F38BEA43,Acker Reese,8,basara,2,3,rama2,22,0,C99ABCE7,0B6D01F8
F38BEA43,Acker Reese,8,basara,2,3,rama2,25,0,186FF180,0B6D01F8
F38BEA43,Acker Reese,8,basara,0,4,tronco,1,0,16D4E13E,92645042
F38BEA43,Acker Reese,8,basara,0,4,tronco,3,0,13E09DFC,92645042
F38BEA43,Acker Reese,8,basara,0,4,rama1,8,0,94734F73,92645042
F38BEA43,Acker Reese,8,basara,0,4,rama1,12,0,84E41252,92645042
F38BEA43,Acker Reese,8,basara,0,4,rama1,15,0,B14171BB,92645042
F38BEA43,Acker Reese,8,basara,0,4,rama2,18,0,94734F73,92645042
F38BEA43,Acker Reese,8,basara,0,4,rama2,22,0,84E41252,92645042
F38BEA43,Acker Reese,8,basara,0,4,rama2,25,0,B14171BB,92645042
F38BEA43,Acker Reese,8,basara,5,5,tronco,1,0,FD4F28EE,3756959A
F38BEA43,Acker Reese,8,basara,5,5,tronco,3,0,2097421C,3756959A
F38BEA43,Acker Reese,8,basara,5,5,rama1,8,0,F9235A84,3756959A
F38BEA43,Acker Reese,8,basara,5,5,rama1,12,0,9642721E,3756959A
F38BEA43,Acker Reese,8,basara,5,5,rama1,15,0,4C2BAEB7,3756959A
F38BEA43,Acker Reese,8,basara,5,5,rama2,18,0,F9235A84,3756959A
F38BEA43,Acker Reese,8,basara,5,5,rama2,22,0,9642721E,3756959A
F38BEA43,Acker Reese,8,basara,5,5,rama2,25,0,4C2BAEB7,3756959A
4CA0D52D,Aiden Froste,7,propio,,0,tronco,1,0,F9235A84,175173E6
4CA0D52D,Aiden Froste,7,propio,,0,tronco,3,0,F9235A84,175173E6
4CA0D52D,Aiden Froste,7,propio,,0,tronco,7,0,1CAA9DE4,175173E6
4CA0D52D,Aiden Froste,7,propio,,0,tronco,11,0,84E41252,175173E6
4CA0D52D,Aiden Froste,7,propio,,0,tronco,14,0,B14171BB,175173E6
CB00F04E,Aiden Froste,5,propio,,0,tronco,1,0,1CAA9DE4,90F15685
CB00F04E,Aiden Froste,5,propio,,0,tronco,3,0,CBAB818A,90F15685
CB00F04E,Aiden Froste,5,propio,,0,tronco,7,0,1CAA9DE4,90F15685
CB00F04E,Aiden Froste,5,propio,,0,tronco,11,0,41436E70,90F15685
CB00F04E,Aiden Froste,5,propio,,0,tronco,14,0,32FAAE67,90F15685
F92C2F17,Aiden Froste,8,basara,3,0,tronco,1,0,1AF12A5C,1B95662D
F92C2F17,Aiden Froste,8,basara,3,0,tronco,3,0,16D4E13E,1B95662D
F92C2F17,Aiden Froste,8,basara,3,0,rama1,8,0,CBAB818A,1B95662D
F92C2F17,Aiden Froste,8,basara,3,0,rama1,12,0,47B73F79,1B95662D
F92C2F17,Aiden Froste,8,basara,3,0,rama1,15,0,72125C90,1B95662D
F92C2F17,Aiden Froste,8,basara,3,0,rama2,18,0,CBAB818A,1B95662D
F92C2F17,Aiden Froste,8,basara,3,0,rama2,22,0,47B73F79,1B95662D
F92C2F17,Aiden Froste,8,basara,3,0,rama2,25,0,72125C90,1B95662D
F92C2F17,Aiden Froste,8,basara,1,1,tronco,1,0,1AF12A5C,6C9256BB
F92C2F17,Aiden Froste,8,basara,1,1,tronco,3,0,16D4E13E,6C9256BB
F92C2F17,Aiden Froste,8,basara,1,1,rama1,8,0,CBAB818A,6C9256BB
F92C2F17,Aiden Froste,8,basara,1,1,rama1,12,0,CF6EEDEE,6C9256BB
F92C2F17,Aiden Froste,8,basara,1,1,rama1,15,0,595EEA99,6C9256BB
F92C2F17,Aiden Froste,8,basara,1,1,rama2,18,0,CBAB818A,6C9256BB
F92C2F17,Aiden Froste,8,basara,1,1,rama2,22,0,CF6EEDEE,6C9256BB
F92C2F17,Aiden Froste,8,basara,1,1,rama2,25,0,595EEA99,6C9256BB
F92C2F17,Aiden Froste,8,basara,4,2,tronco,1,0,1AF12A5C,F2F6C318
F92C2F17,Aiden Froste,8,basara,4,2,tronco,3,0,16D4E13E,F2F6C318
F92C2F17,Aiden Froste,8,basara,4,2,rama1,8,0,CBAB818A,F2F6C318
F92C2F17,Aiden Froste,8,basara,4,2,rama1,12,0,41436E70,F2F6C318
F92C2F17,Aiden Froste,8,basara,4,2,rama1,15,0,32FAAE67,F2F6C318
F92C2F17,Aiden Froste,8,basara,4,2,rama2,18,0,CBAB818A,F2F6C318
F92C2F17,Aiden Froste,8,basara,4,2,rama2,22,0,41436E70,F2F6C318
F92C2F17,Aiden Froste,8,basara,4,2,rama2,25,0,32FAAE67,F2F6C318
F92C2F17,Aiden Froste,8,basara,2,3,tronco,1,0,1AF12A5C,85F1F38E
F92C2F17,Aiden Froste,8,basara,2,3,tronco,3,0,16D4E13E,85F1F38E
F92C2F17,Aiden Froste,8,basara,2,3,rama1,8,0,CBAB818A,85F1F38E
F92C2F17,Aiden Froste,8,basara,2,3,rama1,12,0,186FF180,85F1F38E
F92C2F17,Aiden Froste,8,basara,2,3,rama1,15,0,C99ABCE7,85F1F38E
F92C2F17,Aiden Froste,8,basara,2,3,rama2,18,0,CBAB818A,85F1F38E
F92C2F17,Aiden Froste,8,basara,2,3,rama2,22,0,186FF180,85F1F38E
F92C2F17,Aiden Froste,8,basara,2,3,rama2,25,0,C99ABCE7,85F1F38E
F92C2F17,Aiden Froste,8,basara,0,4,tronco,1,0,1AF12A5C,1CF8A234
F92C2F17,Aiden Froste,8,basara,0,4,tronco,3,0,16D4E13E,1CF8A234
F92C2F17,Aiden Froste,8,basara,0,4,rama1,8,0,CBAB818A,1CF8A234
F92C2F17,Aiden Froste,8,basara,0,4,rama1,12,0,84E41252,1CF8A234
F92C2F17,Aiden Froste,8,basara,0,4,rama1,15,0,B14171BB,1CF8A234
F92C2F17,Aiden Froste,8,basara,0,4,rama2,18,0,CBAB818A,1CF8A234
F92C2F17,Aiden Froste,8,basara,0,4,rama2,22,0,84E41252,1CF8A234
F92C2F17,Aiden Froste,8,basara,0,4,rama2,25,0,B14171BB,1CF8A234
F92C2F17,Aiden Froste,8,basara,5,5,tronco,1,0,16D4E13E,0C00C5E1
F92C2F17,Aiden Froste,8,basara,5,5,tronco,3,0,13E09DFC,0C00C5E1
F92C2F17,Aiden Froste,8,basara,5,5,rama1,8,0,94734F73,0C00C5E1
F92C2F17,Aiden Froste,8,basara,5,5,rama1,12,0,9642721E,0C00C5E1
F92C2F17,Aiden Froste,8,basara,5,5,rama1,15,0,4C2BAEB7,0C00C5E1
F92C2F17,Aiden Froste,8,basara,5,5,rama2,18,0,94734F73,0C00C5E1
F92C2F17,Aiden Froste,8,basara,5,5,rama2,22,0,9642721E,0C00C5E1
F92C2F17,Aiden Froste,8,basara,5,5,rama2,25,0,4C2BAEB7,0C00C5E1
1665D364,Alexander Allegrov,5,propio,,0,tronco,1,0,1CAA9DE4,4D9475AF
1665D364,Alexander Allegrov,5,propio,,0,tronco,3,0,E8A7749E,4D9475AF
1665D364,Alexander Allegrov,5,propio,,0,tronco,7,0,E8A7749E,4D9475AF
1665D364,Alexander Allegrov,5,propio,,0,tronco,11,0,EFBECA29,4D9475AF
1665D364,Alexander Allegrov,5,propio,,0,tronco,14,0,72125C90,4D9475AF
24490C3D,Alexander Allegrov,8,basara,3,0,tronco,1,0,16D4E13E,15338E9B
24490C3D,Alexander Allegrov,8,basara,3,0,tronco,3,0,1CAA9DE4,15338E9B
24490C3D,Alexander Allegrov,8,basara,3,0,rama1,8,0,B812419D,15338E9B
24490C3D,Alexander Allegrov,8,basara,3,0,rama1,12,0,47B73F79,15338E9B
24490C3D,Alexander Allegrov,8,basara,3,0,rama1,15,0,72125C90,15338E9B
24490C3D,Alexander Allegrov,8,basara,3,0,rama2,18,0,B812419D,15338E9B
24490C3D,Alexander Allegrov,8,basara,3,0,rama2,22,0,47B73F79,15338E9B
24490C3D,Alexander Allegrov,8,basara,3,0,rama2,25,0,72125C90,15338E9B
24490C3D,Alexander Allegrov,8,basara,1,1,tronco,1,0,16D4E13E,6234BE0D
24490C3D,Alexander Allegrov,8,basara,1,1,tronco,3,0,1CAA9DE4,6234BE0D
24490C3D,Alexander Allegrov,8,basara,1,1,rama1,8,0,B812419D,6234BE0D
24490C3D,Alexander Allegrov,8,basara,1,1,rama1,12,0,CF6EEDEE,6234BE0D
24490C3D,Alexander Allegrov,8,basara,1,1,rama1,15,0,595EEA99,6234BE0D
24490C3D,Alexander Allegrov,8,basara,1,1,rama2,18,0,B812419D,6234BE0D
24490C3D,Alexander Allegrov,8,basara,1,1,rama2,22,0,CF6EEDEE,6234BE0D
24490C3D,Alexander Allegrov,8,basara,1,1,rama2,25,0,595EEA99,6234BE0D
24490C3D,Alexander Allegrov,8,basara,4,2,tronco,1,0,16D4E13E,FC502BAE
24490C3D,Alexander Allegrov,8,basara,4,2,tronco,3,0,1CAA9DE4,FC502BAE
24490C3D,Alexander Allegrov,8,basara,4,2,rama1,8,0,B812419D,FC502BAE
24490C3D,Alexander Allegrov,8,basara,4,2,rama1,12,0,41436E70,FC502BAE
24490C3D,Alexander Allegrov,8,basara,4,2,rama1,15,0,32FAAE67,FC502BAE
24490C3D,Alexander Allegrov,8,basara,4,2,rama2,18,0,B812419D,FC502BAE
24490C3D,Alexander Allegrov,8,basara,4,2,rama2,22,0,41436E70,FC502BAE
24490C3D,Alexander Allegrov,8,basara,4,2,rama2,25,0,32FAAE67,FC502BAE
24490C3D,Alexander Allegrov,8,basara,2,3,tronco,1,0,16D4E13E,8B571B38
24490C3D,Alexander Allegrov,8,basara,2,3,tronco,3,0,1CAA9DE4,8B571B38
24490C3D,Alexander Allegrov,8,basara,2,3,rama1,8,0,B812419D,8B571B38
24490C3D,Alexander Allegrov,8,basara,2,3,rama1,12,0,186FF180,8B571B38
24490C3D,Alexander Allegrov,8,basara,2,3,rama1,15,0,C99ABCE7,8B571B38
24490C3D,Alexander Allegrov,8,basara,2,3,rama2,18,0,B812419D,8B571B38
24490C3D,Alexander Allegrov,8,basara,2,3,rama2,22,0,186FF180,8B571B38
24490C3D,Alexander Allegrov,8,basara,2,3,rama2,25,0,C99ABCE7,8B571B38
24490C3D,Alexander Allegrov,8,basara,0,4,tronco,1,0,16D4E13E,125E4A82
24490C3D,Alexander Allegrov,8,basara,0,4,tronco,3,0,1CAA9DE4,125E4A82
24490C3D,Alexander Allegrov,8,basara,0,4,rama1,8,0,B812419D,125E4A82
24490C3D,Alexander Allegrov,8,basara,0,4,rama1,12,0,84E41252,125E4A82
24490C3D,Alexander Allegrov,8,basara,0,4,rama1,15,0,B14171BB,125E4A82
24490C3D,Alexander Allegrov,8,basara,0,4,rama2,18,0,B812419D,125E4A82
24490C3D,Alexander Allegrov,8,basara,0,4,rama2,22,0,84E41252,125E4A82
24490C3D,Alexander Allegrov,8,basara,0,4,rama2,25,0,B14171BB,125E4A82
24490C3D,Alexander Allegrov,8,basara,5,5,tronco,1,0,2097421C,EE48C1B3
24490C3D,Alexander Allegrov,8,basara,5,5,tronco,3,0,A1D62C9A,EE48C1B3
24490C3D,Alexander Allegrov,8,basara,5,5,rama1,8,0,90BE2221,EE48C1B3
24490C3D,Alexander Allegrov,8,basara,5,5,rama1,12,0,9642721E,EE48C1B3
24490C3D,Alexander Allegrov,8,basara,5,5,rama1,15,0,4C2BAEB7,EE48C1B3
24490C3D,Alexander Allegrov,8,basara,5,5,rama2,18,0,90BE2221,EE48C1B3
24490C3D,Alexander Allegrov,8,basara,5,5,rama2,22,0,9642721E,EE48C1B3
24490C3D,Alexander Allegrov,8,basara,5,5,rama2,25,0,4C2BAEB7,EE48C1B3
91C5F607,Alexander Allegrov,7,propio,,0,tronco,1,0,1CAA9DE4,CA3450CC
91C5F607,Alexander Allegrov,7,propio,,0,tronco,3,0,E8A7749E,CA3450CC
91C5F607,Alexander Allegrov,7,propio,,0,tronco,7,0,E8A7749E,CA3450CC
91C5F607,Alexander Allegrov,7,propio,,0,tronco,11,0,55EFC3B0,CA3450CC
91C5F607,Alexander Allegrov,7,propio,,0,tronco,14,0,C3DFC4C7,CA3450CC
1FB2701F,Alfa,7,propio,,0,tronco,1,0,E9B407A5,4443D6D4
1FB2701F,Alfa,7,propio,,0,tronco,3,0,D542546A,4443D6D4
1FB2701F,Alfa,7,propio,,0,tronco,7,0,1CAA9DE4,4443D6D4
1FB2701F,Alfa,7,propio,,0,tronco,11,0,CF6EEDEE,4443D6D4
1FB2701F,Alfa,7,propio,,0,tronco,14,0,595EEA99,4443D6D4
2D9EAF46,Alfa,8,basara,3,0,tronco,1,0,F5D99E99,1685045C
2D9EAF46,Alfa,8,basara,3,0,tronco,3,0,1CAA9DE4,1685045C
2D9EAF46,Alfa,8,basara,3,0,rama1,8,0,F9235A84,1685045C
2D9EAF46,Alfa,8,basara,3,0,rama1,12,0,47B73F79,1685045C
2D9EAF46,Alfa,8,basara,3,0,rama1,15,0,72125C90,1685045C
2D9EAF46,Alfa,8,basara,3,0,rama2,18,0,F9235A84,1685045C
2D9EAF46,Alfa,8,basara,3,0,rama2,22,0,47B73F79,1685045C
2D9EAF46,Alfa,8,basara,3,0,rama2,25,0,72125C90,1685045C
2D9EAF46,Alfa,8,basara,1,1,tronco,1,0,F5D99E99,618234CA
2D9EAF46,Alfa,8,basara,1,1,tronco,3,0,1CAA9DE4,618234CA
2D9EAF46,Alfa,8,basara,1,1,rama1,8,0,F9235A84,618234CA
2D9EAF46,Alfa,8,basara,1,1,rama1,12,0,CF6EEDEE,618234CA
2D9EAF46,Alfa,8,basara,1,1,rama1,15,0,595EEA99,618234CA
2D9EAF46,Alfa,8,basara,1,1,rama2,18,0,F9235A84,618234CA
2D9EAF46,Alfa,8,basara,1,1,rama2,22,0,CF6EEDEE,618234CA
2D9EAF46,Alfa,8,basara,1,1,rama2,25,0,595EEA99,618234CA
2D9EAF46,Alfa,8,basara,4,2,tronco,1,0,F5D99E99,FFE6A169
2D9EAF46,Alfa,8,basara,4,2,tronco,3,0,1CAA9DE4,FFE6A169
2D9EAF46,Alfa,8,basara,4,2,rama1,8,0,F9235A84,FFE6A169
2D9EAF46,Alfa,8,basara,4,2,rama1,12,0,41436E70,FFE6A169
2D9EAF46,Alfa,8,basara,4,2,rama1,15,0,32FAAE67,FFE6A169
2D9EAF46,Alfa,8,basara,4,2,rama2,18,0,F9235A84,FFE6A169
2D9EAF46,Alfa,8,basara,4,2,rama2,22,0,41436E70,FFE6A169
2D9EAF46,Alfa,8,basara,4,2,rama2,25,0,32FAAE67,FFE6A169
2D9EAF46,Alfa,8,basara,2,3,tronco,1,0,F5D99E99,88E191FF
2D9EAF46,Alfa,8,basara,2,3,tronco,3,0,1CAA9DE4,88E191FF
2D9EAF46,Alfa,8,basara,2,3,rama1,8,0,F9235A84,88E191FF
2D9EAF46,Alfa,8,basara,2,3,rama1,12,0,186FF180,88E191FF
2D9EAF46,Alfa,8,basara,2,3,rama1,15,0,C99ABCE7,88E191FF
2D9EAF46,Alfa,8,basara,2,3,rama2,18,0,F9235A84,88E191FF
2D9EAF46,Alfa,8,basara,2,3,rama2,22,0,186FF180,88E191FF
2D9EAF46,Alfa,8,basara,2,3,rama2,25,0,C99ABCE7,88E191FF
2D9EAF46,Alfa,8,basara,0,4,tronco,1,0,F5D99E99,11E8C045
2D9EAF46,Alfa,8,basara,0,4,tronco,3,0,1CAA9DE4,11E8C045
2D9EAF46,Alfa,8,basara,0,4,rama1,8,0,F9235A84,11E8C045
2D9EAF46,Alfa,8,basara,0,4,rama1,12,0,84E41252,11E8C045
2D9EAF46,Alfa,8,basara,0,4,rama1,15,0,B14171BB,11E8C045
2D9EAF46,Alfa,8,basara,0,4,rama2,18,0,F9235A84,11E8C045
2D9EAF46,Alfa,8,basara,0,4,rama2,22,0,84E41252,11E8C045
2D9EAF46,Alfa,8,basara,0,4,rama2,25,0,B14171BB,11E8C045
2D9EAF46,Alfa,8,basara,5,5,tronco,1,0,F5D99E99,8F8C55E6
2D9EAF46,Alfa,8,basara,5,5,tronco,3,0,1CAA9DE4,8F8C55E6
2D9EAF46,Alfa,8,basara,5,5,rama1,8,0,F9235A84,8F8C55E6
2D9EAF46,Alfa,8,basara,5,5,rama1,12,0,9642721E,8F8C55E6
2D9EAF46,Alfa,8,basara,5,5,rama1,15,0,4C2BAEB7,8F8C55E6
2D9EAF46,Alfa,8,basara,5,5,rama2,18,0,F9235A84,8F8C55E6
2D9EAF46,Alfa,8,basara,5,5,rama2,22,0,9642721E,8F8C55E6
2D9EAF46,Alfa,8,basara,5,5,rama2,25,0,4C2BAEB7,8F8C55E6
2D9EAF46,Alfa,8,propio,,0,tronco,1,0,9321DA68,DBEDB6B8
2D9EAF46,Alfa,8,propio,,0,tronco,3,0,E0981A7F,DBEDB6B8
2D9EAF46,Alfa,8,propio,,0,rama1,8,0,C642F034,DBEDB6B8
2D9EAF46,Alfa,8,propio,,0,rama1,12,0,E5849FF5,DBEDB6B8
2D9EAF46,Alfa,8,propio,,0,rama1,15,0,58F82E8B,DBEDB6B8
2D9EAF46,Alfa,8,propio,,0,rama2,18,0,6ED45544,DBEDB6B8
2D9EAF46,Alfa,8,propio,,0,rama2,22,0,E5849FF5,DBEDB6B8
2D9EAF46,Alfa,8,propio,,0,rama2,25,0,58F82E8B,DBEDB6B8
367AC4ED,Alfa,6,propio,,0,tronco,1,0,E9B407A5,6D8B6226
367AC4ED,Alfa,6,propio,,0,tronco,3,0,D542546A,6D8B6226
367AC4ED,Alfa,6,propio,,0,tronco,7,0,1CAA9DE4,6D8B6226
367AC4ED,Alfa,6,propio,,0,tronco,11,0,9642721E,6D8B6226
367AC4ED,Alfa,6,propio,,0,tronco,14,0,4C2BAEB7,6D8B6226
64D90B98,Alix La Fontaine,6,propio,,0,tronco,1,0,2097421C,3F28AD53
64D90B98,Alix La Fontaine,6,propio,,0,tronco,3,0,2801F46B,3F28AD53
64D90B98,Alix La Fontaine,6,propio,,0,tronco,7,0,2801F46B,3F28AD53
64D90B98,Alix La Fontaine,6,propio,,0,tronco,11,0,9642721E,3F28AD53
64D90B98,Alix La Fontaine,6,propio,,0,tronco,14,0,4C2BAEB7,3F28AD53
7F3D6033,Alix La Fontaine,8,basara,3,0,tronco,1,0,2801F46B,E524F393
7F3D6033,Alix La Fontaine,8,basara,3,0,tronco,3,0,FD4F28EE,E524F393
7F3D6033,Alix La Fontaine,8,basara,3,0,rama1,8,0,2097421C,E524F393
7F3D6033,Alix La Fontaine,8,basara,3,0,rama1,12,0,47B73F79,E524F393
7F3D6033,Alix La Fontaine,8,basara,3,0,rama1,15,0,72125C90,E524F393
7F3D6033,Alix La Fontaine,8,basara,3,0,rama2,18,0,2097421C,E524F393
7F3D6033,Alix La Fontaine,8,basara,3,0,rama2,22,0,47B73F79,E524F393
7F3D6033,Alix La Fontaine,8,basara,3,0,rama2,25,0,72125C90,E524F393
7F3D6033,Alix La Fontaine,8,basara,1,1,tronco,1,0,2801F46B,9223C305
7F3D6033,Alix La Fontaine,8,basara,1,1,tronco,3,0,FD4F28EE,9223C305
7F3D6033,Alix La Fontaine,8,basara,1,1,rama1,8,0,2097421C,9223C305
7F3D6033,Alix La Fontaine,8,basara,1,1,rama1,12,0,CF6EEDEE,9223C305
7F3D6033,Alix La Fontaine,8,basara,1,1,rama1,15,0,595EEA99,9223C305
7F3D6033,Alix La Fontaine,8,basara,1,1,rama2,18,0,2097421C,9223C305
7F3D6033,Alix La Fontaine,8,basara,1,1,rama2,22,0,CF6EEDEE,9223C305
7F3D6033,Alix La Fontaine,8,basara,1,1,rama2,25,0,595EEA99,9223C305
7F3D6033,Alix La Fontaine,8,basara,4,2,tronco,1,0,2801F46B,0C4756A6
7F3D6033,Alix La Fontaine,8,basara,4,2,tronco,3,0,FD4F28EE,0C4756A6
7F3D6033,Alix La Fontaine,8,basara,4,2,rama1,8,0,2097421C,0C4756A6
7F3D6033,Alix La Fontaine,8,basara,4,2,rama1,12,0,41436E70,0C4756A6
7F3D6033,Alix La Fontaine,8,basara,4,2,rama1,15,0,32FAAE67,0C4756A6
7F3D6033,Alix La Fontaine,8,basara,4,2,rama2,18,0,2097421C,0C4756A6
7F3D6033,Alix La Fontaine,8,basara,4,2,rama2,22,0,41436E70,0C4756A6
7F3D6033,Alix La Fontaine,8,basara,4,2,rama2,25,0,32FAAE67,0C4756A6
7F3D6033,Alix La Fontaine,8,basara,2,3,tronco,1,0,2801F46B,7B406630
7F3D6033,Alix La Fontaine,8,basara,2,3,tronco,3,0,FD4F28EE,7B406630
7F3D6033,Alix La Fontaine,8,basara,2,3,rama1,8,0,2097421C,7B406630
7F3D6033,Alix La Fontaine,8,basara,2,3,rama1,12,0,186FF180,7B406630
7F3D6033,Alix La Fontaine,8,basara,2,3,rama1,15,0,C99ABCE7,7B406630
7F3D6033,Alix La Fontaine,8,basara,2,3,rama2,18,0,2097421C,7B406630
7F3D6033,Alix La Fontaine,8,basara,2,3,rama2,22,0,186FF180,7B406630
7F3D6033,Alix La Fontaine,8,basara,2,3,rama2,25,0,C99ABCE7,7B406630
7F3D6033,Alix La Fontaine,8,basara,0,4,tronco,1,0,2801F46B,E249378A
7F3D6033,Alix La Fontaine,8,basara,0,4,tronco,3,0,FD4F28EE,E249378A
7F3D6033,Alix La Fontaine,8,basara,0,4,rama1,8,0,2097421C,E249378A
7F3D6033,Alix La Fontaine,8,basara,0,4,rama1,12,0,84E41252,E249378A
7F3D6033,Alix La Fontaine,8,basara,0,4,rama1,15,0,B14171BB,E249378A
7F3D6033,Alix La Fontaine,8,basara,0,4,rama2,18,0,2097421C,E249378A
7F3D6033,Alix La Fontaine,8,basara,0,4,rama2,22,0,84E41252,E249378A
7F3D6033,Alix La Fontaine,8,basara,0,4,rama2,25,0,B14171BB,E249378A
7F3D6033,Alix La Fontaine,8,basara,5,5,tronco,1,0,1AF12A5C,829C3797
7F3D6033,Alix La Fontaine,8,basara,5,5,tronco,3,0,16D4E13E,829C3797
7F3D6033,Alix La Fontaine,8,basara,5,5,rama1,8,0,CBAB818A,829C3797
7F3D6033,Alix La Fontaine,8,basara,5,5,rama1,12,0,9642721E,829C3797
7F3D6033,Alix La Fontaine,8,basara,5,5,rama1,15,0,4C2BAEB7,829C3797
7F3D6033,Alix La Fontaine,8,basara,5,5,rama2,18,0,CBAB818A,829C3797
7F3D6033,Alix La Fontaine,8,basara,5,5,rama2,22,0,9642721E,829C3797
7F3D6033,Alix La Fontaine,8,basara,5,5,rama2,25,0,4C2BAEB7,829C3797
CAB19A09,Alix La Fontaine,7,propio,,0,tronco,1,0,2097421C,91403CC2
CAB19A09,Alix La Fontaine,7,propio,,0,tronco,3,0,90BE2221,91403CC2
CAB19A09,Alix La Fontaine,7,propio,,0,tronco,7,0,90BE2221,91403CC2
CAB19A09,Alix La Fontaine,7,propio,,0,tronco,11,0,84E41252,91403CC2
CAB19A09,Alix La Fontaine,7,propio,,0,tronco,14,0,B14171BB,91403CC2
