# Todos los personajes jugables del juego, con su arbol de tecnicas.
# Lo genera herramientas/construir_base_jugadores.py.
# rN_tipo: que admite esa ranura. LIBRE = cualquier tecnica o hipertecnica.
identidad,indice,string_id,nombre,elemento,posicion,posicion_alt,arquetipo,rareza,equipo,r1_tecnica,r1_tipo,r1_nivel,r2_tecnica,r2_tipo,r2_nivel,r3_tecnica,r3_tipo,r3_nivel,r4_tecnica,r4_tipo,r4_nivel,r5_tecnica,r5_tipo,r5_nivel,r6_tecnica,r6_tipo,r6_nivel,r7_tecnica,r7_tipo,r7_nivel,r8_tecnica,r8_tipo,r8_nivel,r9_tecnica,r9_tipo,r9_nivel
EB70DFF8,2458,c11010120,Maine Alsop,Montana,MED,DEF,Brecha,normal,<MNT:NAGUMOHARA>,Caño,Regate,1,Impulso de resolución,Tiro,13,Visto y no visto,LIBRE,20,Mirada ladrona,Defensa,30,Balón galgo,Regate,38,Catalizador elemental,LIBRE,43,Gran torbellino,Defensa,30,Emboscada defensiva,Defensa,38,Guardián férreo,LIBRE,43
F26BEEB9,2459,c11010130,Dario Highton,Bosque,MED,POR,Tension,normal,<MNT:NAGUMOHARA>,Regate disimulado,Defensa,1,Brisa de la cúspide,Regate,13,Pasos aéreos,LIBRE,20,La montaña,Defensa,30,Zona sigma,Defensa,38,Catalizador elemental,LIBRE,43,Tormenta de pétalos,Parada,30,Bloqueo firme,Parada,38,Determinación de portero,LIBRE,43
BD2A787E,2460,c11010140,Amelia Rainwalker,Viento,DEF,DEL,Justicia,normal,<MNT:NAGUMOHARA>,Finta de pie,Regate,1,Aro hula hoop,Regate,13,Gravitación,LIBRE,20,Torre inexpugnable,Defensa,30,Regate aurora,Regate,38,Guardián férreo,LIBRE,43,Flecha divina,Tiro,30,Cabezazo megatón,Tiro,38,Sobrecarga ardiente,LIBRE,43
A431493F,2461,c11010150,Marisol Cavallo,Fuego,DEF,POR,Tension,normal,<MNT:NAGUMOHARA>,Finta de pie,Regate,1,Círculo elegante,Regate,13,Paisaje helado,LIBRE,20,Regate aurora,Regate,30,Proyectil de ozono,Defensa,38,Guardián férreo,LIBRE,43,Mordisco de serpiente,Parada,30,Bloqueo firme,Parada,38,Determinación de portero,LIBRE,43
8F1C1AFC,2462,c11010160,Winsor Compete,Montana,DEF,POR,Brecha,normal,<MNT:NAGUMOHARA>,Carga de hombro,Defensa,1,Pisotón vigoroso,Defensa,13,El muro,LIBRE,20,Pisotón de sumo,Defensa,30,Superarmadillo,Regate,38,Guardián férreo,LIBRE,43,Rechace de fuego,Parada,30,Muralla gigante,Parada,38,Determinación de portero,LIBRE,43
96072BBD,3351,c11010170,Meridia Althoff,Viento,DEF,MED,Brecha,normal,<MNT:NAGUMOHARA>,Taconazo,Regate,1,Contragolpe de halcón,Regate,13,Torbellino dragón,LIBRE,20,Katana crisantemo,Tiro,30,Robo rápido,Defensa,38,Guardián férreo,LIBRE,43,Aikido,Regate,30,Despliegue de señuelos,Regate,38,Impulso temporal,LIBRE,43
119F3772,3352,c11010180,Lemmy Stretchen,Fuego,DEF,MED,Justicia,normal,<MNT:NAGUMOHARA>,Jugarreta,Defensa,1,Niebla sombría,Defensa,13,Portal dimensional,LIBRE,20,Corte diabólico,Defensa,30,Regate espejismo,Regate,38,Guardián férreo,LIBRE,43,Aikido,Regate,30,Despliegue de señuelos,Regate,38,Impulso temporal,LIBRE,43
08840633,3353,c11010190,Starla Thorn,Fuego,MED,DEL,Juego sucio,normal,<MNT:NAGUMOHARA>,Caño,Regate,1,Ritmo eléctrico,Regate,13,Barrido defensivo,LIBRE,20,Avance chispeante,Regate,30,Cañonazo,Tiro,38,Catalizador elemental,LIBRE,43,Aplastamiento,Parada,30,Mano espiritual,Parada,38,Sobrecarga ardiente,LIBRE,43
DB000323,3354,c11010200,Kelvin Steelborne,Montana,DEF,POR,Afinidad,normal,<MNT:NAGUMOHARA>,Regate disimulado,Defensa,1,Maza metálica,Defensa,13,Muro de hierro,LIBRE,20,Mina terrestre,Regate,30,Balón galgo,Regate,38,Guardián férreo,LIBRE,43,Tormenta de pétalos,Parada,30,Bloqueo firme,Parada,38,Determinación de portero,LIBRE,43
C21B3262,3355,c11010210,Antonia Felicier,Bosque,DEF,MED,Afinidad,normal,<MNT:NAGUMOHARA>,Caño,Regate,1,¡Hala! ¡Una bola de arroz!,Regate,13,Balón angelical,LIBRE,20,Grumo pegapasta,Defensa,30,Corro de la patata,Defensa,38,Guardián férreo,LIBRE,43,Confusión,Regate,30,Cruz del Sur,Regate,38,Catalizador elemental,LIBRE,43
E93661A1,3356,c11010220,Florent Shorleigh,Viento,MED,DEF,Afinidad,normal,<MNT:NAGUMOHARA>,Vaselina,Tiro,1,Marlín volador,Tiro,13,Remolino acuático,LIBRE,20,Patín aéreo,Regate,30,Remate tsunami,Tiro,38,Catalizador elemental,LIBRE,43,Emboscada defensiva,Defensa,30,Gran torbellino,Defensa,38,Guardián férreo,LIBRE,43
BB5FB56C,3391,c11030010,Nikas Himmelstein,Fuego,DEL,DEF,Brecha,normal,Northbright,Tiro rasante,Tiro,1,Espada solar,Tiro,13,Resplandor cegador,LIBRE,20,Fórmula matemática,Defensa,30,Tornado de fuego,Tiro,38,Sobrecarga ardiente,LIBRE,43,Emboscada defensiva,Defensa,30,Torre perfecta,Defensa,38,Guardián férreo,LIBRE,43
CC5885FA,3392,c11030011,Nikas Himmelstein,Fuego,DEL,DEF,Tension,normal,Northbright,Tiro rasante,Tiro,1,Espada solar,Tiro,13,Resplandor cegador,LIBRE,20,Fórmula matemática,Defensa,30,Tornado de fuego,Tiro,38,Sobrecarga ardiente,LIBRE,43,Emboscada defensiva,Defensa,30,Torre perfecta,Defensa,38,Guardián férreo,LIBRE,43
9072E6AF,3393,c11030020,Ivan Mercer,Viento,MED,DEL,Tension,normal,Northbright,Entrada cegadora,Regate,1,Resplandor cegador,Regate,13,Remate misil,LIBRE,20,Fórmula matemática,Defensa,30,Zigzag chispeante,Regate,38,Catalizador elemental,LIBRE,43,Flecha divina,Tiro,30,Cabezazo megatón,Tiro,38,Sobrecarga ardiente,LIBRE,43
8969D7EE,3394,c11030030,Erdem Barath,Bosque,DEL,MED,Tension,normal,Northbright,Tiro con efecto,Tiro,1,Tiro cegador,Tiro,13,Resplandor cegador,LIBRE,20,Fórmula matemática,Defensa,30,Flecha divina,Tiro,38,Sobrecarga ardiente,LIBRE,43,Regate topo,Regate,30,Emboscada defensiva,Defensa,38,Catalizador elemental,LIBRE,43
C6284129,3395,c11030040,Milo Rankin,Montana,POR,MED,Justicia,normal,Northbright,Despeje de puño,Parada,1,Duna gravitacional,Parada,13,Campo de fuerza,LIBRE,20,Despeje cohete,Parada,30,Centro de gravedad,Parada,38,Determinación de portero,LIBRE,43,Regate topo,Regate,30,Emboscada defensiva,Defensa,38,Impulso temporal,LIBRE,43
DF337068,3396,c11030050,Taliesin Greenhunt,Bosque,MED,DEL,Justicia,normal,Northbright,Caño,Regate,1,Resplandor cegador,Regate,13,Fórmula matemática,LIBRE,20,Bola falsa,Defensa,30,Zigzag chispeante,Regate,38,Catalizador elemental,LIBRE,43,Remate misil,Tiro,30,Llamarada infernal,Tiro,38,Sobrecarga ardiente,LIBRE,43
F41E23AB,3397,c11030060,Bodhi Field,Montana,MED,DEF,Contra,normal,Northbright,Finta de pie,Regate,1,Fórmula matemática,Defensa,13,Cabezazo kung-fu,LIBRE,20,Pared solitaria,Regate,30,Giro de mono,Regate,38,Catalizador elemental,LIBRE,43,Estrella fugaz,Defensa,30,Flash de fotones,Defensa,38,Guardián férreo,LIBRE,43
ED0512EA,3398,c11030070,Hawky Savard,Viento,MED,POR,Justicia,normal,Northbright,Paso engañoso,Regate,1,Resplandor cegador,Regate,13,Fórmula matemática,LIBRE,20,Chut congelante,Tiro,30,Avance chispeante,Regate,38,Catalizador elemental,LIBRE,43,Bloque de hielo,Parada,30,Bloqueo firme,Parada,38,Determinación de portero,LIBRE,43
6A9D0E25,3399,c11030080,Chase Winthrop,Bosque,MED,DEF,Justicia,normal,Northbright,Jugarreta,Defensa,1,Corte giratorio,Defensa,13,Resplandor cegador,LIBRE,20,Ataque afilado,Defensa,30,Remate misil,Tiro,38,Catalizador elemental,LIBRE,43,Entrada huracán,Regate,30,Robo rápido,Defensa,38,Guardián férreo,LIBRE,43
73863F64,3400,c11030090,Everett Shipman,Montana,MED,DEF,Contra,normal,Northbright,Carga de hombro,Defensa,1,Resplandor cegador,Regate,13,Zigzag chispeante,LIBRE,20,Segadora,Defensa,30,Gravitación,Defensa,38,Catalizador elemental,LIBRE,43,Zigzag chispeante,Regate,30,Emboscada defensiva,Defensa,38,Guardián férreo,LIBRE,43
A386EE1A,3401,c11030100,Denzel Harvest,Fuego,DEL,POR,Juego sucio,normal,Northbright,Vaselina,Tiro,1,Tiro fantasma,Tiro,13,Fórmula matemática,LIBRE,20,Disparo con rebotes,Tiro,30,Esferas luminosas,Regate,38,Sobrecarga ardiente,LIBRE,43,Presa de sombras,Parada,30,Bloque de hielo,Parada,38,Determinación de portero,LIBRE,43
BA9DDF5B,3402,c11030110,Conley Quiver,Viento,DEF,MED,Contra,normal,Northbright,Finta de pie,Regate,1,Fórmula matemática,Defensa,13,Flecha huracán,LIBRE,20,Robo rápido,Defensa,30,Mirada al futuro,Regate,38,Guardián férreo,LIBRE,43,Imagen residual,Regate,30,Doble hélice,Tiro,38,Catalizador elemental,LIBRE,43
91B08C98,3403,c11030120,Armin Marshall,Fuego,POR,DEF,Justicia,normal,Northbright,Despeje de puño,Parada,1,Despeje cohete,Parada,13,Despeje explosivo,LIBRE,20,Combustión,Parada,30,Escudo de fuerza total,Parada,38,Determinación de portero,LIBRE,43,Corte volcánico,Defensa,30,Entrada rodante,Defensa,38,Guardián férreo,LIBRE,43
88ABBDD9,3404,c11030130,Hugh Pronghorn,Viento,DEL,DEF,Brecha,normal,Northbright,Taconazo,Regate,1,Pase cruzado,Tiro,13,Fórmula matemática,LIBRE,20,Tiro balista,Tiro,30,Espejismo de balón,Regate,38,Sobrecarga ardiente,LIBRE,43,Golpe de vacío,Defensa,30,Flash de fotones,Defensa,38,Guardián férreo,LIBRE,43
C7EA2B1E,3405,c11030140,Peake Fletcher,Bosque,DEF,MED,Juego sucio,normal,Northbright,Regate disimulado,Defensa,1,Fórmula matemática,Defensa,13,Estela ígnea,LIBRE,20,Tacón infernal,Regate,30,Ataque cóndor,Tiro,38,Guardián férreo,LIBRE,43,Tacón infernal,Regate,30,Zona de seguridad,Defensa,38,Catalizador elemental,LIBRE,43
DEF11A5F,3406,c11030150,Sentry Scarborough,Montana,DEF,MED,Brecha,normal,Northbright,Carga de hombro,Defensa,1,Megaterremoto,Defensa,13,Resplandor cegador,LIBRE,20,Muralla de Atlantis,Defensa,30,Muro de hierro,Defensa,38,Guardián férreo,LIBRE,43,Tacón infernal,Regate,30,Llamarada infernal,Tiro,38,Catalizador elemental,LIBRE,43
F5DC499C,3407,c11030160,Autry Rogers,Fuego,DEF,DEL,Justicia,normal,Northbright,Amago y esprint,Regate,1,Resplandor cegador,Regate,13,Acelerón,LIBRE,20,Zigzag de fuego,Defensa,30,Picadora,Defensa,38,Guardián férreo,LIBRE,43,Cascabel,Tiro,30,Cabezazo megatón,Tiro,38,Sobrecarga ardiente,LIBRE,43
BD947787,3409,c11030510,Raz Pond,Viento,MED,POR,Juego sucio,normal,Northbright,Amago y esprint,Regate,1,Parada en pirueta,Parada,13,Entrada tormentosa,LIBRE,20,Círculo de hielo,Regate,30,Danza del viento,Regate,38,Catalizador elemental,LIBRE,43,Martillo defensor,Parada,30,Muralla tsunami,Parada,38,Determinación de portero,LIBRE,43
A48F46C6,3408,c11030500,Neil Turner,Fuego,DEL,MED,Brecha,normal,Northbright,Tiro potente,Tiro,1,Pared solitaria,Regate,13,Tiro radiocontrol,LIBRE,20,Bateo total,Tiro,30,Pájaro de fuego,Tiro,38,Sobrecarga ardiente,LIBRE,43,Balón galgo,Regate,30,Vuelo de Ícaro,Regate,38,Catalizador elemental,LIBRE,43
871F0DCC,4717,c11500020,Lilac Tausend,Bosque,MED,DEL,Contra,normal,<MNT:NAGUMOHARA>,Tiro con rebote,Tiro,1,Regate espejismo,Regate,13,Tornado oscuro,LIBRE,20,Regate múltiple,Regate,30,Campo de fuerza,Regate,38,Catalizador elemental,LIBRE,43,Lecho de rosas,Tiro,30,Megadragón,Tiro,38,Sobrecarga ardiente,LIBRE,43
CBDA4F65,4741,c11500250,Juno Hundertmark,Viento,DEF,POR,Contra,normal,<MNT:NAGUMOHARA>,Carga de hombro,Defensa,1,Bloque de hielo,Parada,13,Torre inexpugnable,LIBRE,20,Flecha huracán,Defensa,30,Subida a los cielos,Defensa,38,Guardián férreo,LIBRE,43,Espada defensora,Parada,30,Puente sin final,Parada,38,Determinación de portero,LIBRE,43
DE4F15A6,3359,c11010500,Edwin Grove,Fuego,POR,DEF,Contra,normal,<MNT:NAGUMOHARA>,Parada de mano firme,Parada,1,Cortafuegos,Defensa,13,Lanzallamas,LIBRE,20,Corte de arena,Parada,30,Millón de manos,Parada,38,Determinación de portero,LIBRE,43,Entrada rodante,Defensa,30,Megaterremoto,Defensa,38,Guardián férreo,LIBRE,43
6245E74A,3443,c11050070,Edgard Loathe,Viento,MED,DEL,Tension,normal,West Manor,Amago y esprint,Regate,1,Visto y no visto,Regate,13,Mirada al futuro,LIBRE,20,Zona de seguridad,Defensa,30,Danza del viento,Regate,38,Catalizador elemental,LIBRE,43,Tiro de francotirador,Tiro,30,Trayectoria perfecta,Tiro,38,Sobrecarga ardiente,LIBRE,43
E5DDFB85,3444,c11050080,Flanko Midspringle,Bosque,DEL,DEF,Brecha,normal,West Manor,Tiro con efecto,Tiro,1,Disparo rodante,Tiro,13,Carrera afanosa,LIBRE,20,Acelerón,Regate,30,Balón rodante,Tiro,38,Sobrecarga ardiente,LIBRE,43,Robo rápido,Defensa,30,Mirada ladrona,Defensa,38,Guardián férreo,LIBRE,43
0629224E,3439,c11050030,Berdy Caster,Bosque,DEL,MED,Contra,normal,West Manor,Tiro con efecto,Tiro,1,Mirada al futuro,Regate,13,Tiro de francotirador,LIBRE,20,Zigzag chispeante,Regate,30,Trayectoria perfecta,Tiro,38,Sobrecarga ardiente,LIBRE,43,Obstrucción eléctrica,Defensa,30,Esferas luminosas,Regate,38,Catalizador elemental,LIBRE,43
2CC61BBA,3446,c11050100,Ernesta Beauregard,Fuego,MED,DEF,Juego sucio,normal,West Manor,Caño,Regate,1,Prima donna,Regate,13,Disparo rodante,LIBRE,20,Engaño torero,Regate,30,Lecho de rosas,Tiro,38,Catalizador elemental,LIBRE,43,Entrada rodante,Defensa,30,Baile de llamas,Defensa,38,Guardián férreo,LIBRE,43
7B5ED60B,3442,c11050060,Moby Tidbitt,Montana,MED,POR,Contra,normal,West Manor,Amago y esprint,Regate,1,Carrera afanosa,Regate,13,Superarmadillo,LIBRE,20,Mirada ladrona,Defensa,30,Bola falsa,Defensa,38,Catalizador elemental,LIBRE,43,Bloqueo firme,Parada,30,Tormenta de pétalos,Parada,38,Determinación de portero,LIBRE,43
507385C8,3441,c11050050,Laymark Starwyn,Montana,MED,DEL,Contra,normal,West Manor,Tiro potente,Tiro,1,Tiro de francotirador,Tiro,13,Carrera afanosa,LIBRE,20,Mirada ladrona,Defensa,30,Mirada al futuro,Regate,38,Catalizador elemental,LIBRE,43,Trayectoria perfecta,Tiro,30,Tiro balista,Tiro,38,Sobrecarga ardiente,LIBRE,43
35DD2AFB,3447,c11050110,Drever Olflaire,Bosque,DEF,DEL,Tension,normal,West Manor,Carga de hombro,Defensa,1,Mirada ladrona,Defensa,13,Carrera afanosa,LIBRE,20,Robo rápido,Defensa,30,Entrada rodante,Defensa,38,Guardián férreo,LIBRE,43,Trayectoria perfecta,Tiro,30,Tiro cegador,Tiro,38,Sobrecarga ardiente,LIBRE,43
341F40CC,3437,c11050010,Edvan Trodden,Viento,DEF,MED,Justicia,normal,West Manor,Regate disimulado,Defensa,1,Defensa múltiple,Defensa,13,Ciclón,LIBRE,20,Zigzag chispeante,Regate,30,Cinto astral,Defensa,38,Guardián férreo,LIBRE,43,Pase cruzado,Tiro,30,Barrena voladora,Regate,38,Catalizador elemental,LIBRE,43
FCC6CAC4,3445,c11050090,Rutheo Wheyston,Bosque,DEF,DEL,Tension,normal,West Manor,Parada en arco,Defensa,1,Robo rápido,Defensa,13,Carga de elefantes,LIBRE,20,Imagen residual,Regate,30,Segadora,Defensa,38,Guardián férreo,LIBRE,43,Bomba acrobática,Tiro,30,Rayo de Ganímedes,Tiro,38,Sobrecarga ardiente,LIBRE,43
1F32130F,3438,c11050020,Looke Raundoff,Bosque,DEF,POR,Tension,normal,West Manor,Jugarreta,Defensa,1,Telaraña,Defensa,13,Carrera afanosa,LIBRE,20,Visto y no visto,Regate,30,Mirada ladrona,Defensa,38,Guardián férreo,LIBRE,43,Espiral de distorsión,Parada,30,Agujero de gusano,Parada,38,Determinación de portero,LIBRE,43
4968B489,3440,c11050040,Dax Prescott,Viento,POR,DEL,Contra,normal,West Manor,Parada de mano firme,Parada,1,Parada ardiente,Parada,13,Despeje cohete,LIBRE,20,Carrera afanosa,Regate,30,Manos liberadas,Parada,38,Determinación de portero,LIBRE,43,Tiro de francotirador,Tiro,30,Trayectoria perfecta,Tiro,38,Sobrecarga ardiente,LIBRE,43
1EF07938,3448,c11050120,Chicory Bellflower,Bosque,MED,DEF,Brecha,normal,West Manor,Paso engañoso,Regate,1,Bola falsa,Defensa,13,Giro bobina,LIBRE,20,Torbellino dragón,Regate,30,Remate espiral,Tiro,38,Catalizador elemental,LIBRE,43,Bola falsa,Defensa,30,Mirada ladrona,Defensa,38,Guardián férreo,LIBRE,43
07EB4879,3449,c11050130,Aysen DeMacon,Montana,DEL,POR,Brecha,normal,West Manor,Vaselina,Tiro,1,Carrera afanosa,Regate,13,Tiro de francotirador,LIBRE,20,Bateo total,Tiro,30,Truco balonazo,Regate,38,Sobrecarga ardiente,LIBRE,43,Despeje explosivo,Parada,30,Despeje de fuerza,Parada,38,Determinación de portero,LIBRE,43
48AADEBE,3450,c11050140,Breppo Terrey,Fuego,MED,DEF,Tension,normal,West Manor,Entrada cegadora,Regate,1,Bola falsa,Defensa,13,Carrera afanosa,LIBRE,20,Mirada ladrona,Defensa,30,Remate misil,Tiro,38,Catalizador elemental,LIBRE,43,Pisotón de sumo,Defensa,30,Cortafuegos,Defensa,38,Guardián férreo,LIBRE,43
51B1EFFF,3451,c11050150,Frie Sorbet,Viento,DEF,MED,Afinidad,normal,West Manor,Regate disimulado,Defensa,1,Mirada ladrona,Defensa,13,Flash de fotones,LIBRE,20,Prima donna,Regate,30,Rompehielos,Defensa,38,Guardián férreo,LIBRE,43,Pantalla acuática,Regate,30,Mirada al futuro,Regate,38,Catalizador elemental,LIBRE,43
7A9CBC3C,3452,c11050160,Eddi Losse,Viento,POR,DEF,Tension,normal,West Manor,Despeje de puño,Parada,1,Despeje de leñador,Parada,13,Tormenta del desierto,LIBRE,20,Balón rodante,Tiro,30,Parada en pirueta,Parada,38,Determinación de portero,LIBRE,43,Robo rápido,Defensa,30,Mirada ladrona,Defensa,38,Guardián férreo,LIBRE,43
2BCFB366,3453,c11050500,Waddell Homely,Bosque,POR,DEF,Justicia,normal,West Manor,Parada poderosa,Parada,1,Despeje explosivo,Parada,13,Despeje de leñador,LIBRE,20,Rechace de fuego,Parada,30,Muralla infinita,Parada,38,Determinación de portero,LIBRE,43,Mirada ladrona,Defensa,30,Corro de la patata,Defensa,38,Guardián férreo,LIBRE,43
32D48227,3454,c11050510,Yasmin Tausend,Bosque,MED,DEL,Tension,normal,West Manor,Tiro potente,Tiro,1,Mirada al futuro,Regate,13,Ultraluna,LIBRE,20,Mirada ladrona,Defensa,30,Campo de fuerza,Regate,38,Catalizador elemental,LIBRE,43,Remate seguridad,Tiro,30,Sabiduría divina,Tiro,38,Sobrecarga ardiente,LIBRE,43
73BF3A1C,3455,c11060010,Jenny Okutba,Viento,DEF,MED,Brecha,normal,Eastwind,Regate disimulado,Defensa,1,Submarinismo salvaje,Defensa,13,Gran torbellino,LIBRE,20,Regate aurora,Regate,30,Rompehielos,Defensa,38,Guardián férreo,LIBRE,43,Pantalla acuática,Regate,30,Balón iceberg,Tiro,38,Catalizador elemental,LIBRE,43
589269DF,3456,c11060020,Sikuvot Shivan,Viento,DEL,DEF,Justicia,normal,Eastwind,Tiro potente,Tiro,1,Cataratas del Niágara,Regate,13,Submarinismo salvaje,LIBRE,20,Ultraluna,Regate,30,Peces voladores,Tiro,38,Sobrecarga ardiente,LIBRE,43,Gran torbellino,Defensa,30,Flecha huracán,Defensa,38,Guardián férreo,LIBRE,43
4189589E,3457,c11060030,Martino Leone,Bosque,POR,DEF,Contra,normal,Eastwind,Parada de mano firme,Parada,1,Extramundo,Parada,13,Espada defensora,LIBRE,20,Agujero de gusano,Parada,30,Recepción negativa,Parada,38,Determinación de portero,LIBRE,43,Magnetismo,Defensa,30,Proyectil de ozono,Defensa,38,Guardián férreo,LIBRE,43
0EC8CE59,3458,c11060040,Joey Beat,Fuego,DEL,MED,Contra,normal,Eastwind,Tiro potente,Tiro,1,Bomba saltarina,Tiro,13,Tiro tramposo,LIBRE,20,Tacón infernal,Regate,30,Baile de llamas,Defensa,38,Sobrecarga ardiente,LIBRE,43,Picadora,Defensa,30,Salto explosivo,Regate,38,Catalizador elemental,LIBRE,43
17D3FF18,3459,c11060050,Robart Anderson,Montana,MED,DEF,Tension,normal,Eastwind,Caño,Regate,1,Cataratas del Niágara,Regate,13,Entrada rodante,LIBRE,20,Ultraluna,Regate,30,Superelástico,Regate,38,Catalizador elemental,LIBRE,43,Baile de llamas,Defensa,30,Dientes de roca,Defensa,38,Guardián férreo,LIBRE,43
3CFEACDB,3460,c11060060,Maribelle Flanmir,Viento,MED,DEL,Brecha,normal,Eastwind,Taconazo,Regate,1,Tiro giratorio,Tiro,13,Pasos aéreos,LIBRE,20,Subida a los cielos,Defensa,30,Vuelo de Ícaro,Regate,38,Catalizador elemental,LIBRE,43,Balón angelical,Regate,30,Sabiduría divina,Tiro,38,Sobrecarga ardiente,LIBRE,43
25E59D9A,3461,c11060070,Toyo Yamanouchi,Montana,MED,POR,Contra,normal,Eastwind,Finta de pie,Regate,1,Cataratas del Niágara,Regate,13,Submarinismo salvaje,LIBRE,20,Zigzag chispeante,Regate,30,Tiro balista,Tiro,38,Catalizador elemental,LIBRE,43,Parada de capoeira,Parada,30,Muralla infinita,Parada,38,Determinación de portero,LIBRE,43
A27D8155,3462,c11060080,Judie Cassios,Fuego,DEF,MED,Brecha,normal,Eastwind,Jugarreta,Defensa,1,Bola falsa,Defensa,13,Confusión,LIBRE,20,Pasos aéreos,Regate,30,Voltereta circense,Defensa,38,Guardián férreo,LIBRE,43,Balón galgo,Regate,30,Patín aéreo,Regate,38,Catalizador elemental,LIBRE,43
