# Con que busto se dibuja cada personaje debajo de la cara (NOTAS O-148, O-154).
# cuerpo = fichero de 10_icon_chr/uniform/<cuerpo>_l.png, ya en su talla.
# complexion = cuerpo base 3D (c000101..c000401); tipo_cuerpo = 0-7, lo que usa
# el filtro de cuerpo del juego; origen = camiseta / portero / propia / respaldo.
# Lo genera herramientas/construir_cuerpos.py.
identidad,cuerpo,complexion,tipo_cuerpo,origen
0782683F,u115101_10_00,c000101,0,camiseta
07834EFE,u06039090,c000301,4,propia
078B3F10,u117401_10_00,c000101,0,camiseta
079974DD,u011005_10_00,c000301,4,camiseta
079D450A,u117407_10_00,c000401,6,camiseta
07A4B503,u050401_10_00,c000101,0,camiseta
07B40ADA,u041501_10_00,c000101,0,camiseta
07B6E699,u117402_10_00,c000101,1,camiseta
07B7A362,u117403_10_00,c000201,2,camiseta
07BF5DC1,u021402_10_00,c000101,1,camiseta
07C34FB6,u040101_10_00,c000101,0,camiseta
07C3C0FB,u117407_10_00,c000401,6,camiseta
07D357D8,u111806_10_00,c000401,5,camiseta
07DB0ECC,u041901_10_00,c000101,0,camiseta
07DE62B7,u117401_10_00,c000101,0,camiseta
07EB4879,u110503_10_00,c000201,2,camiseta
07F1708F,u11806030,c000101,1,propia
07F1E8A4,u117401_10_00,c000101,0,camiseta
080538F5,u041901_10_00,c000101,0,respaldo_equipo
080F5938,u117401_10_00,c000101,0,camiseta
08127439,u040601_10_00,c000101,0,camiseta
08192322,u021506_10_00,c000401,5,camiseta
0820D32B,u117401_10_00,c000101,0,camiseta
08381D1C,u117401_10_00,c000101,0,camiseta
08492FB7,u07160500,c000301,4,propia
0849844E,u11010050,c000101,0,propia
084C7E85,u117402_10_00,c000101,1,camiseta
085A049F,u117405_10_00,c000301,4,camiseta
08758E8C,u050751_10_00,c000101,0,portero
0879D298,u021206_10_00,c000401,5,camiseta
087AF017,u117401_10_00,c000101,0,camiseta
08840633,u11010190,c000201,2,propia
08851CEA,u020201_10_00,c000101,0,camiseta
08928562,u030101_10_00,c000101,0,camiseta
08950484,u117401_10_00,c000101,0,camiseta
0897678A,u117401_10_00,c000101,0,camiseta
0897E8C7,u040806_10_00,c000401,5,camiseta
089CBFDC,u020702_10_00,c000101,1,camiseta
08A85240,u060605_10_00,c000301,4,camiseta
08A8DD0D,u117407_10_00,c000401,6,camiseta
08AB98C2,u115104_10_00,c000201,3,camiseta
08BD034B,u115105_10_00,c000301,4,camiseta
08CF3FEF,u020201_10_00,c000101,0,camiseta
08D4230D,u117203_10_00,c000201,2,camiseta
08DE01D2,u010101_10_00,,,respaldo_generico
08E022E6,u031605_10_00,c000301,4,camiseta
08EBFAB0,u020501_10_00,c000101,0,camiseta
08F175C1,u010101_10_00,c000101,0,camiseta
0922C79C,u042001_10_00,c000101,0,camiseta
09299087,u020501_10_00,c000101,0,camiseta
09331FF6,u010101_10_00,c000101,0,camiseta
0941C085,u080505_10_00,c000301,4,camiseta
09466C04,u11010090,c000401,5,propia
094776DD,u020206_10_00,c000401,5,camiseta
09532D9F,u011001_10_00,c000101,0,camiseta
09550DBD,u117401_10_00,c000101,0,camiseta
09576EB3,u117407_10_00,c000401,6,camiseta
0966300A,u11907060,c000201,2,propia
096A3877,u060605_10_00,c000301,4,camiseta
096AB73A,u117403_10_00,c000201,2,camiseta
097F697C,u110401_10_00,c000101,0,camiseta
0985CCE4,u030901_10_00,c000101,0,camiseta
098AA343,u051301_10_00,c000101,0,camiseta
098E14B2,u117402_10_00,c000101,1,camiseta
09986EA8,u117401_10_00,c000101,0,camiseta
09B7E4BB,u050701_10_00,c000101,0,camiseta
09B89A20,u117401_10_00,c000101,0,camiseta
09BBDFEF,u115101_10_00,c000101,0,camiseta
09C752C2,u041901_10_00,c000101,0,respaldo_equipo
09CD330F,u117401_10_00,c000101,0,camiseta
09D01E0E,u040604_10_00,c000201,3,camiseta
09E2B91C,u117402_10_00,c000101,1,camiseta
09FA772B,u117407_10_00,c000401,6,camiseta
0A01188A,u031101_10_00,c000101,0,camiseta
0A0AC0DC,u117401_10_00,c000101,0,camiseta
0A287FB9,u010101_10_00,,,respaldo_generico
0A3C4E4E,u117405_10_00,c000301,4,camiseta
0A49E761,u117401_10_00,c000101,0,camiseta
0A666D72,u117401_10_00,c000101,0,camiseta
0A7EA345,u117402_10_00,c000101,1,camiseta
0A8916AC,u070101_10_00,c000101,0,camiseta
0AA5CEE8,u117405_10_00,c000301,4,respaldo_equipo
0AA613F2,u041903_10_00,c000201,2,camiseta
0AAB7861,u11020010,c000101,0,propia
0AAD44E9,u020407_10_00,c000401,6,camiseta
0AC335A9,u111102_10_00,c000101,1,camiseta
0AD1D9D3,u117403_10_00,c000201,2,camiseta
0AD3BADD,u117406_10_00,c000401,5,camiseta
0AEE6354,u117407_10_00,c000401,6,camiseta
0AEEEC19,u060406_10_00,c000401,5,camiseta
0AF3C118,u032206_10_00,c000401,5,camiseta
0AF4AD57,u115101_10_00,c000101,0,camiseta
0AFA30D1,u111402_10_00,c000101,1,camiseta
0AFD9C50,u081006_10_00,c000401,5,camiseta
0B015F9E,u111102_10_00,c000101,1,camiseta
0B11D0EA,u117407_10_00,c000401,6,camiseta
0B133CA9,u040701_10_00,c000101,0,camiseta
0B13B3E4,u117405_10_00,c000301,4,camiseta
0B186BB2,u020302_10_00,c000101,1,camiseta
0B2C0963,u117405_10_00,c000301,4,camiseta
0B2C862E,u060405_10_00,c000301,4,camiseta
0B31AB2F,u032201_10_00,c000101,0,camiseta
0B64F688,u031501_10_00,c000101,0,camiseta
0B6F2EDE,u020403_10_00,c000201,2,camiseta
0B79DB89,u117401_10_00,c000101,0,camiseta
0B823DB1,u117701_10_00,c000101,0,camiseta
0B8A439A,u020201_10_00,c000101,0,camiseta
0B8B8D56,u117401_10_00,c000101,0,camiseta
0BA40745,u117404_10_00,c000201,3,camiseta
0BBCC972,u117405_10_00,c000301,4,camiseta
0BC8AAEB,u117401_10_00,c000101,0,camiseta
0BE4EA7A,u115107_10_00,c000401,6,camiseta
0BFE2479,u117405_10_00,c000301,4,camiseta
0C08F742,u11110510,c000301,4,propia
0C0F47D7,u117401_10_00,c000101,0,camiseta
0C11C36E,u021206_10_00,c000401,5,camiseta
0C187836,u117402_10_00,c000101,1,camiseta
0C1A9475,u041001_10_00,c000101,0,camiseta
0C252EF2,u060701_10_00,c000101,0,camiseta
0C25A1BF,u117407_10_00,c000401,6,camiseta
0C33DBA5,u117402_10_00,c000101,1,camiseta
0C482AD0,u115101_10_00,c000101,0,camiseta
0C534D5F,u115101_10_00,c000101,0,camiseta
0C5F760B,u051601_10_00,c000101,0,camiseta
0C668602,u020102_10_00,c000101,1,camiseta
0C6DD119,u041701_10_00,c000101,0,camiseta
0C70FC18,u010501_10_00,c000101,0,camiseta
0C816045,u115104_10_00,c000201,3,camiseta
0C82258A,u117405_10_00,c000301,4,camiseta
0C885142,u081201_10_00,c000101,0,camiseta
0CADAF99,u117403_10_00,c000201,2,camiseta
0CB561AE,u117401_10_00,c000101,0,camiseta
0CBFFC03,u117403_10_00,c000201,2,camiseta
0CC10237,u117403_10_00,c000201,2,camiseta
0CEAA1A4,u117406_10_00,c000401,5,camiseta
0CEAB098,u061705_10_00,c000301,4,camiseta
0CF78CA5,u117401_10_00,c000101,0,camiseta
0CFCDBBE,u070301_10_00,c000101,0,camiseta
0D036800,u117407_10_00,c000401,6,camiseta
0D07B4F1,u070506_10_00,c000401,5,camiseta
0D08B056,u030801_10_00,c000101,0,camiseta
0D176028,u040101_10_00,c000101,0,camiseta
0D28CB93,u117406_10_00,c000401,5,camiseta
0D35E692,u117407_10_00,c000401,6,camiseta
0D38CB66,u080101_10_00,c000101,0,camiseta
0D404FBD,u117403_10_00,c000201,2,camiseta
0D4C419A,u071001_10_00,c000101,0,camiseta
0D586DFD,u115101_10_00,c000101,1,camiseta
0D6FC5AE,u117407_10_00,c000401,6,camiseta
0D74928C,u111307_10_00,c000401,6,camiseta
0D770B99,u117407_10_00,c000401,6,camiseta
0D7D9634,u117402_10_00,c000101,1,camiseta
0D8D3EEA,u021201_10_00,c000101,0,camiseta
0D912768,u115105_10_00,c000301,4,camiseta
0D9D1C3C,u051602_10_00,c000101,1,camiseta
0DA4EC35,u020105_10_00,c000301,4,camiseta
0DAFBB2E,u041705_10_00,c000301,4,camiseta
0DB2962F,u010501_10_00,c000101,0,camiseta
0DC0BF38,u117401_10_00,c000101,0,camiseta
0DCD2DE0,u117407_10_00,c000401,6,camiseta
0DD8710F,u117406_10_00,c000401,5,camiseta
0DDA1201,u117407_10_00,c000401,6,camiseta
0DE744C5,u060705_10_00,c000301,4,camiseta
0DE7CB88,u117401_10_00,c000101,0,camiseta
0DF1B192,u117402_10_00,c000101,1,camiseta
0E0C78CA,u115101_10_00,c000101,0,camiseta
0E20385B,u020207_10_00,c000401,6,camiseta
0E2B6F40,u041806_10_00,c000401,5,camiseta
0E5CA561,u117402_10_00,c000101,1,camiseta
0E5EC66F,u117406_10_00,c000401,5,camiseta
0E631FE6,u117401_10_00,c000101,0,camiseta
0E6390AB,u060805_10_00,c000301,4,camiseta
0E7CDEA4,u117402_10_00,c000101,1,camiseta
0E87BC6E,u117405_10_00,c000301,4,camiseta
0E8C6438,u030701_10_00,c000101,0,camiseta
0E914939,u061301_10_00,c000101,0,camiseta
0EAEF3BE,u040301_10_00,c000101,0,camiseta
0EB132FC,u117407_10_00,c000401,6,camiseta
0EBBE824,u071605_10_00,c000301,4,camiseta
0EC49BD3,u117403_10_00,c000201,2,camiseta
0EC8CE59,u110601_10_00,c000101,0,camiseta
0ECF62D8,u080202_10_00,c000101,1,camiseta
0ED9399F,u117401_10_00,c000101,0,camiseta
0EDEBDDD,u050201_10_00,c000101,0,camiseta
0EEB11C0,u117405_10_00,c000301,4,camiseta
0EF3DFF7,u117401_10_00,c000101,0,camiseta
0EF9425A,u045301_10_00,c000101,0,camiseta
0F06F1E4,u117401_10_00,c000101,0,camiseta
0F0A76D4,u021005_10_00,c000301,4,camiseta
0F0AA46E,u110607_10_00,c000401,6,camiseta
0F1B53A8,u117401_10_00,c000101,0,camiseta
0F1C3FE7,u115101_10_00,c000101,0,camiseta
0F2340F6,u117407_10_00,c000401,6,respaldo_equipo
0F297BF7,u117401_10_00,c000101,0,camiseta
0F31B5C0,u117401_10_00,c000101,0,camiseta
0F3B286D,u042206_20_00,c000401,5,camiseta
0F40876B,u071703_10_00,c000201,2,camiseta
0F45D659,u117403_10_00,c000201,2,camiseta
0F638428,u115101_10_00,c000101,0,camiseta
0F7358CB,u117401_10_00,c000101,0,camiseta
0F9CAC58,u117401_10_00,c000101,0,camiseta
0F9E401B,u041203_10_00,c000201,2,camiseta
0F9ECF56,u117403_10_00,c000201,2,camiseta
0FA175D1,u117406_10_00,c000401,5,camiseta
0FA1FA9C,u060805_10_00,c000301,4,camiseta
0FBEB493,u117405_10_00,c000301,4,camiseta
0FC97613,u041208_10_00,c000301,7,respaldo_equipo
0FE2526C,u020206_10_00,c000401,5,camiseta
0FE90577,u041801_10_00,c000101,0,camiseta
1032A1C6,u020506_10_00,c000401,5,camiseta
1039F6DD,u042001_10_00,c000101,0,camiseta
104C5FF2,u117407_10_00,c000401,6,camiseta
104E3CFC,u117401_10_00,c000101,0,camiseta
105AF1C4,u080503_10_00,c000201,2,camiseta
105C479C,u020205_10_00,c000301,4,camiseta
105D5D45,u115203_10_00,c000201,2,camiseta
105DB7FF,u070205_10_00,c000301,4,camiseta
105E0C68,u050956_10_00,c000401,5,portero
1071867B,u117403_10_00,c000201,2,camiseta
107D014B,u11907070,c000101,1,propia
10835FE9,u117401_10_00,c000101,0,camiseta
10895DAB,u010103_10_00,c000201,2,respaldo_generico
108BBDA0,u050701_10_00,c000101,0,respaldo_equipo
109525F3,u117402_10_00,c000101,1,camiseta
109EFDA5,u030901_10_00,c000101,0,camiseta
10A0EEAE,u115101_10_00,c000101,0,camiseta
10A3AB61,u117405_10_00,c000301,4,camiseta
10ACD5FA,u050701_10_00,c000101,0,camiseta
10CB2F4F,u040605_10_00,c000301,4,camiseta
10D6024E,u117406_10_00,c000401,5,camiseta
10E1466A,u117403_10_00,c000201,2,camiseta
10F9885D,u117403_10_00,c000201,2,camiseta
11021263,u021406_10_00,c000401,5,camiseta
11094578,u040605_10_00,c000301,4,camiseta
11146879,u117403_10_00,c000201,2,camiseta
11232C5D,u117405_10_00,c000301,4,camiseta
113BE26A,u117402_10_00,c000101,1,camiseta
114135DE,u117406_10_00,c000401,5,camiseta
114F13CA,u11020010,c000101,0,propia
11574FC4,u117402_10_00,c000101,1,camiseta
115B612B,u010101_10_00,,,respaldo_generico
115C9792,u030901_10_00,c000101,0,camiseta
1161C156,u117401_10_00,c000101,0,camiseta
1162E3D9,u021207_10_00,c000401,6,camiseta
116A7283,u010102_10_00,c000101,1,respaldo_generico
116D343D,u010101_10_00,c000101,0,camiseta
11878E9D,u020703_10_00,c000201,2,camiseta
118C56CB,u117402_10_00,c000101,1,camiseta
118CD986,u040805_10_00,c000301,4,camiseta
118E35C5,u117406_10_00,c000401,5,camiseta
119C665F,u050905_10_00,c000301,4,camiseta
119E2DAB,u020207_10_00,c000401,6,camiseta
119F3772,u115105_10_00,c000301,4,camiseta
11A6320A,u115106_10_00,c000401,5,camiseta
11B0A983,u115105_10_00,c000301,4,camiseta
11B36301,u060605_10_00,c000301,4,camiseta
11B3EC4C,u117401_10_00,c000101,0,camiseta
11CF124C,u117201_10_00,c000101,0,camiseta
11D40EAE,u020201_10_00,c000101,0,camiseta
11F0CBF1,u020501_10_00,c000101,0,camiseta
11FB13A7,u031607_10_00,c000401,6,camiseta
12035AF3,u020301_10_00,c000101,0,camiseta
12080DE8,u040705_10_00,c000301,4,camiseta
120882A5,u117402_10_00,c000101,1,camiseta
120AE1AB,u117402_10_00,c000101,1,camiseta
121A6EDF,u111102_10_00,c000101,1,camiseta
122A9A6E,u032205_10_00,c000301,4,camiseta
12373822,u117405_10_00,c000301,4,camiseta
1237B76F,u060406_10_00,c000401,5,camiseta
1262EAC8,u117402_10_00,c000101,1,camiseta
12741F9F,u020407_10_00,c000401,6,camiseta
127FC7C9,u031505_10_00,c000301,4,camiseta
128CE95A,u050701_10_00,c000101,0,respaldo_equipo
1290BC17,u117403_10_00,c000201,2,camiseta
129DCFA7,u070105_10_00,c000301,4,camiseta
12A7F833,u117401_10_00,c000101,0,camiseta
12B74634,u011001_10_00,c000101,0,camiseta
12BF3604,u117403_10_00,c000201,2,camiseta
12CB22C3,u117701_10_00,c000101,0,camiseta
12D010F2,u042005_10_00,c000301,4,respaldo_equipo
12D843FC,u031101_10_00,c000101,0,camiseta
12DDC06A,u051201_10_00,c000101,0,respaldo_equipo
12E51538,u117401_10_00,c000101,0,camiseta
12FFDB3B,u115107_10_00,c000401,6,camiseta
1311F19D,u117401_10_00,c000101,0,camiseta
131A29CB,u031103_10_00,c000201,2,camiseta
13277F0F,u117405_10_00,c000301,4,camiseta
1348F02E,u050102_10_00,c000101,1,camiseta
1352D620,u117406_10_00,c000401,5,camiseta
13659204,u117401_10_00,c000101,0,camiseta
1376EEC9,u030101_10_00,c000101,0,camiseta
137D5C33,u117402_10_00,c000101,1,camiseta
139227ED,u070152_10_00,c000101,1,portero
13B675A8,u020405_10_00,c000301,4,camiseta
13BD22B3,u041901_10_00,c000101,0,camiseta
13BE3226,u11600010,c000101,0,propia
13C88B9C,u117401_10_00,c000101,0,camiseta
13CAE892,u117403_10_00,c000201,2,camiseta
13E10190,u111403_10_00,c000201,2,camiseta
13E6AD11,u081005_10_00,c000301,4,camiseta
13EF9C16,u115105_10_00,c000301,4,camiseta
13F55215,u117401_10_00,c000101,0,camiseta
140C5169,u040101_10_00,c000101,0,camiseta
14138117,u030801_10_00,c000101,0,camiseta
14185941,u117402_10_00,c000101,1,camiseta
141C85B0,u070501_10_00,c000101,0,camiseta
142580C8,u070305_10_00,c000301,4,camiseta
142ED7D3,u117401_10_00,c000101,0,camiseta
1433FAD2,u117405_10_00,c000301,4,camiseta
14435CBC,u115101_10_00,c000101,1,camiseta
14510A34,u081206_10_00,c000401,5,camiseta
14583B33,u115101_10_00,c000101,1,camiseta
145B7EFC,u117403_10_00,c000201,2,camiseta
1466A775,u117402_10_00,c000101,1,camiseta
146C3AD8,u117401_10_00,c000101,0,camiseta
146FA3CD,u111305_10_00,c000301,4,camiseta
1474F4EF,u117406_10_00,c000401,5,camiseta
147A59C4,u115105_10_00,c000301,4,camiseta
14862D7D,u051604_10_00,c000201,3,camiseta
148A1629,u115104_10_00,c000201,3,camiseta
14A9A76E,u010551_10_00,c000101,0,portero
14B48A6F,u041705_10_00,c000301,4,camiseta
14BFDD74,u020106_10_00,c000401,5,camiseta
14C12340,u117401_10_00,c000101,0,camiseta
14C2504D,u050701_10_00,c000101,0,respaldo_equipo
14C3404E,u117403_10_00,c000201,2,camiseta
14D61CA1,u117405_10_00,c000301,4,camiseta
14DB8E79,u117403_10_00,c000201,2,camiseta
14EA80D3,u117402_10_00,c000101,1,camiseta
14FCFAC9,u117405_10_00,c000301,4,camiseta
1501A534,u041001_10_00,c000101,0,camiseta
15034977,u117401_10_00,c000101,0,camiseta
150AF22F,u021201_10_00,c000101,0,camiseta
1513C603,u11110500,c000301,4,propia
15147696,u117401_10_00,c000101,0,camiseta
1519E44E,u117401_10_00,c000101,0,camiseta
1528EAE4,u117402_10_00,c000101,1,camiseta
153E1FB3,u060701_10_00,c000101,0,camiseta
153E90FE,u117401_10_00,c000101,0,camiseta
1544474A,u051602_10_00,c000101,1,camiseta
15531B91,u115101_10_00,c000101,0,camiseta
156931B1,u020851_10_00,c000101,0,portero
156BCD59,u010501_10_00,c000101,0,camiseta
1576E058,u041705_10_00,c000301,4,camiseta
157DB743,u020105_10_00,c000301,4,camiseta
158B5ACD,u117407_10_00,c000401,6,respaldo_equipo
15936003,u081205_10_00,c000301,4,camiseta
159914CB,u117406_10_00,c000401,5,camiseta
159A5104,u115105_10_00,c000301,4,camiseta
15A4CD42,u117403_10_00,c000201,2,camiseta
15A6E6DA,u117701_10_00,c000101,0,camiseta
15AE50EF,u117401_10_00,c000101,0,camiseta
15B69ED8,u117407_10_00,c000401,6,camiseta
15D1EB20,u030801_10_00,c000101,0,camiseta
15DA3376,u117403_10_00,c000201,2,camiseta
15E7EAFF,u070306_10_00,c000401,5,camiseta
15ECBDE4,u117405_10_00,c000301,4,camiseta
15F03954,u020201_10_00,c000101,0,camiseta
15F190E5,u117402_10_00,c000101,1,camiseta
160062E9,u117407_10_00,c000401,6,camiseta
16070EA6,u115101_10_00,c000101,0,camiseta
16114795,u021006_10_00,c000401,5,camiseta
1611952F,u110605_10_00,c000301,4,camiseta
161DC0A5,u117403_10_00,c000201,2,camiseta
