# Lo que suma cada objeto a los siete stats.
# id = los 4 bytes tal y como aparecen en la partida.
# Lo genera herramientas/construir_stats.py.
id,categoria,potencia,control,tecnica,presion,fisico,agilidad,inteligencia
90086E11,equipo-1-botas,0,0,0,12,0,10,0
AD4F321A,equipo-1-botas,0,13,13,0,0,0,0
9A25F01B,equipo-1-botas,13,13,0,0,0,0,0
47135FAD,equipo-1-botas,12,0,12,0,0,0,0
1EAD19AF,equipo-1-botas,23,22,0,0,0,0,0
29C7DBAE,equipo-1-botas,0,0,0,17,0,18,0
ACD194AB,equipo-1-botas,0,0,0,0,18,18,0
9BBB56AA,equipo-1-botas,21,23,0,0,0,0,0
C20510A8,equipo-1-botas,0,0,0,0,20,0,21
722C7095,equipo-1-botas,2,5,0,0,0,0,0
799F482E,equipo-1-botas,0,0,0,2,0,5,0
4EF58A2F,equipo-1-botas,15,12,0,0,0,0,0
174BCC2D,equipo-1-botas,0,0,0,10,15,0,0
20210E2C,equipo-1-botas,0,0,0,12,0,0,10
1D665227,equipo-1-botas,0,0,0,20,0,18,0
2A0C9026,equipo-1-botas,20,25,0,0,0,0,0
C050FD91,equipo-1-botas,0,0,22,0,0,0,18
F73A3F90,equipo-1-botas,0,0,0,0,21,0,23
AE847992,equipo-1-botas,0,0,0,0,5,0,4
4546B294,equipo-1-botas,0,12,10,0,0,0,0
1A7495A8,equipo-1-botas,0,0,0,5,0,4,0
2D1E57A9,equipo-1-botas,0,2,6,0,0,0,0
A80818AC,equipo-1-botas,0,0,0,0,5,0,3
9F62DAAD,equipo-1-botas,0,0,0,4,4,0,0
C6DC9CAF,equipo-1-botas,0,0,14,13,0,0,0
F1B65EAE,equipo-1-botas,16,0,12,0,0,0,0
CCF102A5,equipo-1-botas,0,0,0,0,15,10,0
FB9BC0A4,equipo-1-botas,0,0,23,0,20,0,0
11C7AD13,equipo-1-botas,0,21,0,22,0,0,0
26AD6F12,equipo-1-botas,0,0,0,18,0,0,25
7F132910,equipo-1-botas,32,25,0,0,0,0,0
4879EB11,equipo-1-botas,0,0,0,0,10,0,18
CD6FA414,equipo-1-botas,0,34,24,0,0,0,0
FA056615,equipo-1-botas,0,0,0,12,16,0,0
384ABE4D,equipo-1-botas,4,3,0,0,0,0,0
61F4F84F,equipo-1-botas,5,2,0,0,0,0,0
977B9F6C,equipo-1-botas,3,4,0,0,0,0,0
D388754B,equipo-1-botas,0,4,3,0,0,0,0
E4E2B74A,equipo-1-botas,0,3,4,0,0,0,0
BD5CF148,equipo-1-botas,0,0,0,0,3,4,0
8A363349,equipo-1-botas,0,0,0,3,0,4,0
7CB9546A,equipo-1-botas,3,0,4,0,0,0,0
9CC8A7D7,equipo-1-botas,0,0,4,0,0,4,0
6A47C0F4,equipo-1-botas,0,0,0,4,3,0,0
5D2D02F5,equipo-1-botas,0,0,3,0,0,4,0
049344F7,equipo-1-botas,0,0,3,4,0,0,0
2F2A8C62,equipo-1-botas,0,0,3,0,3,0,0
ABA265D6,equipo-1-botas,0,0,0,4,0,4,0
81850BF2,equipo-1-botas,0,0,0,0,3,0,4
D83B4DF0,equipo-1-botas,0,0,0,3,0,0,4
EF518FF1,equipo-1-botas,0,0,0,0,3,0,4
D216D3FA,equipo-1-botas,0,0,0,3,3,0,0
36215A1A,equipo-1-botas,0,0,0,0,5,0,2
19DEE8D2,equipo-1-botas,0,0,0,0,5,0,2
B382B7E7,equipo-1-botas,6,5,0,0,0,0,0
EA3CF1E5,equipo-1-botas,7,4,0,0,0,0,0
DD5633E4,equipo-1-botas,7,4,0,0,0,0,0
126DD069,equipo-1-botas,9,2,0,0,0,0,0
6F2ABEE0,equipo-1-botas,0,5,6,0,0,0,0
3694F8E2,equipo-1-botas,0,0,0,0,5,6,0
01FE3AE3,equipo-1-botas,0,0,0,5,0,6,0
3CB966E8,equipo-1-botas,5,0,6,0,0,0,0
F9AF1B6F,equipo-1-botas,5,5,0,0,0,0,0
E18FC95E,equipo-1-botas,0,0,0,6,5,0,0
D6E50B5F,equipo-1-botas,0,0,5,0,0,6,0
8F5B4D5D,equipo-1-botas,0,0,0,8,3,0,0
B8318F5C,equipo-1-botas,0,0,7,0,0,4,0
3D27C059,equipo-1-botas,0,0,3,0,0,8,0
0A4D0258,equipo-1-botas,0,0,0,0,5,0,6
53F3445A,equipo-1-botas,0,0,0,5,0,0,6
6499865B,equipo-1-botas,0,0,0,0,8,0,3
59DEDA50,equipo-1-botas,0,0,0,0,2,0,9
4BD3966B,equipo-1-botas,0,0,0,5,0,0,6
C576E1D5,equipo-1-botas,0,0,0,3,0,0,8
6FDDDCC2,equipo-1-botas,9,8,0,0,0,0,0
36639AC0,equipo-1-botas,11,6,0,0,0,0,0
010958C1,equipo-1-botas,7,10,0,0,0,0,0
841F17C4,equipo-1-botas,14,4,0,0,0,0,0
B375D5C5,equipo-1-botas,5,12,0,0,0,0,0
F21C23D4,equipo-1-botas,16,2,0,0,0,0,0
DDA151C6,equipo-1-botas,0,8,9,0,0,0,0
E0E60DCD,equipo-1-botas,0,0,0,0,8,9,0
D78CCFCC,equipo-1-botas,0,0,0,8,0,9,0
3DD0A27B,equipo-1-botas,0,0,0,9,8,0,0
0ABA607A,equipo-1-botas,0,0,8,0,0,9,0
53042678,equipo-1-botas,0,0,0,14,4,0,0
646EE479,equipo-1-botas,0,0,12,0,0,5,0
25071268,equipo-1-botas,0,0,0,5,12,0,0
18404E63,equipo-1-botas,0,0,4,0,0,14,0
8FAC2F7F,equipo-1-botas,0,0,0,14,12,0,0
B8C6ED7E,equipo-1-botas,0,0,0,0,8,0,9
8581B175,equipo-1-botas,0,0,0,8,0,0,9
B2EB7374,equipo-1-botas,0,0,0,0,10,0,7
D37F1769,equipo-1-botas,15,11,0,0,0,0,0
E415D568,equipo-1-botas,35,35,0,0,0,0,0
CEC5D96E,equipo-1-botas,17,8,0,0,0,0,0
8AC1516B,equipo-1-botas,0,0,0,0,12,14,0
2EB42AD3,equipo-1-botas,0,0,0,12,0,14,0
38BDDC6F,equipo-1-botas,0,0,8,0,0,0,8
61039A6D,equipo-1-botas,0,0,12,0,0,14,0
5669586C,equipo-1-botas,0,0,0,0,12,0,14
6B2E0467,equipo-1-botas,0,0,0,12,0,0,14
770A6CD1,equipo-1-botas,0,0,7,0,0,0,9
4060AED0,equipo-1-botas,0,0,0,0,9,0,9
7D27F2DB,equipo-1-botas,0,9,9,0,0,0,0
4A4D30DA,equipo-1-botas,12,4,0,0,0,0,0
1CB396C6,equipo-1-botas,0,0,0,35,0,30,0
450DD0C4,equipo-1-botas,30,0,35,0,0,0,0
726712C5,equipo-1-botas,0,0,25,0,0,35,0
C01B9FC1,equipo-1-botas,35,25,0,0,0,0,0
A4E285C8,equipo-1-botas,0,0,38,0,0,27,0
4EBEE87F,equipo-1-botas,0,29,36,0,0,0,0
79D42A7E,equipo-1-botas,0,0,0,28,37,0,0
206A6C7C,equipo-1-botas,0,0,0,0,31,0,34
F1D86143,equipo-2-brazalete,4,3,0,0,0,0,0
A8662741,equipo-2-brazalete,5,5,0,0,0,0,0
9F0CE540,equipo-2-brazalete,5,2,0,0,0,0,0
1A1AAA45,equipo-2-brazalete,4,5,0,0,0,0,0
2D706844,equipo-2-brazalete,3,4,0,0,0,0,0
74CE2E46,equipo-2-brazalete,6,5,0,0,0,0,0
43A4EC47,equipo-2-brazalete,0,5,5,0,0,0,0
7EE3B04C,equipo-2-brazalete,5,0,4,0,0,0,0
4989724D,equipo-2-brazalete,0,3,4,0,0,0,0
A3D51FFA,equipo-2-brazalete,0,0,0,0,3,4,0
94BFDDFB,equipo-2-brazalete,0,0,0,3,0,4,0
CD019BF9,equipo-2-brazalete,0,0,0,0,4,6,0
FA6B59F8,equipo-2-brazalete,0,0,0,5,0,4,0
7F7D16FD,equipo-2-brazalete,0,0,0,4,3,0,0
4817D4FC,equipo-2-brazalete,0,0,5,0,0,5,0
11A992FE,equipo-2-brazalete,0,0,4,0,0,0,4
26C350FF,equipo-2-brazalete,0,0,0,0,0,6,4
1B840CF4,equipo-2-brazalete,0,0,0,6,4,0,0
2CEECEF5,equipo-2-brazalete,0,0,3,0,0,4,0
4D7AAAE8,equipo-2-brazalete,0,0,0,0,5,0,5
7A1068E9,equipo-2-brazalete,0,0,0,5,0,0,4
23AE2EEB,equipo-2-brazalete,0,0,0,0,3,0,4
14C4ECEA,equipo-2-brazalete,0,0,0,3,0,0,4
91D2A3EF,equipo-2-brazalete,0,0,0,0,5,0,6
A6B861EE,equipo-2-brazalete,6,5,0,0,0,0,0
FF0627EC,equipo-2-brazalete,7,4,0,0,0,0,0
C86CE5ED,equipo-2-brazalete,5,6,0,0,0,0,0
F52BB9E6,equipo-2-brazalete,13,13,0,0,0,0,0
C2417BE7,equipo-2-brazalete,12,13,0,0,0,0,0
281D1650,equipo-2-brazalete,14,13,0,0,0,0,0
1F77D451,equipo-2-brazalete,12,14,0,0,0,0,0
46C99253,equipo-2-brazalete,0,13,13,0,0,0,0
71A35052,equipo-2-brazalete,0,5,6,0,0,0,0
F4B51F57,equipo-2-brazalete,0,0,0,0,5,6,0
C3DFDD56,equipo-2-brazalete,12,0,12,0,0,0,0
9A619B54,equipo-2-brazalete,0,0,0,5,0,6,0
AD0B5955,equipo-2-brazalete,0,0,0,0,10,13,0
904C055E,equipo-2-brazalete,0,0,0,6,5,0,0
A726C75F,equipo-2-brazalete,0,0,5,0,0,6,0
9125C1CD,equipo-2-brazalete,0,0,0,8,3,0,0
A64F03CC,equipo-2-brazalete,0,0,3,0,0,8,0
FFF145CE,equipo-2-brazalete,0,0,11,0,0,13,0
C89B87CF,equipo-2-brazalete,0,0,10,0,0,0,10
4D8DC8CA,equipo-2-brazalete,0,0,0,0,0,14,10
7AE70ACB,equipo-2-brazalete,0,0,0,0,12,0,12
23594CC9,equipo-2-brazalete,0,0,0,0,5,0,6
14338EC8,equipo-2-brazalete,0,0,0,12,0,0,11
2974D2C3,equipo-2-brazalete,0,0,0,0,12,0,13
1E1E10C2,equipo-2-brazalete,0,0,0,5,0,0,6
F4427D75,equipo-2-brazalete,22,22,0,0,0,0,0
C328BF74,equipo-2-brazalete,9,8,0,0,0,0,0
9A96F976,equipo-2-brazalete,11,6,0,0,0,0,0
ADFC3B77,equipo-2-brazalete,21,22,0,0,0,0,0
28EA7472,equipo-2-brazalete,7,10,0,0,0,0,0
1F80B673,equipo-2-brazalete,0,8,9,0,0,0,0
463EF071,equipo-2-brazalete,0,0,0,0,8,9,0
71543270,equipo-2-brazalete,0,22,21,0,0,0,0
4C136E7B,equipo-2-brazalete,20,0,20,0,0,0,0
7B79AC7A,equipo-2-brazalete,0,0,0,8,0,9,0
1AEDC867,equipo-2-brazalete,0,0,0,0,17,20,0
2D870A66,equipo-2-brazalete,0,0,0,18,0,18,0
74394C64,equipo-2-brazalete,9,0,9,0,0,0,0
43538E65,equipo-2-brazalete,0,0,0,9,8,0,0
C645C160,equipo-2-brazalete,0,0,8,0,0,9,0
F12F0361,equipo-2-brazalete,0,0,18,0,0,22,0
A8914563,equipo-2-brazalete,0,0,17,0,0,0,17
9FFB8762,equipo-2-brazalete,0,0,8,0,0,0,8
A2BCDB69,equipo-2-brazalete,0,0,0,0,8,0,9
95D61968,equipo-2-brazalete,0,0,0,0,20,0,21
7F8A74DF,equipo-2-brazalete,0,0,0,19,0,0,20
48E0B6DE,equipo-2-brazalete,13,11,0,0,0,0,0
115EF0DC,equipo-2-brazalete,30,29,0,0,0,0,0
263432DD,equipo-2-brazalete,0,10,10,0,0,0,0
A3227DD8,equipo-2-brazalete,0,29,29,0,0,0,0
9448BFD9,equipo-2-brazalete,0,12,14,0,0,0,0
CDF6F9DB,equipo-2-brazalete,26,0,28,0,0,0,0
FA9C3BDA,equipo-2-brazalete,0,0,24,0,0,29,0
C7DB67D1,equipo-2-brazalete,0,0,23,0,0,0,23
F0B1A5D0,equipo-2-brazalete,0,0,0,0,12,0,14
299A1787,equipo-2-brazalete,0,0,0,0,35,0,35
1EF0D586,equipo-2-brazalete,0,0,0,25,25,25,0
2D379534,equipo-3-colgante,4,3,0,0,0,0,0
7489D336,equipo-3-colgante,4,6,0,0,0,0,0
43E31137,equipo-3-colgante,5,2,0,0,0,0,0
C6F55E32,equipo-3-colgante,6,4,0,0,0,0,0
F19F9C33,equipo-3-colgante,5,5,0,0,0,0,0
A821DA31,equipo-3-colgante,3,4,0,0,0,0,0
9F4B1830,equipo-3-colgante,0,4,6,0,0,0,0
A20C443B,equipo-3-colgante,5,0,5,0,0,0,0
9566863A,equipo-3-colgante,0,3,4,0,0,0,0
7F3AEB8D,equipo-3-colgante,0,0,0,0,3,4,0
4850298C,equipo-3-colgante,0,0,0,0,4,4,0
11EE6F8E,equipo-3-colgante,0,0,0,4,0,6,0
2684AD8F,equipo-3-colgante,0,0,0,3,0,4,0
A392E28A,equipo-3-colgante,0,0,6,0,0,4,0
94F8208B,equipo-3-colgante,0,0,0,4,3,0,0
CD466689,equipo-3-colgante,0,0,5,0,0,0,4
FA2CA488,equipo-3-colgante,0,0,3,0,0,4,0
C76BF883,equipo-3-colgante,0,0,0,0,0,4,4
F0013A82,equipo-3-colgante,0,0,0,6,0,0,4
91955E9F,equipo-3-colgante,0,0,0,0,3,0,4
A6FF9C9E,equipo-3-colgante,0,0,0,3,0,0,4
FF41DA9C,equipo-3-colgante,0,0,0,0,4,0,6
C82B189D,equipo-3-colgante,0,0,0,5,0,0,5
4D3D5798,equipo-3-colgante,14,12,0,0,0,0,0
7A579599,equipo-3-colgante,13,13,0,0,0,0,0
23E9D39B,equipo-3-colgante,12,13,0,0,0,0,0
1483119A,equipo-3-colgante,6,5,0,0,0,0,0
29C44D91,equipo-3-colgante,7,4,0,0,0,0,0
1EAE8F90,equipo-3-colgante,5,6,0,0,0,0,0
F4F2E227,equipo-3-colgante,9,2,0,0,0,0,0
C3982026,equipo-3-colgante,0,5,6,0,0,0,0
9A266624,equipo-3-colgante,0,0,0,0,5,6,0
AD4CA425,equipo-3-colgante,0,0,0,12,0,11,0
285AEB20,equipo-3-colgante,0,12,14,0,0,0,0
1F302921,equipo-3-colgante,12,0,13,0,0,0,0
468E6F23,equipo-3-colgante,0,0,0,5,0,6,0
71E4AD22,equipo-3-colgante,0,0,0,13,11,0,0
4CA3F129,equipo-3-colgante,0,0,12,0,0,12,0
7BC93328,equipo-3-colgante,0,0,11,0,0,0,10
4DCA35BA,equipo-3-colgante,0,0,0,6,5,0,0
7AA0F7BB,equipo-3-colgante,0,0,5,0,0,6,0
231EB1B9,equipo-3-colgante,0,0,3,0,0,8,0
147473B8,equipo-3-colgante,0,0,0,13,0,0,11
91623CBD,equipo-3-colgante,0,0,0,0,5,0,6
A608FEBC,equipo-3-colgante,0,0,0,5,0,0,6
FFB6B8BE,equipo-3-colgante,0,0,0,0,11,0,13
C8DC7ABF,equipo-3-colgante,23,22,0,0,0,0,0
F59B26B4,equipo-3-colgante,30,40,0,0,0,0,0
C2F1E4B5,equipo-3-colgante,23,21,0,0,0,0,0
28AD8902,equipo-3-colgante,9,8,0,0,0,0,0
1FC74B03,equipo-3-colgante,11,6,0,0,0,0,0
46790D01,equipo-3-colgante,7,10,0,0,0,0,0
7113CF00,equipo-3-colgante,22,22,0,0,0,0,0
F4058005,equipo-3-colgante,0,8,9,0,0,0,0
C36F4204,equipo-3-colgante,0,0,0,0,8,9,0
9AD10406,equipo-3-colgante,0,0,0,8,0,9,0
ADBBC607,equipo-3-colgante,0,21,22,0,0,0,0
90FC9A0C,equipo-3-colgante,20,0,21,0,0,0,0
A796580D,equipo-3-colgante,8,0,9,0,0,0,0
C6023C10,equipo-3-colgante,0,0,0,0,17,18,0
F168FE11,equipo-3-colgante,0,0,0,0,0,23,17
A8D6B813,equipo-3-colgante,0,0,0,20,19,0,0
9FBC7A12,equipo-3-colgante,0,0,0,9,8,0,0
1AAA3517,equipo-3-colgante,0,0,8,0,0,9,0
2DC0F716,equipo-3-colgante,0,0,19,0,0,21,0
747EB114,equipo-3-colgante,0,0,0,0,20,0,22
43147315,equipo-3-colgante,0,0,0,20,0,0,20
7E532F1E,equipo-3-colgante,0,0,0,0,8,0,9
4939ED1F,equipo-3-colgante,0,0,0,0,19,0,22
A36580A8,equipo-3-colgante,0,0,0,8,0,0,9
940F42A9,equipo-3-colgante,29,29,0,0,0,0,0
CDB104AB,equipo-3-colgante,15,11,0,0,0,0,0
FADBC6AA,equipo-3-colgante,13,13,0,0,0,0,0
7FCD89AF,equipo-3-colgante,0,0,0,0,30,40,0
48A74BAE,equipo-3-colgante,0,10,10,0,0,0,0
11190DAC,equipo-3-colgante,0,0,0,24,0,25,0
2673CFAD,equipo-3-colgante,0,0,0,0,0,30,23
1B3493A6,equipo-3-colgante,0,0,0,14,12,0,0
2C5E51A7,equipo-3-colgante,0,0,0,26,0,0,27
F575E3F0,equipo-3-colgante,0,0,0,0,27,0,29
C21F21F1,equipo-3-colgante,0,25,25,0,0,25,0
126B9744,equipo-4-especial,4,5,0,0,0,0,0
4BD5D146,equipo-4-especial,4,3,0,0,0,0,0
7CBF1347,equipo-4-especial,5,2,0,0,0,0,0
F9A95C42,equipo-4-especial,3,4,0,0,0,0,0
CEC39E43,equipo-4-especial,6,5,0,0,0,0,0
977DD841,equipo-4-especial,6,1,0,0,0,0,0
A0171A40,equipo-4-especial,0,6,4,0,0,0,0
9D50464B,equipo-4-especial,0,3,4,0,0,0,0
AA3A844A,equipo-4-especial,3,0,4,0,0,0,0
4066E9FD,equipo-4-especial,4,0,6,0,0,0,0
770C2BFC,equipo-4-especial,0,0,0,0,4,5,0
2EB26DFE,equipo-4-especial,0,0,0,4,0,4,0
19D8AFFF,equipo-4-especial,0,0,0,4,3,0,0
9CCEE0FA,equipo-4-especial,0,0,3,0,0,4,0
ABA422FB,equipo-4-especial,0,0,0,5,6,0,0
F21A64F9,equipo-4-especial,0,0,4,0,0,6,0
C570A6F8,equipo-4-especial,0,0,6,0,0,0,3
F837FAF3,equipo-4-especial,0,0,0,4,0,4,0
CF5D38F2,equipo-4-especial,0,0,0,0,3,0,4
AEC95CEF,equipo-4-especial,0,0,0,0,5,0,4
99A39EEE,equipo-4-especial,0,0,0,3,0,0,4
C01DD8EC,equipo-4-especial,0,0,0,5,0,0,6
F7771AED,equipo-4-especial,0,0,0,0,6,0,4
726155E8,equipo-4-especial,14,13,0,0,0,0,0
450B97E9,equipo-4-especial,12,13,0,0,0,0,0
1CB5D1EB,equipo-4-especial,6,5,0,0,0,0,0
2BDF13EA,equipo-4-especial,7,4,0,0,0,0,0
16984FE1,equipo-4-especial,14,12,0,0,0,0,0
21F28DE0,equipo-4-especial,5,6,0,0,0,0,0
CBAEE057,equipo-4-especial,0,0,0,0,10,11,0
FCC42256,equipo-4-especial,0,5,6,0,0,0,0
A57A6454,equipo-4-especial,0,0,0,0,5,6,0
9210A655,equipo-4-especial,0,0,0,11,0,13,0
1706E950,equipo-4-especial,0,14,12,0,0,0,0
206C2B51,equipo-4-especial,0,0,0,5,0,6,0
79D26D53,equipo-4-especial,0,0,0,6,5,0,0
4EB8AF52,equipo-4-especial,0,0,0,0,0,12,10
73FFF359,equipo-4-especial,0,0,5,0,0,6,0
44953158,equipo-4-especial,0,0,0,12,13,0,0
729637CA,equipo-4-especial,0,0,7,0,0,4,0
45FCF5CB,equipo-4-especial,0,0,0,4,7,0,0
1C42B3C9,equipo-4-especial,0,0,0,12,0,0,12
2B2871C8,equipo-4-especial,0,0,0,0,12,0,11
AE3E3ECD,equipo-4-especial,0,0,0,0,5,0,6
9954FCCC,equipo-4-especial,0,0,0,5,0,0,6
C0EABACE,equipo-4-especial,0,0,0,12,0,0,13
F78078CF,equipo-4-especial,0,0,0,0,13,0,11
CAC724C4,equipo-4-especial,0,0,0,0,8,0,3
FDADE6C5,equipo-4-especial,9,8,0,0,0,0,0
17F18B72,equipo-4-especial,11,6,0,0,0,0,0
209B4973,equipo-4-especial,21,22,0,0,0,0,0
79250F71,equipo-4-especial,23,22,0,0,0,0,0
4E4FCD70,equipo-4-especial,21,23,0,0,0,0,0
CB598275,equipo-4-especial,7,10,0,0,0,0,0
FC334074,equipo-4-especial,23,21,0,0,0,0,0
A58D0676,equipo-4-especial,0,8,9,0,0,0,0
92E7C477,equipo-4-especial,0,0,0,17,0,20,0
AFA0987C,equipo-4-especial,0,23,20,0,0,0,0
98CA5A7D,equipo-4-especial,0,0,0,0,8,9,0
F95E3E60,equipo-4-especial,0,0,0,8,0,9,0
CE34FC61,equipo-4-especial,19,0,22,0,0,0,0
978ABA63,equipo-4-especial,0,0,18,0,0,0,17
A0E07862,equipo-4-especial,0,0,0,9,8,0,0
25F63767,equipo-4-especial,0,0,0,0,0,21,17
129CF566,equipo-4-especial,0,0,8,0,0,9,0
4B22B364,equipo-4-especial,0,0,0,0,0,9,8
7C487165,equipo-4-especial,0,0,0,19,21,0,0
410F2D6E,equipo-4-especial,0,0,0,19,0,0,21
7665EF6F,equipo-4-especial,0,0,0,0,8,0,9
9C3982D8,equipo-4-especial,0,0,0,0,20,0,20
