# Con que fila de stats-tabla.csv se busca cada personaje.
# El rango lo trae el personaje de fabrica y no cambia; la
# rareza de la partida entra como multiplicador (NOTAS O-114).
identidad,posicion,posicion_alt,patron,rango
034EBC49,4,3,1,0
0377CEAB,3,4,0,0
038E4D84,4,1,1,0
03A148DA,3,4,0,2
03A33B7F,3,4,0,2
03AA908C,3,2,0,3
03B7BD8D,4,3,0,0
03BCEA96,4,3,1,0
03CB20B7,2,3,1,0
03DE1A70,2,4,1,0
03DE7C58,3,2,1,0
03E0B389,1,3,1,0
03E2E02A,3,4,1,0
03E9387C,2,4,1,0
03EB5B72,1,4,1,0
03F49A30,3,4,1,0
04079A90,2,3,1,2
040F6433,2,3,1,0
040FEB7E,1,3,0,0
043232F7,1,3,1,0
04471495,4,3,1,0
04479BD8,3,4,1,2
04560E75,4,2,1,1
045714AC,2,4,1,0
04646742,4,3,0,1
049E1BAB,4,3,0,3
04A01582,3,2,0,3
04A86F4B,2,4,1,0
04B2A148,3,2,0,0
04D7D484,4,3,1,0
04DADE77,3,4,1,0
04DB53B4,2,3,0,3
04E090A0,4,2,1,0
04E2F3AE,1,3,1,0
04EB48F6,3,4,1,0
04F417C5,2,3,0,4
04FDBDA1,1,4,1,1
0502906E,2,3,1,4
050B3A0A,2,3,1,0
0515BEB3,4,3,0,0
05209999,4,3,0,0
0522FA97,3,4,1,0
05262A85,4,1,0,0
052922C1,3,4,1,0
053FD796,2,3,1,0
055C719C,2,3,0,2
05627FB5,1,3,1,3
056A057C,4,3,1,0
05857EA2,2,3,1,0
0585F1EF,4,2,1,1
05957E9B,4,1,1,0
059DB095,4,3,0,0
05A2E665,4,3,0,0
05ABD762,3,4,1,0
05C5F0A7,1,3,0,1
05CD8149,1,4,1,0
05F058C0,4,3,0,0
05F11D3B,3,4,1,0
05FC0170,4,2,0,5
06012581,1,4,1,3
0601AACC,1,4,1,0
06113DEF,4,3,0,0
06178BB7,3,4,0,0
061964FB,3,4,0,3
061C0880,1,4,0,0
0629224E,2,3,0,0
06338293,2,3,1,0
063FB9C7,2,4,0,0
064124C9,2,3,1,0
06495527,4,3,1,0
065F2F3D,2,3,0,0
06644770,2,3,1,4
0666DF34,1,3,1,0
06748CAE,3,4,1,0
0675C955,2,4,0,0
06864400,2,3,1,4
0686553C,2,3,1,0
06916ADD,3,4,0,0
06A44DF7,1,4,1,0
06A62EF9,3,4,1,0
06ADF6AF,3,2,0,0
06D3089B,2,3,1,0
06E25622,1,2,1,3
06ED94DD,2,4,0,0
06EED112,4,3,1,0
06F6F352,4,3,0,0
07033136,4,3,0,3
072CBB25,2,3,1,0
073A8B76,3,2,0,3
07443F0B,4,3,0,0
075300EA,4,3,1,0
076444CE,2,3,1,0
076627C0,3,4,0,0
076F9C98,4,2,0,0
0782683F,3,4,0,0
07834EFE,2,4,1,1
078B3F10,3,4,1,0
079974DD,4,3,0,1
079D450A,1,3,0,0
07A4B503,2,3,1,1
07B40ADA,3,2,0,1
07B6E699,1,3,1,0
07B7A362,4,3,1,0
07BF5DC1,3,2,1,0
07C34FB6,4,3,0,2
07C3C0FB,3,4,1,0
07D357D8,4,1,1,0
07DB0ECC,2,3,1,3
07DE62B7,3,4,1,0
07EB4879,2,1,1,0
07F1708F,1,4,1,0
07F1E8A4,1,3,1,0
080538F5,2,3,1,3
080F5938,4,2,0,0
08127439,3,4,0,0
08192322,4,3,1,1
0820D32B,2,3,1,0
08381D1C,2,3,0,0
08492FB7,2,4,0,1
0849844E,4,2,0,2
084C7E85,4,1,1,0
085A049F,4,3,1,0
08758E8C,1,3,1,0
0879D298,4,3,1,1
087AF017,2,4,1,0
08840633,3,2,1,1
08851CEA,4,3,1,0
08928562,3,2,0,5
08950484,3,2,1,0
0897678A,3,2,0,0
0897E8C7,4,3,1,0
089CBFDC,2,3,1,1
08A85240,2,3,1,0
08A8DD0D,3,4,1,0
08AB98C2,4,3,0,0
08BD034B,3,1,1,0
08CF3FEF,4,2,1,0
08D4230D,4,3,0,0
08DE01D2,0,0,0,0
08E022E6,4,3,1,0
08EBFAB0,3,2,1,0
08F175C1,4,3,0,3
0922C79C,4,3,1,0
09299087,4,3,1,0
09331FF6,2,3,0,2
0941C085,3,4,1,0
09466C04,3,2,0,1
094776DD,4,3,0,0
09532D9F,3,2,0,4
09550DBD,1,3,1,0
09576EB3,3,1,1,0
0966300A,2,4,1,3
096A3877,1,3,1,0
096AB73A,2,3,0,0
097F697C,3,4,0,1
0985CCE4,3,4,1,2
098AA343,2,3,1,4
098E14B2,4,3,1,0
09986EA8,2,3,1,0
09B7E4BB,2,3,1,1
09B89A20,4,3,1,0
09BBDFEF,3,4,0,0
09C752C2,2,3,1,3
09CD330F,3,4,0,0
09D01E0E,3,4,0,0
09E2B91C,4,3,0,0
09FA772B,3,2,1,0
0A01188A,3,2,0,0
0A0AC0DC,4,3,1,0
0A287FB9,2,3,0,0
0A3C4E4E,3,4,1,0
0A49E761,2,4,1,0
0A666D72,1,4,1,0
0A7EA345,3,4,0,0
0A8916AC,4,3,1,2
0AA5CEE8,4,2,0,1
0AA613F2,4,3,0,1
0AAB7861,2,1,0,5
0AAD44E9,4,3,1,0
0AC335A9,2,4,1,0
0AD1D9D3,3,4,1,0
0AD3BADD,4,3,1,0
0AEE6354,3,4,1,0
0AEEEC19,1,3,1,0
0AF3C118,4,3,1,0
0AF4AD57,3,2,0,0
0AFA30D1,3,2,1,0
0AFD9C50,3,2,0,1
0B015F9E,1,3,1,0
0B11D0EA,3,4,1,0
0B133CA9,3,4,0,0
0B13B3E4,3,4,1,0
0B186BB2,2,3,1,0
0B2C0963,1,4,0,0
0B2C862E,2,3,1,0
0B31AB2F,3,4,1,0
0B64F688,4,3,0,1
0B6F2EDE,3,4,1,0
0B79DB89,2,3,0,1
0B823DB1,1,3,1,0
0B8A439A,2,3,0,3
0B8B8D56,2,3,1,0
0BA40745,2,3,1,0
0BBCC972,4,3,0,0
0BC8AAEB,3,2,1,0
0BE4EA7A,3,2,0,0
0BFE2479,4,3,1,0
0C08F742,4,2,1,0
0C0F47D7,3,2,1,0
0C11C36E,2,3,0,1
0C187836,1,3,1,0
0C1A9475,3,4,1,0
0C252EF2,2,3,1,0
0C25A1BF,3,4,1,0
0C33DBA5,1,4,1,0
0C482AD0,1,4,0,0
0C534D5F,4,3,0,0
0C5F760B,2,3,1,2
0C668602,2,3,1,0
0C6DD119,3,4,0,0
0C70FC18,4,2,1,0
0C816045,1,4,0,0
0C82258A,3,4,1,0
0C885142,4,3,1,0
0CADAF99,2,3,1,0
0CB561AE,2,3,0,0
0CBFFC03,2,3,1,0
0CC10237,3,2,1,0
0CEAA1A4,2,3,1,0
0CEAB098,1,3,1,4
0CF78CA5,4,3,1,0
0CFCDBBE,4,3,1,1
0D036800,2,3,1,0
0D07B4F1,3,4,1,0
0D08B056,3,4,1,0
0D176028,3,2,1,4
0D28CB93,3,4,0,0
0D35E692,3,4,1,0
0D38CB66,3,2,0,4
0D404FBD,2,3,1,0
0D4C419A,2,3,1,4
0D586DFD,3,4,0,0
0D6FC5AE,1,3,0,0
0D74928C,1,4,1,0
0D770B99,3,4,1,0
0D7D9634,2,3,1,0
0D8D3EEA,3,2,1,1
0D912768,4,1,0,0
0D9D1C3C,4,3,0,0
0DA4EC35,4,1,1,0
0DAFBB2E,4,3,0,0
0DB2962F,3,2,0,0
0DC0BF38,2,3,1,0
0DCD2DE0,4,3,0,0
0DD8710F,4,3,1,0
0DDA1201,1,3,1,0
0DE744C5,1,4,1,0
0DE7CB88,3,4,1,0
0DF1B192,4,3,0,0
0E0C78CA,3,4,0,0
0E20385B,3,4,1,0
0E2B6F40,3,2,0,0
0E5CA561,1,4,0,0
0E5EC66F,4,3,0,0
0E631FE6,1,2,0,0
0E6390AB,1,4,1,0
0E7CDEA4,2,3,1,0
0E87BC6E,3,4,1,0
0E8C6438,3,4,0,0
0E914939,2,3,1,2
0EAEF3BE,3,2,1,0
0EB132FC,2,3,0,0
0EBBE824,4,3,0,1
0EC49BD3,2,3,1,0
0EC8CE59,2,3,0,1
0ECF62D8,4,2,1,0
0ED9399F,4,3,0,0
0EDEBDDD,2,3,0,3
0EEB11C0,2,3,1,0
0EF3DFF7,2,3,0,0
0EF9425A,4,3,0,0
0F06F1E4,1,3,1,0
0F0A76D4,4,3,1,0
0F0AA46E,1,3,0,1
0F1B53A8,2,3,1,0
0F1C3FE7,3,4,0,0
0F2340F6,1,4,0,1
0F297BF7,2,3,1,0
0F31B5C0,2,3,1,0
0F3B286D,4,3,0,0
0F40876B,3,2,1,0
0F45D659,1,3,0,0
0F638428,3,4,0,0
0F7358CB,3,4,0,0
0F9CAC58,2,3,0,0
0F9E401B,3,2,1,0
0F9ECF56,1,4,1,0
0FA175D1,2,3,1,0
0FA1FA9C,2,3,1,0
0FBEB493,2,3,1,0
0FC97613,1,3,1,1
0FE2526C,4,3,1,0
0FE90577,2,3,1,0
1032A1C6,4,3,0,1
1039F6DD,4,3,1,1
104C5FF2,2,3,0,0
104E3CFC,4,3,0,0
105AF1C4,4,1,1,0
105C479C,3,2,0,0
105D5D45,3,4,0,1
105DB7FF,2,4,0,4
105E0C68,1,3,1,1
1071867B,3,4,1,0
107D014B,4,2,0,1
10835FE9,4,3,1,0
10895DAB,3,2,0,0
108BBDA0,3,4,0,0
109525F3,3,4,0,0
109EFDA5,3,4,1,0
10A0EEAE,4,1,0,0
10A3AB61,1,4,0,0
10ACD5FA,2,3,1,0
10CB2F4F,4,3,1,0
10D6024E,3,4,1,0
10E1466A,4,2,0,0
10F9885D,1,3,1,0
11021263,3,4,0,1
11094578,4,3,0,0
11146879,3,4,1,0
11232C5D,4,3,1,0
113BE26A,4,3,1,0
114135DE,1,4,1,0
114F13CA,2,1,0,4
11574FC4,3,4,0,0
115B612B,0,0,0,0
115C9792,2,4,1,0
1161C156,4,3,0,0
1162E3D9,4,3,0,1
116A7283,3,2,0,0
116D343D,3,2,0,2
11878E9D,3,2,1,0
118C56CB,4,3,0,0
118CD986,3,4,0,0
118E35C5,2,3,0,0
119C665F,3,2,0,1
119E2DAB,4,3,1,0
119F3772,4,3,0,1
11A6320A,4,3,0,0
11B0A983,2,4,0,0
11B36301,2,3,1,1
11B3EC4C,2,3,0,0
11CF124C,4,3,0,0
11D40EAE,3,2,0,0
11F0CBF1,4,3,0,0
11FB13A7,4,3,1,0
12035AF3,3,2,1,0
12080DE8,2,3,0,0
120882A5,4,2,1,0
120AE1AB,2,3,0,0
121A6EDF,4,1,1,0
122A9A6E,3,4,1,0
12373822,4,3,0,0
1237B76F,3,2,0,0
1262EAC8,4,3,0,1
12741F9F,4,3,1,0
127FC7C9,4,3,0,0
128CE95A,4,3,0,0
1290BC17,1,4,0,0
129DCFA7,4,0,0,2
12A7F833,1,3,0,0
12B74634,3,2,0,5
12BF3604,2,3,0,0
12CB22C3,2,3,0,0
12D010F2,3,2,0,0
12D843FC,2,3,1,0
12DDC06A,2,3,1,1
12E51538,3,2,1,0
12FFDB3B,2,3,0,0
1311F19D,4,3,0,0
13127AC5,3,2,0,0
131A29CB,3,4,0,1
13277F0F,2,3,1,0
1348F02E,2,3,1,2
1352D620,1,4,0,0
13659204,1,4,0,0
1376EEC9,3,2,0,4
137D5C33,4,3,0,0
139227ED,1,4,0,2
13B675A8,4,3,1,0
13BD22B3,4,3,1,0
13BE3226,2,4,1,4
13C88B9C,2,3,0,0
13CAE892,4,3,1,0
13E10190,3,4,1,0
13E6AD11,3,4,1,1
13EF9C16,3,2,0,0
13F55215,2,3,1,0
140C5169,3,4,0,4
14138117,3,4,1,0
14185941,2,3,1,0
141C85B0,2,3,1,1
142580C8,2,4,0,3
142ED7D3,1,3,1,0
1433FAD2,1,3,1,0
14435CBC,2,3,0,0
14510A34,2,1,1,1
14583B33,4,3,0,0
145B7EFC,2,4,0,0
1466A775,2,4,1,0
146C3AD8,3,4,1,0
146FA3CD,1,3,1,0
1474F4EF,2,3,1,0
147A59C4,4,2,1,0
14862D7D,4,3,0,0
148A1629,1,4,0,0
14A9A76E,1,3,1,0
14B48A6F,4,3,0,0
14BFDD74,4,2,1,0
14C12340,3,2,0,0
14C2504D,2,3,1,0
14C3404E,3,4,1,0
14D61CA1,4,3,0,0
14DB8E79,4,3,1,0
14EA80D3,2,4,1,0
14FCFAC9,4,2,0,0
1501A534,3,2,0,0
15034977,4,3,0,0
150AF22F,3,2,1,1
1513C603,2,3,1,0
15147696,1,3,0,0
1519E44E,3,2,0,2
1528EAE4,3,4,0,0
153E1FB3,2,3,1,0
153E90FE,4,3,1,0
1544474A,2,4,1,2
15531B91,4,3,0,0
156931B1,1,3,1,2
156BCD59,4,3,1,0
1576E058,2,3,0,0
157DB743,3,4,0,0
158B5ACD,1,3,1,0
15936003,1,2,1,1
159914CB,1,4,1,0
159A5104,3,4,0,0
15A4CD42,4,3,0,0
15A6E6DA,2,3,0,0
15AE50EF,3,4,1,0
15B69ED8,4,3,0,0
15D1EB20,2,3,1,0
15DA3376,4,3,1,0
15E7EAFF,4,3,1,1
15ECBDE4,2,3,1,0
15F03954,2,3,0,3
15F190E5,3,2,0,0
160062E9,2,3,0,0
16070EA6,4,1,0,0
16114795,4,3,0,0
1611952F,4,1,0,1
161DC0A5,2,3,0,0
1620192C,4,1,1,0
162A8481,4,3,0,0
16324AB6,2,3,1,0
1648124F,1,4,1,2
16553F4E,2,3,0,0
165BB62A,3,4,1,0
165EE718,3,4,0,0
1665D364,3,2,1,4
1668698A,4,3,0,0
1678B569,2,3,0,0
1685FE17,2,3,1,0
16879D19,4,3,1,0
16A585D2,4,3,1,0
16B38033,4,3,0,3
16BA4490,4,3,0,0
16BACBDD,2,3,1,0
16F23436,3,2,0,0
16F9632D,3,2,0,0
1717498B,3,2,0,0
17305E01,3,4,0,1
173B091A,4,3,1,0
1745F72E,3,4,0,0
17479420,2,3,1,0
1767EFE5,3,4,0,0
176AE34C,2,3,1,4
17782EA7,1,4,0,0
178A7878,2,3,1,0
17975579,3,4,1,0
1799DC1D,2,3,1,0
179C8D2F,4,3,1,0
17A0D965,4,2,1,1
17AA03BD,2,4,0,0
17B5C2FF,3,4,1,0
17C208DE,1,4,0,0
17D3FF18,3,4,0,1
17D45399,4,1,1,0
17DFAA92,3,4,0,1
17E2731B,4,3,1,0
17E8EEB6,1,3,1,0
17ED56E1,3,2,1,2
17F02081,3,2,0,0
1803A472,3,4,0,0
180BFD66,3,4,0,0
18133351,3,4,1,0
1813BC1C,4,3,0,0
1839D539,2,3,1,1
184102B9,3,4,0,0
18466EF6,2,3,1,0
185B43F7,1,4,1,0
185BCCBA,4,3,0,0
18661533,4,3,0,0
1883F340,3,4,0,0
1885B42A,1,3,1,1
18904E23,2,3,1,3
18B4B764,3,4,1,0
18B6D46A,2,4,1,1
18BB1DD3,4,2,0,2
18BF6F32,3,4,1,0
18EC946C,4,3,0,0
18FC488F,4,2,0,1
18FEC374,1,2,1,3
192EFE5B,2,3,0,0
193E22B8,1,4,1,0
19419977,1,4,1,0
19514594,1,3,0,0
1974BE5D,1,2,1,0
197977E4,4,2,0,0
197D0505,4,3,1,0
198404C1,3,4,1,0
199929C0,2,3,1,0
1999A68D,3,4,1,0
19A47F04,3,2,0,0
19A53AFF,2,3,0,2
19A69347,3,2,1,0
19B152F0,4,2,1,1
19B62C9E,2,3,1,3
19C99751,2,3,1,0
19D15966,4,3,0,0
19D1D62B,3,2,0,0
19FBBF0E,2,3,0,0
1A1D72E3,2,3,0,0
1A1E372C,4,1,0,0
1A20AB6A,3,4,0,0
1A224729,3,4,1,0
1A291032,2,4,1,0
1A35869E,4,2,1,1
1A3D866B,4,3,0,0
1A550245,3,4,1,0
1A558D08,2,3,0,0
1A957CC5,4,1,1,0
1AA7DBD7,4,3,0,0
1AA952C4,1,3,1,1
1AAC8CCC,4,3,1,0
1AB1A1CD,4,3,0,1
1ABA799B,1,3,1,2
1ABAF6D6,2,3,0,2
1AC02162,1,3,1,0
1AC0B949,1,4,1,0
1AC52B31,3,4,1,0
1AC54D19,4,3,1,0
1ACB4E47,4,3,0,2
1AD011F6,2,3,0,0
1AEFAB71,3,4,1,0
1AF06A33,4,3,0,0
1AF9D16B,3,4,1,0
1B024B55,2,3,1,1
1B07272E,2,3,1,0
1B074106,3,2,0,2
1B0E7001,4,3,0,0
1B127BC1,2,3,1,0
1B2DC146,2,1,0,0
1B30630A,3,2,0,1
1B320004,3,4,0,0
1B39E8FF,3,2,0,0
1B3BBB5C,2,3,1,1
1B4B18EC,3,2,0,4
1B51A537,4,3,0,5
1B6EE6FB,3,4,1,0
1B73CBFA,3,2,0,1
1B789CE1,4,3,0,3
1B81D74A,3,4,1,0
1B976872,4,3,0,0
1B97E73F,4,3,1,0
1B9F46E8,3,4,0,0
1BDF18D4,2,3,1,0
1BE2C15D,1,2,1,0
1BFFEC5C,2,3,1,0
1C0208C2,3,2,1,2
1C0E8FF2,2,3,1,0
1C100B4B,3,4,0,0
1C24E6D7,2,3,1,0
1C321380,1,3,1,0
1C36A471,2,3,1,4
1C39CBD6,3,4,1,0
1C3BA8D8,2,3,1,0
1C4284C2,1,3,1,0
1C71343D,4,2,1,0
1C794EF4,4,3,1,2
1C8681D4,3,4,1,0
1C8E4FDA,3,4,1,0
1C9E4FE3,4,3,1,0
1C9EC0AE,4,3,0,1
1CB0E623,3,4,0,0
1CB9D724,4,2,0,0
1CD63F45,1,3,0,0
1CD6B008,2,3,1,0
1CDEC1E6,3,4,0,2
1CEA2C7A,3,2,0,0
1CEB6981,4,3,0,0
1D025A57,3,2,0,2
1D14DA3F,4,3,0,0
1D1CABD1,2,3,1,2
1D20B8EE,2,3,0,0
1D2903B6,1,3,1,0
1D4C25ED,4,3,1,0
1D4D3F34,2,4,1,1
1D5C25D4,1,3,1,0
1D5CAA99,3,2,0,0
1D728C14,4,1,1,0
1D852AEA,4,3,0,3
1DA99009,4,3,0,0
1DB35E0A,1,4,0,0
1DBB24C3,2,3,1,3
1DC062F5,3,2,0,3
1DC1EF36,1,4,0,0
1DCCE5C5,1,4,1,0
1DCF6E5D,3,4,0,0
1DF079B7,2,3,1,0
1DF9C2EF,4,3,0,0
1E0A53ED,2,4,1,0
1E15FC8A,3,2,1,3
1E16EDA2,2,3,1,0
1E180077,2,3,1,3
1E186ADB,4,2,0,4
1E34CFAB,4,3,0,0
1E378A64,3,2,1,0
1E4831AB,1,3,0,0
1E5F0E4A,4,3,1,0
1E74ADD9,4,3,0,0
1E7D1681,4,3,1,0
1E82459C,4,3,1,1
1E86744B,3,2,1,0
1E900E51,1,4,0,0
1E987FBF,2,3,1,3
1E99597E,1,4,0,0
1EA46C80,2,3,1,0
1EAC9223,2,3,0,0
1EADD7D8,4,3,0,0
1EAF3B9B,3,4,1,0
1EBC4681,2,3,1,0
1EBF8442,2,3,1,1
1EC03F8D,2,3,1,3
1EC553F6,1,4,0,0
1ED87EF7,4,3,0,1
1ED8F1BA,4,3,1,0
1EE6E2B1,1,3,0,0
1EEA41CE,4,3,0,0
1EEAD9E5,2,3,1,0
1EF07938,3,4,1,0
1F0255BA,4,3,0,3
1F0739C1,2,3,1,0
1F0A0CAE,4,3,0,0
1F0CBAF6,3,4,0,0
1F1A14C0,4,3,0,2
1F1A9B8D,2,3,0,0
1F248886,3,2,0,0
1F28B3D2,4,3,0,0
1F32130F,4,1,1,0
1F441E7C,1,2,0,0
1F526466,1,4,0,0
1F5A1588,2,3,1,0
1F6EF814,3,4,1,0
1F6FBDEF,4,3,0,0
1F7E2CB6,2,3,1,0
1F86DCAC,2,3,1,0
1F8A5B9C,4,3,0,0
1F9D647D,3,2,0,0
1FB2701F,2,3,1,4
1FB6C7EE,4,3,1,0
1FBD1FB8,3,2,1,0
1FBF7CB6,3,2,0,0
1FC839DA,1,4,1,0
1FEDC213,4,2,0,0
1FF5E053,3,2,0,0
20015AA0,3,4,1,0
201CF8EC,4,3,1,0
202C0C5D,1,2,1,0
202D1684,4,3,0,0
203C8329,4,3,1,0
204217B1,2,3,1,4
20427D1D,2,4,0,0
2049A54B,3,2,1,0
204BC645,3,2,0,0
2054884A,3,4,0,1
206065D6,3,2,1,0
20895486,2,3,1,0
20919AB1,2,3,1,0
20996412,3,2,1,0
209B996D,3,2,0,4
20A6DE95,3,4,1,0
20AE2036,3,4,1,0
20B91FD7,3,2,0,0
20C9B9B9,3,1,0,0
20D377BA,2,3,0,0
20E5F928,2,3,0,0
20EE217E,3,4,0,0
21111D8D,3,4,1,0
2127931F,3,4,1,0
212C4B49,4,3,0,0
214B3EB1,3,4,1,0
2150D673,2,3,1,0
2153F086,2,3,0,0
215B0E25,2,3,1,1
2164B4A2,4,3,0,0
216C4A01,4,3,0,0
217B75E0,3,4,0,0
2180172A,3,4,1,0
2189AC72,4,3,0,0
218B4031,3,2,0,1
219A985B,2,3,1,3
21A20FE1,2,3,1,0
21A4456F,3,4,0,2
21C33097,2,3,1,0
21C3BFDA,4,3,0,0
21CAE110,2,3,0,0
21D0CF93,3,2,0,0
21D9FE94,3,4,0,0
21DE92DB,3,4,1,0
21EE666A,2,3,1,0
21FEE91E,4,3,1,0
2204C344,3,4,0,0
220D781C,3,2,0,0
220F945F,3,4,1,0
2220061B,2,3,1,2
22476BB4,4,1,1,0
2247E4F9,4,2,0,0
224B63C9,2,4,1,3
22523ABF,2,4,0,1
22686EEA,4,3,0,1
226A251E,1,4,0,0
226C9346,3,2,0,0
227A3D70,4,3,0,0
228DEBA3,1,4,0,0
2295C9E3,1,3,1,0
229AB778,1,3,1,0
22A34771,4,3,1,0
22A89F27,4,1,0,0
22B53D6B,1,4,0,0
22CFEADF,3,4,0,0
22D4021D,3,4,1,0
22D724E8,2,3,0,0
22DEC83F,3,2,0,0
22E060CC,2,3,1,0
22E89E6F,3,4,1,0
22F7699C,3,2,1,0
22FD4DCD,2,3,0,0
230D80E8,2,3,1,0
23154EDF,3,2,1,0
231DB07C,3,4,1,0
23220AFB,4,3,1,0
232AF458,4,3,0,0
233470E1,3,4,1,1
233F27FA,3,4,0,1
2354815B,3,4,1,1
2357A3D4,3,4,1,0
2358DD4F,4,3,0,0
23612D46,4,3,1,0
2364D78D,2,1,0,2
236AF510,4,3,1,0
2377575C,4,3,1,0
23858ECE,3,4,1,0
2386CB01,1,4,0,0
23905088,4,3,0,0
239DAC8E,3,4,0,0
23AA04DD,4,1,1,0
23B85747,4,3,0,0
23C6A973,3,4,1,0
23CD7125,3,4,0,1
23CE58E4,1,3,1,2
23CF122B,4,3,1,0
23DC2602,1,2,1,3
23E26C2C,3,2,1,0
23F970CE,3,2,0,0
23FA933B,2,3,1,0
24042834,1,3,1,0
24167BAE,3,4,0,1
241CE603,3,4,1,0
24235C84,1,4,0,0
24272517,3,4,1,0
242BA227,2,3,1,0
24316C24,4,3,0,0
2436006B,4,3,1,0
24490C3D,3,2,1,5
244ED7EB,3,2,0,0
245E0B08,1,4,0,0
24635DCC,3,4,0,0
2468859A,1,3,1,0
246DD4A8,3,2,1,0
247E70CD,4,3,0,2
2484F568,2,3,1,4
248C2612,1,4,0,0
248CA95F,3,2,0,2
248EB5AA,2,4,0,3
24B1FF9B,3,4,0,0
24C6BAF7,3,4,0,0
24CF01AF,2,3,0,0
24DFD4DA,3,2,1,4
24E1C617,4,3,0,0
24F07F94,3,2,0,4
2504D0C0,4,3,0,0
25063C83,2,3,1,1
250D6B98,3,4,0,1
25212B09,3,2,0,0
2522046A,1,3,1,4
252A4AD0,4,1,1,0
25463C15,2,3,1,5
254E4C25,2,3,1,0
254EC368,4,3,0,0
25638DC2,4,3,0,0
257395AC,4,3,1,0
259C613F,2,4,0,0
25A137FB,4,2,1,0
25AAEFAD,4,2,1,0
25AFBE9F,3,2,1,0
25C64203,1,3,1,0
25D41199,4,2,1,0
25D6FDDA,4,3,0,0
25DB3463,3,2,1,1
25DDAAC1,3,2,0,1
25DE8C34,3,2,1,0
25E136B3,1,4,1,0
25E59D9A,3,1,1,2
25E9C810,1,3,0,0
25F46A5C,2,3,1,0
26059850,3,2,0,0
260C33A3,3,2,1,3
260F257E,2,3,0,5
2613E24A,4,3,1,1
2618B551,1,3,1,0
26208E30,3,4,0,5
2625E395,4,3,1,0
262E3BC3,2,3,0,0
2642966D,4,3,0,0
2650C5F7,4,1,1,0
265229B4,3,4,1,0
26597EAF,3,2,1,2
2659C14F,4,3,1,0
265A585A,4,2,1,0
2665E2DD,3,2,0,0
266768B6,3,2,0,1
2669E9F2,3,2,0,3
266D1C7E,4,2,1,0
266E59B1,4,3,0,0
268004AE,2,3,1,0
2682E8ED,3,2,0,0
2689BFF6,3,2,0,0
269FC5EC,3,2,0,0
26A07F6B,3,2,1,0
26BC74AB,4,1,0,0
26CA1706,4,3,0,0
26CA984B,2,3,1,0
26DCE251,4,2,1,0
26E07E23,3,4,1,0
26F741C2,4,3,0,0
27087D31,4,3,0,1
2708F27C,3,4,1,0
271E8866,3,4,0,0
27221414,3,4,1,0
27317A44,2,3,1,1
27352BF5,2,3,1,0
27426E99,1,3,1,0
274BD5C1,4,1,1,0
2755AF2E,3,2,0,0
277225C8,2,4,1,2
2772BDE3,2,3,1,2
277E1E9C,3,4,0,0
2780FC5A,2,3,1,0
2792AFC0,2,3,1,0
2798326D,3,4,1,0
27A3F179,3,4,0,2
27A50281,3,1,0,0
27A788EA,3,4,0,0
