# Todas las supertecnicas del juego, de skill_config.
# categoria: columna 14, que separa las cuatro sin excepciones.
# subtipo: columna 9. Los nombres los aporto Aaron.
# poder (AT): columna 11. tp: columna 10. elemento: columna 12.
id,nombre,categoria,subtipo,subtipo_valor,elemento,poder,tp,nombre_interno,descripcion
CA7C3960,Pase cruzado,Tiro,normal (subtipo 8 sin identificar),8,Viento,300,50,whs00210,"Concentra poder en forma vertical y horizontal, envolviendo el balón en un aura con forma de cruz que refuerza el tiro."
092F144B,Rapto divino,Tiro,normal (subtipo 8 sin identificar),8,Montana,360,60,whs00220,Haz desaparecer y reaparecer el balón para confundir al portero en el último segundo.
481E0F52,Psicorremate,Tiro,normal,0,Bosque,300,50,whs00230,Levanta y controla el balón con la mente y lo tira con fuerza contra la portería.
8F884E1D,Ataque cóndor,Tiro,normal (subtipo 8 sin identificar),8,Viento,300,50,whs00240,Sube al cielo y baja en picado hacia el balón. Un tiro certero como un cóndor acechando a su presa.
CEB95504,Balón rodante,Tiro,normal,0,Bosque,300,50,whs00250,"Corre a toda velocidad sobre el balón, aumentando su aceleración, y dispara con ímpetu directo hacia la portería."
0DEA782F,Triángulo Z,Tiro,normal,0,Fuego,440,70,whs00260,La trayectoria del tiro dibuja una Z. Combinación entre tres jugadores que ejecutan un disparo sincronizado.
4CDB6336,Bateo total,Tiro,bloqueo de tiros,16,Fuego,360,60,whs00270,Agarra a un compañero como un bate y batea con él. Técnica que requiere una relación de confianza mutua.
83C7FBB1,Disparo con rebotes,Tiro,normal,0,Montana,360,60,whs00280,"El balón rebota contra fragmentos de tierra que aparecen en el aire, creando un disparo impredecible."
C2F6E0A8,Cabezazo kung-fu,Tiro,normal,0,Bosque,300,50,whs00290,Emplea técnicas de kung-fu para aumentar la potencia con un súper cabezazo.
BC27E078,Tiro cegador,Tiro,normal,0,Fuego,360,60,whs00300,El brillo del sol deslumbra al portero. Un tiro con efecto impregnado de luz intensa.
FD16FB61,Flecha divina,Tiro,normal,0,Viento,360,60,whs00310,El noble balón se convierte en portador de la ira divina. Disparo que lo atraviesa todo como una flecha.
3E45D64A,Tornado inverso,Tiro,bloqueo de tiros,16,Viento,360,60,whs00320,Se eleva alto al cielo con un tornado azul intenso. Perfora la portería con un disparo giratorio de tacón.
7F74CD53,Remate Tarzán,Tiro,normal (subtipo 8 sin identificar),8,Montana,300,50,whs00330,"Salta de liana en liana como Tarzán, tomando impulso para disparar."
B8E28C1C,Sabiduría divina,Tiro,normal,0,Viento,440,70,whs00340,Disparo que desafía las leyes universales con un poder abrumador propio de los dioses.
F9D39705,Tornado dragón,Tiro,normal,0,Fuego,440,70,whs00350,Combinación del Remate dragón y el Tornado de fuego. Un disparo especial devastador.
3A80BA2E,Bola de fango,Tiro,normal (subtipo 8 sin identificar),8,Montana,300,50,whs00360,El balón rueda por el suelo acumulando fuerza y se convierte en una bola de barro para un disparo poderoso.
7BB1A137,Pájaro de fuego,Tiro,tiro largo,4,Fuego,360,60,whs00370,"El balón, disparado por dos jugadores, se envuelve en alas de fuego en dirección a la portería como si volara."
B4AD39B0,Ruptura relámpago,Tiro,normal,0,Viento,640,100,whs00380,"El balón se lanza alto, cargado con poderosos rayos, y tres jugadores ejecutan un disparo combinado que avanza como un relámpago."
F59C22A9,Tiro galáctico,Tiro,normal,0,Fuego,640,100,whs00390,Invoca el poder de la Mano celestial para atravesar el cosmos y lanzar un tiro estratosférico.
3931AF7D,Pingüino emperador n.º 2,Tiro,normal (subtipo 8 sin identificar),8,Bosque,540,85,whs00400,Técnica mejorada que reduce la carga del Pingüino emperador n.º 1. Los pingüinos orgullosos danzan en el aire.
7800B464,Fénix,Tiro,normal,0,Fuego,540,85,whs00410,El balón envuelto en llamas se convierte en un fénix y vuela agitando sus alas directo a la portería.
BB53994F,Tiro dracoroniano,Tiro,normal,0,Viento,360,60,whs00420,¡Un dragoncito mono y con chispa! ¡Libera un chut electrizante!
FA628256,Tornado oscuro,Tiro,bloqueo de tiros,16,Bosque,360,60,whs00430,Un tornado oscuro que encierra un poder prohibido. Las llamas malignas engullen la portería.
3DF4C319,Ventisca eterna,Tiro,normal,0,Viento,360,60,whs00440,Utiliza una extrema determinación para invocar un hielo gélido y desatar una ventisca en el área de la portería.
7CC5D800,Tormenta de fuego,Tiro,normal,0,Fuego,440,70,whs00450,La pasión arde y causa una tormenta abrasadora que quema todo lo que se encuentra a su paso.
BF96F52B,Remate tsunami,Tiro,tiro largo,4,Viento,300,50,whs00460,Técnica que aprovecha el movimiento de una gran ola. Un potente tiro largo que desgarra el mar.
FEA7EE32,Triángulo letal 2,Tiro,normal,0,Bosque,540,85,whs00470,La versión perfeccionada de Triángulo letal. Libera un gran poder al chocar la personalidad de tres jugadores.
31BB76B5,La Tierra,Tiro,normal,0,Montana,640,100,whs00480,Los sentimientos de los once jugadores se unen en uno solo para ejecutar el súper tiro legado por <FUL:DAISUKE>.
708A6DAC,Arcoíris luminoso,Tiro,tiro largo,4,Montana,300,50,whs00490,El disparo traza un arcoíris en el campo de juego. Un tiro de larga distancia con efecto sanador.
0E5B6D7C,Astrorremate,Tiro,normal,0,Bosque,360,60,whs00500,"Envuelto en un aura de otra dimensión, el balón avanza girando a gran velocidad destruyendo todo a su paso."
4F6A7665,Cañón de meteoritos,Tiro,bloqueo de tiros,16,Fuego,440,70,whs00510,¡Domina el campo con la potencia de una amenaza galáctica! Destroza la portería con un chute alto que parece meteorito.
8C395B4E,Bomba acrobática,Tiro,normal (subtipo 8 sin identificar),8,Bosque,360,60,whs00520,Realiza un giro con movimientos acrobáticos y golpea el balón con la cadera usando el impulso en una técnica combinada.
CD084057,Técnica kung-fu,Tiro,bloqueo de tiros,16,Montana,300,50,whs00530,Concentra el poder de múltiples formas en un disparo. Una técnica que solo los verdaderos maestros del kung-fu pueden dominar.
0A9E0118,Granada doble,Tiro,normal (subtipo 8 sin identificar),8,Fuego,360,60,whs00540,"Patea el balón con ambos pies, duplicando su potencia y disparándolo como una bala en un tiro descendente."
4BAF1A01,Cabezazo yoyó,Tiro,normal (subtipo 8 sin identificar),8,Montana,360,60,whs00550,"Gira con el balón y da un cabezazo meteórico, mandándolo directo a la portería."
88FC372A,Remate en V,Tiro,normal,0,Viento,360,60,whs00560,El lazo entre dos jugadores genera un torbellino revolucionario de victoria. Un súper tiro cargado con el poder de la amistad.
C9CD2C33,Tiro pirueta,Tiro,normal (subtipo 8 sin identificar),8,Fuego,300,50,whs00570,Levanta el balón de un rodillazo para luego mandarlo al suelo con un golpe de talón.
06D1B4B4,Cañón dragón,Tiro,bloqueo de tiros,16,Fuego,440,70,whs00580,Concentra el poder dracónico en las piernas y lanza el balón a la portería con una patada lateral.
47E0AFAD,Zapatazo dual,Tiro,normal,0,Bosque,360,60,whs00590,Los pases a la velocidad del rayo hacen que el balón parezca multiplicarse en este disparo de fantasía.
57E52B7E,Aullido de lobo,Tiro,tiro largo,4,Viento,440,70,whs00600,Lanza un tiro preciso que resuena en el campo como el aullido de un lobo a la luz de la luna.
16D43067,Pingüino emperador n.º1,Tiro,normal,0,Bosque,540,85,whs00610,Pingüinos salvajes picotean ferozmente tu pierna al chutar. Una técnica prohibida y definitiva que fue sellada.
D5871D4C,Lecho de rosas,Tiro,normal (subtipo 8 sin identificar),8,Bosque,300,50,whs00620,Incluso la rosa más bella tiene espinas. Un hipnótico tiro letal de movimientos elegantes.
94B60655,Golf total,Tiro,tiro largo,4,Montana,440,70,whs00630,Usa a un compañero como palo de golf para marcar un hoyo en uno en toda la portería.
5320471A,Chut de 200 toques,Tiro,bloqueo de tiros,16,Bosque,440,70,whs00640,Un aluvión de 100 toques por partida doble que asolan la portería del rival en una ofensiva implacable.
12115C03,Lanza de Odín,Tiro,tiro largo,4,Viento,360,60,whs00650,Abre un portal hacia el espacio bajo tus pies y lanza un disparo envuelto en un aura con forma de lanza.
90736A31,Dragón terrestre,Tiro,normal,0,Montana,440,70,whs00670,Atraviesa el campo como un dragón que devora la tierra en su camino hacia la portería.
5F6FF2B6,Tripegaso,Tiro,normal,0,Viento,540,85,whs00680,El poder combinado de tres jugadores invoca a Pegaso y ejecuta un disparo como un tornado desde lo alto del cielo.
1E5EE9AF,Supertrampolín relámpago,Tiro,normal,0,Viento,540,85,whs00690,Dos jugadores saltan usando el cuerpo de un compañero como apoyo. Una técnica que combina Superrelámpago con Trampolín relámpago.
608FE97F,Rayo de Ganímedes,Tiro,bloqueo de tiros,16,Bosque,360,60,whs00700,"No es balonmano, ¡sino fútbol! Golpea el balón con una energía inmensa."
21BEF266,Relámpago saltón,Tiro,normal,0,Montana,360,60,whs00710,Golpea el balón con un cabezazo y haz un remate de volea en pleno descenso para darle más fuerza.
E2EDDF4D,Remate del águila,Tiro,tiro largo,4,Montana,360,60,whs00720,Dos jugadores vuelan por el aire como un águila real y ejecutan un potente tiro combinado.
A3DCC454,Baile de mariposas,Tiro,bloqueo de tiros,16,Montana,360,60,whs00730,"Cuando dos personas en total armonía se dan la mano, sus energías se entrelazan en una mariposa que deslumbra al rival."
644A851B,Disparo cósmico,Tiro,normal (subtipo 8 sin identificar),8,Bosque,440,70,whs00740,El impacto del doble tiro crea un espacio cósmico y lanza una descarga de energía: el Disparo cósmico.
257B9E02,Remate de Gaia,Tiro,normal,0,Montana,540,85,whs00750,"El aura combinada de tres jugadores sacude la tierra y crea un enorme bloque de roca que, junto con el balón, destruye todo a su paso."
E628B329,Remate gafas,Tiro,normal (subtipo 8 sin identificar),8,Montana,300,50,whs00760,Da igual que las gafas se rompan. Técnica desesperada en la que el balón se desvía con la cara.
A719A830,Remate combinado F,Tiro,normal,0,Fuego,540,85,whs00770,"En combinación con el Tornado de fuego, el poder del Remate combinado aumenta aún más."
680530B7,Tornado doble,Tiro,bloqueo de tiros,16,Bosque,540,85,whs00780,Combina el Tornado inverso con el Tornado de fuego en un tiro giratorio imparable.
29342BAE,Llamarada atómica,Tiro,bloqueo de tiros,16,Fuego,440,70,whs00790,Tiro con un balón que contiene la fuerza explosiva del sol y abrasa con sus llamas carmesíes.
5DC8B574,Remate seguridad,Tiro,normal,0,Bosque,360,60,whs00800,El balón disparado se sella con cuatro candados. Técnica combinada que garantiza el gol.
1CF9AE6D,Supernova,Tiro,normal,0,Bosque,640,100,whs00810,Técnica de la clase más poderosa perfeccionada por Génesis. Su poder trasciende las dimensiones del fútbol.
DFAA8346,Pingüino espacial,Tiro,normal,0,Viento,640,100,whs00820,Pingüinos con trajes espaciales atraviesan la atmósfera para alcanzar la portería.
9E9B985F,Remate guiverno,Tiro,normal,0,Bosque,360,60,whs00830,Combina la fuerza y la velocidad de un guiverno. Un disparo evolucionado del Remate dragón.
590DD910,Ventisca guiverno,Tiro,normal,0,Viento,440,70,whs00840,Una poderosa técnica resultante de la fusión entre Remate guiverno y Ventisca eterna.
183CC209,Ventisca de fuego,Tiro,normal,0,Viento,540,85,whs00850,"El hielo y el fuego, dos energías opuestas que se cruzan y liberan su poder en forma de torbellino: el disparo doble definitivo."
DB6FEF22,Fénix oscuro,Tiro,normal,0,Bosque,640,100,whs00860,"El balón, envuelto en oscuridad, se transforma en un fénix. Su poder supera al del Fénix original."
9A5EF43B,Remate triple,Tiro,tiro largo,4,Fuego,540,85,whs00870,Tres jugadores corren en línea recta encadenando disparos para aumentar la velocidad del tiro largo.
55426CBC,Neotiro galáctico,Tiro,normal,0,Fuego,640,100,whs00880,Une tu determinación con la de dos compañeros y lanza un disparo tan fuerte que hace temblar el cielo.
147377A5,Remate asalto,Tiro,tiro largo,4,Fuego,540,85,whs00890,Lanza el balón como un imparable misil que cae sobre la portería en un ataque sin fin.
6AA27775,Disparo sagrado,Tiro,normal,0,Viento,540,85,whs00900,Alas doradas tan bellas que dejan sin aliento. Una supertécnica definitiva capaz de cautivar incluso a los dioses.
2B936C6C,Cabezazo megatón,Tiro,bloqueo de tiros,16,Montana,440,70,whs00910,Aparece una gigantesca mano alzada sobre tu cabeza y da un cabezazo explosivo en forma de puñetazo.
E8C04147,Tiro torre de Osaka,Tiro,normal (subtipo 8 sin identificar),8,Fuego,360,60,whs00920,"El balón sube al cielo girando sobre sí mismo, y luego baja en picado como un superdisparo con efecto."
A9F15A5E,Balón iceberg,Tiro,normal (subtipo 8 sin identificar),8,Viento,440,70,whs00930,"Golpe extremo que manda al portero a un suelo helado, mientras una potente aurora atraviesa la formación rival."
6E671B11,Ventisca de fuego,Tiro,normal,0,Fuego,540,85,whs00940,"El fuego y el hielo, dos energías opuestas que se cruzan y liberan su poder en forma de torbellino: el disparo doble definitivo."
2F560008,Fuego cruzado,Tiro,normal,0,Fuego,640,100,whs00950,Dos auras entrecruzadas giran en un torbellino. Un tiro combinado con un poder capaz de sacudir las estrellas.
EC052D23,Remate del tigre,Tiro,tiro largo,4,Montana,360,60,whs00960,"Chut de postura imponente, como acechando a una presa. Se dice que aparece la silueta de un enorme tigre a espaldas del jugador."
AD34363A,Excalibur,Tiro,tiro largo,4,Viento,360,60,whs00970,El aura que envuelve tu pierna derecha al alzarla se convierte en una espada gigantesca que corta el campo en dos.
6228AEBD,Llamarada infernal,Tiro,normal,0,Fuego,360,60,whs00980,Un potente disparo que prende fuego infernal al balón. Tiro especial con efecto de combustión.
2319B5A4,Gran tifón,Tiro,normal,0,Viento,360,60,whs00990,"Sube con fuerza para conquistar el mar embravecido, y lanza un disparo de tormenta desde el ojo del tifón."
80FE1AC2,Torbellino trampolín,Tiro,normal (subtipo 8 sin identificar),8,Viento,540,85,whs01000,Una nueva versión del Trampolín relámpago. Dos jugadores generan un tornado en una chilena.
C1CF01DB,Bestia del trueno,Tiro,normal,0,Viento,440,70,whs01010,Invoca a la bestia del trueno con una patada lateral en salto. Potencia el disparo de tus compañeros.
029C2CF0,Tormenta del tigre,Tiro,normal,0,Fuego,540,85,whs01020,El poder de Tormenta de fuego y de Remate del tigre combinados en una supertécnica.
43AD37E9,Megadragón,Tiro,normal (subtipo 8 sin identificar),8,Bosque,440,70,whs01030,El rey dragón azul despliega sus enormes alas y ruge. Un disparo feroz que combina poder y majestuosidad.
843B76A6,Círculo de espadas,Tiro,tiro largo,4,Montana,440,70,whs01040,Siete espadas brillantes rasgan el cielo al avanzar. Una técnica de tiro que se dirige directamente hacia la portería.
C50A6DBF,Pingüino emperador n.º 3,Tiro,normal,0,Bosque,640,100,whs01050,Haz sonar un silbido con los dedos que invoca a los pingüinos y estos formarán un círculo para reunir energía.
06594094,Gran lobo,Tiro,normal,0,Bosque,540,85,whs01060,El poder de tres jugadores revive al legendario Fenrir. Su rugido bestial desgarra la portería.
47685B8D,Espada de Odín,Tiro,normal (subtipo 8 sin identificar),8,Montana,440,70,whs01070,El aura de la Espada de Odín emerge de un círculo mágico dibujado en el suelo y perfora la portería.
8874C30A,Remate celestial,Tiro,tiro largo,4,Montana,440,70,whs01080,"El balón sube al cielo y se cubre de luz, para luego bajar en picado como un castigo divino."
C945D813,Golpe de samba,Tiro,tiro largo,4,Montana,360,60,whs01090,"Da rotación al balón con un elegante manejo de pies, y tira con el ritmo de la samba. Una técnica mágica."
B794D8C3,La aurora,Tiro,normal,0,Viento,540,85,whs01100,"Combinando dos poderes llevados al máximo, se forja un ADN completamente nuevo imbuido con una energía descomunal."
F6A5C3DA,Big Bang,Tiro,normal,0,Fuego,640,100,whs01110,Coordinación de tres jugadores para incrementar la potencia de manera explosiva. Disparo letal que evoca el nacimiento del universo.
35F6EEF1,Huracán,Tiro,normal,0,Viento,540,85,whs01120,Combinación de una ventisca de hielo y viento huracanado. Disparo devastador con la fuerza de un huracán.
74C7F5E8,Megalodón,Tiro,normal,0,Viento,360,60,whs01130,De entre las olas furiosas surge un tiburón gigante que se abalanza sobre el portero rival.
B351B4A7,Ataque de paladín,Tiro,normal (subtipo 8 sin identificar),8,Montana,360,60,whs01140,Concentra toda la fuerza del cuerpo en la punta del pie en un poderoso y resplandeciente tiro de empeine.
F260AFBE,Banana shot,Tiro,normal,0,Bosque,300,50,whs01150,"Lanza el balón girando de lado, en una trayectoria en forma de plátano, directo a la portería."
31338295,Cañón de agua,Tiro,normal,0,Viento,360,60,whs01160,Un tiro con efecto que surfea por las olas y atraviesa el túnel de agua directamente hacia la portería.
7002998C,Cañonazo,Tiro,normal,0,Fuego,300,50,whs01170,Da rotación al balón entre los pies y dispara desde el aire como una bala a gran velocidad.
BF1E010B,Torbellino de fuego,Tiro,normal (subtipo 8 sin identificar),8,Fuego,540,85,whs01180,Un disparo envuelto en llamas giratorias. Tiene el poder de abrasarlo todo en un instante.
FE2F1A12,Tiro espejismo,Tiro,normal (subtipo 8 sin identificar),8,Bosque,360,60,whs01190,"Un espejismo distorsiona el espacio y hace que parezca que el balón se ha dividido en dos, confundiendo al rival."
EE2A9EC1,Remate Pegaso,Tiro,normal (subtipo 8 sin identificar),8,Bosque,440,70,whs01200,Cree en tu propio poder para invocar al Pegaso. La versión individual del Tripegaso.
AF1B85D8,Remate unicornio,Tiro,normal (subtipo 8 sin identificar),8,Montana,540,85,whs01210,"Un remate doble perfectamente sincronizado invoca al unicornio, que se lanza directo a portería."
6C48A8F3,Tiro a reacción,Tiro,tiro largo,4,Montana,640,100,whs01220,Tres jugadores unen fuerzas para crear un tornado que potencia al máximo el disparo.
2D79B3EA,Fuego total,Tiro,tiro largo,4,Fuego,640,100,whs01230,Tres potentes disparos generan una enorme llamarada. Temible tiro raso envuelto en fuego.
EAEFF2A5,Disparo valiente,Tiro,tiro largo,4,Montana,640,100,whs01240,Da una patada voladora y lanza el balón con un golpe certero que hipnotiza a todos los que lo ven.
ABDEE9BC,Remate caótico,Tiro,normal,0,Bosque,640,100,whs01250,Combinación del Disparo sagrado y la Ventisca de fuego. Un disparo caótico capaz de arrasarlo todo.
688DC497,Puerta astral,Tiro,normal (subtipo 8 sin identificar),8,Bosque,360,60,whs01260,Invoca un inmenso agujero negro que destruye todo a su paso y potencia el Astrorremate al máximo.
29BCDF8E,Mandíbulas dobles,Tiro,normal,0,Fuego,360,60,whs01270,Gigantescos colmillos afilados aparecen para potenciar un disparo en zigzag que va directo a la portería.
E6A04709,Tiro torre Eiffel,Tiro,normal (subtipo 8 sin identificar),8,Montana,300,50,whs01280,Lanza un imponente tiro que celebra tu triunfo en una versión a la francesa del Tiro torre de Osaka.
A7915C10,Tirachinas,Tiro,normal,0,Montana,540,85,whs01290,El balón se estira al máximo como una goma y se dispara con energía elástica en un tiro veloz.
D9405CC0,Full goleador,Tiro,normal,0,Bosque,360,60,whs01300,Haz rebotar el balón sobre unas cartas y mándalo directo a la portería a toda velocidad.
987147D9,Pingüino emperador X,Tiro,normal,0,Fuego,540,85,whs01310,Un pingüino emperador nacido de la oscuridad del corazón. Su aura de odio lo devora todo.
5B226AF2,Tiro radiocontrol,Tiro,tiro largo,4,Fuego,360,60,whs01320,"El balón se transforma en las ruedas de un coche teledirigido, corriendo a toda velocidad hacia el gol."
1A1371EB,Cañón X,Tiro,normal,0,Fuego,440,70,whs01330,Rasga el balón cruzando las piernas y lanza la energía que brota de él como un rayo luminoso.
DD8530A4,Cañón celestial,Tiro,normal (subtipo 8 sin identificar),8,Montana,440,70,whs01340,La energía oculta de la Mano celestial se concentra en ambas piernas y dispara un potente cañonazo.
9CB42BBD,Carga negativa,Tiro,bloqueo de tiros,16,Bosque,360,60,whs01350,El balón absorbe la materia oscura del universo y hace que el portero rival pruebe el infierno.
5FE70696,Rayo oscuro,Tiro,normal,0,Montana,440,70,whs01360,Una luz nacida de la oscuridad se convierte en un destello destructor. Un disparo de yin y yang.
1ED61D8F,Fuego supremo,Tiro,normal (subtipo 8 sin identificar),8,Fuego,360,60,whs01370,Una ardiente espada ígnea envuelve tu pierna derecha y avanza desgarrando la tierra con un disparo abrasador.
D1CA8508,Cometa legendario,Tiro,normal (subtipo 8 sin identificar),8,Viento,640,100,whs01380,La fuerza de todos se une y forma un cristal que envuelve el balón. Disparo doble con un brillo cegador.
90FB9E11,Diluvio letal,Tiro,tiro largo,4,Fuego,360,60,whs01390,"Convertido en un arma de destrucción, el balón baja como un rayo carmesí en un disparo letal."
5C5613C5,Lanza letal,Tiro,tiro largo,4,Bosque,360,60,whs01400,Da rotación al balón entre los pies y ejecuta un disparo que atraviesa la portería como una lanza.
1D6708DC,Mangual letal,Tiro,normal,0,Montana,640,100,whs01410,"El balón, envuelto por un aura de muerte, se vuelve un arma diseñada solo para destruir."
DE3425F7,Rayo oscuro,Tiro,normal,0,Bosque,440,70,whs01420,Una luz nacida de la oscuridad se convierte en un destello destructor. Un disparo de yin y yang.
9F053EEE,Descenso estelar,Tiro,normal (subtipo 8 sin identificar),8,Fuego,540,85,whs01430,Incontables planetas caen desde el espacio. Potente disparo cósmico capaz de derribar el cielo.
58937FA1,Triángulo múltiple,Tiro,normal,0,Bosque,440,70,whs01440,Crea un triángulo mortífero con tu propio poder en una terrorífica versión del Triángulo letal.
19A264B8,Pingüino múltiple,Tiro,normal,0,Bosque,440,70,whs01450,"Usa esta técnica valiéndote de tu propio poder, en una variación del Pingüino emperador n.º 2."
DAF14993,Tiro vendaval,Tiro,normal (subtipo 8 sin identificar),8,Viento,300,50,whs01460,"Con una velocidad explosiva, genera un vendaval y ejecuta un veloz disparo imposible de seguir con la vista."
9BC0528A,Proyectil letal,Tiro,normal,0,Fuego,360,60,whs01470,"El balón, envuelto en una oscura aura, perfora la portería como una espada mortal revestida de llamas azabaches."
54DCCA0D,Pingüino emperador 7,Tiro,tiro largo,4,Viento,540,85,whs01480,Un grupo de pingüinos coloridos traza un bonito arco como un arcoíris de siete tonos rumbo a la portería.
15EDD114,Salto incandescente,Tiro,bloqueo de tiros,16,Montana,300,50,whs01490,Salta más alto que nadie en el campo y ejecuta un potente disparo en el aire.
6B3CD1C4,Chut ancestral,Tiro,normal,0,Montana,360,60,whs01500,El filo de una espada legendaria forjada en la antigüedad. Disparo letal que avanza cortando el campo.
2A0DCADD,Bomba saltarina,Tiro,normal,0,Fuego,300,50,whs01510,La fricción contra el suelo hace que el balón arda. Un tiro con rebote imprevisible envuelto en llamas.
E95EE7F6,Cabezazo bazuca,Tiro,normal,0,Fuego,300,50,whs01520,"Gira y lanza la pelota al cielo, para luego darle un cabezazo que la manda directa a la portería."
A86FFCEF,Cabezazo cohete,Tiro,normal,0,Fuego,360,60,whs01530,"Impulsado por el puñetazo de un compañero, acelera y chuta con todo tu peso directamente hacia la portería."
6FF9BDA0,Tiro balista,Tiro,tiro largo,4,Montana,360,60,whs01540,"Como una antigua balista, acumula fuerza y lanza un disparo afilado como una flecha."
2EC8A6B9,Triángulo ZZ,Tiro,normal,0,Fuego,540,85,whs01550,"Con un equilibrio perfecto, tres jugadores combinan su poder en un disparo triangular hipnótico."
ED9B8B92,Trayectoria perfecta,Tiro,normal,0,Bosque,300,50,whs01560,Analiza la trayectoria óptima hacia la portería y ejecuta un disparo calculado con precisión para asegurar el gol.
ACAA908B,Pentagrama,Tiro,normal (subtipo 8 sin identificar),8,Bosque,300,50,whs01570,Tiro orquestal que se adapta a la perfección al balón y reproduce un tono precioso.
63B6080C,Aguijón letal,Tiro,normal (subtipo 8 sin identificar),8,Fuego,440,70,whs01580,Infunde un aura negra al balón tras elevarlo y remata con una potente chilena.
22871315,Tiro espectral,Tiro,normal,0,Bosque,360,60,whs01590,Una multitud de almas se reúne para atacar. Una técnica misteriosa que va más allá de la comprensión humana.
328297C6,Remate dinosaurio,Tiro,normal (subtipo 8 sin identificar),8,Montana,360,60,whs01600,Libera una fuerza prehistórica en un disparo que sacude la tierra como el rugido de un dinosaurio.
73B38CDF,Tiro sónico,Tiro,normal,0,Viento,360,60,whs01610,El balón acelera bruscamente justo después de ser disparado. Casi alcanza la velocidad del sonido.
B0E0A1F4,Aguijones escarlata,Tiro,normal,0,,540,85,whs01620,Dispara una ráfaga de energía que se divide en una lluvia de flechas dirigidas directamente al portero.
F1D1BAED,Lluvia de azufre,Tiro,normal,0,Bosque,440,70,whs01630,La energía cargada en el balón cae como un disparo de lluvia fría sobre el rival.
3647FBA2,Peces voladores,Tiro,tiro largo,4,Viento,300,50,whs01640,"Ejecuta un remate en salto con la rodilla, como un pez volador saltando en el océano."
