# Extraido de la tabla de Cheat Engine de EasyGameCheatEngine para la
# version 7.1.1 del juego. Los identificadores se usan como datos; el
# credito es suyo. Los ids estan tal y como los muestra Cheat Engine.
id_ce,id_partida,nombre,clase
4B619D06,069D614B,Bellatrix (White-Black),personaje con rareza Hero
62A929F4,F429A962,Bellatrix (Red),personaje con rareza Hero
1C36A471,71A4361C,Beta (Red),personaje con rareza Hero
35FE1083,8310FE35,Beta (Pink),personaje con rareza Hero
7DC23AD9,D93AC27D,Briar Bloomhurst (White-Black),personaje con rareza Hero
540A8E2B,2B8E0A54,Briar Bloomhurst (Pink),personaje con rareza Hero
6A6392AD,AD92636A,Buddy Fury (Red),personaje con rareza Hero
43AB265F,5F26AB43,Buddy Fury (Pink),personaje con rareza Hero
209B996D,6D999B20,Byron Love (Pink),personaje con rareza Hero
09532D9F,9F2D5309,Byron Love (Red),personaje con rareza Hero
00B5CE9C,9CCEB500,Cade Shelby (White-Black),personaje con rareza Hero
AEDD5F0D,0D5FDDAE,Cade Shelby (Pink),personaje con rareza Hero
3ABE5A3B,3B5ABE3A,Caleb Stonewall (Red),personaje con rareza Hero
1376EEC9,C9EE7613,Caleb Stonewall (Pink),personaje con rareza Hero
1B4B18EC,EC184B1B,Cedric Freud (Red),personaje con rareza Hero
3283AC1E,1EAC8332,Cedric Freud (White-Black),personaje con rareza Hero
2F4EF0F2,F2F04E2F,Circulus Corona (White-Black),personaje con rareza Hero
06864400,00448606,Circulus Corona (Red),personaje con rareza Hero
D963436D,6D4363D9,Darren LaChance (Pink),personaje con rareza Hero
F0ABF79F,9FF7ABF0,Darren LaChance (Red),personaje con rareza Hero
7EFD0E30,300EFD7E,Dvalin (Red),personaje con rareza Hero
5735BAC2,C2BA3557,Dvalin (Pink),personaje con rareza Hero
97FD929C,9C92FD97,Elliot Ember (Red),personaje con rareza Hero
105DB7FF,FFB75D10,Elliot Ember (Pink),personaje con rareza Hero
9594520B,0B529495,Erik Eagle (Pink),personaje con rareza Hero
BC5CE6F9,F9E65CBC,Erik Eagle (White-Black),personaje con rareza Hero
CBBB7F46,467FBBCB,Falco Flashman (Red),personaje con rareza Hero
E273CBB4,B4CB73E2,Falco Flashman (Pink),personaje con rareza Hero
01A0E982,82E9A001,Fei Rune (White-Black),personaje con rareza Hero
28685D70,705D6828,Fei Rune (Pink),personaje con rareza Hero
C72B0D11,110D2BC7,Gabriel Garcia (Pink),personaje con rareza Hero
EEE3B9E3,E3B9E3EE,Gabriel Garcia (White-Black),personaje con rareza Hero
3EA257BE,BE57A23E,Gamma (Black),personaje con rareza Hero
176AE34C,4CE36A17,Gamma (Red),personaje con rareza Hero
951770A6,A6701795,Gandares Baran (White-Black),personaje con rareza Hero
BCDFC454,54C4DFBC,Gandares Baran (Red),personaje con rareza Hero
2AC7D279,79D2C72A,Gazelle (White-Black),personaje con rareza Hero
030F668B,8B660F03,Gazelle (Pink),personaje con rareza Hero
7CD71DC7,C71DD77C,Goldie Lemmon (Red),personaje con rareza Hero
551FA935,35A91F55,Goldie Lemmon (White-Black),personaje con rareza Hero
114F13CA,CA134F11,Harper Evans (Red),personaje con rareza Hero
3887A738,38A78738,Harper Evans (Pink),personaje con rareza Hero
2D3D9E4F,4F9E3D2D,Heath Moore (Pink),personaje con rareza Hero
AA9DBB2C,2CBB9DAA,Heath Moore (Red),personaje con rareza Hero
DE973728,283797DE,Hector Helio (White-Black),personaje con rareza Hero
F75F83DA,DA835FF7,Hector Helio (Pink),personaje con rareza Hero
1E186ADB,DB6A181E,Hurley Kane (White-Black),personaje con rareza Hero
37D0DE29,29DED037,Hurley Kane (Red),personaje con rareza Hero
951322B6,B6221395,Jack Wallside (Pink),personaje con rareza Hero
BCDB9644,4496DBBC,Jack Wallside (White-Black),personaje con rareza Hero
A80CD6E1,E1D60CA8,Jade Beor (White-Black),personaje con rareza Hero
06644770,70476406,Jade Beor (Pink),personaje con rareza Hero
4C6835DA,DA35684C,Janus (Red),personaje con rareza Hero
65A08128,2881A065,Janus (White-Black),personaje con rareza Hero
9171AA97,97AA7191,Jean-Pierre Lapin (Red),personaje con rareza Hero
B8B91E65,651EB9B8,Jean-Pierre Lapin (White-Black),personaje con rareza Hero
75247A4F,4F7A2475,Jimmy Wongfu (White-Black),personaje con rareza Hero
DB4CEBDE,DEEB4CDB,Jimmy Wongfu (Pink),personaje con rareza Hero
8D6920A8,A820698D,Joseph King (Pink),personaje con rareza Hero
A4A1945A,5A94A1A4,Joseph King (Red),personaje con rareza Hero
95B07BDE,DE7BB095,Jude Sharp (White-Black),personaje con rareza Hero
BC78CF2C,2CCF78BC,Jude Sharp (Red),personaje con rareza Hero
0D38CB66,66CB380D,Lucas Star (Red),personaje con rareza Hero
24F07F94,947FF024,Lucas Star (White-Black),personaje con rareza Hero
8EEDF4C6,C6F4ED8E,Mark Evans (White-Black),personaje con rareza Hero
A7254034,344025A7,Mark Evans (Pink),personaje con rareza Hero
8C0813F7,F713088C,Nathan Swift (Red),personaje con rareza Hero
A5C0A705,05A7C0A5,Nathan Swift (White-Black),personaje con rareza Hero
8247ABEB,EBAB4782,Nikas Himmelstein (White-Black),personaje con rareza Hero
2C2F3A7A,7A3A2F2C,Nikas Himmelstein (Pink),personaje con rareza Hero
99E1C62F,2FC6E199,Ozrock Boldar (Pink),personaje con rareza Hero
B02972DD,DD7229B0,Ozrock Boldar (Red),personaje con rareza Hero
D3F26B6C,6C6BF2D3,Paolo Bianchi (White-Black),personaje con rareza Hero
FA3ADF9E,9EDF3AFA,Paolo Bianchi (Red),personaje con rareza Hero
D4B76E4B,4B6EB7D4,Plink Powai (Red),personaje con rareza Hero
FD7FDAB9,B9DA7FFD,Plink Powai (White-Black),personaje con rareza Hero
CDE4A0E1,E1A0E4CD,Quentin Cinquedea (Pink),personaje con rareza Hero
E42C1413,13142CE4,Quentin Cinquedea (Red),personaje con rareza Hero
30664B2F,2F4B6630,Raika Shinohara (Red),personaje con rareza Hero
B7C66E4C,4C6EC6B7,Raika Shinohara (Pink),personaje con rareza Hero
3DC4E59B,9BE5C43D,Riccardo Di Rigo (Red),personaje con rareza Hero
140C5169,69510C14,Riccardo Di Rigo (White-Black),personaje con rareza Hero
9A3492BB,BB92349A,Rondula Flehl (Red),personaje con rareza Hero
B3FC2649,4926FCB3,Rondula Flehl (Pink),personaje con rareza Hero
8C0C41E7,E7410C8C,Ruger Baran (Pink),personaje con rareza Hero
A5C4F515,15F5C4A5,Ruger Baran (Red),personaje con rareza Hero
58E6B88E,8EB8E658,Sandra Fischer (Red),personaje con rareza Hero
712E0C7C,7C0C2E71,Sandra Fischer (White-Black),personaje con rareza Hero
DCD5DB61,61DBD5DC,Samguk Han (Pink),personaje con rareza Hero
F51D6F93,936F1DF5,Samguk Han (White-Black),personaje con rareza Hero
61C16889,8968C161,Sergi Hernandez (Red),personaje con rareza Hero
4809DC7B,7BDC0948,Sergi Hernandez (White-Black),personaje con rareza Hero
2D3CA337,37A33C2D,Shawn Froste (Red),personaje con rareza Hero
04F417C5,C517F404,Shawn Froste (White-Black),personaje con rareza Hero
098AA343,43A38A09,Simeon Ayp (Pink),personaje con rareza Hero
204217B1,B1174220,Simeon Ayp (Red),personaje con rareza Hero
D05DE84C,4CE85DD0,Sonny Wright (Red),personaje con rareza Hero
F9955CBE,BE5C95F9,Sonny Wright (White-Black),personaje con rareza Hero
0CEAB098,98B0EA0C,Terry Archibald (White-Black),personaje con rareza Hero
2522046A,6A042225,Terry Archibald (Pink),personaje con rareza Hero
D234534B,4B5334D2,Tezcat (Pink),personaje con rareza Hero
FBFCE7B9,B9E7FCFB,Tezcat (White-Black),personaje con rareza Hero
85F00CCE,CE0CF085,Thierry Reyes (Pink),personaje con rareza Hero
025029AD,AD295002,Thierry Reyes (Red),personaje con rareza Hero
D30FB7F5,F5B70FD3,Torch (Pink),personaje con rareza Hero
FAC70307,0703C7FA,Torch (Red),personaje con rareza Hero
C40C8017,17800CC4,Victor Blade (Red),personaje con rareza Hero
EDC434E5,E534C4ED,Victor Blade (White-Black),personaje con rareza Hero
BDD6A3B7,B7A3D6BD,Victorio Cryptix (White-Black),personaje con rareza Hero
13BE3226,2632BE13,Victorio Cryptix (Pink),personaje con rareza Hero
0D4C419A,9A414C0D,Xavier Schiller (Red),personaje con rareza Hero
2484F568,68F58424,Xavier Schiller (White-Black),personaje con rareza Hero
7BB218B5,B518B27B,Xene (White-Black),personaje con rareza Hero
527AAC47,47AC7A52,Xene (Red),personaje con rareza Hero
8EC6A388,88A3C68E,Zanark Avalonic (Pink),personaje con rareza Hero
A70E177A,7A170EA7,Zanark Avalonic (Red),personaje con rareza Hero
